,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,WASHINGTON_ACTION,CHARLOTTE_SCORE,WASHINGTON_SCORE
0,1,11:52.0,,M. Morris misses 2-pt layup from 2 ft,0,0
1,1,11:51.0,Defensive rebound by M. Williams,,0,0
2,1,11:41.0,Flagrant foul type 1 by M. Morris,,0,0
3,1,11:41.0,C. Zeller makes flagrant free throw 1 of 2,,1,0
4,1,11:41.0,C. Zeller makes flagrant free throw 2 of 2,,2,0
5,1,11:35.0,N. Batum misses 2-pt jump shot from 14 ft,,2,0
6,1,11:34.0,,Defensive rebound by M. Gortat,2,0
7,1,11:18.0,,M. Morris misses 2-pt jump shot from 16 ft,2,0
8,1,11:16.0,,Offensive rebound by M. Gortat,2,0
9,1,11:14.0,,M. Gortat makes 2-pt jump shot from 7 ft,2,2
10,1,11:04.0,Offensive foul by M. Williams (drawn by R. Sessions),,2,2
11,1,11:04.0,Turnover by M. Williams (offensive foul),,2,2
12,1,10:45.0,,B. Beal misses 2-pt jump shot from 6 ft (block by K. Walker),2,2
13,1,10:42.0,,Offensive rebound by B. Beal,2,2
14,1,10:40.0,,M. Morris misses 3-pt jump shot from 26 ft,2,2
15,1,10:39.0,Defensive rebound by N. Batum,,2,2
16,1,10:18.0,Turnover by K. Walker (bad pass; steal by M. Morris),,2,2
17,1,10:13.0,,O. Porter misses 2-pt jump shot from 14 ft,2,2
18,1,10:12.0,Defensive rebound by C. Zeller,,2,2
19,1,10:05.0,K. Walker makes 2-pt jump shot from 6 ft,,4,2
20,1,9:52.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by R. Sessions),4,5
21,1,9:32.0,C. Lee makes 3-pt jump shot from 24 ft (assist by M. Williams),,7,5
22,1,9:16.0,,M. Gortat makes 2-pt hook shot from 9 ft,7,7
23,1,8:51.0,C. Lee misses 2-pt jump shot from 5 ft,,7,7
24,1,8:50.0,,Defensive rebound by M. Gortat,7,7
25,1,8:41.0,,Personal foul by C. Lee,7,7
26,1,8:37.0,,O. Porter misses 2-pt jump shot from 19 ft,7,7
27,1,8:35.0,Defensive rebound by M. Williams,,7,7
28,1,8:23.0,M. Williams misses 3-pt jump shot from 27 ft,,7,7
29,1,8:22.0,,Defensive rebound by R. Sessions,7,7
30,1,8:14.0,,M. Morris makes 2-pt layup from 1 ft (assist by R. Sessions),7,9
31,1,8:01.0,M. Williams makes 3-pt jump shot from 28 ft (assist by K. Walker),,10,9
32,1,7:44.0,,O. Porter makes 2-pt layup at rim (assist by M. Morris),10,11
33,1,7:27.0,Turnover by M. Williams (offensive foul),,10,11
34,1,7:27.0,,Offensive charge foul by M. Williams (drawn by M. Morris),10,11
35,1,7:27.0,F. Kaminsky enters the game for M. Williams,,10,11
36,1,7:08.0,,R. Sessions misses 2-pt layup from 2 ft,10,11
37,1,7:06.0,Defensive rebound by C. Zeller,,10,11
38,1,6:59.0,C. Zeller makes 2-pt jump shot from 20 ft (assist by K. Walker),,12,11
39,1,6:44.0,,M. Gortat makes 2-pt jump shot from 12 ft,12,13
40,1,6:19.0,K. Walker misses 3-pt jump shot from 26 ft,,12,13
41,1,6:18.0,,Defensive rebound by M. Gortat,12,13
42,1,6:02.0,,M. Gortat makes 2-pt hook shot from 12 ft,12,15
43,1,5:45.0,Turnover by N. Batum (traveling),,12,15
44,1,5:45.0,,Washington full timeout,12,15
45,1,5:45.0,A. Jefferson enters the game for C. Zeller,,12,15
46,1,5:27.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by M. Morris),12,18
47,1,5:04.0,C. Lee misses 2-pt jump shot from 12 ft,,12,18
48,1,5:03.0,Offensive rebound by C. Lee,,12,18
49,1,5:01.0,Turnover by C. Lee (bad pass; steal by B. Beal),,12,18
50,1,4:57.0,,Turnover by B. Beal (bad pass),12,18
51,1,4:51.0,C. Lee misses 2-pt jump shot from 19 ft,,12,18
52,1,4:50.0,Offensive rebound by A. Jefferson,,12,18
53,1,4:48.0,A. Jefferson makes 2-pt layup from 2 ft,,14,18
54,1,4:26.0,,R. Sessions misses 2-pt jump shot from 20 ft,14,18
55,1,4:25.0,,Offensive rebound by M. Morris,14,18
56,1,4:24.0,,M. Morris makes 2-pt layup from 2 ft,14,20
57,1,4:17.0,Charlotte full timeout,,14,20
58,1,4:17.0,J. Lin enters the game for C. Lee,,14,20
