,QUARTER,TIME_REMAINING,HOUSTON_ACTION,GOLDEN STATE_ACTION,HOUSTON_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,P. Beverley misses 2-pt jump shot from 4 ft (block by A. Bogut),,0,0
1,1,11:40.0,Offensive rebound by D. Motiejūnas,,0,0
2,1,11:34.0,D. Motiejūnas makes 2-pt hook shot from 7 ft,,2,0
3,1,11:22.0,,S. Livingston misses 2-pt layup from 2 ft,2,0
4,1,11:22.0,,Offensive rebound by S. Livingston,2,0
5,1,11:20.0,,S. Livingston misses 2-pt layup from 3 ft (block by P. Beverley),2,0
6,1,11:17.0,Defensive rebound by P. Beverley,,2,0
7,1,11:14.0,T. Ariza misses 2-pt layup from 2 ft,,2,0
8,1,11:13.0,Offensive rebound by T. Ariza,,2,0
9,1,11:12.0,T. Ariza makes 2-pt layup from 2 ft,,4,0
10,1,10:45.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by A. Bogut),4,3
11,1,10:28.0,D. Motiejūnas makes 2-pt hook shot from 7 ft (assist by J. Harden),,6,3
12,1,10:10.0,,H. Barnes misses 2-pt jump shot from 5 ft (block by D. Howard),6,3
13,1,10:10.0,,Offensive rebound by D. Green,6,3
14,1,10:10.0,,D. Green makes 2-pt layup from 1 ft,6,5
15,1,10:04.0,Offensive foul by D. Howard (drawn by A. Bogut),,6,5
16,1,10:04.0,Turnover by D. Howard (offensive foul),,6,5
17,1,9:51.0,,K. Thompson misses 2-pt jump shot from 10 ft,6,5
18,1,9:51.0,,Offensive rebound by K. Thompson,6,5
19,1,9:43.0,,D. Green misses 3-pt jump shot from 29 ft,6,5
20,1,9:43.0,Defensive rebound by Team,,6,5
21,1,9:31.0,D. Motiejūnas misses 2-pt jump shot from 10 ft,,6,5
22,1,9:30.0,,Defensive rebound by D. Green,6,5
23,1,9:14.0,,K. Thompson misses 2-pt jump shot from 13 ft,6,5
24,1,9:14.0,,Offensive rebound by Team,6,5
25,1,9:14.0,,Personal foul by J. Harden,6,5
26,1,9:08.0,,K. Thompson misses 2-pt layup from 3 ft,6,5
27,1,9:07.0,Defensive rebound by P. Beverley,,6,5
28,1,8:53.0,D. Motiejūnas misses 2-pt hook shot from 9 ft,,6,5
29,1,8:53.0,,Defensive rebound by A. Bogut,6,5
30,1,8:39.0,,Turnover by A. Bogut (offensive foul),6,5
31,1,8:39.0,,Offensive foul by A. Bogut (drawn by P. Beverley),6,5
32,1,8:21.0,J. Harden misses 2-pt jump shot from 14 ft,,6,5
33,1,8:20.0,,Defensive rebound by H. Barnes,6,5
34,1,8:01.0,,S. Livingston makes 2-pt jump shot from 8 ft (assist by D. Green),6,7
35,1,7:56.0,Turnover by J. Harden (lost ball; steal by S. Livingston),,6,7
36,1,7:50.0,,K. Thompson misses 2-pt layup from 2 ft,6,7
37,1,7:50.0,,Offensive rebound by H. Barnes,6,7
38,1,7:50.0,,Personal foul by P. Beverley,6,7
39,1,7:42.0,,H. Barnes makes 2-pt dunk at rim,6,9
40,1,7:33.0,Turnover by T. Ariza (lost ball; steal by H. Barnes),,6,9
41,1,7:14.0,,A. Bogut makes 2-pt layup from 2 ft (assist by K. Thompson),6,11
42,1,7:14.0,Houston full timeout,,6,11
43,1,7:06.0,Personal foul by K. Thompson,,6,11
44,1,6:53.0,T. Ariza misses 2-pt jump shot from 3 ft (block by D. Green),,6,11
45,1,6:52.0,,Defensive rebound by D. Green,6,11
46,1,6:49.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Livingston),6,13
47,1,6:41.0,Shooting foul by H. Barnes (drawn by J. Harden),,6,13
48,1,6:41.0,J. Harden makes free throw 1 of 3,,7,13
49,1,6:41.0,J. Harden makes free throw 2 of 3,,8,13
50,1,6:41.0,,A. Iguodala enters the game for H. Barnes,8,13
51,1,6:41.0,J. Smith enters the game for D. Motiejūnas,,8,13
52,1,6:41.0,J. Harden misses free throw 3 of 3,,8,13
53,1,6:41.0,,Defensive rebound by D. Green,8,13
54,1,6:22.0,,S. Livingston makes 2-pt jump shot from 12 ft,8,15
55,1,6:12.0,J. Smith makes 3-pt jump shot from 25 ft (assist by D. Howard),,11,15
56,1,5:59.0,,Offensive foul by K. Thompson (drawn by P. Beverley),11,15
57,1,5:59.0,,Turnover by K. Thompson (offensive foul),11,15
58,1,5:59.0,,L. Barbosa enters the game for K. Thompson,11,15
59,1,5:49.0,J. Harden misses 2-pt layup from 2 ft,,11,15
60,1,5:47.0,,Defensive rebound by D. Green,11,15
61,1,5:32.0,,D. Green makes 2-pt jump shot from 19 ft (assist by L. Barbosa),11,17
62,1,5:11.0,J. Harden misses 3-pt jump shot from 27 ft,,11,17
63,1,5:11.0,Offensive rebound by D. Howard,,11,17
64,1,5:03.0,T. Ariza misses 3-pt jump shot from 23 ft,,11,17
65,1,5:02.0,,Defensive rebound by D. Green,11,17
66,1,4:54.0,,L. Barbosa misses 3-pt jump shot from 23 ft,11,17
67,1,4:54.0,Defensive rebound by D. Howard,,11,17
68,1,4:50.0,Shooting foul by S. Livingston (drawn by P. Beverley),,11,17
69,1,4:50.0,P. Beverley makes free throw 1 of 2,,12,17
70,1,4:50.0,P. Beverley makes free throw 2 of 2,,13,17
71,1,4:39.0,,D. Green misses 2-pt jump shot from 13 ft,13,17
72,1,4:36.0,,Offensive rebound by A. Bogut,13,17
73,1,4:30.0,,A. Iguodala makes 3-pt jump shot from 23 ft (assist by S. Livingston),13,20
74,1,4:06.0,T. Ariza misses 3-pt jump shot from 23 ft,,13,20
75,1,4:06.0,,Defensive rebound by Team,13,20
76,1,4:06.0,J. Terry enters the game for P. Beverley,,13,20
77,1,3:52.0,,A. Iguodala makes 3-pt jump shot from 26 ft,13,23
78,1,3:30.0,J. Harden makes 2-pt jump shot from 6 ft,,15,23
79,1,3:22.0,,Golden State full timeout,15,23
80,1,3:22.0,,F. Ezeli enters the game for A. Bogut,15,23
81,1,3:22.0,,B. Rush enters the game for S. Livingston,15,23
82,1,3:22.0,C. Capela enters the game for D. Howard,,15,23
83,1,3:09.0,,F. Ezeli misses 2-pt hook shot from 6 ft,15,23
84,1,3:09.0,Defensive rebound by C. Capela,,15,23
85,1,2:51.0,J. Smith makes 3-pt jump shot from 24 ft (assist by J. Harden),,18,23
86,1,2:37.0,,F. Ezeli makes 2-pt dunk at rim (assist by D. Green),18,25
87,1,2:24.0,J. Harden makes 2-pt jump shot from 12 ft,,20,25
88,1,2:10.0,,Turnover by L. Barbosa (bad pass; steal by J. Smith),20,25
89,1,2:03.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,22,25
90,1,1:51.0,,Shooting foul by J. Harden (drawn by D. Green),22,25
91,1,1:51.0,,D. Green misses free throw 1 of 2,22,25
92,1,1:51.0,,Offensive rebound by Team,22,25
93,1,1:51.0,C. Brewer enters the game for T. Ariza,,22,25
94,1,1:51.0,,D. Green makes free throw 2 of 2,22,26
95,1,1:40.0,Turnover by J. Harden (bad pass; steal by L. Barbosa),,22,26
96,1,1:35.0,,L. Barbosa makes 2-pt layup from 1 ft,22,28
97,1,1:20.0,J. Harden misses 2-pt jump shot from 17 ft,,22,28
98,1,1:20.0,,Defensive rebound by F. Ezeli,22,28
99,1,1:04.0,,A. Iguodala makes 3-pt jump shot from 25 ft (assist by D. Green),22,31
100,1,0:49.0,Shooting foul by B. Rush (drawn by C. Brewer),,22,31
101,1,0:49.0,C. Brewer makes free throw 1 of 2,,23,31
102,1,0:49.0,C. Brewer makes free throw 2 of 2,,24,31
103,1,0:37.0,,Personal foul by J. Smith,24,31
104,1,0:37.0,,F. Ezeli misses free throw 1 of 2,24,31
105,1,0:37.0,,Offensive rebound by Team,24,31
106,1,0:37.0,M. Beasley enters the game for C. Capela,,24,31
107,1,0:37.0,,F. Ezeli misses free throw 2 of 2,24,31
108,1,0:36.0,Defensive rebound by J. Harden,,24,31
