,QUARTER,TIME_REMAINING,DALLAS_ACTION,PORTLAND_ACTION,DALLAS_SCORE,PORTLAND_SCORE
0,1,11:41.0,,M. Harkless misses 3-pt jump shot from 22 ft,0,0
1,1,11:40.0,Defensive rebound by W. Matthews,,0,0
2,1,11:21.0,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by D. Williams),,2,0
3,1,11:03.0,,Shooting foul by D. Nowitzki (drawn by M. Harkless),2,0
4,1,11:03.0,,M. Harkless makes free throw 1 of 2,2,1
5,1,11:03.0,,M. Harkless makes free throw 2 of 2,2,2
6,1,10:46.0,D. Williams misses 2-pt jump shot from 3 ft (block by D. Lillard),,2,2
7,1,10:45.0,,Defensive rebound by D. Lillard,2,2
8,1,10:40.0,,M. Harkless makes 2-pt dunk at rim (assist by D. Lillard),2,4
9,1,10:26.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by D. Williams),,4,4
10,1,10:12.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by M. Harkless),4,6
11,1,10:02.0,S. Mejri misses 2-pt layup from 1 ft (block by M. Plumlee),,4,6
12,1,10:01.0,Offensive rebound by S. Mejri,,4,6
13,1,9:59.0,Turnover by S. Mejri (lost ball; steal by M. Plumlee),,4,6
14,1,9:51.0,,M. Harkless misses 2-pt dunk at rim,4,6
15,1,9:50.0,Defensive rebound by S. Mejri,,4,6
16,1,9:35.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Nowitzki),,7,6
17,1,9:11.0,,D. Lillard makes 3-pt jump shot from 28 ft (assist by M. Harkless),7,9
18,1,9:00.0,S. Mejri makes 2-pt dunk at rim (assist by D. Williams),,9,9
19,1,8:39.0,,M. Harkless misses 2-pt layup from 2 ft,9,9
20,1,8:39.0,Defensive rebound by S. Mejri,,9,9
21,1,8:25.0,R. Felton misses 3-pt jump shot from 25 ft,,9,9
22,1,8:24.0,,Defensive rebound by A. Aminu,9,9
23,1,8:15.0,,A. Aminu misses 2-pt jump shot from 4 ft,9,9
24,1,8:13.0,Defensive rebound by S. Mejri,,9,9
25,1,8:04.0,D. Williams misses 3-pt jump shot from 25 ft,,9,9
26,1,8:01.0,,Defensive rebound by M. Plumlee,9,9
27,1,7:57.0,,Personal foul by S. Mejri,9,9
28,1,7:46.0,,M. Harkless misses 3-pt jump shot from 24 ft,9,9
29,1,7:45.0,,Offensive rebound by M. Plumlee,9,9
30,1,7:36.0,,D. Lillard misses 2-pt jump shot from 9 ft,9,9
31,1,7:35.0,Defensive rebound by D. Nowitzki,,9,9
32,1,7:26.0,Shooting foul by M. Harkless (drawn by S. Mejri),,9,9
33,1,7:26.0,S. Mejri makes free throw 1 of 2,,10,9
34,1,7:26.0,S. Mejri makes free throw 2 of 2,,11,9
35,1,7:09.0,,C. McCollum makes 2-pt jump shot from 16 ft,11,11
36,1,6:57.0,S. Mejri misses 2-pt jump shot from 4 ft,,11,11
37,1,6:56.0,,Defensive rebound by M. Plumlee,11,11
38,1,6:49.0,,M. Harkless makes 2-pt dunk at rim,11,13
39,1,6:38.0,S. Mejri makes 2-pt dunk at rim (assist by D. Williams),,13,13
40,1,6:37.0,Violation by Team (jump ball),,13,13
41,1,6:22.0,,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),13,15
42,1,6:10.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,13,15
43,1,6:10.0,,Defensive rebound by D. Lillard,13,15
44,1,6:00.0,,Turnover by D. Lillard (bad pass; steal by W. Matthews),13,15
45,1,5:52.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Williams),,16,15
46,1,5:52.0,,Portland full timeout,16,15
47,1,5:52.0,C. Villanueva enters the game for D. Nowitzki,,16,15
48,1,5:52.0,,N. Vonleh enters the game for C. McCollum,16,15
49,1,5:52.0,,A. Crabbe enters the game for A. Aminu,16,15
50,1,5:28.0,,M. Plumlee misses 2-pt hook shot from 3 ft,16,15
51,1,5:26.0,Defensive rebound by C. Villanueva,,16,15
52,1,5:18.0,D. Lee enters the game for S. Mejri,,16,15
53,1,5:14.0,Turnover by C. Villanueva (bad pass; steal by M. Plumlee),,16,15
54,1,5:09.0,,M. Harkless makes 2-pt layup from 1 ft (assist by D. Lillard),16,17
55,1,4:48.0,Turnover by R. Felton (bad pass; steal by A. Crabbe),,16,17
56,1,4:44.0,,M. Harkless makes 2-pt dunk at rim (assist by D. Lillard),16,19
57,1,4:44.0,Dallas full timeout,,16,19
58,1,4:44.0,,E. Davis enters the game for M. Plumlee,16,19
59,1,4:44.0,D. Harris enters the game for R. Felton,,16,19
60,1,4:29.0,D. Williams makes 2-pt jump shot from 3 ft,,18,19
61,1,4:10.0,,E. Davis makes 2-pt jump shot from 6 ft (assist by A. Crabbe),18,21
62,1,4:10.0,,Shooting foul by C. Villanueva (drawn by E. Davis),18,21
63,1,4:10.0,,G. Henderson enters the game for M. Harkless,18,21
64,1,4:10.0,,E. Davis makes free throw 1 of 1,18,22
65,1,3:57.0,D. Williams misses 2-pt jump shot from 5 ft,,18,22
66,1,3:57.0,Offensive rebound by C. Villanueva,,18,22
67,1,3:48.0,D. Lee misses 2-pt layup from 1 ft,,18,22
68,1,3:47.0,,Defensive rebound by N. Vonleh,18,22
69,1,3:41.0,,Turnover by D. Lillard (bad pass; steal by W. Matthews),18,22
70,1,3:25.0,W. Matthews misses 2-pt jump shot from 6 ft,,18,22
71,1,3:24.0,Offensive rebound by D. Lee,,18,22
72,1,3:22.0,D. Lee makes 2-pt layup from 1 ft,,20,22
73,1,3:01.0,,Turnover by E. Davis (lost ball; steal by D. Harris),20,22
74,1,2:54.0,C. Villanueva misses 3-pt jump shot from 26 ft,,20,22
75,1,2:53.0,Offensive rebound by D. Williams,,20,22
76,1,2:44.0,D. Williams misses 2-pt jump shot from 15 ft,,20,22
77,1,2:44.0,Offensive rebound by Team,,20,22
78,1,2:44.0,,Loose ball foul by E. Davis,20,22
79,1,2:35.0,C. Villanueva misses 2-pt layup from 1 ft,,20,22
80,1,2:35.0,,Defensive rebound by E. Davis,20,22
81,1,2:24.0,,D. Lillard misses 2-pt jump shot from 6 ft,20,22
82,1,2:24.0,,Offensive rebound by E. Davis,20,22
83,1,2:24.0,,Shooting foul by D. Lee (drawn by E. Davis),20,22
84,1,2:24.0,,E. Davis makes free throw 1 of 2,20,23
85,1,2:24.0,D. Nowitzki enters the game for C. Villanueva,,20,23
86,1,2:24.0,J. Barea enters the game for D. Williams,,20,23
87,1,2:24.0,,A. Aminu enters the game for N. Vonleh,20,23
88,1,2:24.0,J. Anderson enters the game for W. Matthews,,20,23
89,1,2:24.0,,E. Davis makes free throw 2 of 2,20,24
90,1,2:15.0,D. Harris makes 2-pt jump shot from 9 ft (assist by J. Barea),,22,24
91,1,1:58.0,,E. Davis makes 2-pt jump shot from 9 ft (assist by D. Lillard),22,26
92,1,1:45.0,J. Barea makes 2-pt jump shot from 4 ft,,24,26
93,1,1:29.0,,G. Henderson misses 2-pt jump shot from 19 ft,24,26
94,1,1:28.0,Defensive rebound by J. Anderson,,24,26
95,1,1:20.0,Turnover by J. Anderson (bad pass; steal by E. Davis),,24,26
96,1,1:18.0,,Shooting foul by J. Barea (drawn by G. Henderson),24,26
97,1,1:18.0,,G. Henderson makes free throw 1 of 2,24,27
