,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA LAKERS_ACTION,OKLAHOMA CITY_SCORE,LA LAKERS_SCORE
0,1,11:42.0,K. Durant misses 2-pt jump shot from 19 ft,,0,0
1,1,11:41.0,,Defensive rebound by L. Nance,0,0
2,1,11:24.0,,L. Nance makes 2-pt jump shot from 17 ft (assist by J. Clarkson),0,2
3,1,11:05.0,R. Westbrook misses 2-pt jump shot from 13 ft,,0,2
4,1,11:04.0,Offensive rebound by A. Roberson,,0,2
5,1,10:59.0,A. Roberson makes 2-pt layup from 1 ft,,2,2
6,1,10:39.0,,R. Hibbert misses 2-pt hook shot from 8 ft,2,2
7,1,10:37.0,Defensive rebound by S. Ibaka,,2,2
8,1,10:26.0,S. Adams makes 2-pt hook shot from 7 ft,,4,2
9,1,10:08.0,,Shooting foul by A. Roberson (drawn by L. Williams),4,2
10,1,10:08.0,,L. Williams makes free throw 1 of 3,4,3
11,1,10:08.0,,L. Williams makes free throw 2 of 3,4,4
12,1,10:08.0,,L. Williams makes free throw 3 of 3,4,5
13,1,9:50.0,S. Adams misses 2-pt layup at rim (block by R. Hibbert),,4,5
14,1,9:49.0,Offensive rebound by S. Adams,,4,5
15,1,9:44.0,S. Adams makes 2-pt hook shot from 8 ft,,6,5
16,1,9:37.0,,L. Williams misses 2-pt jump shot from 20 ft,6,5
17,1,9:37.0,Defensive rebound by K. Durant,,6,5
18,1,9:33.0,Personal foul by K. Bryant (drawn by K. Durant),,6,5
19,1,9:25.0,Turnover by R. Westbrook (bad pass; steal by L. Williams),,6,5
20,1,9:13.0,,K. Bryant misses 2-pt layup from 2 ft,6,5
21,1,9:12.0,,Offensive rebound by R. Hibbert,6,5
22,1,9:08.0,,R. Hibbert makes 2-pt dunk at rim,6,7
23,1,8:55.0,Turnover by K. Durant (bad pass; steal by L. Nance),,6,7
24,1,8:49.0,,L. Nance makes 2-pt dunk at rim (assist by K. Bryant),6,9
25,1,8:35.0,S. Ibaka misses 2-pt jump shot from 16 ft,,6,9
26,1,8:34.0,Offensive rebound by S. Adams,,6,9
27,1,8:24.0,K. Durant makes 2-pt jump shot from 7 ft,,8,9
28,1,8:04.0,,Shooting foul by S. Adams (drawn by L. Williams),8,9
29,1,8:04.0,,L. Williams makes free throw 1 of 2,8,10
30,1,8:04.0,,L. Williams makes free throw 2 of 2,8,11
31,1,7:51.0,R. Westbrook makes 2-pt jump shot from 12 ft,,10,11
32,1,7:31.0,,R. Hibbert makes 2-pt layup from 1 ft (assist by K. Bryant),10,13
33,1,7:19.0,A. Roberson makes 2-pt layup from 1 ft (assist by K. Durant),,12,13
34,1,7:11.0,,Turnover by J. Clarkson (lost ball; steal by A. Roberson),12,13
35,1,7:02.0,S. Ibaka makes 2-pt hook shot from 10 ft (assist by S. Adams),,14,13
36,1,7:02.0,Shooting foul by R. Hibbert (drawn by S. Ibaka),,14,13
37,1,7:02.0,S. Ibaka makes free throw 1 of 1,,15,13
38,1,6:44.0,,L. Nance makes 2-pt hook shot from 4 ft,15,15
39,1,6:34.0,R. Westbrook makes 2-pt jump shot from 12 ft,,17,15
40,1,6:08.0,,K. Bryant misses 2-pt layup from 2 ft,17,15
41,1,6:07.0,Defensive rebound by R. Westbrook,,17,15
42,1,6:02.0,R. Westbrook makes 2-pt layup from 1 ft,,19,15
43,1,5:44.0,,Turnover by J. Clarkson (traveling),19,15
44,1,5:44.0,,LA Lakers full timeout,19,15
45,1,5:44.0,,D. Russell enters the game for L. Williams,19,15
46,1,5:17.0,K. Durant makes 2-pt layup at rim,,21,15
47,1,4:56.0,,Shooting foul by A. Roberson (drawn by J. Clarkson),21,15
48,1,4:56.0,,J. Clarkson makes free throw 1 of 2,21,16
49,1,4:56.0,D. Waiters enters the game for A. Roberson,,21,16
50,1,4:56.0,,J. Clarkson makes free throw 2 of 2,21,17
51,1,4:41.0,R. Westbrook misses 2-pt layup from 1 ft,,21,17
52,1,4:41.0,Offensive rebound by S. Adams,,21,17
53,1,4:36.0,S. Adams makes 2-pt dunk at rim,,23,17
54,1,4:21.0,,L. Nance misses 2-pt jump shot from 19 ft,23,17
55,1,4:21.0,Defensive rebound by S. Adams,,23,17
56,1,4:07.0,K. Durant misses 2-pt jump shot from 16 ft,,23,17
57,1,4:06.0,,Defensive rebound by K. Bryant,23,17
58,1,3:50.0,,R. Hibbert makes 2-pt jump shot from 18 ft (assist by K. Bryant),23,19
59,1,3:39.0,Shooting foul by J. Clarkson (drawn by R. Westbrook),,23,19
60,1,3:39.0,R. Westbrook makes free throw 1 of 2,,24,19
61,1,3:39.0,,A. Brown enters the game for K. Bryant,24,19
62,1,3:39.0,,J. Randle enters the game for L. Nance,24,19
63,1,3:39.0,R. Westbrook misses free throw 2 of 2,,24,19
64,1,3:38.0,,Defensive rebound by J. Randle,24,19
65,1,3:25.0,,Turnover by J. Randle (bad pass; steal by R. Westbrook),24,19
66,1,3:18.0,R. Westbrook makes 2-pt dunk at rim,,26,19
67,1,3:07.0,,J. Clarkson makes 2-pt jump shot from 15 ft,26,21
68,1,2:54.0,Turnover by R. Westbrook (bad pass; steal by J. Clarkson),,26,21
69,1,2:50.0,Oklahoma City full timeout,,26,21
70,1,2:50.0,C. Payne enters the game for S. Adams,,26,21
71,1,2:50.0,E. Freedom enters the game for R. Westbrook,,26,21
72,1,2:50.0,,B. Bass enters the game for R. Hibbert,26,21
73,1,2:38.0,,B. Bass makes 2-pt jump shot from 17 ft (assist by D. Russell),26,23
74,1,2:24.0,K. Durant makes 2-pt dunk at rim (assist by E. Freedom),,28,23
75,1,1:58.0,,J. Randle misses 2-pt jump shot from 19 ft,28,23
76,1,1:57.0,Defensive rebound by K. Durant,,28,23
77,1,1:48.0,K. Durant makes 2-pt jump shot from 8 ft,,30,23
78,1,1:25.0,,D. Russell makes 2-pt layup at rim (assist by B. Bass),30,25
79,1,1:10.0,S. Ibaka misses 2-pt jump shot from 19 ft,,30,25
