,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MINNESOTA_ACTION,WASHINGTON_SCORE,MINNESOTA_SCORE
0,1,11:40.0,,A. Wiggins misses 2-pt jump shot from 15 ft,0,0
1,1,11:39.0,Defensive rebound by G. Temple,,0,0
2,1,11:26.0,Turnover by M. Morris (offensive foul),,0,0
3,1,11:26.0,Offensive foul by M. Morris (drawn by R. Rubio),,0,0
4,1,11:14.0,,K. Towns misses 2-pt layup from 2 ft,0,0
5,1,11:12.0,Defensive rebound by M. Morris,,0,0
6,1,11:07.0,Turnover by O. Porter (bad pass; steal by A. Wiggins),,0,0
7,1,11:01.0,,A. Wiggins makes 2-pt layup from 1 ft,0,2
8,1,10:46.0,G. Temple misses 3-pt jump shot from 23 ft,,0,2
9,1,10:45.0,,Defensive rebound by K. Towns,0,2
10,1,10:34.0,,R. Rubio misses 2-pt jump shot from 20 ft,0,2
11,1,10:32.0,Defensive rebound by M. Morris,,0,2
12,1,10:14.0,Turnover by O. Porter (bad pass; steal by R. Rubio),,0,2
13,1,10:10.0,,R. Rubio misses 2-pt layup at rim,0,2
14,1,10:09.0,Defensive rebound by O. Porter,,0,2
15,1,10:03.0,Turnover by G. Temple (bad pass; steal by K. Towns),,0,2
16,1,9:57.0,,R. Rubio makes 2-pt jump shot from 16 ft (assist by K. Towns),0,4
17,1,9:46.0,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Temple),,3,4
18,1,9:25.0,,R. Rubio makes 2-pt jump shot from 21 ft,3,6
19,1,9:18.0,,Violation by G. Dieng (def goaltending),3,6
20,1,9:18.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,5,6
21,1,9:00.0,,A. Wiggins makes 2-pt jump shot from 20 ft (assist by G. Dieng),5,8
22,1,8:46.0,M. Gortat misses 2-pt jump shot from 13 ft,,5,8
23,1,8:45.0,,Defensive rebound by K. Towns,5,8
24,1,8:39.0,,R. Rubio makes 2-pt jump shot from 17 ft,5,10
25,1,8:14.0,G. Temple misses 2-pt jump shot from 21 ft,,5,10
26,1,8:12.0,,Defensive rebound by Team,5,10
27,1,8:03.0,,Turnover by R. Rubio (bad pass; steal by J. Wall),5,10
28,1,7:59.0,J. Wall makes 2-pt layup at rim,,7,10
29,1,7:37.0,,Shooting foul by M. Morris (drawn by K. Towns),7,10
30,1,7:37.0,,K. Towns makes free throw 1 of 2,7,11
31,1,7:37.0,J. Dudley enters the game for M. Morris,,7,11
32,1,7:37.0,,K. Towns makes free throw 2 of 2,7,12
33,1,7:25.0,J. Wall misses 2-pt layup at rim,,7,12
34,1,7:24.0,,Defensive rebound by G. Dieng,7,12
35,1,7:13.0,,Z. LaVine misses 2-pt jump shot from 20 ft,7,12
36,1,7:11.0,,Offensive rebound by K. Towns,7,12
37,1,7:08.0,,Z. LaVine misses 2-pt layup from 1 ft,7,12
38,1,7:07.0,,Offensive rebound by K. Towns,7,12
39,1,7:07.0,,K. Towns makes 2-pt layup at rim,7,14
40,1,7:00.0,Washington full timeout,,7,14
41,1,7:00.0,B. Beal enters the game for G. Temple,,7,14
42,1,6:50.0,B. Beal makes 2-pt jump shot from 11 ft,,9,14
43,1,6:50.0,Shooting foul by R. Rubio (drawn by B. Beal),,9,14
44,1,6:50.0,B. Beal misses free throw 1 of 1,,9,14
45,1,6:49.0,,Defensive rebound by G. Dieng,9,14
46,1,6:33.0,,Z. LaVine makes 3-pt jump shot from 23 ft (assist by G. Dieng),9,17
47,1,6:14.0,B. Beal misses 2-pt jump shot from 20 ft,,9,17
48,1,6:13.0,,Defensive rebound by G. Dieng,9,17
