,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PORTLAND_ACTION,NEW ORLEANS_SCORE,PORTLAND_SCORE
0,1,11:43.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by A. Aminu),0,3
1,1,11:28.0,A. Davis makes 2-pt hook shot from 4 ft (assist by E. Gordon),,2,3
2,1,11:09.0,,N. Vonleh misses 2-pt jump shot from 5 ft (block by A. Davis),2,3
3,1,11:07.0,,Offensive rebound by N. Vonleh,2,3
4,1,11:04.0,,N. Vonleh misses 2-pt hook shot from 6 ft,2,3
5,1,11:02.0,Defensive rebound by T. Evans,,2,3
6,1,10:54.0,E. Gordon misses 3-pt jump shot from 26 ft,,2,3
7,1,10:53.0,,Defensive rebound by M. Plumlee,2,3
8,1,10:45.0,,D. Lillard misses 2-pt jump shot from 14 ft,2,3
9,1,10:44.0,Defensive rebound by T. Evans,,2,3
10,1,10:30.0,A. Davis misses 3-pt jump shot from 25 ft,,2,3
11,1,10:29.0,,Defensive rebound by M. Plumlee,2,3
12,1,10:20.0,Violation by A. Ajinça (kicked ball),,2,3
13,1,10:17.0,,Personal foul by A. Gee (drawn by D. Lillard),2,3
14,1,10:08.0,,M. Plumlee misses 2-pt jump shot from 10 ft,2,3
15,1,10:07.0,Defensive rebound by T. Evans,,2,3
16,1,9:55.0,T. Evans misses 2-pt jump shot from 3 ft (block by N. Vonleh),,2,3
17,1,9:54.0,,Defensive rebound by N. Vonleh,2,3
18,1,9:44.0,,M. Plumlee misses 2-pt jump shot from 4 ft,2,3
19,1,9:43.0,Defensive rebound by A. Davis,,2,3
20,1,9:34.0,A. Ajinça misses 2-pt jump shot from 21 ft,,2,3
21,1,9:34.0,,Defensive rebound by N. Vonleh,2,3
22,1,9:23.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by N. Vonleh),2,5
23,1,9:11.0,Turnover by T. Evans (bad pass; steal by N. Vonleh),,2,5
24,1,9:05.0,,A. Aminu makes 2-pt dunk at rim (assist by M. Plumlee),2,7
25,1,8:48.0,Shooting foul by N. Vonleh (drawn by A. Davis),,2,7
26,1,8:48.0,A. Davis misses free throw 1 of 2,,2,7
27,1,8:48.0,Offensive rebound by Team,,2,7
28,1,8:48.0,A. Davis makes free throw 2 of 2,,3,7
29,1,8:37.0,,Shooting foul by A. Gee (drawn by C. McCollum),3,7
30,1,8:37.0,,C. McCollum misses free throw 1 of 3,3,7
31,1,8:37.0,,Offensive rebound by Team,3,7
32,1,8:37.0,,C. McCollum misses free throw 2 of 3,3,7
33,1,8:37.0,,Offensive rebound by Team,3,7
34,1,8:37.0,J. Holiday enters the game for A. Gee,,3,7
35,1,8:37.0,,C. McCollum makes free throw 3 of 3,3,8
36,1,8:22.0,A. Davis makes 2-pt dunk at rim,,5,8
37,1,7:54.0,,C. McCollum misses 2-pt jump shot from 16 ft,5,8
38,1,7:53.0,Defensive rebound by A. Davis,,5,8
39,1,7:47.0,T. Evans makes 2-pt layup from 1 ft,,7,8
40,1,7:37.0,,Personal foul by A. Ajinça (drawn by D. Lillard),7,8
41,1,7:24.0,,C. McCollum misses 3-pt jump shot from 22 ft,7,8
42,1,7:23.0,Defensive rebound by J. Holiday,,7,8
43,1,7:14.0,J. Holiday misses 2-pt jump shot from 11 ft,,7,8
44,1,7:12.0,,Defensive rebound by M. Plumlee,7,8
45,1,7:05.0,,C. McCollum misses 2-pt layup from 2 ft,7,8
46,1,7:04.0,,Offensive rebound by N. Vonleh,7,8
47,1,7:00.0,,N. Vonleh misses 2-pt layup from 3 ft,7,8
48,1,7:00.0,,Offensive rebound by M. Plumlee,7,8
49,1,7:00.0,,Shooting block foul by A. Ajinça (drawn by M. Plumlee),7,8
50,1,7:00.0,,M. Plumlee makes free throw 1 of 2,7,9
51,1,7:00.0,Ö. Aşık enters the game for A. Ajinça,,7,9
52,1,7:00.0,,M. Plumlee misses free throw 2 of 2,7,9
53,1,6:58.0,Defensive rebound by E. Gordon,,7,9
54,1,6:42.0,E. Gordon makes 2-pt jump shot from 6 ft,,9,9
55,1,6:24.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Plumlee),9,12
56,1,6:16.0,J. Holiday makes 3-pt jump shot from 26 ft,,12,12
57,1,6:02.0,,D. Lillard makes 2-pt layup from 1 ft,12,14
58,1,5:50.0,J. Holiday makes 3-pt jump shot from 26 ft,,15,14
59,1,5:40.0,,Portland full timeout,15,14
60,1,5:40.0,,A. Crabbe enters the game for C. McCollum,15,14
61,1,5:33.0,,A. Crabbe misses 3-pt jump shot from 24 ft,15,14
62,1,5:32.0,Defensive rebound by J. Holiday,,15,14
63,1,5:16.0,E. Gordon makes 2-pt jump shot from 3 ft,,17,14
