,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
0,1,11:40.0,A. Horford makes 2-pt jump shot from 17 ft (assist by J. Teague),,2,0
1,1,11:18.0,,A. Drummond misses 2-pt hook shot from 5 ft,2,0
2,1,11:17.0,Defensive rebound by P. Millsap,,2,0
3,1,10:55.0,P. Millsap makes 2-pt jump shot from 6 ft,,4,0
4,1,10:30.0,,T. Harris makes 3-pt jump shot from 22 ft (assist by M. Morris),4,3
5,1,10:20.0,P. Millsap makes 2-pt layup at rim (assist by J. Teague),,6,3
6,1,10:08.0,,Turnover by A. Drummond (bad pass; steal by P. Millsap),6,3
7,1,10:03.0,P. Millsap makes 2-pt layup at rim,,8,3
8,1,9:43.0,,M. Morris makes 2-pt jump shot from 11 ft (assist by T. Harris),8,5
9,1,9:30.0,Turnover by P. Millsap (bad pass),,8,5
10,1,9:17.0,,R. Jackson makes 2-pt layup at rim,8,7
11,1,9:00.0,P. Millsap makes 2-pt jump shot from 12 ft,,10,7
12,1,8:47.0,,Turnover by R. Jackson (back court),10,7
13,1,8:35.0,J. Teague misses 2-pt layup at rim,,10,7
14,1,8:34.0,,Defensive rebound by A. Drummond,10,7
15,1,8:29.0,,Turnover by R. Jackson (bad pass; steal by J. Teague),10,7
16,1,8:24.0,K. Bazemore makes 2-pt layup at rim (assist by J. Teague),,12,7
17,1,8:24.0,,Detroit full timeout,12,7
18,1,8:13.0,,T. Harris misses 2-pt jump shot from 18 ft,12,7
19,1,8:12.0,Defensive rebound by K. Bazemore,,12,7
20,1,8:03.0,Shooting foul by A. Drummond (drawn by K. Bazemore),,12,7
21,1,8:03.0,K. Bazemore makes free throw 1 of 2,,13,7
22,1,8:03.0,K. Bazemore makes free throw 2 of 2,,14,7
23,1,7:42.0,,R. Jackson makes 2-pt jump shot from 7 ft,14,9
24,1,7:22.0,A. Horford misses 2-pt jump shot from 13 ft,,14,9
25,1,7:22.0,,Defensive rebound by M. Morris,14,9
26,1,7:14.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by R. Jackson),14,12
27,1,6:59.0,K. Korver misses 2-pt layup from 2 ft (block by K. Caldwell-Pope),,14,12
28,1,6:58.0,,Defensive rebound by A. Drummond,14,12
29,1,6:57.0,,Turnover by K. Caldwell-Pope (lost ball),14,12
30,1,6:40.0,A. Horford misses 2-pt jump shot from 9 ft,,14,12
31,1,6:39.0,,Defensive rebound by T. Harris,14,12
32,1,6:28.0,,A. Drummond misses 2-pt jump shot from 6 ft,14,12
33,1,6:28.0,Defensive rebound by P. Millsap,,14,12
34,1,6:19.0,A. Horford misses 3-pt jump shot from 25 ft,,14,12
35,1,6:19.0,,Defensive rebound by T. Harris,14,12
36,1,6:18.0,,Technical foul by A. Drummond,14,12
37,1,6:18.0,K. Korver makes technical free throw,,15,12
38,1,6:18.0,K. Humphries enters the game for A. Horford,,15,12
