,QUARTER,TIME_REMAINING,PORTLAND_ACTION,ATLANTA_ACTION,PORTLAND_SCORE,ATLANTA_SCORE
0,1,11:35.0,,K. Bazemore misses 3-pt jump shot from 23 ft,0,0
1,1,11:33.0,Defensive rebound by M. Plumlee,,0,0
2,1,11:21.0,Turnover by A. Aminu (lost ball; steal by J. Teague),,0,0
3,1,11:15.0,,K. Korver misses 3-pt jump shot from 25 ft,0,0
4,1,11:13.0,,Offensive rebound by K. Bazemore,0,0
5,1,10:54.0,,A. Horford misses 3-pt jump shot from 23 ft,0,0
6,1,10:53.0,Defensive rebound by T. Frazier,,0,0
7,1,10:34.0,A. Crabbe misses 2-pt jump shot from 19 ft,,0,0
8,1,10:33.0,,Defensive rebound by P. Millsap,0,0
9,1,10:26.0,,J. Teague misses 3-pt jump shot from 24 ft,0,0
10,1,10:24.0,Defensive rebound by M. Plumlee,,0,0
11,1,10:08.0,T. Frazier makes 2-pt layup from 1 ft (assist by M. Plumlee),,2,0
12,1,9:49.0,,A. Horford misses 2-pt hook shot from 5 ft,2,0
13,1,9:46.0,Defensive rebound by N. Vonleh,,2,0
14,1,9:30.0,N. Vonleh makes 2-pt layup at rim (assist by A. Crabbe),,4,0
15,1,9:30.0,Shooting foul by A. Horford (drawn by N. Vonleh),,4,0
16,1,9:30.0,N. Vonleh makes free throw 1 of 1,,5,0
17,1,9:24.0,,Personal foul by N. Vonleh (drawn by P. Millsap),5,0
18,1,9:08.0,,A. Horford makes 2-pt jump shot from 3 ft (assist by K. Bazemore),5,2
19,1,9:08.0,Violation by M. Plumlee (def goaltending),,5,2
20,1,8:56.0,T. Frazier misses 3-pt jump shot from 25 ft,,5,2
21,1,8:52.0,,Defensive rebound by K. Korver,5,2
22,1,8:51.0,,Turnover by K. Korver (bad pass; steal by N. Vonleh),5,2
23,1,8:47.0,A. Aminu misses 2-pt jump shot from 4 ft,,5,2
24,1,8:46.0,Offensive rebound by M. Plumlee,,5,2
25,1,8:35.0,Turnover by T. Frazier (lost ball),,5,2
26,1,8:18.0,,Shooting foul by A. Aminu (drawn by P. Millsap),5,2
27,1,8:18.0,,P. Millsap makes free throw 1 of 2,5,3
28,1,8:18.0,,P. Millsap makes free throw 2 of 2,5,4
29,1,7:54.0,T. Frazier misses 2-pt jump shot from 19 ft,,5,4
30,1,7:53.0,Offensive rebound by A. Aminu,,5,4
31,1,7:50.0,A. Aminu makes 2-pt layup at rim,,7,4
32,1,7:42.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by J. Teague),7,6
33,1,7:22.0,A. Aminu misses 3-pt jump shot from 25 ft,,7,6
34,1,7:20.0,,Defensive rebound by J. Teague,7,6
35,1,7:07.0,,K. Bazemore makes 3-pt jump shot from 24 ft (assist by A. Horford),7,9
36,1,6:51.0,Personal block foul by A. Horford (drawn by T. Frazier),,7,9
37,1,6:51.0,,T. Splitter enters the game for A. Horford,7,9
38,1,6:51.0,,T. Sefolosha enters the game for K. Korver,7,9
39,1,6:44.0,Turnover by A. Aminu (lost ball),,7,9
40,1,6:32.0,,P. Millsap makes 2-pt jump shot from 18 ft (assist by J. Teague),7,11
41,1,6:15.0,A. Crabbe makes 2-pt jump shot from 18 ft (assist by T. Frazier),,9,11
