,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA LAKERS_ACTION,SAN ANTONIO_SCORE,LA LAKERS_SCORE
0,1,11:40.0,T. Duncan misses 2-pt jump shot from 3 ft,,0,0
1,1,11:37.0,,Defensive rebound by R. Hibbert,0,0
2,1,11:24.0,,R. Hibbert makes 2-pt jump shot from 14 ft (assist by K. Bryant),0,2
3,1,11:03.0,T. Duncan misses 2-pt jump shot from 5 ft (block by K. Bryant),,0,2
4,1,11:01.0,,Defensive rebound by J. Clarkson,0,2
5,1,10:58.0,,J. Clarkson misses 2-pt layup from 2 ft (block by D. Green),0,2
6,1,10:58.0,Offensive rebound by D. Green,,0,2
7,1,10:43.0,D. Green makes 3-pt jump shot from 25 ft (assist by D. West),,3,2
8,1,10:27.0,,R. Hibbert makes 2-pt jump shot from 19 ft (assist by K. Bryant),3,4
9,1,10:14.0,K. Leonard misses 3-pt jump shot from 22 ft,,3,4
10,1,10:12.0,,Defensive rebound by L. Williams,3,4
11,1,9:59.0,,R. Hibbert misses 2-pt hook shot from 10 ft,3,4
12,1,9:56.0,Defensive rebound by D. West,,3,4
13,1,9:50.0,Shooting foul by R. Hibbert (drawn by T. Duncan),,3,4
14,1,9:50.0,T. Duncan makes free throw 1 of 2,,4,4
15,1,9:50.0,T. Duncan makes free throw 2 of 2,,5,4
16,1,9:31.0,,K. Bryant misses 2-pt layup from 3 ft (block by K. Leonard),5,4
17,1,9:28.0,Defensive rebound by D. West,,5,4
18,1,9:20.0,D. West misses 2-pt jump shot from 15 ft,,5,4
19,1,9:19.0,,Defensive rebound by J. Randle,5,4
20,1,9:05.0,,J. Randle makes 2-pt jump shot from 8 ft (assist by R. Hibbert),5,6
21,1,8:41.0,T. Parker misses 2-pt jump shot from 2 ft,,5,6
22,1,8:38.0,,Defensive rebound by J. Randle,5,6
23,1,8:25.0,,J. Randle makes 2-pt hook shot from 7 ft,5,8
24,1,8:08.0,D. Green misses 3-pt jump shot from 24 ft,,5,8
25,1,8:07.0,Offensive rebound by T. Duncan,,5,8
26,1,8:03.0,D. Green misses 3-pt jump shot from 27 ft,,5,8
27,1,8:02.0,,Defensive rebound by J. Randle,5,8
28,1,7:49.0,,Personal foul by D. West (drawn by J. Randle),5,8
29,1,7:42.0,,R. Hibbert misses 2-pt jump shot from 16 ft,5,8
30,1,7:40.0,Defensive rebound by D. West,,5,8
31,1,7:34.0,D. Green makes 3-pt jump shot from 25 ft,,8,8
32,1,7:16.0,,L. Williams makes 2-pt jump shot from 14 ft,8,10
33,1,7:04.0,T. Parker misses 2-pt jump shot from 3 ft,,8,10
34,1,7:01.0,,Defensive rebound by J. Randle,8,10
35,1,6:44.0,,Shooting foul by T. Parker (drawn by J. Clarkson),8,10
36,1,6:44.0,,J. Clarkson makes free throw 1 of 2,8,11
37,1,6:44.0,,J. Clarkson makes free throw 2 of 2,8,12
38,1,6:26.0,K. Leonard makes 2-pt dunk at rim (assist by T. Duncan),,10,12
39,1,6:26.0,Shooting foul by L. Williams (drawn by K. Leonard),,10,12
40,1,6:26.0,K. Leonard makes free throw 1 of 1,,11,12
41,1,6:06.0,,J. Randle misses 2-pt jump shot from 12 ft,11,12
42,1,6:01.0,Defensive rebound by D. West,,11,12
43,1,5:56.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by D. Green),,14,12
44,1,5:38.0,,K. Bryant misses 3-pt jump shot from 24 ft,14,12
45,1,5:34.0,Defensive rebound by D. Green,,14,12
46,1,5:28.0,Shooting foul by K. Bryant (drawn by K. Leonard),,14,12
47,1,5:28.0,,LA Lakers full timeout,14,12
48,1,5:28.0,,D. Russell enters the game for L. Williams,14,12
49,1,5:28.0,B. Diaw enters the game for D. West,,14,12
50,1,5:28.0,K. Leonard makes free throw 1 of 2,,15,12
51,1,5:28.0,K. Leonard makes free throw 2 of 2,,16,12
52,1,5:11.0,,R. Hibbert misses 2-pt jump shot from 17 ft,16,12
53,1,5:09.0,,Offensive rebound by K. Bryant,16,12
54,1,4:59.0,,J. Randle misses 2-pt jump shot from 6 ft (block by D. Green),16,12
55,1,4:56.0,Defensive rebound by K. Leonard,,16,12
56,1,4:47.0,T. Duncan makes 2-pt jump shot from 7 ft,,18,12
57,1,4:21.0,,J. Randle makes 2-pt jump shot from 17 ft (assist by D. Russell),18,14
58,1,4:09.0,T. Duncan misses 2-pt jump shot from 18 ft,,18,14
59,1,4:08.0,,Defensive rebound by J. Clarkson,18,14
60,1,3:59.0,,J. Clarkson misses 2-pt jump shot from 15 ft,18,14
61,1,3:57.0,Defensive rebound by D. Green,,18,14
62,1,3:47.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),,21,14
63,1,3:29.0,,K. Bryant misses 2-pt jump shot from 3 ft (block by K. Leonard),21,14
64,1,3:27.0,Defensive rebound by D. Green,,21,14
65,1,3:23.0,T. Parker makes 2-pt layup from 1 ft,,23,14
66,1,3:23.0,,LA Lakers full timeout,23,14
67,1,3:23.0,,A. Brown enters the game for K. Bryant,23,14
68,1,3:23.0,,R. Kelly enters the game for J. Randle,23,14
69,1,3:23.0,,B. Bass enters the game for R. Hibbert,23,14
70,1,3:23.0,P. Mills enters the game for D. Green,,23,14
71,1,3:23.0,M. Ginóbili enters the game for T. Parker,,23,14
72,1,3:03.0,,D. Russell misses 2-pt jump shot from 12 ft (block by M. Ginóbili),23,14
73,1,3:01.0,Defensive rebound by T. Duncan,,23,14
74,1,2:37.0,K. Leonard misses 3-pt jump shot from 25 ft,,23,14
75,1,2:35.0,,Defensive rebound by R. Kelly,23,14
76,1,2:16.0,,A. Brown makes 2-pt jump shot from 1 ft (assist by B. Bass),23,16
77,1,2:16.0,San Antonio full timeout,,23,16
78,1,2:16.0,K. Anderson enters the game for K. Leonard,,23,16
79,1,2:16.0,J. Simmons enters the game for T. Duncan,,23,16
80,1,2:01.0,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by K. Anderson),,26,16
