,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SAN ANTONIO_ACTION,NEW YORK_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,,L. Aldridge misses 2-pt jump shot from 16 ft,0,0
1,1,11:46.0,,Offensive rebound by L. Aldridge,0,0
2,1,11:42.0,,Turnover by L. Aldridge (bad pass),0,0
3,1,11:26.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by C. Anthony),,3,0
4,1,11:12.0,,K. Leonard misses 3-pt jump shot from 24 ft,3,0
5,1,11:11.0,Defensive rebound by A. Afflalo,,3,0
6,1,10:59.0,K. Porziņģis misses 2-pt layup from 2 ft,,3,0
7,1,10:58.0,,Defensive rebound by T. Duncan,3,0
8,1,10:49.0,,Turnover by D. Green (bad pass),3,0
9,1,10:36.0,J. Calderón misses 2-pt jump shot from 14 ft,,3,0
10,1,10:35.0,,Defensive rebound by T. Duncan,3,0
11,1,10:26.0,,T. Duncan misses 2-pt jump shot from 18 ft,3,0
12,1,10:25.0,Defensive rebound by K. Porziņģis,,3,0
13,1,10:14.0,K. Porziņģis misses 2-pt jump shot from 18 ft,,3,0
14,1,10:13.0,,Defensive rebound by K. Leonard,3,0
15,1,10:04.0,,K. Leonard makes 2-pt jump shot from 10 ft,3,2
16,1,9:57.0,C. Anthony misses 2-pt layup from 2 ft (block by K. Leonard),,3,2
17,1,9:57.0,Offensive rebound by Team,,3,2
18,1,9:52.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,3,2
19,1,9:51.0,,Defensive rebound by K. Leonard,3,2
20,1,9:37.0,,T. Parker makes 2-pt layup from 1 ft,3,4
21,1,9:17.0,Shooting foul by T. Duncan (drawn by C. Anthony),,3,4
22,1,9:17.0,C. Anthony makes free throw 1 of 2,,4,4
23,1,9:17.0,C. Anthony misses free throw 2 of 2,,4,4
24,1,9:16.0,,Defensive rebound by K. Leonard,4,4
25,1,8:56.0,,T. Parker misses 2-pt layup from 2 ft,4,4
26,1,8:55.0,,Offensive rebound by T. Duncan,4,4
27,1,8:55.0,,T. Duncan makes 2-pt layup from 1 ft,4,6
28,1,8:38.0,K. Porziņģis makes 2-pt jump shot from 10 ft,,6,6
29,1,8:25.0,,T. Parker misses 2-pt jump shot from 19 ft,6,6
30,1,8:25.0,Defensive rebound by K. Porziņģis,,6,6
31,1,8:10.0,R. Lopez makes 2-pt hook shot from 7 ft (assist by J. Calderón),,8,6
32,1,8:02.0,,Turnover by T. Duncan (bad pass; steal by K. Porziņģis),8,6
33,1,8:01.0,Turnover by K. Porziņģis (bad pass),,8,6
34,1,7:58.0,,D. Green misses 2-pt jump shot from 16 ft,8,6
35,1,7:57.0,,Offensive rebound by L. Aldridge,8,6
36,1,7:45.0,,L. Aldridge misses 2-pt jump shot from 3 ft,8,6
37,1,7:44.0,Defensive rebound by C. Anthony,,8,6
38,1,7:38.0,Shooting foul by D. Green (drawn by K. Porziņģis),,8,6
39,1,7:38.0,K. Porziņģis makes free throw 1 of 2,,9,6
40,1,7:38.0,,M. Ginóbili enters the game for D. Green,9,6
41,1,7:38.0,K. Porziņģis misses free throw 2 of 2,,9,6
42,1,7:37.0,,Defensive rebound by M. Ginóbili,9,6
43,1,7:15.0,,T. Parker misses 3-pt jump shot from 23 ft,9,6
44,1,7:14.0,,Offensive rebound by K. Leonard,9,6
45,1,7:14.0,,K. Leonard makes 2-pt layup at rim,9,8
46,1,6:59.0,J. Calderón makes 2-pt jump shot from 16 ft (assist by R. Lopez),,11,8
47,1,6:43.0,,M. Ginóbili misses 2-pt jump shot from 6 ft,11,8
48,1,6:42.0,Defensive rebound by R. Lopez,,11,8
49,1,6:37.0,Shooting foul by M. Ginóbili (drawn by C. Anthony),,11,8
50,1,6:37.0,C. Anthony makes free throw 1 of 2,,12,8
51,1,6:37.0,,San Antonio full timeout,12,8
52,1,6:37.0,C. Anthony makes free throw 2 of 2,,13,8
53,1,6:27.0,,Shooting foul by J. Calderón (drawn by T. Parker),13,8
54,1,6:27.0,,T. Parker makes free throw 1 of 2,13,9
55,1,6:27.0,,T. Parker makes free throw 2 of 2,13,10
56,1,6:13.0,A. Afflalo misses 2-pt jump shot from 19 ft,,13,10
57,1,6:12.0,,Defensive rebound by K. Leonard,13,10
58,1,6:05.0,,M. Ginóbili makes 3-pt jump shot from 23 ft (assist by T. Parker),13,13
59,1,5:42.0,K. Porziņģis misses 3-pt jump shot from 23 ft,,13,13
60,1,5:41.0,,Defensive rebound by T. Parker,13,13
61,1,5:28.0,,K. Leonard makes 2-pt layup from 2 ft,13,15
62,1,5:09.0,R. Lopez misses 2-pt hook shot from 6 ft,,13,15
63,1,5:08.0,,Defensive rebound by T. Parker,13,15
64,1,4:59.0,,L. Aldridge misses 2-pt jump shot from 15 ft,13,15
65,1,4:58.0,Defensive rebound by C. Anthony,,13,15
66,1,4:43.0,K. Porziņģis makes 2-pt jump shot from 3 ft,,15,15
67,1,4:27.0,,M. Ginóbili makes 2-pt layup from 2 ft (assist by T. Parker),15,17
68,1,4:27.0,New York full timeout,,15,17
69,1,4:27.0,,P. Mills enters the game for T. Parker,15,17
70,1,4:27.0,,B. Diaw enters the game for T. Duncan,15,17
71,1,4:27.0,L. Thomas enters the game for K. Porziņģis,,15,17
72,1,4:11.0,C. Anthony misses 2-pt jump shot from 15 ft,,15,17
73,1,4:10.0,,Defensive rebound by M. Ginóbili,15,17
74,1,3:54.0,,M. Ginóbili misses 2-pt jump shot from 4 ft (block by L. Thomas),15,17
75,1,3:52.0,Defensive rebound by C. Anthony,,15,17
76,1,3:47.0,L. Thomas makes 2-pt layup from 1 ft (assist by C. Anthony),,17,17
77,1,3:39.0,,K. Leonard misses 2-pt jump shot from 16 ft,17,17
78,1,3:38.0,Defensive rebound by R. Lopez,,17,17
79,1,3:28.0,L. Thomas makes 3-pt jump shot from 23 ft (assist by A. Afflalo),,20,17
80,1,3:01.0,,L. Aldridge misses 2-pt jump shot from 9 ft,20,17
81,1,3:01.0,,Offensive rebound by Team,20,17
82,1,3:01.0,L. Galloway enters the game for J. Calderón,,20,17
83,1,2:58.0,,M. Ginóbili makes 2-pt layup at rim (assist by B. Diaw),20,19
84,1,2:37.0,R. Lopez misses 2-pt hook shot from 7 ft,,20,19
85,1,2:36.0,,Defensive rebound by K. Leonard,20,19
86,1,2:24.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,20,19
87,1,2:24.0,Defensive rebound by L. Galloway,,20,19
88,1,2:18.0,L. Galloway makes 2-pt jump shot from 18 ft,,22,19
89,1,1:55.0,,Shooting foul by L. Thomas (drawn by K. Leonard),22,19
90,1,1:55.0,,K. Leonard misses free throw 1 of 2,22,19
91,1,1:55.0,,Offensive rebound by Team,22,19
92,1,1:55.0,J. Grant enters the game for A. Afflalo,,22,19
93,1,1:55.0,,K. Leonard makes free throw 2 of 2,22,20
94,1,1:32.0,J. Grant misses 3-pt jump shot from 25 ft,,22,20
95,1,1:31.0,,Defensive rebound by K. Leonard,22,20
96,1,1:24.0,,K. Leonard misses 3-pt jump shot from 24 ft,22,20
97,1,1:23.0,Defensive rebound by J. Grant,,22,20
98,1,1:14.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by J. Grant),,25,20
99,1,1:00.0,,K. Leonard makes 2-pt jump shot from 8 ft (assist by P. Mills),25,22
