,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BOSTON_ACTION,LA LAKERS_SCORE,BOSTON_SCORE
0,1,11:44.0,,A. Bradley makes 2-pt jump shot from 18 ft (assist by I. Thomas),0,2
1,1,11:33.0,Personal foul by J. Sullinger (drawn by L. Nance),,0,2
2,1,11:23.0,K. Bryant misses 2-pt jump shot from 13 ft,,0,2
3,1,11:22.0,,Defensive rebound by A. Johnson,0,2
4,1,11:04.0,,J. Sullinger misses 2-pt jump shot from 13 ft,0,2
5,1,11:03.0,Defensive rebound by L. Williams,,0,2
6,1,10:50.0,Turnover by L. Williams (lost ball; steal by J. Crowder),,0,2
7,1,10:42.0,,Turnover by A. Johnson (lost ball; steal by L. Nance),0,2
8,1,10:36.0,L. Nance makes 2-pt dunk at rim (assist by K. Bryant),,2,2
9,1,10:25.0,,I. Thomas makes 2-pt jump shot from 5 ft,2,4
10,1,10:00.0,K. Bryant misses 2-pt jump shot from 17 ft,,2,4
11,1,9:59.0,,Defensive rebound by J. Sullinger,2,4
12,1,9:51.0,,Turnover by J. Crowder (lost ball),2,4
13,1,9:32.0,J. Clarkson misses 2-pt jump shot from 5 ft,,2,4
14,1,9:31.0,,Defensive rebound by A. Johnson,2,4
15,1,9:25.0,Violation by L. Nance (kicked ball),,2,4
16,1,9:16.0,,A. Johnson misses 2-pt hook shot from 8 ft,2,4
17,1,9:15.0,Defensive rebound by K. Bryant,,2,4
18,1,8:57.0,L. Williams makes 3-pt jump shot from 24 ft,,5,4
19,1,8:48.0,,I. Thomas misses 2-pt layup from 1 ft,5,4
20,1,8:48.0,Defensive rebound by K. Bryant,,5,4
21,1,8:41.0,K. Bryant misses 2-pt layup from 2 ft,,5,4
22,1,8:40.0,Offensive rebound by L. Nance,,5,4
23,1,8:32.0,J. Clarkson makes 2-pt jump shot from 8 ft (assist by R. Hibbert),,7,4
24,1,8:17.0,,A. Bradley misses 2-pt jump shot from 19 ft,7,4
25,1,8:16.0,Defensive rebound by R. Hibbert,,7,4
26,1,8:03.0,R. Hibbert misses 2-pt hook shot from 4 ft,,7,4
27,1,8:02.0,,Defensive rebound by J. Crowder,7,4
