,QUARTER,TIME_REMAINING,BOSTON_ACTION,HOUSTON_ACTION,BOSTON_SCORE,HOUSTON_SCORE
0,1,11:38.0,,T. Jones misses 2-pt hook shot from 7 ft,0,0
1,1,11:37.0,,Offensive rebound by T. Ariza,0,0
2,1,11:37.0,,T. Ariza misses 2-pt jump shot at rim,0,0
3,1,11:35.0,,Offensive rebound by D. Howard,0,0
4,1,11:34.0,,D. Howard misses 2-pt layup from 2 ft,0,0
5,1,11:34.0,Defensive rebound by Team,,0,0
6,1,11:17.0,A. Johnson misses 2-pt jump shot from 3 ft (block by D. Howard),,0,0
7,1,11:16.0,Offensive rebound by J. Sullinger,,0,0
8,1,11:14.0,J. Sullinger makes 2-pt jump shot from 5 ft,,2,0
9,1,11:07.0,,T. Lawson makes 2-pt layup from 1 ft,2,2
10,1,10:50.0,I. Thomas makes 2-pt jump shot from 16 ft,,4,2
11,1,10:36.0,,T. Ariza misses 2-pt jump shot from 21 ft,4,2
12,1,10:35.0,Defensive rebound by A. Johnson,,4,2
13,1,10:27.0,Shooting foul by T. Jones (drawn by M. Smart),,4,2
14,1,10:27.0,M. Smart makes free throw 1 of 2,,5,2
15,1,10:27.0,M. Smart misses free throw 2 of 2,,5,2
16,1,10:27.0,Offensive rebound by J. Sullinger,,5,2
17,1,10:22.0,I. Thomas misses 3-pt jump shot from 25 ft,,5,2
18,1,10:20.0,,Defensive rebound by T. Ariza,5,2
19,1,10:12.0,,T. Jones misses 2-pt layup from 2 ft,5,2
20,1,10:11.0,Defensive rebound by A. Johnson,,5,2
21,1,10:04.0,J. Sullinger makes 3-pt jump shot from 27 ft (assist by I. Thomas),,8,2
22,1,9:47.0,,J. Harden makes 3-pt jump shot from 24 ft (assist by D. Howard),8,5
23,1,9:33.0,M. Smart misses 3-pt jump shot from 24 ft,,8,5
24,1,9:32.0,,Defensive rebound by T. Ariza,8,5
25,1,9:26.0,,Shooting foul by A. Johnson (drawn by J. Harden),8,5
26,1,9:26.0,,J. Harden makes free throw 1 of 2,8,6
27,1,9:26.0,,J. Harden makes free throw 2 of 2,8,7
28,1,9:12.0,Turnover by M. Smart (bad pass; steal by T. Ariza),,8,7
29,1,8:50.0,,T. Ariza misses 3-pt jump shot from 23 ft,8,7
30,1,8:49.0,,Offensive rebound by D. Howard,8,7
31,1,8:28.0,,T. Lawson misses 2-pt jump shot from 10 ft,8,7
32,1,8:27.0,,Offensive rebound by D. Howard,8,7
33,1,8:27.0,,D. Howard makes 2-pt jump shot at rim,8,9
34,1,8:13.0,I. Thomas makes 2-pt layup from 2 ft,,10,9
35,1,7:58.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by T. Lawson),10,12
36,1,7:49.0,I. Thomas makes 3-pt jump shot from 25 ft,,13,12
37,1,7:25.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),13,15
38,1,7:06.0,A. Johnson makes 2-pt hook shot from 9 ft,,15,15
39,1,6:55.0,,J. Harden misses 2-pt jump shot from 12 ft,15,15
40,1,6:54.0,Defensive rebound by J. Sullinger,,15,15
41,1,6:46.0,J. Sullinger misses 2-pt jump shot from 12 ft,,15,15
42,1,6:45.0,,Defensive rebound by D. Howard,15,15
43,1,6:31.0,,Turnover by T. Lawson (lost ball; steal by I. Thomas),15,15
