,QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
0,1,11:37.0,,I. Mahinmi misses 2-pt jump shot from 13 ft,0,0
1,1,11:36.0,,Offensive rebound by P. George,0,0
2,1,11:36.0,,P. George misses 2-pt jump shot from 11 ft,0,0
3,1,11:35.0,Defensive rebound by J. Sullinger,,0,0
4,1,11:17.0,Turnover by A. Bradley (bad pass; steal by M. Turner),,0,0
5,1,11:00.0,,M. Turner misses 2-pt jump shot from 20 ft,0,0
6,1,11:00.0,Defensive rebound by I. Thomas,,0,0
7,1,10:48.0,M. Smart misses 3-pt jump shot from 23 ft,,0,0
8,1,10:48.0,,Defensive rebound by G. Hill,0,0
9,1,10:30.0,,I. Mahinmi misses 2-pt jump shot from 3 ft,0,0
10,1,10:30.0,Defensive rebound by A. Johnson,,0,0
11,1,10:17.0,J. Sullinger makes 2-pt jump shot from 20 ft (assist by I. Thomas),,2,0
12,1,9:53.0,,Turnover by G. Hill (bad pass; steal by J. Sullinger),2,0
13,1,9:47.0,M. Smart misses 2-pt jump shot from 6 ft,,2,0
14,1,9:47.0,,Defensive rebound by P. George,2,0
15,1,9:32.0,,M. Ellis makes 3-pt jump shot from 25 ft,2,3
16,1,9:17.0,J. Sullinger misses 2-pt jump shot from 18 ft,,2,3
17,1,9:17.0,,Defensive rebound by M. Ellis,2,3
18,1,9:04.0,,I. Mahinmi misses 2-pt layup from 2 ft,2,3
19,1,9:04.0,Defensive rebound by A. Johnson,,2,3
20,1,8:54.0,A. Bradley misses 2-pt jump shot from 18 ft,,2,3
21,1,8:53.0,Offensive rebound by J. Sullinger,,2,3
22,1,8:53.0,J. Sullinger misses 2-pt layup from 1 ft,,2,3
23,1,8:52.0,Offensive rebound by J. Sullinger,,2,3
24,1,8:50.0,Turnover by J. Sullinger (bad pass; steal by P. George),,2,3
25,1,8:38.0,,Turnover by P. George (lost ball; steal by M. Smart),2,3
26,1,8:33.0,I. Thomas makes 2-pt layup from 2 ft (assist by M. Smart),,4,3
27,1,8:16.0,,M. Turner misses 2-pt jump shot from 18 ft,4,3
28,1,8:16.0,Defensive rebound by I. Thomas,,4,3
29,1,8:05.0,M. Smart makes 3-pt jump shot from 24 ft (assist by I. Thomas),,7,3
30,1,7:52.0,,Turnover by M. Ellis (traveling),7,3
31,1,7:47.0,Personal foul by P. George,,7,3
32,1,7:39.0,A. Bradley makes 2-pt jump shot from 18 ft (assist by I. Thomas),,9,3
33,1,7:30.0,,Shooting block foul by J. Sullinger (drawn by I. Mahinmi),9,3
34,1,7:30.0,,I. Mahinmi makes free throw 1 of 2,9,4
35,1,7:30.0,,I. Mahinmi makes free throw 2 of 2,9,5
36,1,7:19.0,A. Bradley makes 2-pt jump shot from 16 ft (assist by I. Thomas),,11,5
37,1,7:07.0,,I. Mahinmi makes 2-pt jump shot from 11 ft (assist by M. Ellis),11,7
38,1,6:46.0,M. Smart misses 3-pt jump shot from 28 ft,,11,7
39,1,6:45.0,,Defensive rebound by G. Hill,11,7
40,1,6:35.0,,P. George makes 2-pt jump shot from 17 ft,11,9
41,1,6:26.0,Turnover by I. Thomas (bad pass; steal by P. George),,11,9
42,1,6:12.0,,Turnover by P. George (bad pass; steal by J. Sullinger),11,9
43,1,6:09.0,Personal foul by P. George,,11,9
44,1,6:09.0,,R. Stuckey enters the game for P. George,11,9
45,1,5:59.0,A. Johnson misses 2-pt jump shot from 3 ft (block by M. Turner),,11,9
46,1,5:58.0,Offensive rebound by A. Johnson,,11,9
47,1,5:44.0,Turnover by Team (shot clock),,11,9
48,1,5:44.0,,Indiana full timeout,11,9
49,1,5:44.0,J. Jerebko enters the game for A. Johnson,,11,9
50,1,5:44.0,E. Turner enters the game for A. Bradley,,11,9
51,1,5:32.0,,Turnover by R. Stuckey (traveling),11,9
52,1,5:20.0,I. Thomas misses 3-pt jump shot from 24 ft,,11,9
53,1,5:20.0,,Defensive rebound by I. Mahinmi,11,9
54,1,5:10.0,,G. Hill misses 2-pt jump shot from 5 ft,11,9
55,1,5:09.0,Defensive rebound by J. Sullinger,,11,9
56,1,5:04.0,M. Smart makes 2-pt layup from 2 ft (assist by I. Thomas),,13,9
57,1,4:48.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by I. Mahinmi),13,11
58,1,4:32.0,I. Thomas misses 2-pt jump shot from 3 ft (block by G. Hill),,13,11
59,1,4:31.0,Offensive rebound by I. Thomas,,13,11
60,1,4:28.0,J. Jerebko makes 3-pt jump shot from 25 ft (assist by I. Thomas),,16,11
61,1,4:11.0,,M. Turner makes 2-pt jump shot from 12 ft (assist by G. Hill),16,13
62,1,3:54.0,Personal foul by G. Hill,,16,13
63,1,3:54.0,,S. Hill enters the game for G. Hill,16,13
64,1,3:48.0,J. Jerebko makes 2-pt jump shot from 5 ft (assist by E. Turner),,18,13
65,1,3:39.0,,Turnover by M. Turner (offensive foul),18,13
66,1,3:39.0,,Offensive foul by M. Turner (drawn by J. Jerebko),18,13
67,1,3:26.0,I. Thomas misses 3-pt jump shot from 25 ft,,18,13
68,1,3:25.0,,Defensive rebound by M. Ellis,18,13
69,1,3:23.0,,Turnover by M. Ellis (bad pass),18,13
70,1,3:10.0,J. Jerebko makes 2-pt layup from 2 ft (assist by E. Turner),,20,13
71,1,2:56.0,,M. Turner misses 2-pt jump shot from 18 ft,20,13
72,1,2:56.0,Defensive rebound by J. Sullinger,,20,13
73,1,2:46.0,Turnover by J. Jerebko (bad pass; steal by R. Stuckey),,20,13
74,1,2:41.0,,R. Stuckey makes 2-pt layup from 4 ft,20,15
75,1,2:39.0,Boston full timeout,,20,15
76,1,2:39.0,T. Rozier enters the game for J. Sullinger,,20,15
77,1,2:39.0,T. Zeller enters the game for I. Thomas,,20,15
78,1,2:39.0,,L. Allen enters the game for M. Turner,20,15
79,1,2:26.0,E. Turner misses 2-pt jump shot from 19 ft,,20,15
80,1,2:26.0,,Defensive rebound by S. Hill,20,15
81,1,2:23.0,,M. Ellis misses 2-pt layup from 3 ft (block by T. Rozier),20,15
82,1,2:23.0,,Offensive rebound by Team,20,15
83,1,2:10.0,,Shooting foul by M. Smart (drawn by I. Mahinmi),20,15
84,1,2:10.0,,I. Mahinmi makes free throw 1 of 2,20,16
85,1,2:10.0,,I. Mahinmi misses free throw 2 of 2,20,16
86,1,2:06.0,,Offensive rebound by S. Hill,20,16
87,1,1:58.0,,R. Stuckey misses 2-pt jump shot from 20 ft,20,16
88,1,1:56.0,,Offensive rebound by I. Mahinmi,20,16
89,1,1:56.0,,I. Mahinmi makes 2-pt layup from 1 ft,20,18
90,1,1:37.0,T. Zeller misses 2-pt hook shot from 12 ft,,20,18
91,1,1:36.0,,Defensive rebound by M. Ellis,20,18
92,1,1:22.0,,M. Ellis misses 3-pt jump shot from 24 ft,20,18
93,1,1:21.0,Defensive rebound by T. Zeller,,20,18
94,1,1:05.0,J. Jerebko misses 2-pt jump shot from 9 ft (block by L. Allen),,20,18
95,1,1:04.0,,Defensive rebound by I. Mahinmi,20,18
96,1,0:57.0,,I. Mahinmi misses 2-pt hook shot from 9 ft,20,18
97,1,0:56.0,Defensive rebound by E. Turner,,20,18
98,1,0:48.0,M. Smart misses 3-pt jump shot from 24 ft,,20,18
99,1,0:47.0,,Defensive rebound by S. Hill,20,18
100,1,0:40.0,,S. Hill makes 2-pt layup from 2 ft,20,20
101,1,0:23.0,Turnover by E. Turner (bad pass; steal by M. Ellis),,20,20
102,1,0:01.0,,M. Ellis misses 2-pt jump shot from 21 ft,20,20
103,1,0:00.0,,Offensive rebound by R. Stuckey,20,20
104,2,11:44.0,T. Rozier misses 2-pt layup from 2 ft,,20,20
105,2,11:43.0,Offensive rebound by T. Zeller,,20,20
106,2,11:41.0,T. Zeller misses 2-pt jump shot from 3 ft (block by L. Allen),,20,20
107,2,11:40.0,Offensive rebound by T. Zeller,,20,20
108,2,11:38.0,T. Zeller misses 2-pt layup from 2 ft (block by L. Allen),,20,20
109,2,11:36.0,,Defensive rebound by L. Allen,20,20
110,2,11:33.0,,R. Stuckey makes 2-pt jump shot from 8 ft,20,22
111,2,11:19.0,A. Bradley misses 2-pt jump shot from 13 ft,,20,22
112,2,11:19.0,,Defensive rebound by Team,20,22
113,2,11:03.0,,J. Hill makes 2-pt jump shot from 18 ft (assist by J. Young),20,24
114,2,10:45.0,J. Jerebko misses 3-pt jump shot from 23 ft (block by J. Hill),,20,24
115,2,10:45.0,,Defensive rebound by J. Young,20,24
116,2,10:26.0,,R. Stuckey misses 2-pt jump shot from 10 ft,20,24
117,2,10:25.0,Defensive rebound by J. Jerebko,,20,24
118,2,10:14.0,J. Jerebko makes 2-pt layup from 3 ft (assist by E. Turner),,22,24
119,2,9:59.0,,Turnover by L. Allen (bad pass),22,24
