,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CHICAGO_ACTION,PHOENIX_SCORE,CHICAGO_SCORE
0,1,11:40.0,Turnover by A. Len (lost ball),,0,0
1,1,11:40.0,,P. Gasol makes 2-pt layup from 2 ft,0,2
2,1,11:28.0,J. Leuer makes 2-pt jump shot from 9 ft,,2,2
3,1,11:07.0,,N. Mirotić misses 3-pt jump shot from 24 ft,2,2
4,1,11:06.0,Defensive rebound by E. Bledsoe,,2,2
5,1,10:52.0,A. Len misses 2-pt layup from 1 ft,,2,2
6,1,10:52.0,,Defensive rebound by D. Rose,2,2
7,1,10:43.0,,P. Gasol misses 2-pt jump shot from 18 ft,2,2
8,1,10:43.0,Defensive rebound by E. Bledsoe,,2,2
9,1,10:33.0,Personal foul by T. Snell (drawn by P. Tucker),,2,2
10,1,10:33.0,A. Len misses 2-pt jump shot from 17 ft,,2,2
11,1,10:32.0,,Defensive rebound by D. Rose,2,2
12,1,10:22.0,,N. Mirotić misses 3-pt jump shot from 23 ft,2,2
13,1,10:21.0,Defensive rebound by A. Len,,2,2
14,1,10:13.0,Personal foul by D. Rose (drawn by E. Bledsoe),,2,2
15,1,10:13.0,E. Bledsoe misses free throw 1 of 2,,2,2
16,1,10:13.0,Offensive rebound by Team,,2,2
17,1,10:13.0,E. Bledsoe makes free throw 2 of 2,,3,2
18,1,9:33.0,,D. Rose misses 2-pt layup from 1 ft,3,2
19,1,9:32.0,Defensive rebound by J. Leuer,,3,2
20,1,9:26.0,P. Tucker misses 2-pt layup at rim,,3,2
21,1,9:25.0,Offensive rebound by A. Len,,3,2
22,1,9:25.0,A. Len makes 2-pt dunk at rim,,5,2
23,1,9:08.0,,J. Butler makes 2-pt layup from 1 ft,5,4
24,1,8:57.0,Turnover by P. Tucker (bad pass; steal by P. Gasol),,5,4
25,1,8:54.0,,Turnover by D. Rose (lost ball; steal by B. Knight),5,4
26,1,8:49.0,J. Leuer makes 2-pt layup from 2 ft (assist by E. Bledsoe),,7,4
27,1,8:31.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by P. Gasol),7,7
28,1,8:18.0,Turnover by E. Bledsoe (traveling),,7,7
29,1,8:05.0,,J. Butler misses 2-pt jump shot from 20 ft,7,7
30,1,8:04.0,Defensive rebound by B. Knight,,7,7
31,1,7:59.0,J. Leuer misses 2-pt layup from 2 ft,,7,7
32,1,7:58.0,,Defensive rebound by P. Gasol,7,7
33,1,7:45.0,,J. Butler misses 2-pt jump shot from 16 ft,7,7
34,1,7:44.0,,Offensive rebound by P. Gasol,7,7
35,1,7:44.0,,P. Gasol makes 2-pt layup from 1 ft,7,9
36,1,7:44.0,,Shooting foul by P. Tucker (drawn by P. Gasol),7,9
37,1,7:44.0,,P. Gasol makes free throw 1 of 1,7,10
38,1,7:29.0,Turnover by P. Tucker (lost ball; steal by D. Rose),,7,10
39,1,7:24.0,,Shooting foul by J. Leuer (drawn by J. Butler),7,10
40,1,7:24.0,,J. Butler misses free throw 1 of 2,7,10
41,1,7:24.0,,Offensive rebound by Team,7,10
42,1,7:24.0,,J. Butler makes free throw 2 of 2,7,11
43,1,7:15.0,,Violation by J. Butler (kicked ball),7,11
44,1,7:09.0,B. Knight makes 2-pt jump shot from 18 ft,,9,11
45,1,7:03.0,,T. Snell makes 3-pt jump shot from 24 ft (assist by D. Rose),9,14
46,1,6:53.0,B. Knight makes 2-pt jump shot from 20 ft,,11,14
47,1,6:42.0,,T. Snell makes 2-pt dunk at rim (assist by P. Gasol),11,16
48,1,6:34.0,Phoenix full timeout,,11,16
49,1,6:21.0,J. Leuer makes 2-pt jump shot from 15 ft,,13,16
50,1,6:06.0,,J. Butler misses 2-pt dunk at rim,13,16
51,1,6:05.0,Defensive rebound by E. Bledsoe,,13,16
52,1,5:52.0,A. Len misses 2-pt layup from 1 ft (block by D. Rose),,13,16
53,1,5:50.0,,Defensive rebound by T. Snell,13,16
54,1,5:46.0,,N. Mirotić makes 2-pt dunk at rim (assist by D. Rose),13,18
