,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
0,1,11:41.0,J. Leuer misses 2-pt jump shot from 9 ft,,0,0
1,1,11:40.0,,Defensive rebound by A. Brown,0,0
2,1,11:25.0,,L. Williams misses 2-pt layup from 3 ft,0,0
3,1,11:22.0,,Offensive rebound by L. Nance,0,0
4,1,11:04.0,,J. Clarkson misses 2-pt layup from 1 ft,0,0
5,1,11:02.0,Defensive rebound by J. Leuer,,0,0
6,1,10:50.0,T. Chandler misses 2-pt jump shot from 16 ft,,0,0
7,1,10:49.0,,Defensive rebound by L. Williams,0,0
8,1,10:40.0,,R. Hibbert makes 2-pt jump shot from 13 ft (assist by L. Williams),0,2
9,1,10:27.0,J. Leuer misses 3-pt jump shot from 24 ft,,0,2
10,1,10:26.0,,Defensive rebound by L. Nance,0,2
11,1,10:20.0,,Personal block foul by P. Tucker (drawn by J. Clarkson),0,2
12,1,10:11.0,,L. Nance makes 2-pt jump shot from 19 ft (assist by R. Hibbert),0,4
13,1,9:55.0,T. Chandler misses 2-pt hook shot from 4 ft,,0,4
14,1,9:54.0,,Defensive rebound by Team,0,4
15,1,9:41.0,,L. Nance misses 2-pt jump shot from 19 ft,0,4
16,1,9:40.0,Defensive rebound by T. Chandler,,0,4
17,1,9:19.0,J. Leuer makes 2-pt hook shot from 4 ft,,2,4
18,1,8:57.0,,L. Nance misses 2-pt jump shot from 17 ft,2,4
19,1,8:56.0,Defensive rebound by T. Chandler,,2,4
20,1,8:47.0,B. Knight makes 2-pt jump shot from 8 ft,,4,4
21,1,8:36.0,,Personal foul by D. Booker (drawn by A. Brown),4,4
22,1,8:25.0,,R. Hibbert makes 2-pt jump shot from 16 ft (assist by A. Brown),4,6
23,1,8:11.0,D. Booker misses 2-pt jump shot from 17 ft,,4,6
24,1,8:10.0,,Defensive rebound by A. Brown,4,6
25,1,8:01.0,,J. Clarkson makes 2-pt layup at rim,4,8
26,1,7:48.0,Turnover by B. Knight (lost ball; steal by J. Clarkson),,4,8
27,1,7:40.0,,Turnover by A. Brown (bad pass; steal by P. Tucker),4,8
