,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHOENIX_ACTION,MINNESOTA_SCORE,PHOENIX_SCORE
0,1,11:41.0,,Turnover by T. Chandler (bad pass),0,0
1,1,11:28.0,G. Dieng misses 2-pt jump shot from 15 ft,,0,0
2,1,11:26.0,,Defensive rebound by P. Tucker,0,0
3,1,11:22.0,,T. Chandler makes 2-pt dunk at rim (assist by P. Tucker),0,2
4,1,11:12.0,Z. LaVine makes 2-pt dunk at rim (assist by R. Rubio),,2,2
5,1,10:55.0,,Turnover by D. Booker (bad pass; steal by G. Dieng),2,2
6,1,10:50.0,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),,4,2
7,1,10:36.0,Violation by G. Dieng (kicked ball),,4,2
8,1,10:25.0,,A. Len misses 2-pt jump shot from 14 ft,4,2
9,1,10:23.0,,Offensive rebound by P. Tucker,4,2
10,1,10:17.0,,Turnover by P. Tucker (back court),4,2
11,1,10:05.0,K. Towns misses 2-pt jump shot from 17 ft,,4,2
12,1,10:04.0,,Defensive rebound by A. Len,4,2
13,1,9:56.0,,B. Knight misses 3-pt jump shot from 24 ft,4,2
14,1,9:54.0,Defensive rebound by A. Wiggins,,4,2
15,1,9:44.0,A. Wiggins misses 2-pt jump shot from 18 ft,,4,2
16,1,9:41.0,,Defensive rebound by T. Chandler,4,2
17,1,9:31.0,,P. Tucker makes 2-pt jump shot from 5 ft,4,4
18,1,9:25.0,Shooting foul by A. Len (drawn by G. Dieng),,4,4
19,1,9:25.0,Minnesota full timeout,,4,4
20,1,9:25.0,G. Dieng misses free throw 1 of 2,,4,4
21,1,9:25.0,Offensive rebound by Team,,4,4
22,1,9:25.0,G. Dieng makes free throw 2 of 2,,5,4
23,1,9:18.0,,Personal foul by K. Towns,5,4
24,1,9:14.0,,D. Booker makes 3-pt jump shot from 23 ft (assist by A. Len),5,7
25,1,9:03.0,Z. LaVine makes 3-pt jump shot from 24 ft (assist by G. Dieng),,8,7
26,1,8:49.0,,T. Chandler makes 2-pt layup from 1 ft (assist by D. Booker),8,9
27,1,8:49.0,,Shooting foul by Z. LaVine (drawn by T. Chandler),8,9
28,1,8:49.0,,T. Chandler makes free throw 1 of 1,8,10
29,1,8:40.0,Shooting foul by A. Len (drawn by A. Wiggins),,8,10
30,1,8:40.0,A. Wiggins makes free throw 1 of 2,,9,10
31,1,8:40.0,,M. Teletović enters the game for A. Len,9,10
32,1,8:40.0,A. Wiggins makes free throw 2 of 2,,10,10
33,1,8:29.0,,B. Knight misses 2-pt jump shot from 21 ft,10,10
34,1,8:27.0,,Offensive rebound by P. Tucker,10,10
35,1,8:25.0,,P. Tucker makes 2-pt hook shot from 6 ft,10,12
36,1,8:05.0,R. Rubio misses 3-pt jump shot from 25 ft,,10,12
37,1,8:04.0,,Defensive rebound by Team,10,12
38,1,7:48.0,,T. Chandler misses 2-pt layup from 2 ft,10,12
39,1,7:44.0,Defensive rebound by G. Dieng,,10,12
40,1,7:42.0,Personal foul by M. Teletović,,10,12
41,1,7:29.0,G. Dieng misses 2-pt layup from 4 ft,,10,12
42,1,7:29.0,,Defensive rebound by Team,10,12
43,1,7:07.0,,M. Teletović misses 3-pt jump shot from 26 ft,10,12
44,1,7:05.0,Defensive rebound by A. Wiggins,,10,12
45,1,7:02.0,Turnover by Z. LaVine (traveling),,10,12
46,1,6:50.0,,Offensive foul by T. Chandler (drawn by K. Towns),10,12
47,1,6:50.0,,Turnover by T. Chandler (offensive foul),10,12
48,1,6:31.0,Turnover by K. Towns (bad pass; steal by P. Tucker),,10,12
49,1,6:27.0,,P. Tucker makes 2-pt layup from 1 ft,10,14
50,1,6:10.0,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),,12,14
51,1,5:58.0,,Turnover by P. Tucker (bad pass),12,14
52,1,5:48.0,R. Rubio misses 2-pt layup from 1 ft,,12,14
53,1,5:44.0,,Defensive rebound by B. Knight,12,14
54,1,5:41.0,,M. Teletović makes 3-pt jump shot from 24 ft (assist by B. Knight),12,17
55,1,5:28.0,Z. LaVine makes 2-pt jump shot from 21 ft,,14,17
56,1,5:10.0,,M. Teletović misses 3-pt jump shot from 24 ft,14,17
57,1,5:08.0,Defensive rebound by G. Dieng,,14,17
58,1,5:04.0,Z. LaVine makes 2-pt layup from 1 ft (assist by R. Rubio),,16,17
59,1,4:50.0,,B. Knight misses 2-pt jump shot from 16 ft,16,17
60,1,4:47.0,Defensive rebound by K. Towns,,16,17
61,1,4:43.0,Z. LaVine makes 3-pt jump shot from 24 ft (assist by R. Rubio),,19,17
62,1,4:34.0,,Phoenix full timeout,19,17
63,1,4:28.0,,M. Teletović makes 2-pt jump shot from 20 ft (assist by B. Knight),19,19
