,QUARTER,TIME_REMAINING,TORONTO_ACTION,WASHINGTON_ACTION,TORONTO_SCORE,WASHINGTON_SCORE
0,1,11:44.0,,B. Beal makes 2-pt jump shot from 21 ft (assist by O. Porter),0,2
1,1,11:30.0,Personal foul by B. Beal (drawn by B. Biyombo),,0,2
2,1,11:14.0,K. Lowry makes 3-pt jump shot from 28 ft (assist by D. Carroll),,3,2
3,1,10:56.0,,M. Gortat makes 2-pt hook shot from 7 ft (assist by B. Beal),3,4
4,1,10:34.0,D. DeRozan makes 2-pt jump shot from 9 ft,,5,4
5,1,10:19.0,,J. Wall misses 2-pt jump shot from 11 ft,5,4
6,1,10:19.0,Defensive rebound by Team,,5,4
7,1,10:19.0,,Loose ball foul by M. Gortat (drawn by B. Biyombo),5,4
8,1,10:02.0,K. Lowry misses 2-pt jump shot from 18 ft,,5,4
9,1,10:00.0,Offensive rebound by L. Scola,,5,4
10,1,9:46.0,D. Carroll misses 2-pt jump shot from 11 ft,,5,4
11,1,9:45.0,Offensive rebound by L. Scola,,5,4
12,1,9:42.0,L. Scola makes 2-pt layup at rim,,7,4
13,1,9:31.0,,J. Dudley misses 3-pt jump shot from 22 ft,7,4
14,1,9:30.0,Defensive rebound by B. Biyombo,,7,4
15,1,9:21.0,K. Lowry misses 2-pt jump shot from 15 ft,,7,4
16,1,9:20.0,,Defensive rebound by J. Dudley,7,4
17,1,9:10.0,,J. Wall misses 3-pt jump shot from 22 ft,7,4
18,1,9:09.0,Defensive rebound by D. DeRozan,,7,4
19,1,8:56.0,D. DeRozan makes 2-pt layup from 1 ft (assist by B. Biyombo),,9,4
20,1,8:45.0,,M. Gortat makes 2-pt layup at rim (assist by B. Beal),9,6
21,1,8:30.0,D. DeRozan misses 2-pt jump shot from 13 ft,,9,6
22,1,8:29.0,,Defensive rebound by M. Gortat,9,6
23,1,8:19.0,,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),9,8
24,1,8:05.0,Turnover by L. Scola (bad pass; steal by M. Gortat),,9,8
25,1,7:56.0,,B. Beal misses 3-pt jump shot from 26 ft,9,8
26,1,7:54.0,Defensive rebound by L. Scola,,9,8
27,1,7:45.0,Turnover by K. Lowry (bad pass),,9,8
28,1,7:33.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),9,10
29,1,7:19.0,Turnover by K. Lowry (bad pass),,9,10
30,1,7:06.0,,O. Porter misses 3-pt jump shot from 23 ft,9,10
31,1,7:05.0,Defensive rebound by K. Lowry,,9,10
32,1,6:58.0,L. Scola misses 2-pt layup from 1 ft,,9,10
33,1,6:56.0,,Defensive rebound by M. Gortat,9,10
34,1,6:50.0,,J. Wall misses 2-pt jump shot from 18 ft,9,10
35,1,6:48.0,Defensive rebound by B. Biyombo,,9,10
36,1,6:30.0,L. Scola misses 3-pt jump shot from 23 ft,,9,10
37,1,6:28.0,,Defensive rebound by J. Wall,9,10
38,1,6:17.0,,J. Wall misses 2-pt jump shot from 12 ft,9,10
39,1,6:16.0,Defensive rebound by B. Biyombo,,9,10
40,1,6:09.0,D. Carroll misses 3-pt jump shot from 25 ft,,9,10
41,1,6:09.0,,Defensive rebound by Team,9,10
42,1,6:09.0,,Washington full timeout,9,10
43,1,5:45.0,,J. Wall misses 2-pt jump shot from 20 ft,9,10
44,1,5:44.0,Defensive rebound by K. Lowry,,9,10
45,1,5:22.0,D. Carroll misses 2-pt jump shot from 8 ft,,9,10
46,1,5:21.0,,Defensive rebound by M. Gortat,9,10
47,1,5:06.0,,J. Wall misses 2-pt jump shot from 17 ft,9,10
48,1,5:04.0,Defensive rebound by K. Lowry,,9,10
49,1,5:03.0,Offensive foul by K. Lowry (drawn by O. Porter),,9,10
50,1,5:03.0,Turnover by K. Lowry (offensive foul),,9,10
51,1,4:51.0,,J. Dudley makes 2-pt jump shot from 21 ft (assist by B. Beal),9,12
52,1,4:29.0,D. DeRozan misses 2-pt jump shot from 14 ft,,9,12
53,1,4:28.0,,Defensive rebound by M. Gortat,9,12
