,QUARTER,TIME_REMAINING,TORONTO_ACTION,DALLAS_ACTION,TORONTO_SCORE,DALLAS_SCORE
0,1,11:43.0,D. DeRozan makes 2-pt layup at rim (assist by K. Lowry),,2,0
1,1,11:25.0,,D. Williams makes 2-pt jump shot from 12 ft,2,2
2,1,11:12.0,Turnover by D. DeRozan (lost ball),,2,2
3,1,11:01.0,,C. Parsons misses 2-pt layup from 1 ft,2,2
4,1,11:01.0,,Offensive rebound by C. Parsons,2,2
5,1,11:01.0,,Turnover by C. Parsons (step out of bounds),2,2
6,1,10:40.0,L. Scola misses 2-pt jump shot from 18 ft,,2,2
7,1,10:39.0,Offensive rebound by J. Valančiūnas,,2,2
8,1,10:39.0,,Loose ball foul by Z. Pachulia (drawn by J. Valančiūnas),2,2
9,1,10:29.0,J. Valančiūnas misses 2-pt jump shot from 9 ft,,2,2
10,1,10:28.0,,Defensive rebound by D. Nowitzki,2,2
11,1,10:17.0,,Z. Pachulia misses 2-pt jump shot from 17 ft,2,2
12,1,10:16.0,Defensive rebound by L. Scola,,2,2
13,1,10:08.0,J. Valančiūnas makes 2-pt dunk at rim (assist by D. DeRozan),,4,2
14,1,9:58.0,,D. Williams misses 2-pt jump shot from 3 ft,4,2
15,1,9:56.0,Defensive rebound by J. Valančiūnas,,4,2
16,1,9:44.0,D. DeRozan makes 2-pt jump shot from 13 ft,,6,2
17,1,9:34.0,,C. Parsons makes 2-pt layup at rim,6,4
18,1,9:13.0,L. Scola makes 2-pt jump shot from 8 ft,,8,4
19,1,9:04.0,,Personal foul by D. DeRozan (drawn by Z. Pachulia),8,4
20,1,8:56.0,,W. Matthews misses 2-pt jump shot from 16 ft,8,4
21,1,8:55.0,,Offensive rebound by Z. Pachulia,8,4
22,1,8:53.0,,Z. Pachulia misses 2-pt layup from 1 ft,8,4
23,1,8:52.0,,Offensive rebound by Z. Pachulia,8,4
24,1,8:49.0,,Turnover by Z. Pachulia (lost ball; steal by L. Scola),8,4
25,1,8:37.0,,Offensive charge foul by J. Valančiūnas (drawn by D. Nowitzki),8,4
26,1,8:37.0,Turnover by J. Valančiūnas (offensive foul),,8,4
27,1,8:28.0,,Shooting foul by D. DeRozan (drawn by C. Parsons),8,4
28,1,8:28.0,,C. Parsons misses free throw 1 of 2,8,4
29,1,8:28.0,,Offensive rebound by Team,8,4
30,1,8:28.0,T. Ross enters the game for D. DeRozan,,8,4
31,1,8:28.0,,R. Felton enters the game for W. Matthews,8,4
32,1,8:28.0,,C. Parsons misses free throw 2 of 2,8,4
33,1,8:27.0,Defensive rebound by L. Scola,,8,4
34,1,8:11.0,D. Carroll misses 2-pt jump shot from 13 ft,,8,4
35,1,8:09.0,,Defensive rebound by D. Nowitzki,8,4
36,1,8:01.0,,R. Felton misses 2-pt jump shot from 16 ft,8,4
37,1,7:59.0,Defensive rebound by T. Ross,,8,4
38,1,7:46.0,T. Ross misses 2-pt jump shot from 13 ft,,8,4
39,1,7:45.0,,Defensive rebound by R. Felton,8,4
40,1,7:30.0,,C. Parsons makes 3-pt jump shot from 22 ft (assist by D. Williams),8,7
41,1,7:06.0,K. Lowry makes 3-pt jump shot from 22 ft (assist by T. Ross),,11,7
42,1,6:54.0,,Z. Pachulia misses 2-pt jump shot from 18 ft,11,7
43,1,6:53.0,Defensive rebound by L. Scola,,11,7
44,1,6:42.0,T. Ross misses 3-pt jump shot from 23 ft,,11,7
45,1,6:41.0,Offensive rebound by D. Carroll,,11,7
46,1,6:32.0,L. Scola makes 2-pt jump shot from 17 ft (assist by K. Lowry),,13,7
47,1,6:32.0,,Dallas full timeout,13,7
48,1,6:16.0,,D. Nowitzki makes 2-pt jump shot from 16 ft,13,9
49,1,6:00.0,T. Ross makes 2-pt jump shot from 7 ft,,15,9
50,1,5:52.0,,Shooting foul by D. Carroll (drawn by Z. Pachulia),15,9
51,1,5:52.0,,Z. Pachulia makes free throw 1 of 2,15,10
52,1,5:52.0,,D. Powell enters the game for D. Nowitzki,15,10
53,1,5:52.0,,Z. Pachulia makes free throw 2 of 2,15,11
54,1,5:34.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by T. Ross),,18,11
55,1,5:22.0,,D. Powell makes 2-pt jump shot from 17 ft (assist by C. Parsons),18,13
56,1,5:07.0,L. Scola makes 2-pt hook shot from 5 ft,,20,13
57,1,4:56.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by D. Powell),20,16
58,1,4:47.0,J. Valančiūnas misses 2-pt layup at rim,,20,16
59,1,4:46.0,,Defensive rebound by C. Parsons,20,16
60,1,4:40.0,,Turnover by C. Parsons (offensive foul),20,16
61,1,4:40.0,,Offensive foul by C. Parsons (drawn by D. Carroll),20,16
62,1,4:40.0,,W. Matthews enters the game for C. Parsons,20,16
63,1,4:40.0,,D. Harris enters the game for D. Williams,20,16
64,1,4:40.0,B. Biyombo enters the game for J. Valančiūnas,,20,16
65,1,4:29.0,B. Biyombo misses 2-pt layup from 1 ft,,20,16
66,1,4:28.0,Offensive rebound by B. Biyombo,,20,16
67,1,4:26.0,B. Biyombo makes 2-pt layup from 1 ft,,22,16
68,1,4:17.0,Offensive charge foul by R. Felton (drawn by L. Scola),,22,16
69,1,4:17.0,,Turnover by R. Felton (offensive foul),22,16
70,1,4:00.0,L. Scola makes 2-pt layup from 3 ft,,24,16
71,1,3:39.0,,D. Powell misses 2-pt jump shot from 15 ft,24,16
72,1,3:38.0,,Offensive rebound by Z. Pachulia,24,16
73,1,3:35.0,,Shooting foul by L. Scola (drawn by D. Powell),24,16
74,1,3:35.0,,D. Powell makes free throw 1 of 2,24,17
75,1,3:35.0,C. Joseph enters the game for D. Carroll,,24,17
76,1,3:35.0,P. Patterson enters the game for L. Scola,,24,17
77,1,3:35.0,,D. Powell makes free throw 2 of 2,24,18
78,1,3:25.0,Personal block foul by W. Matthews (drawn by T. Ross),,24,18
79,1,3:25.0,Toronto full timeout,,24,18
80,1,3:25.0,,C. Villanueva enters the game for Z. Pachulia,24,18
81,1,3:20.0,K. Lowry misses 2-pt layup from 2 ft,,24,18
82,1,3:19.0,,Defensive rebound by D. Powell,24,18
83,1,3:12.0,,D. Harris misses 2-pt layup from 1 ft (block by B. Biyombo),24,18
84,1,3:09.0,Defensive rebound by P. Patterson,,24,18
85,1,3:04.0,Turnover by T. Ross (traveling),,24,18
86,1,2:49.0,,C. Villanueva misses 3-pt jump shot from 24 ft,24,18
87,1,2:48.0,Defensive rebound by B. Biyombo,,24,18
88,1,2:43.0,K. Lowry makes 3-pt jump shot from 24 ft,,27,18
89,1,2:23.0,,Turnover by R. Felton (bad pass),27,18
90,1,2:23.0,N. Powell enters the game for K. Lowry,,27,18
91,1,2:03.0,N. Powell misses 3-pt jump shot from 22 ft,,27,18
92,1,2:03.0,Offensive rebound by B. Biyombo,,27,18
93,1,2:03.0,,Loose ball foul by C. Villanueva (drawn by B. Biyombo),27,18
94,1,2:03.0,,J. Barea enters the game for R. Felton,27,18
95,1,1:57.0,C. Joseph misses 2-pt jump shot from 9 ft,,27,18
96,1,1:56.0,,Defensive rebound by C. Villanueva,27,18
97,1,1:52.0,,Personal foul by N. Powell (drawn by D. Harris),27,18
98,1,1:52.0,,D. Harris makes free throw 1 of 2,27,19
99,1,1:52.0,,D. Nowitzki enters the game for C. Villanueva,27,19
100,1,1:52.0,,D. Harris misses free throw 2 of 2,27,19
101,1,1:51.0,Defensive rebound by B. Biyombo,,27,19
102,1,1:34.0,P. Patterson misses 2-pt jump shot from 11 ft,,27,19
103,1,1:33.0,,Defensive rebound by D. Powell,27,19
104,1,1:29.0,,Shooting block foul by T. Ross (drawn by D. Harris),27,19
105,1,1:29.0,,D. Harris misses free throw 1 of 2,27,19
106,1,1:29.0,,Offensive rebound by Team,27,19
107,1,1:29.0,,D. Harris makes free throw 2 of 2,27,20
108,1,1:12.0,N. Powell makes 2-pt jump shot from 16 ft (assist by C. Joseph),,29,20
109,1,1:00.0,,J. Barea misses 2-pt jump shot from 8 ft,29,20
110,1,0:59.0,Defensive rebound by N. Powell,,29,20
111,1,0:50.0,Offensive foul by B. Biyombo (drawn by W. Matthews),,29,20
112,1,0:50.0,Turnover by B. Biyombo (offensive foul),,29,20
113,1,0:34.0,,D. Nowitzki makes 3-pt jump shot from 22 ft (assist by D. Harris),29,23
114,1,0:13.0,C. Joseph makes 2-pt hook shot from 6 ft,,31,23
115,1,0:03.0,,J. Barea makes 2-pt jump shot from 9 ft,31,25
116,1,0:01.0,T. Ross misses 3-pt jump shot from 43 ft,,31,25
117,1,0:00.0,Offensive rebound by Team,,31,25
118,2,11:41.0,,J. Barea misses 2-pt jump shot from 6 ft,31,25
119,2,11:39.0,Defensive rebound by P. Patterson,,31,25
120,2,11:21.0,B. Biyombo misses 2-pt jump shot from 3 ft (block by D. Nowitzki),,31,25
121,2,11:20.0,,Defensive rebound by D. Nowitzki,31,25
122,2,11:06.0,,D. Nowitzki makes 2-pt jump shot from 9 ft (assist by J. Barea),31,27
123,2,11:06.0,,Shooting foul by P. Patterson (drawn by D. Nowitzki),31,27
124,2,11:06.0,,D. Nowitzki makes free throw 1 of 1,31,28
125,2,10:54.0,P. Patterson misses 3-pt jump shot from 25 ft,,31,28
126,2,10:53.0,,Defensive rebound by D. Nowitzki,31,28
127,2,10:47.0,,D. Harris makes 2-pt layup from 2 ft,31,30
128,2,10:47.0,,Shooting foul by C. Joseph (drawn by D. Harris),31,30
129,2,10:47.0,,D. Harris misses free throw 1 of 1,31,30
130,2,10:46.0,Defensive rebound by D. Carroll,,31,30
131,2,10:22.0,D. DeRozan misses 2-pt jump shot from 19 ft,,31,30
132,2,10:22.0,,Defensive rebound by D. Powell,31,30
133,2,10:22.0,Loose ball foul by B. Biyombo (drawn by D. Powell),,31,30
134,2,10:22.0,,C. Parsons enters the game for W. Matthews,31,30
135,2,10:22.0,J. Valančiūnas enters the game for B. Biyombo,,31,30
136,2,10:03.0,,J. Barea misses 3-pt jump shot from 24 ft,31,30
137,2,10:02.0,Defensive rebound by Team,,31,30
138,2,9:47.0,D. Carroll misses 2-pt hook shot from 5 ft,,31,30
139,2,9:46.0,Offensive rebound by D. Carroll,,31,30
140,2,9:45.0,D. Carroll misses 2-pt layup from 1 ft,,31,30
141,2,9:44.0,,Defensive rebound by D. Powell,31,30
142,2,9:35.0,,D. Powell makes 2-pt jump shot from 18 ft (assist by J. Barea),31,32
143,2,9:28.0,Toronto full timeout,,31,32
144,2,9:28.0,L. Scola enters the game for C. Joseph,,31,32
145,2,9:28.0,K. Lowry enters the game for P. Patterson,,31,32
146,2,9:10.0,J. Valančiūnas misses 2-pt jump shot from 9 ft,,31,32
147,2,9:09.0,,Defensive rebound by D. Harris,31,32
148,2,8:55.0,,D. Powell misses 2-pt dunk at rim (block by J. Valančiūnas),31,32
149,2,8:53.0,,Offensive rebound by D. Powell,31,32
150,2,8:52.0,,D. Powell misses 2-pt layup from 1 ft,31,32
151,2,8:51.0,Defensive rebound by D. Carroll,,31,32
152,2,8:43.0,Offensive foul by D. DeRozan (drawn by D. Harris),,31,32
153,2,8:43.0,Turnover by D. DeRozan (offensive foul),,31,32
154,2,8:43.0,,D. Williams enters the game for D. Harris,31,32
155,2,8:43.0,T. Ross enters the game for D. DeRozan,,31,32
156,2,8:28.0,,D. Powell makes 2-pt layup at rim (assist by J. Barea),31,34
157,2,8:09.0,Personal foul by D. Williams (drawn by D. Carroll),,31,34
158,2,7:58.0,J. Valančiūnas makes 2-pt hook shot from 6 ft,,33,34
159,2,7:50.0,,D. Powell misses 2-pt jump shot from 5 ft (block by J. Valančiūnas),33,34
160,2,7:49.0,,Offensive rebound by Team,33,34
161,2,7:46.0,,D. Williams makes 2-pt jump shot from 17 ft (assist by D. Powell),33,36
162,2,7:32.0,Turnover by K. Lowry (bad pass; steal by D. Powell),,33,36
163,2,7:25.0,,D. Powell misses 2-pt layup from 1 ft,33,36
164,2,7:23.0,,Offensive rebound by J. Barea,33,36
165,2,7:20.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by J. Barea),33,39
166,2,6:57.0,Personal foul by D. Powell (drawn by J. Valančiūnas),,33,39
167,2,6:57.0,,Z. Pachulia enters the game for D. Powell,33,39
168,2,6:49.0,K. Lowry misses 2-pt jump shot from 20 ft,,33,39
169,2,6:48.0,,Defensive rebound by D. Williams,33,39
170,2,6:43.0,,Turnover by D. Williams (bad pass; steal by T. Ross),33,39
171,2,6:38.0,T. Ross makes 2-pt dunk at rim (assist by L. Scola),,35,39
172,2,6:23.0,,Personal foul by T. Ross (drawn by Z. Pachulia),35,39
173,2,6:23.0,,Dallas full timeout,35,39
174,2,6:23.0,,D. Powell enters the game for D. Nowitzki,35,39
175,2,6:09.0,,J. Barea misses 3-pt jump shot from 27 ft,35,39
176,2,6:08.0,Defensive rebound by K. Lowry,,35,39
177,2,5:55.0,K. Lowry makes 2-pt jump shot from 13 ft,,37,39
178,2,5:42.0,,D. Powell makes 2-pt jump shot from 17 ft (assist by J. Barea),37,41
179,2,5:25.0,K. Lowry misses 3-pt jump shot from 24 ft,,37,41
180,2,5:24.0,,Defensive rebound by D. Powell,37,41
181,2,5:13.0,,D. Williams misses 2-pt jump shot from 6 ft,37,41
182,2,5:12.0,Defensive rebound by J. Valančiūnas,,37,41
183,2,5:05.0,Turnover by K. Lowry (bad pass; steal by D. Powell),,37,41
184,2,4:54.0,,D. Powell misses 2-pt jump shot from 19 ft,37,41
185,2,4:54.0,Defensive rebound by Team,,37,41
186,2,4:36.0,J. Valančiūnas misses 2-pt hook shot from 6 ft,,37,41
187,2,4:35.0,,Defensive rebound by Z. Pachulia,37,41
188,2,4:30.0,,Shooting foul by K. Lowry (drawn by C. Parsons),37,41
189,2,4:30.0,,C. Parsons misses free throw 1 of 2,37,41
190,2,4:30.0,,Offensive rebound by Team,37,41
191,2,4:30.0,,C. Parsons makes free throw 2 of 2,37,42
192,2,4:17.0,Personal foul by D. Powell (drawn by L. Scola),,37,42
193,2,4:17.0,,D. Nowitzki enters the game for D. Powell,37,42
194,2,4:17.0,,D. Harris enters the game for J. Barea,37,42
195,2,4:15.0,Personal foul by D. Nowitzki (drawn by L. Scola),,37,42
196,2,4:07.0,L. Scola misses 2-pt jump shot from 8 ft,,37,42
197,2,4:06.0,,Defensive rebound by D. Williams,37,42
198,2,4:01.0,,C. Parsons misses 2-pt layup from 2 ft,37,42
199,2,3:59.0,Defensive rebound by L. Scola,,37,42
200,2,3:51.0,D. Carroll makes 2-pt jump shot from 9 ft,,39,42
201,2,3:35.0,,C. Parsons misses 3-pt jump shot from 24 ft,39,42
202,2,3:34.0,Defensive rebound by J. Valančiūnas,,39,42
203,2,3:26.0,L. Scola makes 2-pt layup from 1 ft (assist by K. Lowry),,41,42
204,2,3:25.0,,Dallas full timeout,41,42
205,2,3:25.0,C. Joseph enters the game for T. Ross,,41,42
206,2,3:25.0,,W. Matthews enters the game for C. Parsons,41,42
207,2,3:07.0,,D. Harris misses 3-pt jump shot from 23 ft,41,42
208,2,3:06.0,Defensive rebound by L. Scola,,41,42
209,2,2:57.0,L. Scola makes 2-pt jump shot from 19 ft (assist by K. Lowry),,43,42
210,2,2:37.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by D. Nowitzki),43,45
211,2,2:26.0,D. Carroll misses 3-pt jump shot from 24 ft,,43,45
212,2,2:25.0,,Defensive rebound by W. Matthews,43,45
213,2,2:18.0,,Personal foul by L. Scola (drawn by D. Nowitzki),43,45
214,2,2:18.0,Official timeout,,43,45
215,2,2:18.0,P. Patterson enters the game for L. Scola,,43,45
216,2,2:18.0,,D. Nowitzki makes free throw 1 of 2,43,46
217,2,2:18.0,,D. Nowitzki makes free throw 2 of 2,43,47
218,2,1:56.0,P. Patterson misses 2-pt hook shot from 2 ft,,43,47
219,2,1:55.0,Offensive rebound by Team,,43,47
220,2,1:54.0,Shooting foul by Z. Pachulia (drawn by K. Lowry),,43,47
221,2,1:54.0,K. Lowry makes free throw 1 of 3,,44,47
222,2,1:54.0,K. Lowry makes free throw 2 of 3,,45,47
223,2,1:54.0,K. Lowry makes free throw 3 of 3,,46,47
224,2,1:36.0,,W. Matthews makes 2-pt jump shot from 7 ft,46,49
