,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,BROOKLYN_ACTION,MINNESOTA_SCORE,BROOKLYN_SCORE
0,1,11:47.0,Turnover by A. Wiggins (lost ball; steal by J. Jack),,0,0
1,1,11:30.0,,Personal foul by K. Towns (drawn by B. Lopez),0,0
2,1,11:20.0,,B. Lopez makes 2-pt jump shot from 18 ft (assist by J. Jack),0,2
3,1,11:05.0,K. Towns makes 2-pt jump shot from 18 ft (assist by K. Garnett),,2,2
4,1,10:50.0,,J. Johnson misses 2-pt jump shot from 9 ft,2,2
5,1,10:49.0,Defensive rebound by K. Garnett,,2,2
6,1,10:46.0,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),,4,2
7,1,10:46.0,,Violation by B. Bogdanović (def goaltending),4,2
8,1,10:34.0,,B. Lopez misses 2-pt jump shot from 10 ft,4,2
9,1,10:33.0,Defensive rebound by R. Rubio,,4,2
10,1,10:25.0,R. Rubio misses 2-pt jump shot from 21 ft,,4,2
11,1,10:24.0,,Defensive rebound by T. Young,4,2
12,1,10:16.0,,T. Young misses 2-pt jump shot from 10 ft (block by K. Towns),4,2
13,1,10:15.0,Defensive rebound by K. Towns,,4,2
14,1,10:05.0,R. Rubio misses 3-pt jump shot from 25 ft,,4,2
15,1,10:04.0,,Defensive rebound by B. Lopez,4,2
16,1,9:50.0,,B. Bogdanović misses 3-pt jump shot from 22 ft,4,2
17,1,9:49.0,Defensive rebound by K. Garnett,,4,2
18,1,9:34.0,K. Towns misses 2-pt hook shot from 11 ft,,4,2
19,1,9:33.0,,Defensive rebound by T. Young,4,2
20,1,9:22.0,,B. Bogdanović misses 2-pt layup from 1 ft,4,2
21,1,9:21.0,Defensive rebound by K. Garnett,,4,2
22,1,9:05.0,A. Wiggins misses 3-pt jump shot from 24 ft,,4,2
23,1,9:04.0,,Defensive rebound by T. Young,4,2
24,1,8:53.0,,J. Jack misses 3-pt jump shot from 22 ft,4,2
25,1,8:52.0,Defensive rebound by R. Rubio,,4,2
26,1,8:42.0,K. Towns misses 2-pt jump shot from 18 ft,,4,2
27,1,8:41.0,,Defensive rebound by T. Young,4,2
28,1,8:29.0,,Shooting foul by K. Garnett (drawn by T. Young),4,2
29,1,8:29.0,,T. Young makes free throw 1 of 2,4,3
30,1,8:29.0,,T. Young makes free throw 2 of 2,4,4
31,1,8:16.0,A. Wiggins makes 2-pt layup from 3 ft (assist by R. Rubio),,6,4
32,1,8:08.0,,Personal block foul by R. Rubio (drawn by J. Jack),6,4
33,1,7:55.0,,J. Jack makes 2-pt jump shot from 19 ft (assist by B. Lopez),6,6
34,1,7:45.0,Personal foul by B. Bogdanović (drawn by A. Wiggins),,6,6
35,1,7:45.0,G. Dieng enters the game for K. Garnett,,6,6
36,1,7:35.0,Shooting foul by B. Lopez (drawn by G. Dieng),,6,6
37,1,7:35.0,G. Dieng makes free throw 1 of 2,,7,6
38,1,7:35.0,G. Dieng makes free throw 2 of 2,,8,6
39,1,7:14.0,,Turnover by B. Bogdanović (bad pass; steal by G. Dieng),8,6
40,1,7:09.0,Shooting block foul by J. Jack (drawn by R. Rubio),,8,6
41,1,7:09.0,R. Rubio makes free throw 1 of 2,,9,6
42,1,7:09.0,R. Rubio makes free throw 2 of 2,,10,6
43,1,6:51.0,,J. Jack misses 3-pt jump shot from 26 ft,10,6
44,1,6:49.0,Defensive rebound by G. Dieng,,10,6
45,1,6:41.0,K. Towns misses 2-pt jump shot from 10 ft,,10,6
46,1,6:40.0,,Defensive rebound by T. Young,10,6
47,1,6:31.0,,B. Bogdanović misses 3-pt jump shot from 22 ft,10,6
48,1,6:30.0,,Offensive rebound by J. Johnson,10,6
49,1,6:27.0,,B. Lopez makes 2-pt hook shot from 6 ft (assist by J. Johnson),10,8
50,1,6:08.0,G. Dieng misses 2-pt layup from 3 ft,,10,8
51,1,6:06.0,Offensive rebound by Team,,10,8
52,1,6:03.0,A. Wiggins misses 2-pt jump shot from 5 ft,,10,8
53,1,5:59.0,Offensive rebound by K. Towns,,10,8
54,1,5:58.0,Minnesota full timeout,,10,8
55,1,5:49.0,A. Wiggins misses 2-pt jump shot from 20 ft,,10,8
56,1,5:48.0,,Defensive rebound by J. Jack,10,8
57,1,5:36.0,,B. Lopez makes 2-pt dunk at rim (assist by J. Johnson),10,10
58,1,5:18.0,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),,12,10
59,1,5:05.0,,Turnover by B. Bogdanović (traveling),12,10
60,1,4:51.0,G. Dieng misses 2-pt layup from 1 ft,,12,10
61,1,4:50.0,,Defensive rebound by T. Young,12,10
62,1,4:43.0,,T. Young misses 2-pt layup from 1 ft,12,10
63,1,4:42.0,,Offensive rebound by B. Lopez,12,10
64,1,4:42.0,Violation by G. Dieng (kicked ball),,12,10
65,1,4:42.0,,W. Ellington enters the game for B. Bogdanović,12,10
66,1,4:28.0,,B. Lopez makes 2-pt jump shot from 19 ft (assist by J. Jack),12,12
67,1,4:09.0,G. Dieng makes 2-pt layup from 1 ft,,14,12
68,1,4:00.0,,Turnover by J. Johnson (bad pass; steal by K. Towns),14,12
69,1,3:56.0,R. Rubio makes 2-pt layup from 2 ft,,16,12
70,1,3:56.0,Shooting foul by J. Johnson (drawn by R. Rubio),,16,12
71,1,3:56.0,,A. Bargnani enters the game for B. Lopez,16,12
72,1,3:56.0,A. Payne enters the game for K. Towns,,16,12
73,1,3:56.0,R. Rubio makes free throw 1 of 1,,17,12
74,1,3:32.0,,A. Bargnani misses 2-pt jump shot from 19 ft,17,12
75,1,3:31.0,Defensive rebound by T. Prince,,17,12
76,1,3:23.0,G. Dieng makes 2-pt dunk at rim (assist by R. Rubio),,19,12
77,1,3:12.0,Violation by A. Payne (kicked ball),,19,12
78,1,3:12.0,,Brooklyn full timeout,19,12
79,1,3:00.0,,J. Jack makes 2-pt jump shot from 17 ft (assist by A. Bargnani),19,14
80,1,2:46.0,G. Dieng makes 2-pt dunk at rim (assist by R. Rubio),,21,14
81,1,2:32.0,,T. Young misses 2-pt layup from 1 ft,21,14
82,1,2:31.0,Defensive rebound by A. Payne,,21,14
83,1,2:23.0,A. Wiggins makes 2-pt layup from 2 ft (assist by R. Rubio),,23,14
84,1,1:56.0,,W. Ellington misses 3-pt jump shot from 24 ft,23,14
85,1,1:55.0,Defensive rebound by A. Payne,,23,14
86,1,1:47.0,G. Dieng makes 2-pt hook shot from 5 ft (assist by R. Rubio),,25,14
87,1,1:20.0,,J. Jack misses 3-pt jump shot from 27 ft,25,14
88,1,1:19.0,Defensive rebound by G. Dieng,,25,14
89,1,1:03.0,Turnover by A. Payne (traveling),,25,14
90,1,1:03.0,Z. LaVine enters the game for R. Rubio,,25,14
91,1,1:03.0,,D. Sloan enters the game for J. Jack,25,14
92,1,1:03.0,,W. Reed enters the game for T. Young,25,14
93,1,1:03.0,S. Muhammad enters the game for T. Prince,,25,14
94,1,0:51.0,,Shooting foul by Z. LaVine (drawn by A. Bargnani),25,14
95,1,0:51.0,,A. Bargnani makes free throw 1 of 2,25,15
96,1,0:51.0,,A. Bargnani makes free throw 2 of 2,25,16
97,1,0:39.0,Shooting foul by W. Ellington (drawn by A. Wiggins),,25,16
98,1,0:39.0,A. Wiggins misses free throw 1 of 2,,25,16
99,1,0:39.0,Offensive rebound by Team,,25,16
100,1,0:39.0,A. Wiggins makes free throw 2 of 2,,26,16
101,1,0:27.0,,W. Reed misses 2-pt layup from 2 ft (block by A. Payne),26,16
102,1,0:25.0,Defensive rebound by G. Dieng,,26,16
103,1,0:06.0,S. Muhammad misses 3-pt jump shot from 24 ft,,26,16
104,1,0:05.0,,Defensive rebound by D. Sloan,26,16
105,1,0:01.0,,D. Sloan misses 3-pt jump shot from 28 ft,26,16
106,1,0:00.0,,Offensive rebound by Team,26,16
107,2,11:44.0,,D. Sloan makes 2-pt layup from 2 ft (assist by B. Lopez),26,18
108,2,11:23.0,Z. LaVine makes 2-pt jump shot from 20 ft (assist by K. Martin),,28,18
109,2,11:09.0,,B. Lopez misses 2-pt jump shot from 13 ft,28,18
110,2,11:08.0,Defensive rebound by G. Dieng,,28,18
111,2,10:57.0,G. Dieng misses 2-pt jump shot from 21 ft,,28,18
112,2,10:55.0,,Defensive rebound by A. Bargnani,28,18
113,2,10:43.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by B. Lopez),28,21
114,2,10:29.0,Def 3 sec tech foul by B. Lopez,,28,21
115,2,10:29.0,K. Martin makes technical free throw,,29,21
116,2,10:17.0,K. Martin misses 3-pt jump shot from 25 ft,,29,21
117,2,10:16.0,,Defensive rebound by B. Lopez,29,21
118,2,10:05.0,,A. Bargnani misses 2-pt jump shot from 21 ft,29,21
119,2,10:03.0,Defensive rebound by A. Payne,,29,21
120,2,9:49.0,K. Martin makes 2-pt jump shot from 9 ft,,31,21
121,2,9:35.0,,Turnover by A. Bargnani (lost ball),31,21
122,2,9:35.0,N. Bjelica enters the game for A. Payne,,31,21
123,2,9:12.0,K. Martin misses 2-pt jump shot from 16 ft,,31,21
124,2,9:11.0,,Defensive rebound by B. Lopez,31,21
125,2,9:08.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by W. Ellington),31,23
126,2,9:08.0,,Shooting foul by N. Bjelica (drawn by B. Bogdanović),31,23
127,2,9:08.0,,B. Bogdanović misses free throw 1 of 1,31,23
128,2,9:07.0,Defensive rebound by Z. LaVine,,31,23
129,2,8:51.0,K. Martin makes 3-pt jump shot from 24 ft (assist by G. Dieng),,34,23
130,2,8:38.0,,Shooting foul by N. Bjelica (drawn by A. Bargnani),34,23
131,2,8:38.0,Official timeout,,34,23
132,2,8:38.0,,A. Bargnani makes free throw 1 of 2,34,24
133,2,8:38.0,,A. Bargnani makes free throw 2 of 2,34,25
134,2,8:16.0,S. Muhammad misses 2-pt jump shot from 10 ft,,34,25
135,2,8:15.0,,Defensive rebound by W. Ellington,34,25
136,2,7:54.0,,D. Sloan misses 2-pt layup from 1 ft,34,25
137,2,7:53.0,Defensive rebound by Z. LaVine,,34,25
138,2,7:48.0,Z. LaVine misses 2-pt layup from 1 ft,,34,25
139,2,7:47.0,Offensive rebound by S. Muhammad,,34,25
140,2,7:46.0,S. Muhammad misses 2-pt layup from 1 ft,,34,25
141,2,7:45.0,,Defensive rebound by D. Sloan,34,25
142,2,7:40.0,,A. Bargnani makes 2-pt layup from 1 ft (assist by B. Bogdanović),34,27
143,2,7:26.0,K. Martin misses 2-pt jump shot from 19 ft,,34,27
144,2,7:25.0,,Defensive rebound by B. Bogdanović,34,27
145,2,7:21.0,,W. Ellington makes 2-pt layup from 1 ft (assist by B. Bogdanović),34,29
146,2,6:59.0,G. Dieng makes 2-pt jump shot from 15 ft (assist by K. Martin),,36,29
147,2,6:45.0,,W. Ellington misses 2-pt jump shot from 19 ft,36,29
148,2,6:44.0,,Offensive rebound by A. Bargnani,36,29
149,2,6:42.0,,A. Bargnani makes 2-pt jump shot from 6 ft,36,31
150,2,6:29.0,Minnesota full timeout,,36,31
151,2,6:29.0,K. Towns enters the game for N. Bjelica,,36,31
152,2,6:15.0,K. Martin misses 2-pt jump shot from 19 ft,,36,31
153,2,6:14.0,,Defensive rebound by D. Sloan,36,31
154,2,6:01.0,,A. Bargnani makes 2-pt layup from 2 ft,36,33
155,2,5:48.0,K. Towns misses 2-pt jump shot from 20 ft,,36,33
156,2,5:47.0,,Defensive rebound by B. Bogdanović,36,33
157,2,5:36.0,,Turnover by B. Lopez (bad pass; steal by K. Martin),36,33
158,2,5:31.0,Z. LaVine misses 2-pt jump shot from 5 ft,,36,33
159,2,5:30.0,,Defensive rebound by B. Lopez,36,33
160,2,5:17.0,,B. Lopez makes 2-pt layup from 1 ft (assist by D. Sloan),36,35
