,QUARTER,TIME_REMAINING,DENVER_ACTION,ATLANTA_ACTION,DENVER_SCORE,ATLANTA_SCORE
0,1,11:43.0,E. Mudiay misses 2-pt jump shot from 16 ft,,0,0
1,1,11:42.0,,Defensive rebound by P. Millsap,0,0
2,1,11:31.0,,K. Korver makes 2-pt layup from 1 ft (assist by P. Millsap),0,2
3,1,11:13.0,D. Arthur misses 2-pt jump shot from 16 ft,,0,2
4,1,11:12.0,,Defensive rebound by A. Horford,0,2
5,1,10:59.0,,Shooting foul by G. Harris (drawn by P. Millsap),0,2
6,1,10:59.0,,P. Millsap makes free throw 1 of 2,0,3
7,1,10:59.0,,P. Millsap makes free throw 2 of 2,0,4
8,1,10:48.0,Turnover by J. Sampson (lost ball),,0,4
9,1,10:35.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by P. Millsap),0,7
10,1,10:22.0,N. Jokić misses 3-pt jump shot from 23 ft,,0,7
11,1,10:20.0,,Defensive rebound by J. Teague,0,7
12,1,10:17.0,,Turnover by J. Teague (bad pass; steal by E. Mudiay),0,7
13,1,10:09.0,G. Harris misses 2-pt jump shot from 5 ft,,0,7
14,1,10:08.0,Offensive rebound by D. Arthur,,0,7
15,1,10:08.0,D. Arthur makes 2-pt layup at rim,,2,7
16,1,9:54.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by T. Hardaway),2,10
17,1,9:52.0,Denver full timeout,,2,10
18,1,9:36.0,G. Harris misses 2-pt layup from 2 ft,,2,10
19,1,9:35.0,,Defensive rebound by P. Millsap,2,10
20,1,9:18.0,,A. Horford misses 2-pt hook shot from 3 ft,2,10
21,1,9:16.0,Defensive rebound by J. Sampson,,2,10
22,1,8:55.0,G. Harris makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,5,10
23,1,8:42.0,,A. Horford makes 2-pt jump shot from 20 ft (assist by J. Teague),5,12
24,1,8:32.0,J. Sampson misses 2-pt jump shot from 18 ft,,5,12
25,1,8:29.0,,Defensive rebound by T. Hardaway,5,12
26,1,8:24.0,,Personal foul by N. Jokić,5,12
27,1,8:16.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Teague),5,15
28,1,8:03.0,Shooting foul by A. Horford (drawn by J. Sampson),,5,15
29,1,8:03.0,J. Sampson makes free throw 1 of 2,,6,15
30,1,8:03.0,J. Sampson makes free throw 2 of 2,,7,15
31,1,7:55.0,,K. Korver misses 2-pt jump shot from 18 ft,7,15
32,1,7:50.0,Defensive rebound by G. Harris,,7,15
33,1,7:42.0,J. Sampson misses 2-pt layup from 2 ft,,7,15
34,1,7:42.0,,Defensive rebound by Team,7,15
35,1,7:29.0,,A. Horford misses 2-pt jump shot from 18 ft,7,15
36,1,7:28.0,Defensive rebound by J. Sampson,,7,15
37,1,7:21.0,E. Mudiay makes 2-pt layup from 1 ft,,9,15
38,1,7:15.0,,J. Teague makes 3-pt jump shot from 24 ft,9,18
39,1,7:04.0,Turnover by D. Arthur (lost ball; steal by J. Teague),,9,18
40,1,6:58.0,,J. Teague misses 3-pt jump shot from 25 ft,9,18
41,1,6:56.0,Defensive rebound by E. Mudiay,,9,18
42,1,6:48.0,D. Arthur misses 3-pt jump shot from 24 ft,,9,18
43,1,6:45.0,,Defensive rebound by P. Millsap,9,18
44,1,6:37.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by J. Teague),9,21
45,1,6:36.0,Denver full timeout,,9,21
46,1,6:36.0,,K. Humphries enters the game for A. Horford,9,21
47,1,6:18.0,D. Arthur makes 2-pt jump shot from 20 ft (assist by N. Jokić),,11,21
48,1,6:05.0,,J. Teague misses 2-pt jump shot from 3 ft,11,21
49,1,6:04.0,Defensive rebound by N. Jokić,,11,21
50,1,5:58.0,E. Mudiay misses 2-pt layup at rim (block by P. Millsap),,11,21
51,1,5:56.0,,Defensive rebound by T. Hardaway,11,21
52,1,5:55.0,,Shooting foul by J. Sampson (drawn by T. Hardaway),11,21
53,1,5:55.0,,T. Hardaway makes free throw 1 of 2,11,22
54,1,5:55.0,,T. Sefolosha enters the game for K. Korver,11,22
55,1,5:55.0,W. Barton enters the game for J. Sampson,,11,22
56,1,5:55.0,,T. Hardaway misses free throw 2 of 2,11,22
57,1,5:52.0,Defensive rebound by N. Jokić,,11,22
58,1,5:44.0,Turnover by E. Mudiay (lost ball),,11,22
59,1,5:38.0,,Turnover by P. Millsap (traveling),11,22
60,1,5:25.0,D. Arthur makes 2-pt layup from 1 ft (assist by N. Jokić),,13,22
61,1,5:04.0,,K. Humphries makes 2-pt hook shot from 4 ft (assist by P. Millsap),13,24
62,1,4:48.0,E. Mudiay misses 2-pt layup from 2 ft,,13,24
63,1,4:46.0,Offensive rebound by N. Jokić,,13,24
64,1,4:46.0,N. Jokić makes 2-pt layup at rim,,15,24
65,1,4:35.0,,T. Hardaway makes 2-pt jump shot from 20 ft (assist by J. Teague),15,26
66,1,4:23.0,D. Arthur misses 3-pt jump shot from 24 ft,,15,26
67,1,4:22.0,,Defensive rebound by P. Millsap,15,26
68,1,4:12.0,,J. Teague makes 2-pt layup at rim,15,28
69,1,3:59.0,Turnover by W. Barton (bad pass),,15,28
70,1,3:59.0,,D. Schröder enters the game for J. Teague,15,28
71,1,3:59.0,,K. Hinrich enters the game for T. Hardaway,15,28
72,1,3:59.0,J. Nurkić enters the game for N. Jokić,,15,28
73,1,3:59.0,D. Augustin enters the game for E. Mudiay,,15,28
74,1,3:44.0,,P. Millsap misses 3-pt jump shot from 24 ft,15,28
75,1,3:42.0,,Offensive rebound by K. Humphries,15,28
76,1,3:38.0,,D. Schröder makes 3-pt jump shot from 24 ft (assist by T. Sefolosha),15,31
77,1,3:19.0,G. Harris makes 2-pt jump shot from 17 ft (assist by W. Barton),,17,31
78,1,3:05.0,,Turnover by D. Schröder (bad pass; steal by W. Barton),17,31
79,1,2:53.0,D. Arthur misses 3-pt jump shot from 24 ft,,17,31
80,1,2:53.0,Offensive rebound by Team,,17,31
81,1,2:53.0,,Loose ball foul by K. Humphries,17,31
82,1,2:53.0,,M. Scott enters the game for P. Millsap,17,31
83,1,2:53.0,J. Lauvergne enters the game for D. Arthur,,17,31
84,1,2:37.0,Personal block foul by K. Humphries,,17,31
85,1,2:27.0,J. Lauvergne makes 2-pt jump shot from 16 ft (assist by D. Augustin),,19,31
86,1,2:06.0,,K. Humphries misses 2-pt jump shot from 7 ft,19,31
87,1,2:02.0,Defensive rebound by W. Barton,,19,31
88,1,1:59.0,Turnover by W. Barton (bad pass),,19,31
89,1,1:59.0,A. Toupane enters the game for G. Harris,,19,31
90,1,1:38.0,,K. Humphries misses 2-pt jump shot from 19 ft,19,31
91,1,1:37.0,Defensive rebound by J. Nurkić,,19,31
92,1,1:26.0,D. Augustin makes 2-pt layup from 1 ft,,21,31
93,1,1:09.0,,K. Humphries makes 2-pt dunk at rim (assist by K. Hinrich),21,33
94,1,0:54.0,J. Lauvergne makes 2-pt jump shot from 9 ft (assist by D. Augustin),,23,33
95,1,0:34.0,,D. Schröder misses 2-pt jump shot from 17 ft,23,33
96,1,0:31.0,Defensive rebound by W. Barton,,23,33
97,1,0:13.0,W. Barton misses 2-pt layup from 3 ft (block by K. Hinrich),,23,33
98,1,0:10.0,,Defensive rebound by D. Schröder,23,33
99,1,0:06.0,,Personal take foul by D. Augustin,23,33
