,QUARTER,TIME_REMAINING,UTAH_ACTION,WASHINGTON_ACTION,UTAH_SCORE,WASHINGTON_SCORE
0,1,11:40.0,,O. Porter misses 3-pt jump shot from 24 ft,0,0
1,1,11:39.0,Defensive rebound by D. Favors,,0,0
2,1,11:34.0,R. Hood makes 2-pt layup from 1 ft (assist by R. Neto),,2,0
3,1,11:19.0,,J. Wall misses 2-pt jump shot from 19 ft,2,0
4,1,11:18.0,Defensive rebound by R. Hood,,2,0
5,1,10:56.0,Shooting foul by N. Hilário (drawn by D. Favors),,2,0
6,1,10:56.0,D. Favors makes free throw 1 of 2,,3,0
7,1,10:56.0,D. Favors makes free throw 2 of 2,,4,0
8,1,10:42.0,,Turnover by G. Temple (step out of bounds),4,0
9,1,10:21.0,G. Hayward misses 2-pt jump shot from 20 ft,,4,0
10,1,10:20.0,,Defensive rebound by J. Wall,4,0
11,1,10:03.0,,G. Temple misses 2-pt jump shot from 16 ft (block by R. Gobert),4,0
12,1,10:01.0,Defensive rebound by R. Gobert,,4,0
13,1,9:53.0,R. Gobert misses 2-pt jump shot from 9 ft,,4,0
14,1,9:52.0,,Defensive rebound by M. Gortat,4,0
15,1,9:36.0,,Shooting foul by R. Gobert (drawn by M. Gortat),4,0
16,1,9:36.0,,M. Gortat misses free throw 1 of 2,4,0
17,1,9:36.0,,Offensive rebound by Team,4,0
18,1,9:36.0,,M. Gortat makes free throw 2 of 2,4,1
19,1,9:15.0,R. Neto misses 2-pt jump shot from 13 ft (block by M. Gortat),,4,1
20,1,9:12.0,,Defensive rebound by J. Wall,4,1
21,1,9:08.0,,G. Temple makes 3-pt jump shot from 24 ft (assist by J. Wall),4,4
22,1,8:55.0,Shooting foul by M. Gortat (drawn by R. Gobert),,4,4
23,1,8:55.0,R. Gobert makes free throw 1 of 2,,5,4
24,1,8:55.0,R. Gobert misses free throw 2 of 2,,5,4
25,1,8:54.0,,Defensive rebound by G. Temple,5,4
26,1,8:36.0,,N. Hilário makes 2-pt layup at rim,5,6
27,1,8:23.0,R. Gobert misses 2-pt layup from 2 ft (block by M. Gortat),,5,6
28,1,8:22.0,,Defensive rebound by N. Hilário,5,6
29,1,8:13.0,,N. Hilário misses 2-pt jump shot from 19 ft,5,6
30,1,8:12.0,Defensive rebound by Team,,5,6
31,1,8:06.0,Personal foul by O. Porter (drawn by G. Hayward),,5,6
32,1,7:55.0,R. Hood makes 3-pt jump shot from 25 ft (assist by R. Neto),,8,6
33,1,7:42.0,,J. Wall misses 2-pt jump shot from 17 ft,8,6
34,1,7:41.0,Defensive rebound by G. Hayward,,8,6
35,1,7:33.0,G. Hayward makes 2-pt layup from 2 ft,,10,6
36,1,7:22.0,,N. Hilário misses 2-pt layup from 1 ft,10,6
37,1,7:21.0,Defensive rebound by D. Favors,,10,6
38,1,7:17.0,Offensive foul by D. Favors (drawn by M. Gortat),,10,6
39,1,7:17.0,Turnover by D. Favors (offensive foul),,10,6
40,1,7:01.0,,M. Gortat makes 2-pt jump shot from 12 ft (assist by J. Wall),10,8
41,1,6:47.0,Turnover by R. Hood (bad pass; steal by O. Porter),,10,8
42,1,6:43.0,,O. Porter makes 2-pt layup at rim,10,10
43,1,6:43.0,,Shooting foul by R. Hood (drawn by O. Porter),10,10
44,1,6:43.0,,O. Porter misses free throw 1 of 1,10,10
45,1,6:42.0,Defensive rebound by R. Gobert,,10,10
46,1,6:21.0,R. Neto misses 2-pt layup from 1 ft (block by M. Gortat),,10,10
47,1,6:19.0,Offensive rebound by R. Gobert,,10,10
