,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,GOLDEN STATE_ACTION,LA CLIPPERS_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,D. Jordan makes 2-pt layup at rim (assist by J. Redick),,2,0
1,1,11:23.0,,D. Green misses 3-pt jump shot from 24 ft,2,0
2,1,11:22.0,,Offensive rebound by H. Barnes,2,0
3,1,11:17.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by H. Barnes),2,3
4,1,11:10.0,Turnover by B. Griffin (lost ball),,2,3
5,1,11:01.0,,F. Ezeli misses 2-pt layup from 2 ft (block by B. Griffin),2,3
6,1,10:59.0,Defensive rebound by L. Stephenson,,2,3
7,1,10:36.0,L. Stephenson misses 2-pt jump shot from 6 ft,,2,3
8,1,10:36.0,Offensive rebound by Team,,2,3
9,1,10:36.0,,Loose ball foul by F. Ezeli (drawn by D. Jordan),2,3
10,1,10:31.0,C. Paul makes 2-pt jump shot from 12 ft (assist by J. Redick),,4,3
11,1,10:19.0,,F. Ezeli makes 2-pt dunk at rim (assist by S. Curry),4,5
12,1,10:11.0,Turnover by B. Griffin (bad pass),,4,5
13,1,10:02.0,,D. Green misses 3-pt jump shot from 24 ft,4,5
14,1,10:01.0,Defensive rebound by L. Stephenson,,4,5
15,1,9:53.0,B. Griffin makes 2-pt jump shot from 20 ft (assist by L. Stephenson),,6,5
16,1,9:49.0,,Personal foul by B. Griffin (drawn by D. Green),6,5
17,1,9:34.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by H. Barnes),6,7
18,1,9:21.0,Personal foul by S. Curry (drawn by D. Jordan),,6,7
19,1,9:15.0,Personal foul by S. Curry (drawn by C. Paul),,6,7
20,1,9:15.0,,S. Livingston enters the game for S. Curry,6,7
21,1,9:07.0,B. Griffin misses 2-pt dunk at rim (block by F. Ezeli),,6,7
22,1,9:07.0,Offensive rebound by Team,,6,7
23,1,9:02.0,B. Griffin misses 2-pt jump shot from 20 ft,,6,7
24,1,8:58.0,,Defensive rebound by K. Thompson,6,7
25,1,8:52.0,,K. Thompson misses 2-pt jump shot from 19 ft,6,7
26,1,8:52.0,Defensive rebound by Team,,6,7
27,1,8:38.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,8,7
28,1,8:23.0,,D. Green makes 2-pt jump shot from 6 ft (assist by K. Thompson),8,9
29,1,8:09.0,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),,10,9
30,1,8:01.0,,Shooting foul by D. Jordan (drawn by H. Barnes),10,9
31,1,8:01.0,,H. Barnes makes free throw 1 of 2,10,10
32,1,8:01.0,,H. Barnes makes free throw 2 of 2,10,11
33,1,7:50.0,C. Paul misses 2-pt jump shot from 8 ft,,10,11
34,1,7:49.0,,Defensive rebound by F. Ezeli,10,11
35,1,7:39.0,,F. Ezeli makes 2-pt jump shot from 7 ft (assist by K. Thompson),10,13
36,1,7:30.0,D. Jordan makes 2-pt hook shot from 5 ft (assist by C. Paul),,12,13
37,1,7:16.0,,H. Barnes misses 3-pt jump shot from 26 ft,12,13
38,1,7:16.0,Defensive rebound by J. Redick,,12,13
39,1,7:06.0,C. Paul makes 2-pt jump shot from 17 ft,,14,13
40,1,6:52.0,,K. Thompson misses 2-pt jump shot from 14 ft,14,13
41,1,6:51.0,Defensive rebound by C. Paul,,14,13
42,1,6:49.0,Turnover by J. Redick (step out of bounds),,14,13
43,1,6:33.0,,Turnover by K. Thompson (lost ball; steal by C. Paul),14,13
44,1,6:33.0,C. Paul makes 2-pt jump shot from 3 ft,,16,13
45,1,6:33.0,Shooting foul by S. Livingston (drawn by C. Paul),,16,13
46,1,6:33.0,,Golden State full timeout,16,13
47,1,6:33.0,,A. Iguodala enters the game for H. Barnes,16,13
48,1,6:33.0,C. Paul makes free throw 1 of 1,,17,13
49,1,6:21.0,,K. Thompson misses 2-pt jump shot from 18 ft,17,13
50,1,6:20.0,,Offensive rebound by K. Thompson,17,13
51,1,6:16.0,,K. Thompson makes 2-pt jump shot from 14 ft,17,15
52,1,6:03.0,J. Redick misses 2-pt jump shot from 21 ft,,17,15
53,1,6:02.0,,Defensive rebound by F. Ezeli,17,15
54,1,5:45.0,,D. Green misses 3-pt jump shot from 25 ft,17,15
55,1,5:44.0,,Offensive rebound by F. Ezeli,17,15
56,1,5:30.0,,K. Thompson misses 2-pt jump shot from 9 ft,17,15
57,1,5:28.0,Defensive rebound by D. Jordan,,17,15
58,1,5:23.0,Offensive foul by L. Stephenson (drawn by A. Iguodala),,17,15
59,1,5:23.0,Turnover by L. Stephenson (offensive foul),,17,15
60,1,5:23.0,P. Pierce enters the game for L. Stephenson,,17,15
61,1,5:13.0,,F. Ezeli makes 2-pt dunk at rim (assist by S. Livingston),17,17
62,1,4:51.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,19,17
63,1,4:40.0,,S. Livingston makes 2-pt jump shot from 12 ft,19,19
64,1,4:36.0,Shooting foul by D. Green (drawn by B. Griffin),,19,19
65,1,4:36.0,B. Griffin makes free throw 1 of 2,,20,19
66,1,4:36.0,J. Crawford enters the game for J. Redick,,20,19
67,1,4:36.0,,M. Speights enters the game for F. Ezeli,20,19
68,1,4:36.0,B. Griffin makes free throw 2 of 2,,21,19
69,1,4:26.0,,M. Speights misses 2-pt jump shot from 20 ft,21,19
70,1,4:26.0,Defensive rebound by P. Pierce,,21,19
71,1,4:19.0,Personal foul by S. Livingston (drawn by C. Paul),,21,19
72,1,4:19.0,C. Paul makes free throw 1 of 2,,22,19
73,1,4:19.0,J. Smith enters the game for D. Jordan,,22,19
74,1,4:19.0,C. Paul makes free throw 2 of 2,,23,19
75,1,4:04.0,,K. Thompson misses 2-pt jump shot from 20 ft,23,19
76,1,4:03.0,Defensive rebound by B. Griffin,,23,19
77,1,3:52.0,J. Crawford misses 2-pt layup from 1 ft,,23,19
78,1,3:49.0,Offensive rebound by B. Griffin,,23,19
79,1,3:49.0,B. Griffin misses 2-pt layup from 2 ft,,23,19
80,1,3:49.0,,Defensive rebound by A. Iguodala,23,19
81,1,3:39.0,,S. Livingston misses 2-pt jump shot from 7 ft,23,19
82,1,3:38.0,Defensive rebound by B. Griffin,,23,19
83,1,3:34.0,J. Crawford misses 3-pt jump shot from 26 ft,,23,19
84,1,3:33.0,,Defensive rebound by D. Green,23,19
85,1,3:29.0,,Shooting foul by J. Smith (drawn by D. Green),23,19
86,1,3:29.0,,D. Green makes free throw 1 of 2,23,20
87,1,3:29.0,,L. Barbosa enters the game for K. Thompson,23,20
88,1,3:29.0,A. Rivers enters the game for C. Paul,,23,20
