,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
0,1,11:43.0,,D. Williams makes 2-pt layup from 2 ft (assist by C. Anthony),0,2
1,1,11:30.0,M. Williams makes 2-pt jump shot from 22 ft (assist by K. Walker),,2,2
2,1,11:12.0,,S. Vujačić misses 2-pt layup from 2 ft,2,2
3,1,11:10.0,Defensive rebound by C. Lee,,2,2
4,1,11:03.0,M. Williams makes 3-pt jump shot from 24 ft (assist by C. Lee),,5,2
5,1,10:40.0,,J. Grant makes 2-pt jump shot from 13 ft,5,4
6,1,10:18.0,F. Kaminsky misses 2-pt layup from 2 ft,,5,4
7,1,10:16.0,,Defensive rebound by R. Lopez,5,4
8,1,10:10.0,,S. Vujačić misses 3-pt jump shot from 23 ft,5,4
9,1,10:08.0,,Offensive rebound by R. Lopez,5,4
10,1,9:57.0,,Turnover by S. Vujačić (traveling),5,4
11,1,9:40.0,F. Kaminsky misses 2-pt layup from 2 ft,,5,4
12,1,9:39.0,,Defensive rebound by S. Vujačić,5,4
13,1,9:33.0,,Personal foul by C. Zeller,5,4
14,1,9:24.0,,D. Williams makes 2-pt dunk at rim (assist by S. Vujačić),5,6
15,1,9:09.0,K. Walker makes 2-pt jump shot from 18 ft (assist by F. Kaminsky),,7,6
16,1,8:50.0,,Turnover by R. Lopez (3 sec),7,6
17,1,8:39.0,C. Lee misses 3-pt jump shot from 23 ft,,7,6
18,1,8:36.0,Offensive rebound by M. Williams,,7,6
19,1,8:36.0,M. Williams misses 2-pt layup from 1 ft,,7,6
20,1,8:35.0,Offensive rebound by C. Zeller,,7,6
21,1,8:31.0,K. Walker makes 3-pt jump shot from 25 ft (assist by C. Zeller),,10,6
22,1,8:16.0,,Shooting foul by C. Zeller (drawn by R. Lopez),10,6
23,1,8:16.0,,R. Lopez makes free throw 1 of 2,10,7
24,1,8:16.0,,R. Lopez makes free throw 2 of 2,10,8
25,1,8:06.0,K. Walker makes 2-pt jump shot from 17 ft (assist by C. Lee),,12,8
26,1,7:47.0,,S. Vujačić makes 3-pt jump shot from 25 ft (assist by C. Anthony),12,11
27,1,7:35.0,K. Walker makes 3-pt jump shot from 25 ft,,15,11
28,1,7:19.0,,C. Anthony misses 3-pt jump shot from 25 ft,15,11
29,1,7:17.0,,Offensive rebound by J. Grant,15,11
30,1,7:05.0,,J. Grant misses 2-pt jump shot from 6 ft,15,11
31,1,7:04.0,Defensive rebound by K. Walker,,15,11
32,1,6:57.0,K. Walker misses 2-pt jump shot from 13 ft,,15,11
33,1,6:56.0,,Defensive rebound by D. Williams,15,11
34,1,6:47.0,,D. Williams makes 2-pt jump shot from 5 ft,15,13
35,1,6:36.0,M. Williams misses 3-pt jump shot from 25 ft,,15,13
36,1,6:35.0,Offensive rebound by Team,,15,13
37,1,6:35.0,,L. Galloway enters the game for J. Grant,15,13
38,1,6:35.0,A. Jefferson enters the game for C. Zeller,,15,13
39,1,6:32.0,F. Kaminsky makes 3-pt jump shot from 24 ft (assist by M. Williams),,18,13
40,1,6:23.0,,New York full timeout,18,13
41,1,6:11.0,,Turnover by L. Galloway (bad pass),18,13
42,1,5:55.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,18,13
43,1,5:52.0,,Defensive rebound by C. Anthony,18,13
44,1,5:48.0,,Offensive foul by R. Lopez (drawn by M. Williams),18,13
45,1,5:48.0,,Turnover by R. Lopez (offensive foul),18,13
46,1,5:28.0,C. Lee misses 2-pt jump shot from 20 ft,,18,13
47,1,5:26.0,,Defensive rebound by D. Williams,18,13
48,1,5:21.0,,D. Williams misses 2-pt layup from 2 ft,18,13
49,1,5:19.0,,Offensive rebound by R. Lopez,18,13
50,1,5:17.0,,R. Lopez misses 2-pt layup from 2 ft (block by C. Lee),18,13
51,1,5:15.0,Defensive rebound by A. Jefferson,,18,13
52,1,5:05.0,M. Williams misses 3-pt jump shot from 25 ft,,18,13
53,1,5:03.0,,Defensive rebound by Team,18,13
54,1,5:03.0,Loose ball foul by F. Kaminsky,,18,13
55,1,5:03.0,J. Lin enters the game for C. Lee,,18,13
56,1,5:03.0,,A. Afflalo enters the game for S. Vujačić,18,13
57,1,4:52.0,,A. Afflalo makes 2-pt jump shot from 17 ft (assist by R. Lopez),18,15
58,1,4:32.0,A. Jefferson misses 2-pt layup from 2 ft,,18,15
59,1,4:30.0,,Defensive rebound by C. Anthony,18,15
60,1,4:23.0,,R. Lopez makes 2-pt layup from 1 ft (assist by C. Anthony),18,17
61,1,4:14.0,A. Jefferson makes 2-pt dunk at rim (assist by F. Kaminsky),,20,17
62,1,4:08.0,,New York full timeout,20,17
63,1,4:08.0,C. Lee enters the game for M. Williams,,20,17
64,1,4:08.0,,C. Early enters the game for C. Anthony,20,17
65,1,4:00.0,,A. Afflalo misses 2-pt jump shot from 3 ft,20,17
66,1,3:58.0,Defensive rebound by C. Lee,,20,17
67,1,3:45.0,K. Walker makes 3-pt jump shot from 25 ft,,23,17
