,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ORLANDO_ACTION,MILWAUKEE_SCORE,ORLANDO_SCORE
0,1,11:39.0,,E. Fournier misses 3-pt jump shot from 23 ft,0,0
1,1,11:38.0,Defensive rebound by G. Monroe,,0,0
2,1,11:22.0,J. Parker makes 2-pt dunk at rim (assist by K. Middleton),,2,0
3,1,11:00.0,,C. Frye misses 2-pt hook shot from 3 ft,2,0
4,1,10:58.0,,Offensive rebound by N. Vučević,2,0
5,1,10:55.0,,T. Harris misses 3-pt jump shot from 23 ft,2,0
6,1,10:54.0,Defensive rebound by G. Antetokounmpo,,2,0
7,1,10:41.0,J. Parker misses 2-pt hook shot at rim,,2,0
8,1,10:40.0,,Defensive rebound by N. Vučević,2,0
9,1,10:31.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by E. Payton),2,3
10,1,10:12.0,G. Monroe misses 2-pt jump shot from 3 ft,,2,3
11,1,10:11.0,Offensive rebound by G. Monroe,,2,3
12,1,10:08.0,G. Monroe misses 2-pt layup from 1 ft (block by T. Harris),,2,3
13,1,10:06.0,,Defensive rebound by E. Fournier,2,3
14,1,9:58.0,,N. Vučević makes 2-pt jump shot from 21 ft (assist by T. Harris),2,5
15,1,9:41.0,Turnover by K. Middleton (bad pass; steal by E. Payton),,2,5
16,1,9:38.0,Violation by G. Antetokounmpo (def goaltending),,2,5
17,1,9:38.0,,E. Payton makes 2-pt layup at rim,2,7
18,1,9:23.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,4,7
19,1,8:57.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by E. Payton),4,10
20,1,8:44.0,J. Parker makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,6,10
21,1,8:37.0,,Turnover by T. Harris (bad pass),6,10
22,1,8:24.0,M. Carter-Williams makes 2-pt jump shot from 3 ft,,8,10
23,1,8:13.0,,N. Vučević misses 2-pt jump shot from 6 ft,8,10
24,1,8:12.0,,Offensive rebound by C. Frye,8,10
25,1,8:12.0,,C. Frye misses 2-pt layup from 1 ft,8,10
26,1,8:11.0,Defensive rebound by K. Middleton,,8,10
27,1,8:01.0,Turnover by G. Antetokounmpo (lost ball),,8,10
28,1,7:44.0,,T. Harris misses 2-pt jump shot from 12 ft,8,10
29,1,7:43.0,,Offensive rebound by E. Fournier,8,10
30,1,7:41.0,,E. Fournier makes 2-pt jump shot from 3 ft,8,12
31,1,7:21.0,G. Monroe makes 2-pt layup at rim (assist by G. Antetokounmpo),,10,12
32,1,7:09.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by N. Vučević),10,15
33,1,6:51.0,Shooting foul by E. Payton (drawn by M. Carter-Williams),,10,15
34,1,6:51.0,M. Carter-Williams misses free throw 1 of 2,,10,15
35,1,6:51.0,Offensive rebound by Team,,10,15
36,1,6:51.0,M. Carter-Williams makes free throw 2 of 2,,11,15
37,1,6:41.0,,E. Fournier makes 3-pt jump shot from 27 ft (assist by E. Payton),11,18
38,1,6:23.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by J. Parker),,13,18
