,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MINNESOTA_ACTION,NEW ORLEANS_SCORE,MINNESOTA_SCORE
0,1,11:32.0,N. Cole misses 3-pt jump shot from 26 ft,,0,0
1,1,11:31.0,Offensive rebound by D. Cunningham,,0,0
2,1,11:18.0,B. Dejean-Jones misses 2-pt jump shot from 6 ft (block by A. Wiggins),,0,0
3,1,11:16.0,,Defensive rebound by R. Rubio,0,0
4,1,11:12.0,,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),0,2
5,1,10:57.0,N. Cole makes 2-pt jump shot from 15 ft,,2,2
6,1,10:39.0,,A. Wiggins misses 2-pt jump shot from 12 ft,2,2
7,1,10:38.0,Defensive rebound by N. Cole,,2,2
8,1,10:23.0,A. Davis misses 2-pt jump shot from 8 ft,,2,2
9,1,10:22.0,,Defensive rebound by K. Towns,2,2
10,1,10:17.0,,Shooting foul by B. Dejean-Jones (drawn by R. Rubio),2,2
11,1,10:17.0,,R. Rubio makes free throw 1 of 2,2,3
12,1,10:17.0,,R. Rubio makes free throw 2 of 2,2,4
13,1,10:01.0,Turnover by B. Dejean-Jones (traveling),,2,4
14,1,9:47.0,,G. Dieng misses 2-pt jump shot from 17 ft,2,4
15,1,9:46.0,Defensive rebound by A. Davis,,2,4
16,1,9:35.0,N. Cole misses 2-pt jump shot from 17 ft,,2,4
17,1,9:33.0,Offensive rebound by Ö. Aşık,,2,4
18,1,9:33.0,Ö. Aşık makes 2-pt layup at rim,,4,4
19,1,9:18.0,,T. Prince makes 2-pt jump shot from 12 ft,4,6
20,1,9:01.0,A. Davis misses 2-pt jump shot from 7 ft,,4,6
21,1,9:00.0,,Defensive rebound by K. Towns,4,6
22,1,8:39.0,,G. Dieng misses 2-pt layup from 1 ft,4,6
23,1,8:38.0,Defensive rebound by Ö. Aşık,,4,6
24,1,8:30.0,A. Davis makes 2-pt dunk at rim (assist by B. Dejean-Jones),,6,6
25,1,8:11.0,,A. Wiggins misses 2-pt jump shot from 11 ft,6,6
26,1,8:10.0,Defensive rebound by B. Dejean-Jones,,6,6
27,1,8:07.0,Personal foul by K. Towns (drawn by A. Davis),,6,6
28,1,7:59.0,N. Cole misses 2-pt layup from 2 ft,,6,6
29,1,7:58.0,Offensive rebound by Ö. Aşık,,6,6
30,1,7:57.0,Ö. Aşık makes 2-pt layup from 1 ft,,8,6
31,1,7:50.0,,Minnesota full timeout,8,6
32,1,7:42.0,,K. Towns makes 2-pt layup from 1 ft (assist by A. Wiggins),8,8
33,1,7:27.0,Personal foul by R. Rubio (drawn by A. Davis),,8,8
34,1,7:18.0,A. Davis makes 2-pt jump shot from 18 ft,,10,8
35,1,7:08.0,Violation by Ö. Aşık (kicked ball),,10,8
36,1,7:04.0,,A. Wiggins misses 3-pt hook shot from 26 ft,10,8
37,1,7:03.0,Defensive rebound by Ö. Aşık,,10,8
38,1,6:53.0,A. Davis misses 2-pt jump shot from 8 ft,,10,8
39,1,6:52.0,,Defensive rebound by G. Dieng,10,8
40,1,6:47.0,,R. Rubio misses 2-pt jump shot from 13 ft,10,8
41,1,6:46.0,Defensive rebound by B. Dejean-Jones,,10,8
42,1,6:27.0,A. Davis misses 2-pt jump shot from 14 ft,,10,8
43,1,6:26.0,,Defensive rebound by K. Towns,10,8
44,1,6:23.0,Loose ball foul by B. Dejean-Jones (drawn by A. Wiggins),,10,8
45,1,6:23.0,J. Holiday enters the game for B. Dejean-Jones,,10,8
46,1,6:16.0,,Shooting foul by D. Cunningham (drawn by K. Towns),10,8
47,1,6:16.0,,K. Towns makes free throw 1 of 2,10,9
48,1,6:16.0,,K. Towns makes free throw 2 of 2,10,10
49,1,5:57.0,Shooting foul by R. Rubio (drawn by N. Cole),,10,10
50,1,5:57.0,N. Cole makes free throw 1 of 2,,11,10
51,1,5:57.0,N. Cole makes free throw 2 of 2,,12,10
52,1,5:48.0,,Turnover by A. Wiggins (bad pass; steal by A. Davis),12,10
53,1,5:42.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by N. Cole),,15,10
54,1,5:27.0,,G. Dieng makes 2-pt dunk at rim (assist by K. Towns),15,12
55,1,5:12.0,J. Holiday misses 2-pt layup from 1 ft (block by A. Wiggins),,15,12
56,1,5:10.0,,Defensive rebound by K. Towns,15,12
57,1,5:02.0,,G. Dieng makes 2-pt hook shot from 7 ft (assist by R. Rubio),15,14
58,1,4:48.0,N. Cole misses 2-pt layup from 1 ft,,15,14
59,1,4:47.0,Offensive rebound by Ö. Aşık,,15,14
60,1,4:43.0,J. Holiday makes 3-pt jump shot from 24 ft,,18,14
61,1,4:24.0,,A. Wiggins makes 2-pt jump shot from 12 ft,18,16
62,1,4:08.0,A. Davis makes 2-pt dunk at rim (assist by N. Cole),,20,16
63,1,3:52.0,Violation by Ö. Aşık (kicked ball),,20,16
64,1,3:52.0,,Z. LaVine enters the game for R. Rubio,20,16
65,1,3:52.0,,S. Muhammad enters the game for T. Prince,20,16
66,1,3:43.0,,A. Wiggins makes 2-pt jump shot from 16 ft (assist by G. Dieng),20,18
67,1,3:31.0,J. Holiday misses 2-pt jump shot from 17 ft,,20,18
68,1,3:30.0,,Defensive rebound by Z. LaVine,20,18
69,1,3:12.0,,K. Towns makes 2-pt dunk at rim (assist by G. Dieng),20,20
70,1,2:58.0,D. Cunningham makes 2-pt jump shot from 21 ft,,22,20
71,1,2:43.0,,S. Muhammad misses 2-pt jump shot from 20 ft,22,20
72,1,2:41.0,Defensive rebound by N. Cole,,22,20
73,1,2:38.0,,Violation by S. Muhammad (def goaltending),22,20
74,1,2:38.0,J. Holiday makes 2-pt layup from 1 ft (assist by N. Cole),,24,20
75,1,2:25.0,,K. Towns misses 2-pt jump shot from 21 ft,24,20
76,1,2:24.0,Defensive rebound by Ö. Aşık,,24,20
77,1,2:21.0,Personal foul by K. Towns (drawn by A. Davis),,24,20
78,1,2:21.0,New Orleans full timeout,,24,20
79,1,2:21.0,,D. Rudež enters the game for K. Towns,24,20
