,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
0,1,11:42.0,A. Stoudemire makes 2-pt jump shot from 17 ft (assist by D. Wade),,2,0
1,1,11:24.0,,L. Galloway misses 3-pt jump shot from 25 ft,2,0
2,1,11:24.0,Defensive rebound by A. Stoudemire,,2,0
3,1,11:12.0,L. Deng makes 2-pt layup from 1 ft (assist by J. Johnson),,4,0
4,1,11:03.0,,Turnover by J. Calderón (bad pass; steal by G. Dragić),4,0
5,1,10:58.0,D. Wade makes 2-pt dunk at rim (assist by A. Stoudemire),,6,0
6,1,10:33.0,,J. Calderón misses 2-pt jump shot from 14 ft,6,0
7,1,10:33.0,Defensive rebound by L. Deng,,6,0
8,1,10:22.0,D. Wade misses 2-pt jump shot from 20 ft,,6,0
9,1,10:21.0,,Defensive rebound by C. Anthony,6,0
10,1,9:59.0,,C. Anthony misses 2-pt jump shot from 7 ft,6,0
11,1,9:58.0,Defensive rebound by L. Deng,,6,0
12,1,9:40.0,Turnover by D. Wade (bad pass),,6,0
13,1,9:34.0,,L. Galloway misses 2-pt jump shot from 21 ft,6,0
14,1,9:33.0,Defensive rebound by A. Stoudemire,,6,0
15,1,9:25.0,G. Dragić makes 2-pt jump shot from 9 ft,,8,0
16,1,9:25.0,Shooting foul by J. Calderón (drawn by G. Dragić),,8,0
17,1,9:25.0,G. Dragić misses free throw 1 of 1,,8,0
18,1,9:24.0,,Defensive rebound by K. Porziņģis,8,0
19,1,9:08.0,,K. Porziņģis makes 2-pt jump shot from 21 ft (assist by L. Galloway),8,2
20,1,8:50.0,A. Stoudemire misses 2-pt jump shot from 3 ft (block by K. Porziņģis),,8,2
21,1,8:50.0,Offensive rebound by A. Stoudemire,,8,2
22,1,8:42.0,J. Johnson makes 3-pt jump shot from 22 ft (assist by G. Dragić),,11,2
23,1,8:31.0,,Turnover by J. Calderón (bad pass; steal by D. Wade),11,2
24,1,8:29.0,Turnover by L. Deng (bad pass),,11,2
25,1,8:16.0,,Personal foul by A. Stoudemire (drawn by R. Lopez),11,2
26,1,8:12.0,,Turnover by R. Lopez (bad pass; steal by L. Deng),11,2
27,1,7:49.0,G. Dragić makes 2-pt layup from 1 ft (assist by D. Wade),,13,2
28,1,7:43.0,,New York full timeout,13,2
29,1,7:24.0,,R. Lopez misses 2-pt jump shot at rim,13,2
30,1,7:24.0,,Offensive rebound by R. Lopez,13,2
31,1,7:24.0,,R. Lopez makes 2-pt dunk at rim,13,4
32,1,6:58.0,J. Johnson misses 3-pt jump shot from 23 ft (block by C. Anthony),,13,4
33,1,6:58.0,Offensive rebound by Team,,13,4
34,1,6:58.0,Turnover by Team (shot clock),,13,4
35,1,6:51.0,,Personal foul by J. Johnson (drawn by C. Anthony),13,4
36,1,6:39.0,,J. Calderón misses 2-pt jump shot from 17 ft,13,4
37,1,6:37.0,,Offensive rebound by R. Lopez,13,4
38,1,6:32.0,,J. Calderón misses 3-pt jump shot from 25 ft,13,4
39,1,6:32.0,Defensive rebound by D. Wade,,13,4
40,1,6:26.0,L. Deng misses 2-pt layup from 2 ft (block by K. Porziņģis),,13,4
41,1,6:26.0,Offensive rebound by Team,,13,4
42,1,6:21.0,J. Johnson misses 2-pt jump shot from 17 ft,,13,4
43,1,6:21.0,,Defensive rebound by K. Porziņģis,13,4
44,1,6:12.0,,J. Calderón misses 2-pt jump shot from 13 ft,13,4
