,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MEMPHIS_ACTION,NEW YORK_SCORE,MEMPHIS_SCORE
0,1,11:42.0,,M. Gasol misses 2-pt jump shot from 18 ft,0,0
1,1,11:41.0,Defensive rebound by A. Afflalo,,0,0
2,1,11:26.0,R. Lopez makes 2-pt jump shot from 15 ft (assist by K. Porziņģis),,2,0
3,1,11:07.0,,M. Gasol makes 2-pt jump shot from 15 ft (assist by M. Chalmers),2,2
4,1,10:53.0,K. Porziņģis misses 2-pt jump shot from 18 ft,,2,2
5,1,10:52.0,,Defensive rebound by M. Gasol,2,2
6,1,10:41.0,,Z. Randolph makes 2-pt jump shot from 17 ft (assist by M. Chalmers),2,4
7,1,10:12.0,A. Afflalo misses 2-pt jump shot from 11 ft,,2,4
8,1,10:11.0,,Defensive rebound by Z. Randolph,2,4
9,1,10:00.0,,M. Gasol makes 2-pt hook shot from 6 ft (assist by M. Chalmers),2,6
10,1,9:49.0,Shooting foul by C. Lee (drawn by L. Galloway),,2,6
11,1,9:49.0,L. Galloway makes free throw 1 of 2,,3,6
12,1,9:49.0,L. Galloway makes free throw 2 of 2,,4,6
13,1,9:27.0,,Z. Randolph makes 2-pt jump shot from 16 ft,4,8
14,1,9:09.0,R. Lopez misses 2-pt jump shot from 4 ft (block by M. Gasol),,4,8
15,1,9:07.0,,Defensive rebound by M. Gasol,4,8
16,1,8:59.0,,M. Gasol makes 2-pt jump shot from 22 ft (assist by M. Chalmers),4,10
17,1,8:47.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Calderón),,7,10
18,1,8:31.0,,Z. Randolph misses 2-pt jump shot from 5 ft (block by R. Lopez),7,10
19,1,8:31.0,,Offensive rebound by Z. Randolph,7,10
20,1,8:31.0,,Z. Randolph makes 2-pt jump shot from 5 ft,7,12
21,1,8:31.0,,Shooting foul by R. Lopez (drawn by Z. Randolph),7,12
22,1,8:31.0,,Z. Randolph makes free throw 1 of 1,7,13
23,1,8:20.0,L. Galloway misses 2-pt jump shot from 7 ft,,7,13
24,1,8:18.0,Offensive rebound by L. Galloway,,7,13
25,1,8:14.0,J. Calderón misses 3-pt jump shot from 25 ft,,7,13
26,1,8:14.0,,Defensive rebound by T. Allen,7,13
27,1,8:07.0,,T. Allen misses 2-pt layup from 2 ft,7,13
28,1,8:03.0,Defensive rebound by L. Galloway,,7,13
29,1,7:57.0,K. Porziņģis makes 2-pt jump shot from 8 ft,,9,13
30,1,7:37.0,,Z. Randolph misses 2-pt layup at rim (block by R. Lopez),9,13
31,1,7:36.0,Defensive rebound by L. Galloway,,9,13
32,1,7:32.0,L. Galloway makes 2-pt layup from 1 ft,,11,13
33,1,7:26.0,,Shooting foul by R. Lopez (drawn by T. Allen),11,13
34,1,7:26.0,,T. Allen makes free throw 1 of 2,11,14
35,1,7:26.0,K. O'Quinn enters the game for R. Lopez,,11,14
36,1,7:26.0,,T. Allen misses free throw 2 of 2,11,14
37,1,7:25.0,Defensive rebound by A. Afflalo,,11,14
38,1,7:15.0,Offensive foul by K. O'Quinn (drawn by M. Chalmers),,11,14
39,1,7:15.0,Turnover by K. O'Quinn (offensive foul),,11,14
40,1,6:48.0,,Z. Randolph misses 2-pt hook shot from 4 ft,11,14
41,1,6:47.0,Defensive rebound by L. Galloway,,11,14
42,1,6:36.0,K. Porziņģis makes 2-pt jump shot from 9 ft (assist by A. Afflalo),,13,14
