,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DENVER_ACTION,NEW YORK_SCORE,DENVER_SCORE
0,1,11:35.0,,K. Faried misses 2-pt layup from 2 ft (block by K. Porziņģis),0,0
1,1,11:34.0,Defensive rebound by R. Lopez,,0,0
2,1,11:15.0,K. Porziņģis misses 2-pt jump shot from 13 ft,,0,0
3,1,11:14.0,,Defensive rebound by E. Mudiay,0,0
4,1,11:00.0,,N. Jokić makes 2-pt jump shot from 9 ft (assist by E. Mudiay),0,2
5,1,10:38.0,C. Anthony misses 2-pt jump shot from 21 ft,,0,2
6,1,10:37.0,,Defensive rebound by E. Mudiay,0,2
7,1,10:34.0,,Shooting foul by J. Calderón (drawn by E. Mudiay),0,2
8,1,10:34.0,,E. Mudiay makes free throw 1 of 2,0,3
9,1,10:34.0,,E. Mudiay makes free throw 2 of 2,0,4
10,1,10:21.0,A. Afflalo misses 2-pt jump shot from 17 ft,,0,4
11,1,10:19.0,,Defensive rebound by E. Mudiay,0,4
12,1,10:15.0,,G. Harris misses 2-pt layup from 2 ft,0,4
13,1,10:13.0,,Offensive rebound by K. Faried,0,4
14,1,10:13.0,,K. Faried makes 2-pt layup from 3 ft,0,6
15,1,10:01.0,J. Calderón misses 3-pt jump shot from 25 ft,,0,6
16,1,10:00.0,,Defensive rebound by J. Sampson,0,6
17,1,9:47.0,,E. Mudiay makes 2-pt jump shot from 20 ft,0,8
18,1,9:32.0,R. Lopez makes 2-pt hook shot from 6 ft,,2,8
19,1,9:15.0,,G. Harris misses 2-pt layup from 2 ft,2,8
20,1,9:14.0,,Offensive rebound by K. Faried,2,8
21,1,9:05.0,,E. Mudiay misses 3-pt jump shot from 26 ft,2,8
22,1,9:03.0,,Offensive rebound by Team,2,8
23,1,8:56.0,,Turnover by E. Mudiay (bad pass; steal by K. Porziņģis),2,8
24,1,8:47.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,2,8
25,1,8:44.0,Offensive rebound by J. Calderón,,2,8
26,1,8:34.0,C. Anthony makes 2-pt jump shot from 12 ft (assist by K. Porziņģis),,4,8
27,1,8:08.0,,J. Sampson misses 3-pt jump shot from 25 ft,4,8
28,1,8:08.0,,Offensive rebound by Team,4,8
29,1,8:08.0,Loose ball foul by K. Porziņģis,,4,8
30,1,8:03.0,,E. Mudiay misses 3-pt jump shot from 24 ft,4,8
31,1,8:02.0,Defensive rebound by C. Anthony,,4,8
32,1,7:53.0,C. Anthony misses 3-pt jump shot from 24 ft,,4,8
33,1,7:52.0,,Defensive rebound by K. Faried,4,8
34,1,7:46.0,,J. Sampson misses 2-pt layup from 2 ft (block by C. Anthony),4,8
35,1,7:44.0,Defensive rebound by A. Afflalo,,4,8
36,1,7:35.0,K. Porziņģis makes 2-pt jump shot from 15 ft,,6,8
37,1,7:20.0,,G. Harris misses 3-pt jump shot from 25 ft,6,8
38,1,7:19.0,Defensive rebound by C. Anthony,,6,8
39,1,7:08.0,A. Afflalo makes 2-pt jump shot from 6 ft,,8,8
40,1,6:53.0,,N. Jokić makes 2-pt layup from 1 ft (assist by J. Sampson),8,10
41,1,6:41.0,J. Calderón makes 2-pt jump shot from 14 ft (assist by R. Lopez),,10,10
42,1,6:41.0,,Denver full timeout,10,10
43,1,6:21.0,,N. Jokić makes 2-pt layup at rim,10,12
