,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHOENIX_ACTION,OKLAHOMA CITY_SCORE,PHOENIX_SCORE
0,1,11:43.0,K. Durant misses 2-pt jump shot from 17 ft,,0,0
1,1,11:40.0,,Defensive rebound by T. Chandler,0,0
2,1,11:30.0,,T. Chandler makes 2-pt layup from 1 ft (assist by A. Goodwin),0,2
3,1,11:11.0,K. Durant makes 2-pt layup from 1 ft,,2,2
4,1,10:45.0,,A. Goodwin misses 3-pt jump shot from 24 ft,2,2
5,1,10:44.0,,Offensive rebound by T. Chandler,2,2
6,1,10:26.0,,M. Morris makes 2-pt jump shot from 14 ft,2,4
7,1,10:12.0,R. Westbrook makes 2-pt jump shot from 6 ft (assist by D. Waiters),,4,4
8,1,9:52.0,,P. Tucker misses 2-pt layup from 2 ft,4,4
9,1,9:49.0,Defensive rebound by R. Westbrook,,4,4
10,1,9:44.0,D. Waiters misses 3-pt jump shot from 23 ft,,4,4
11,1,9:41.0,,Defensive rebound by M. Morris,4,4
12,1,9:31.0,,M. Morris makes 2-pt layup from 1 ft,4,6
13,1,9:20.0,Personal foul by M. Morris (drawn by R. Westbrook),,4,6
14,1,9:17.0,K. Durant makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,7,6
15,1,9:01.0,,Shooting foul by S. Adams (drawn by M. Morris),7,6
16,1,9:01.0,,M. Morris misses free throw 1 of 2,7,6
17,1,9:01.0,,Offensive rebound by Team,7,6
18,1,9:01.0,,M. Morris misses free throw 2 of 2,7,6
19,1,8:59.0,Defensive rebound by S. Ibaka,,7,6
20,1,8:51.0,R. Westbrook misses 2-pt jump shot from 4 ft,,7,6
21,1,8:48.0,,Defensive rebound by D. Booker,7,6
22,1,8:45.0,,A. Goodwin makes 2-pt dunk at rim (assist by D. Booker),7,8
23,1,8:34.0,S. Ibaka misses 3-pt jump shot from 24 ft,,7,8
24,1,8:32.0,,Defensive rebound by P. Tucker,7,8
25,1,8:22.0,,M. Morris misses 2-pt jump shot from 16 ft,7,8
26,1,8:20.0,Defensive rebound by K. Durant,,7,8
27,1,8:05.0,R. Westbrook makes 3-pt jump shot from 24 ft (assist by S. Adams),,10,8
28,1,7:36.0,,Shooting foul by D. Waiters (drawn by D. Booker),10,8
29,1,7:36.0,,D. Booker makes free throw 1 of 2,10,9
30,1,7:36.0,,D. Booker makes free throw 2 of 2,10,10
