,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA LAKERS_ACTION,MILWAUKEE_SCORE,LA LAKERS_SCORE
0,1,11:42.0,J. Parker makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,2,0
1,1,11:19.0,,J. Clarkson misses 2-pt jump shot from 19 ft,2,0
2,1,11:18.0,,Offensive rebound by Team,2,0
3,1,11:15.0,,J. Clarkson misses 2-pt jump shot from 8 ft,2,0
4,1,11:12.0,Defensive rebound by J. Henson,,2,0
5,1,11:07.0,K. Middleton misses 2-pt jump shot from 21 ft,,2,0
6,1,11:07.0,,Defensive rebound by Team,2,0
7,1,10:55.0,,L. Williams misses 2-pt jump shot from 18 ft,2,0
8,1,10:54.0,Defensive rebound by J. Henson,,2,0
9,1,10:44.0,Turnover by J. Henson (lost ball; steal by J. Clarkson),,2,0
10,1,10:37.0,,J. Clarkson makes 2-pt layup at rim,2,2
11,1,10:17.0,K. Middleton misses 2-pt jump shot from 7 ft,,2,2
12,1,10:15.0,,Defensive rebound by R. Hibbert,2,2
13,1,10:01.0,,K. Bryant misses 3-pt jump shot from 23 ft,2,2
14,1,9:59.0,,Offensive rebound by L. Nance,2,2
15,1,9:55.0,,J. Clarkson misses 2-pt layup from 1 ft (block by J. Henson),2,2
16,1,9:53.0,Defensive rebound by G. Antetokounmpo,,2,2
17,1,9:42.0,G. Antetokounmpo makes 2-pt jump shot from 14 ft (assist by K. Middleton),,4,2
18,1,9:18.0,,J. Clarkson misses 2-pt layup from 2 ft (block by J. Henson),4,2
19,1,9:15.0,,Offensive rebound by R. Hibbert,4,2
20,1,9:12.0,,R. Hibbert makes 2-pt layup at rim,4,4
21,1,8:59.0,G. Antetokounmpo misses 2-pt hook shot from 4 ft,,4,4
22,1,8:56.0,Offensive rebound by J. Parker,,4,4
23,1,8:54.0,J. Parker makes 2-pt dunk at rim,,6,4
24,1,8:36.0,,K. Bryant misses 2-pt jump shot from 20 ft,6,4
25,1,8:34.0,,Offensive rebound by R. Hibbert,6,4
26,1,8:25.0,,J. Clarkson makes 2-pt jump shot from 17 ft,6,6
27,1,8:08.0,K. Middleton makes 2-pt layup at rim (assist by J. Parker),,8,6
28,1,7:56.0,,L. Williams misses 3-pt jump shot from 25 ft,8,6
29,1,7:55.0,,Offensive rebound by L. Nance,8,6
30,1,7:47.0,,L. Williams makes 3-pt jump shot from 25 ft (assist by K. Bryant),8,9
31,1,7:31.0,O. Mayo misses 2-pt jump shot from 7 ft,,8,9
32,1,7:30.0,Offensive rebound by J. Henson,,8,9
33,1,7:25.0,O. Mayo makes 2-pt jump shot from 14 ft (assist by J. Henson),,10,9
34,1,7:18.0,,Turnover by L. Williams (lost ball),10,9
35,1,7:04.0,G. Antetokounmpo misses 2-pt jump shot from 3 ft,,10,9
36,1,7:03.0,,Defensive rebound by L. Nance,10,9
37,1,6:44.0,,L. Williams makes 2-pt jump shot from 16 ft,10,11
38,1,6:30.0,J. Henson makes 2-pt hook shot from 8 ft (assist by K. Middleton),,12,11
39,1,6:14.0,,Turnover by L. Williams (dbl dribble),12,11
40,1,6:04.0,Shooting foul by R. Hibbert (drawn by J. Parker),,12,11
41,1,6:04.0,J. Parker makes free throw 1 of 2,,13,11
42,1,6:04.0,,D. Russell enters the game for J. Clarkson,13,11
43,1,6:04.0,J. O'Bryant enters the game for G. Antetokounmpo,,13,11
44,1,6:04.0,J. Parker makes free throw 2 of 2,,14,11
45,1,5:44.0,,R. Hibbert misses 2-pt layup from 1 ft (block by J. Henson),14,11
46,1,5:43.0,,Offensive rebound by R. Hibbert,14,11
47,1,5:43.0,,R. Hibbert misses 2-pt layup from 1 ft,14,11
48,1,5:43.0,,Offensive rebound by R. Hibbert,14,11
49,1,5:43.0,,R. Hibbert makes 2-pt layup from 1 ft,14,13
50,1,5:43.0,,Shooting foul by J. Henson (drawn by R. Hibbert),14,13
51,1,5:43.0,,LA Lakers full timeout,14,13
52,1,5:43.0,M. Carter-Williams enters the game for O. Mayo,,14,13
53,1,5:43.0,,R. Hibbert makes free throw 1 of 1,14,14
54,1,5:30.0,J. Parker misses 2-pt layup from 2 ft,,14,14
55,1,5:30.0,,Defensive rebound by D. Russell,14,14
56,1,5:19.0,,Turnover by D. Russell (lost ball; steal by M. Carter-Williams),14,14
57,1,5:06.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by J. Parker),,17,14
58,1,4:49.0,,R. Hibbert makes 2-pt dunk at rim (assist by K. Bryant),17,16
59,1,4:30.0,K. Middleton makes 2-pt jump shot from 18 ft,,19,16
60,1,4:16.0,,K. Bryant makes 2-pt jump shot from 15 ft (assist by L. Williams),19,18
61,1,3:57.0,J. Henson makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,21,18
62,1,3:45.0,,K. Bryant makes 3-pt jump shot from 24 ft (assist by L. Williams),21,21
63,1,3:22.0,K. Middleton misses 2-pt jump shot from 12 ft,,21,21
64,1,3:19.0,,Defensive rebound by D. Russell,21,21
65,1,3:15.0,,D. Russell misses 2-pt layup from 2 ft (block by J. Henson),21,21
66,1,3:13.0,Defensive rebound by J. O'Bryant,,21,21
67,1,3:12.0,Turnover by J. O'Bryant (bad pass; steal by D. Russell),,21,21
68,1,3:12.0,,D. Russell makes 2-pt layup at rim,21,23
69,1,3:05.0,,Violation by Team (delay of game),21,23
