,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHOENIX_ACTION,HOUSTON_SCORE,PHOENIX_SCORE
0,1,11:46.0,,T. Chandler misses 2-pt layup at rim,0,0
1,1,11:45.0,Defensive rebound by T. Ariza,,0,0
2,1,11:30.0,P. Beverley misses 3-pt jump shot from 24 ft,,0,0
3,1,11:29.0,Offensive rebound by P. Beverley,,0,0
4,1,11:26.0,T. Ariza misses 3-pt jump shot from 23 ft,,0,0
5,1,11:25.0,,Defensive rebound by P. Tucker,0,0
6,1,11:17.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Goodwin),0,3
7,1,11:13.0,Turnover by C. Brewer (bad pass; steal by P. Tucker),,0,3
8,1,11:12.0,,P. Tucker makes 2-pt layup from 1 ft,0,5
9,1,11:12.0,,Shooting block foul by C. Brewer (drawn by P. Tucker),0,5
10,1,11:12.0,,P. Tucker makes free throw 1 of 1,0,6
11,1,10:54.0,T. Ariza misses 2-pt layup at rim,,0,6
12,1,10:52.0,,Defensive rebound by T. Chandler,0,6
13,1,10:45.0,,M. Morris misses 2-pt layup from 1 ft,0,6
14,1,10:43.0,,Offensive rebound by M. Morris,0,6
15,1,10:43.0,,M. Morris misses 2-pt layup at rim,0,6
16,1,10:42.0,Defensive rebound by D. Howard,,0,6
17,1,10:36.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),,3,6
18,1,10:17.0,,Shooting foul by D. Howard (drawn by T. Chandler),3,6
19,1,10:17.0,,T. Chandler makes free throw 1 of 2,3,7
20,1,10:17.0,,T. Chandler makes free throw 2 of 2,3,8
21,1,10:06.0,C. Brewer makes 2-pt layup at rim (assist by J. Harden),,5,8
22,1,9:58.0,,A. Goodwin makes 2-pt layup from 1 ft,5,10
23,1,9:55.0,Houston full timeout,,5,10
24,1,9:46.0,Turnover by D. Howard (bad pass),,5,10
25,1,9:23.0,,M. Morris misses 3-pt jump shot from 24 ft,5,10
26,1,9:22.0,Defensive rebound by J. Harden,,5,10
27,1,9:17.0,Personal foul by M. Morris (drawn by C. Brewer),,5,10
28,1,9:07.0,D. Howard misses 2-pt hook shot from 6 ft,,5,10
29,1,9:05.0,,Defensive rebound by M. Morris,5,10
30,1,8:46.0,,M. Morris makes 2-pt jump shot from 11 ft (assist by D. Booker),5,12
31,1,8:38.0,Turnover by J. Harden (bad pass),,5,12
32,1,8:25.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by A. Goodwin),5,15
33,1,8:09.0,Personal foul by P. Tucker (drawn by J. Harden),,5,15
34,1,8:09.0,T. Lawson enters the game for C. Brewer,,5,15
35,1,8:09.0,J. Smith enters the game for T. Ariza,,5,15
36,1,8:09.0,M. Thornton enters the game for D. Howard,,5,15
37,1,8:09.0,C. Capela enters the game for J. Harden,,5,15
38,1,8:09.0,J. Terry enters the game for P. Beverley,,5,15
39,1,8:03.0,M. Thornton misses 3-pt jump shot from 24 ft,,5,15
40,1,8:02.0,,Defensive rebound by T. Chandler,5,15
41,1,7:45.0,,D. Booker misses 2-pt jump shot from 19 ft,5,15
42,1,7:44.0,Defensive rebound by J. Terry,,5,15
43,1,7:35.0,T. Lawson misses 2-pt jump shot from 11 ft,,5,15
44,1,7:34.0,,Defensive rebound by T. Chandler,5,15
45,1,7:19.0,,M. Morris makes 2-pt jump shot from 12 ft,5,17
46,1,6:54.0,M. Thornton misses 2-pt jump shot from 4 ft,,5,17
47,1,6:54.0,Offensive rebound by C. Capela,,5,17
48,1,6:52.0,Turnover by C. Capela (lost ball; steal by P. Tucker),,5,17
49,1,6:51.0,,Personal block foul by T. Lawson (drawn by P. Tucker),5,17
50,1,6:43.0,,Turnover by A. Goodwin (bad pass),5,17
51,1,6:27.0,T. Lawson misses 2-pt jump shot from 10 ft,,5,17
52,1,6:25.0,,Defensive rebound by P. Tucker,5,17
53,1,6:18.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by T. Chandler),5,20
54,1,6:04.0,M. Thornton misses 3-pt jump shot from 24 ft,,5,20
55,1,6:03.0,,Defensive rebound by P. Tucker,5,20
56,1,5:58.0,,M. Morris misses 2-pt layup at rim (block by J. Smith),5,20
57,1,5:57.0,Defensive rebound by J. Terry,,5,20
58,1,5:51.0,C. Capela makes 2-pt layup at rim (assist by T. Lawson),,7,20
59,1,5:36.0,,D. Booker misses 2-pt layup from 1 ft,7,20
60,1,5:34.0,Defensive rebound by J. Smith,,7,20
61,1,5:26.0,M. Thornton misses 2-pt layup at rim,,7,20
62,1,5:25.0,Offensive rebound by M. Thornton,,7,20
63,1,5:25.0,Shooting foul by T. Chandler (drawn by M. Thornton),,7,20
64,1,5:25.0,M. Thornton makes free throw 1 of 2,,8,20
65,1,5:25.0,,S. Weems enters the game for A. Goodwin,8,20
66,1,5:25.0,,A. Len enters the game for T. Chandler,8,20
67,1,5:25.0,M. Thornton makes free throw 2 of 2,,9,20
68,1,5:07.0,,Turnover by M. Morris (bad pass; steal by J. Terry),9,20
69,1,4:59.0,J. Smith misses 3-pt jump shot from 24 ft,,9,20
