,QUARTER,TIME_REMAINING,DALLAS_ACTION,HOUSTON_ACTION,DALLAS_SCORE,HOUSTON_SCORE
0,1,11:44.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),0,2
1,1,11:35.0,Personal foul by T. Ariza (drawn by D. Nowitzki),,0,2
2,1,11:22.0,S. Mejri makes 2-pt layup from 1 ft (assist by D. Williams),,2,2
3,1,11:09.0,,P. Beverley makes 2-pt jump shot from 6 ft (assist by C. Brewer),2,4
4,1,10:52.0,Turnover by C. Parsons (lost ball; steal by C. Brewer),,2,4
5,1,10:44.0,,P. Beverley misses 3-pt jump shot from 24 ft,2,4
6,1,10:44.0,Defensive rebound by Team,,2,4
7,1,10:27.0,W. Matthews misses 3-pt jump shot from 24 ft,,2,4
8,1,10:26.0,,Defensive rebound by C. Capela,2,4
9,1,10:18.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),2,7
10,1,9:59.0,S. Mejri makes 2-pt dunk at rim (assist by C. Parsons),,4,7
11,1,9:47.0,Violation by S. Mejri (kicked ball),,4,7
12,1,9:42.0,,C. Brewer makes 2-pt jump shot from 16 ft (assist by P. Beverley),4,9
13,1,9:24.0,D. Nowitzki misses 2-pt jump shot from 8 ft,,4,9
14,1,9:23.0,,Defensive rebound by C. Capela,4,9
15,1,9:16.0,,J. Harden misses 3-pt jump shot from 23 ft,4,9
16,1,9:15.0,,Offensive rebound by P. Beverley,4,9
17,1,9:12.0,,C. Brewer misses 3-pt jump shot from 23 ft,4,9
18,1,9:11.0,,Offensive rebound by J. Harden,4,9
19,1,9:06.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),4,12
20,1,9:04.0,Dallas full timeout,,4,12
21,1,8:47.0,Personal foul by C. Capela (drawn by S. Mejri),,4,12
22,1,8:41.0,D. Williams misses 3-pt jump shot from 24 ft,,4,12
23,1,8:40.0,,Defensive rebound by J. Harden,4,12
24,1,8:34.0,,C. Brewer misses 2-pt jump shot from 6 ft,4,12
25,1,8:33.0,,Offensive rebound by C. Capela,4,12
26,1,8:27.0,,J. Harden misses 3-pt jump shot from 24 ft,4,12
27,1,8:26.0,Defensive rebound by S. Mejri,,4,12
28,1,8:09.0,C. Parsons makes 3-pt jump shot from 26 ft (assist by D. Williams),,7,12
29,1,7:52.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),7,15
30,1,7:23.0,Turnover by Team (shot clock),,7,15
31,1,7:05.0,,C. Brewer misses 2-pt jump shot from 10 ft,7,15
32,1,7:05.0,Defensive rebound by C. Parsons,,7,15
33,1,6:48.0,D. Nowitzki makes 3-pt jump shot from 23 ft (assist by W. Matthews),,10,15
34,1,6:33.0,,T. Ariza makes 2-pt jump shot from 22 ft (assist by C. Capela),10,17
35,1,6:25.0,Turnover by D. Nowitzki (lost ball; steal by T. Ariza),,10,17
36,1,6:21.0,,T. Ariza makes 2-pt dunk at rim,10,19
37,1,6:21.0,Dallas full timeout,,10,19
38,1,6:21.0,,T. Jones enters the game for C. Brewer,10,19
39,1,6:21.0,R. Felton enters the game for D. Nowitzki,,10,19
40,1,5:56.0,S. Mejri makes 2-pt dunk at rim (assist by R. Felton),,12,19
41,1,5:35.0,,C. Capela misses 2-pt jump shot from 3 ft (block by S. Mejri),12,19
42,1,5:34.0,,Offensive rebound by P. Beverley,12,19
43,1,5:30.0,,P. Beverley makes 2-pt layup from 2 ft,12,21
