,QUARTER,TIME_REMAINING,BOSTON_ACTION,SACRAMENTO_ACTION,BOSTON_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,A. Bradley misses 2-pt jump shot from 21 ft,,0,0
1,1,11:40.0,Offensive rebound by A. Johnson,,0,0
2,1,11:31.0,J. Sullinger misses 3-pt jump shot from 25 ft,,0,0
3,1,11:29.0,,Defensive rebound by R. Rondo,0,0
4,1,11:16.0,,B. McLemore misses 3-pt jump shot from 26 ft,0,0
5,1,11:16.0,,Offensive rebound by D. Cousins,0,0
6,1,11:06.0,,D. Cousins makes 2-pt jump shot from 15 ft (assist by W. Cauley-Stein),0,2
7,1,10:48.0,A. Johnson misses 2-pt jump shot from 12 ft,,0,2
8,1,10:47.0,,Defensive rebound by B. McLemore,0,2
9,1,10:32.0,,D. Cousins misses 3-pt jump shot from 26 ft,0,2
10,1,10:31.0,Defensive rebound by A. Johnson,,0,2
11,1,10:22.0,I. Thomas makes 2-pt jump shot from 13 ft,,2,2
12,1,10:00.0,,R. Rondo makes 3-pt jump shot from 27 ft (assist by D. Cousins),2,5
13,1,9:53.0,Personal foul by W. Cauley-Stein (drawn by I. Thomas),,2,5
14,1,9:46.0,Shooting foul by W. Cauley-Stein (drawn by J. Crowder),,2,5
15,1,9:46.0,J. Crowder makes free throw 1 of 2,,3,5
16,1,9:46.0,,K. Koufos enters the game for W. Cauley-Stein,3,5
17,1,9:46.0,J. Crowder makes free throw 2 of 2,,4,5
18,1,9:29.0,,R. Rondo misses 2-pt jump shot from 20 ft,4,5
19,1,9:29.0,,Offensive rebound by B. McLemore,4,5
20,1,9:22.0,,K. Koufos misses 2-pt hook shot from 7 ft,4,5
21,1,9:20.0,,Offensive rebound by K. Koufos,4,5
22,1,9:20.0,,K. Koufos misses 2-pt layup from 2 ft,4,5
23,1,9:20.0,,Offensive rebound by Team,4,5
24,1,9:20.0,,Shooting foul by A. Johnson (drawn by K. Koufos),4,5
25,1,9:20.0,,K. Koufos makes free throw 1 of 2,4,6
26,1,9:20.0,,K. Koufos misses free throw 2 of 2,4,6
27,1,9:19.0,Defensive rebound by Team,,4,6
28,1,9:19.0,,Loose ball foul by D. Cousins (drawn by J. Sullinger),4,6
29,1,9:09.0,I. Thomas makes 2-pt jump shot from 10 ft (assist by J. Sullinger),,6,6
30,1,8:55.0,,B. McLemore makes 2-pt jump shot from 20 ft,6,8
31,1,8:39.0,J. Sullinger makes 2-pt jump shot from 13 ft (assist by A. Johnson),,8,8
32,1,8:34.0,,Turnover by R. Rondo (step out of bounds),8,8
33,1,8:26.0,J. Crowder misses 2-pt jump shot from 10 ft,,8,8
34,1,8:25.0,,Defensive rebound by D. Cousins,8,8
35,1,8:17.0,,K. Koufos misses 2-pt hook shot from 6 ft,8,8
36,1,8:16.0,Defensive rebound by A. Johnson,,8,8
37,1,8:09.0,I. Thomas makes 3-pt jump shot from 25 ft,,11,8
38,1,7:54.0,,R. Gay misses 2-pt jump shot from 13 ft,11,8
39,1,7:54.0,Defensive rebound by I. Thomas,,11,8
40,1,7:37.0,A. Bradley makes 3-pt jump shot from 26 ft (assist by I. Thomas),,14,8
41,1,7:35.0,,Sacramento full timeout,14,8
42,1,7:35.0,T. Zeller enters the game for J. Sullinger,,14,8
43,1,7:27.0,,Turnover by K. Koufos (lost ball; steal by A. Bradley),14,8
44,1,7:24.0,Shooting foul by B. McLemore (drawn by A. Johnson),,14,8
45,1,7:24.0,A. Johnson makes free throw 1 of 2,,15,8
46,1,7:24.0,A. Johnson makes free throw 2 of 2,,16,8
47,1,7:06.0,,R. Rondo misses 2-pt jump shot from 4 ft,16,8
48,1,7:01.0,,Offensive rebound by K. Koufos,16,8
49,1,7:01.0,,K. Koufos makes 2-pt layup from 1 ft,16,10
50,1,6:45.0,A. Bradley misses 3-pt jump shot from 27 ft,,16,10
51,1,6:45.0,,Defensive rebound by R. Gay,16,10
52,1,6:38.0,,D. Cousins misses 2-pt jump shot from 17 ft,16,10
53,1,6:37.0,Defensive rebound by I. Thomas,,16,10
54,1,6:31.0,I. Thomas misses 2-pt jump shot from 13 ft,,16,10
55,1,6:30.0,,Defensive rebound by K. Koufos,16,10
56,1,6:12.0,,D. Cousins misses 2-pt jump shot from 3 ft (block by A. Johnson),16,10
57,1,6:10.0,Defensive rebound by I. Thomas,,16,10
58,1,6:06.0,A. Bradley misses 2-pt jump shot from 17 ft,,16,10
59,1,6:04.0,,Defensive rebound by R. Gay,16,10
60,1,5:59.0,,Turnover by R. Rondo (bad pass; steal by A. Bradley),16,10
61,1,5:53.0,J. Crowder misses 3-pt jump shot from 25 ft,,16,10
62,1,5:50.0,,Defensive rebound by K. Koufos,16,10
63,1,5:41.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by R. Rondo),16,13
64,1,5:28.0,A. Bradley makes 2-pt layup at rim (assist by I. Thomas),,18,13
65,1,5:09.0,,B. McLemore misses 3-pt jump shot from 24 ft,18,13
66,1,5:09.0,Defensive rebound by T. Zeller,,18,13
67,1,5:02.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by I. Thomas),,21,13
68,1,4:43.0,,Turnover by D. Cousins (bad pass; steal by I. Thomas),21,13
69,1,4:40.0,I. Thomas makes 2-pt layup from 1 ft,,23,13
70,1,4:40.0,,Sacramento full timeout,23,13
71,1,4:40.0,E. Turner enters the game for I. Thomas,,23,13
72,1,4:40.0,,M. Belinelli enters the game for B. McLemore,23,13
73,1,4:40.0,,D. Collison enters the game for R. Gay,23,13
74,1,4:40.0,,Q. Acy enters the game for D. Cousins,23,13
75,1,4:28.0,,Q. Acy misses 2-pt jump shot from 18 ft,23,13
76,1,4:27.0,Defensive rebound by J. Crowder,,23,13
77,1,4:14.0,Turnover by A. Bradley (bad pass; steal by Q. Acy),,23,13
78,1,4:03.0,,Turnover by D. Collison (lost ball; steal by A. Bradley),23,13
79,1,3:53.0,J. Crowder makes 2-pt layup from 2 ft (assist by A. Bradley),,25,13
80,1,3:30.0,,Q. Acy makes 2-pt layup from 1 ft (assist by R. Rondo),25,15
81,1,3:19.0,J. Crowder misses 3-pt jump shot from 25 ft,,25,15
82,1,3:19.0,,Defensive rebound by R. Rondo,25,15
