,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHARLOTTE_ACTION,PORTLAND_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,N. Vonleh misses 2-pt layup from 1 ft,,0,0
1,1,11:40.0,,Defensive rebound by M. Williams,0,0
2,1,11:17.0,,M. Williams misses 3-pt jump shot from 24 ft,0,0
3,1,11:16.0,Defensive rebound by M. Plumlee,,0,0
4,1,11:06.0,C. McCollum makes 2-pt jump shot from 13 ft,,2,0
5,1,10:50.0,,A. Jefferson makes 2-pt layup from 2 ft (assist by N. Batum),2,2
6,1,10:32.0,N. Vonleh makes 2-pt hook shot from 4 ft,,4,2
7,1,10:17.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by M. Williams),4,5
8,1,10:01.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,7,5
9,1,9:48.0,,P. Hairston misses 3-pt jump shot from 25 ft,7,5
10,1,9:46.0,Defensive rebound by D. Lillard,,7,5
11,1,9:33.0,Turnover by D. Lillard (bad pass; steal by M. Williams),,7,5
12,1,9:29.0,,Shooting foul by A. Aminu (drawn by M. Williams),7,5
13,1,9:29.0,,M. Williams misses free throw 1 of 2,7,5
14,1,9:29.0,,Offensive rebound by Team,7,5
15,1,9:29.0,,M. Williams makes free throw 2 of 2,7,6
16,1,9:06.0,M. Plumlee makes 2-pt layup at rim (assist by C. McCollum),,9,6
17,1,8:52.0,,Personal foul by A. Aminu (drawn by N. Batum),9,6
18,1,8:52.0,M. Harkless enters the game for A. Aminu,,9,6
19,1,8:44.0,,N. Batum makes 3-pt jump shot from 24 ft (assist by K. Walker),9,9
20,1,8:23.0,C. McCollum misses 2-pt jump shot from 14 ft,,9,9
21,1,8:22.0,,Defensive rebound by A. Jefferson,9,9
22,1,8:12.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),9,12
23,1,7:55.0,M. Plumlee misses 2-pt layup from 1 ft,,9,12
24,1,7:53.0,,Defensive rebound by Team,9,12
25,1,7:53.0,Loose ball foul by M. Plumlee (drawn by K. Walker),,9,12
26,1,7:36.0,,K. Walker makes 2-pt jump shot from 16 ft (assist by A. Jefferson),9,14
27,1,7:27.0,D. Lillard makes 2-pt jump shot from 17 ft,,11,14
28,1,7:10.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by N. Batum),11,16
29,1,6:51.0,D. Lillard misses 2-pt jump shot from 7 ft,,11,16
30,1,6:50.0,Offensive rebound by D. Lillard,,11,16
31,1,6:44.0,D. Lillard makes 3-pt jump shot from 23 ft,,14,16
32,1,6:38.0,,Charlotte full timeout,14,16
33,1,6:30.0,,N. Batum misses 3-pt jump shot from 24 ft,14,16
34,1,6:29.0,Defensive rebound by Team,,14,16
35,1,6:08.0,N. Vonleh makes 2-pt dunk at rim (assist by M. Plumlee),,16,16
36,1,5:48.0,,M. Williams misses 2-pt jump shot from 4 ft,16,16
37,1,5:46.0,,Offensive rebound by A. Jefferson,16,16
38,1,5:31.0,,A. Jefferson makes 2-pt layup from 2 ft (assist by N. Batum),16,18
