,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA CLIPPERS_ACTION,PHOENIX_SCORE,LA CLIPPERS_SCORE
0,1,11:49.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by P. Pierce),0,3
1,1,11:32.0,A. Len misses 2-pt jump shot from 17 ft (block by D. Jordan),,0,3
2,1,11:31.0,,Defensive rebound by Team,0,3
3,1,11:26.0,,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by C. Paul),0,5
4,1,11:14.0,Offensive foul by A. Len (drawn by J. Redick),,0,5
5,1,11:14.0,Turnover by A. Len (offensive foul),,0,5
6,1,10:57.0,,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by J. Redick),0,7
7,1,10:57.0,,Shooting foul by P. Tucker (drawn by L. Mbah a Moute),0,7
8,1,10:57.0,,L. Mbah a Moute misses free throw 1 of 1,0,7
9,1,10:54.0,Defensive rebound by K. Humphries,,0,7
10,1,10:41.0,R. Price makes 3-pt jump shot from 26 ft,,3,7
11,1,10:27.0,,Personal foul by D. Booker,3,7
12,1,10:18.0,,P. Pierce makes 3-pt jump shot from 27 ft (assist by C. Paul),3,10
13,1,10:09.0,R. Price makes 3-pt jump shot from 24 ft (assist by D. Booker),,6,10
14,1,9:51.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),6,13
15,1,9:40.0,K. Humphries misses 2-pt jump shot from 22 ft,,6,13
16,1,9:39.0,,Defensive rebound by C. Paul,6,13
17,1,9:31.0,,P. Pierce misses 3-pt jump shot from 25 ft,6,13
18,1,9:29.0,Defensive rebound by D. Booker,,6,13
19,1,9:22.0,D. Booker misses 2-pt jump shot from 22 ft,,6,13
20,1,9:22.0,,Defensive rebound by D. Jordan,6,13
21,1,9:22.0,Loose ball foul by K. Humphries,,6,13
22,1,9:14.0,,J. Redick misses 2-pt jump shot from 22 ft,6,13
23,1,9:13.0,Defensive rebound by R. Price,,6,13
24,1,8:58.0,K. Humphries misses 3-pt jump shot from 26 ft,,6,13
25,1,8:57.0,,Defensive rebound by L. Mbah a Moute,6,13
26,1,8:38.0,,C. Paul misses 2-pt jump shot from 17 ft,6,13
27,1,8:37.0,,Offensive rebound by L. Mbah a Moute,6,13
28,1,8:32.0,,Turnover by L. Mbah a Moute (bad pass; steal by A. Len),6,13
29,1,8:29.0,Turnover by R. Price (bad pass; steal by C. Paul),,6,13
30,1,8:23.0,,C. Paul makes 2-pt jump shot from 12 ft,6,15
31,1,8:01.0,K. Humphries misses 2-pt layup from 3 ft,,6,15
32,1,7:58.0,,Defensive rebound by L. Mbah a Moute,6,15
33,1,7:43.0,,D. Jordan misses 2-pt hook shot from 5 ft,6,15
34,1,7:41.0,Defensive rebound by A. Len,,6,15
35,1,7:23.0,R. Price misses 3-pt jump shot from 23 ft,,6,15
36,1,7:21.0,,Defensive rebound by J. Redick,6,15
37,1,7:19.0,,Shooting foul by P. Tucker (drawn by P. Pierce),6,15
38,1,7:19.0,,P. Pierce makes free throw 1 of 2,6,16
39,1,7:19.0,A. Goodwin enters the game for P. Tucker,,6,16
40,1,7:19.0,,P. Pierce makes free throw 2 of 2,6,17
41,1,7:04.0,A. Len misses 2-pt layup from 2 ft,,6,17
42,1,7:01.0,,Defensive rebound by D. Jordan,6,17
43,1,6:58.0,,Turnover by L. Mbah a Moute (bad pass; steal by R. Price),6,17
44,1,6:46.0,D. Booker misses 2-pt layup from 3 ft (block by D. Jordan),,6,17
45,1,6:44.0,,Defensive rebound by D. Jordan,6,17
46,1,6:36.0,,J. Redick misses 3-pt jump shot from 23 ft,6,17
47,1,6:35.0,Defensive rebound by K. Humphries,,6,17
48,1,6:26.0,D. Booker misses 3-pt jump shot from 22 ft,,6,17
49,1,6:24.0,,Defensive rebound by L. Mbah a Moute,6,17
50,1,6:23.0,,LA Clippers full timeout,6,17
51,1,6:23.0,,W. Johnson enters the game for P. Pierce,6,17
