,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CLEVELAND_ACTION,GOLDEN STATE_SCORE,CLEVELAND_SCORE
0,1,11:43.0,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),,2,0
1,1,11:16.0,,L. James makes 2-pt layup from 1 ft (assist by K. Love),2,2
2,1,11:03.0,S. Curry makes 3-pt jump shot from 28 ft,,5,2
3,1,10:40.0,,K. Irving misses 2-pt layup from 2 ft,5,2
4,1,10:39.0,Defensive rebound by H. Barnes,,5,2
5,1,10:28.0,K. Thompson makes 2-pt jump shot from 18 ft,,7,2
6,1,10:17.0,,K. Love misses 2-pt jump shot from 22 ft,7,2
7,1,10:17.0,Defensive rebound by A. Bogut,,7,2
8,1,10:10.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),,10,2
9,1,10:10.0,,Cleveland full timeout,10,2
10,1,9:54.0,,Turnover by K. Love (bad pass; steal by S. Curry),10,2
11,1,9:49.0,S. Curry makes 2-pt layup from 1 ft,,12,2
12,1,9:33.0,,K. Irving misses 2-pt jump shot from 4 ft,12,2
13,1,9:32.0,Defensive rebound by A. Bogut,,12,2
14,1,9:22.0,K. Thompson misses 3-pt jump shot from 24 ft,,12,2
15,1,9:20.0,,Defensive rebound by J. Smith,12,2
16,1,9:02.0,,T. Mozgov makes 2-pt hook shot from 5 ft (assist by L. James),12,4
17,1,8:51.0,Shooting foul by T. Mozgov (drawn by A. Bogut),,12,4
18,1,8:51.0,A. Bogut misses free throw 1 of 2,,12,4
19,1,8:51.0,Offensive rebound by Team,,12,4
20,1,8:51.0,A. Bogut misses free throw 2 of 2,,12,4
21,1,8:50.0,,Defensive rebound by T. Mozgov,12,4
22,1,8:36.0,,L. James misses 3-pt jump shot from 24 ft,12,4
23,1,8:36.0,Defensive rebound by A. Bogut,,12,4
24,1,8:23.0,D. Green misses 3-pt jump shot from 25 ft,,12,4
25,1,8:22.0,,Defensive rebound by L. James,12,4
26,1,8:15.0,,Turnover by L. James (lost ball),12,4
27,1,8:06.0,A. Bogut misses 2-pt jump shot from 5 ft,,12,4
28,1,8:03.0,,Defensive rebound by K. Love,12,4
29,1,7:49.0,,Shooting foul by K. Thompson (drawn by J. Smith),12,4
30,1,7:49.0,,J. Smith misses free throw 1 of 2,12,4
31,1,7:49.0,,Offensive rebound by Team,12,4
32,1,7:49.0,,J. Smith makes free throw 2 of 2,12,5
33,1,7:30.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Green),,15,5
34,1,7:15.0,,J. Smith misses 2-pt jump shot from 4 ft,15,5
35,1,7:14.0,,Offensive rebound by J. Smith,15,5
36,1,7:04.0,,T. Mozgov makes 2-pt jump shot from 16 ft (assist by J. Smith),15,7
37,1,6:46.0,S. Curry misses 3-pt jump shot from 24 ft,,15,7
38,1,6:45.0,,Defensive rebound by K. Irving,15,7
39,1,6:30.0,,T. Mozgov makes 2-pt hook shot from 6 ft (assist by L. James),15,9
40,1,6:11.0,D. Green misses 2-pt layup from 1 ft,,15,9
41,1,6:10.0,,Defensive rebound by T. Mozgov,15,9
42,1,6:02.0,,J. Smith makes 2-pt jump shot from 6 ft,15,11
43,1,5:58.0,Golden State full timeout,,15,11
44,1,5:58.0,,M. Dellavedova enters the game for K. Irving,15,11
45,1,5:58.0,A. Iguodala enters the game for H. Barnes,,15,11
46,1,5:49.0,S. Curry makes 3-pt jump shot from 23 ft (assist by A. Iguodala),,18,11
47,1,5:27.0,,T. Mozgov misses 2-pt layup from 2 ft (block by D. Green),18,11
48,1,5:25.0,Defensive rebound by Team,,18,11
49,1,5:00.0,A. Iguodala makes 3-pt jump shot from 22 ft (assist by D. Green),,21,11
50,1,4:45.0,,Personal foul by A. Iguodala (drawn by L. James),21,11
51,1,4:45.0,,T. Thompson enters the game for T. Mozgov,21,11
52,1,4:45.0,F. Ezeli enters the game for A. Bogut,,21,11
53,1,4:32.0,,L. James misses 2-pt jump shot from 20 ft,21,11
54,1,4:31.0,Defensive rebound by F. Ezeli,,21,11
55,1,4:16.0,K. Thompson misses 2-pt layup from 1 ft,,21,11
56,1,4:15.0,,Defensive rebound by K. Love,21,11
57,1,4:11.0,,Personal foul by S. Curry (drawn by M. Dellavedova),21,11
58,1,4:11.0,L. Barbosa enters the game for K. Thompson,,21,11
59,1,4:03.0,,L. James makes 2-pt layup at rim (assist by M. Dellavedova),21,13
60,1,3:49.0,F. Ezeli makes 2-pt dunk at rim (assist by D. Green),,23,13
61,1,3:25.0,,J. Smith makes 2-pt jump shot from 17 ft,23,15
62,1,3:10.0,F. Ezeli makes 2-pt dunk at rim (assist by D. Green),,25,15
63,1,2:49.0,,M. Dellavedova misses 2-pt jump shot from 6 ft,25,15
64,1,2:47.0,,Offensive rebound by K. Love,25,15
65,1,2:44.0,,K. Love misses 2-pt jump shot from 8 ft,25,15
66,1,2:43.0,Defensive rebound by D. Green,,25,15
67,1,2:38.0,Shooting foul by T. Thompson (drawn by D. Green),,25,15
68,1,2:38.0,D. Green misses free throw 1 of 2,,25,15
69,1,2:38.0,Offensive rebound by Team,,25,15
70,1,2:38.0,,I. Shumpert enters the game for K. Love,25,15
71,1,2:38.0,D. Green makes free throw 2 of 2,,26,15
72,1,2:21.0,,J. Smith makes 2-pt jump shot from 10 ft,26,17
73,1,2:04.0,Personal foul by I. Shumpert (drawn by S. Curry),,26,17
74,1,2:04.0,H. Barnes enters the game for D. Green,,26,17
75,1,1:58.0,S. Curry makes 2-pt layup from 1 ft (assist by A. Iguodala),,28,17
76,1,1:34.0,,Personal foul by F. Ezeli (drawn by L. James),28,17
77,1,1:28.0,,J. Smith makes 2-pt layup from 1 ft (assist by L. James),28,19
78,1,1:18.0,S. Curry makes 3-pt jump shot from 27 ft,,31,19
79,1,1:03.0,,Offensive foul by L. James (drawn by S. Curry),31,19
80,1,1:03.0,,Turnover by L. James (offensive foul),31,19
81,1,1:03.0,,Violation by Team (delay of game),31,19
82,1,0:58.0,S. Curry makes 3-pt jump shot from 24 ft (assist by L. Barbosa),,34,19
83,1,0:43.0,,L. James misses 2-pt layup from 1 ft,34,19
84,1,0:43.0,Defensive rebound by Team,,34,19
85,1,0:43.0,,Loose ball foul by T. Thompson (drawn by H. Barnes),34,19
86,1,0:43.0,,A. Varejão enters the game for T. Thompson,34,19
87,1,0:31.0,Turnover by S. Curry (bad pass; steal by L. James),,34,19
88,1,0:29.0,,L. James makes 2-pt dunk at rim,34,21
89,1,0:08.0,H. Barnes misses 3-pt jump shot from 22 ft,,34,21
90,1,0:07.0,Offensive rebound by F. Ezeli,,34,21
91,1,0:07.0,F. Ezeli misses 2-pt layup from 1 ft,,34,21
92,1,0:03.0,,Defensive rebound by L. James,34,21
93,2,11:46.0,,K. Irving misses 2-pt jump shot from 20 ft,34,21
94,2,11:45.0,Defensive rebound by H. Barnes,,34,21
95,2,11:30.0,H. Barnes misses 2-pt jump shot from 19 ft,,34,21
96,2,11:29.0,,Defensive rebound by Team,34,21
97,2,11:14.0,,I. Shumpert makes 2-pt jump shot from 18 ft,34,23
98,2,10:53.0,H. Barnes makes 2-pt jump shot from 8 ft,,36,23
99,2,10:41.0,,K. Irving misses 2-pt jump shot from 8 ft,36,23
100,2,10:39.0,,Offensive rebound by K. Irving,36,23
101,2,10:36.0,,Turnover by K. Irving (bad pass; steal by L. Barbosa),36,23
102,2,10:32.0,A. Iguodala makes 2-pt dunk at rim (assist by L. Barbosa),,38,23
103,2,10:18.0,,Turnover by Team (5 sec inbounds),38,23
104,2,9:55.0,Turnover by H. Barnes (lost ball),,38,23
105,2,9:55.0,K. Thompson enters the game for L. Barbosa,,38,23
106,2,9:45.0,,A. Varejão makes 2-pt jump shot from 15 ft (assist by K. Irving),38,25
107,2,9:35.0,Offensive foul by F. Ezeli (drawn by A. Varejão),,38,25
108,2,9:35.0,Turnover by F. Ezeli (offensive foul),,38,25
109,2,9:35.0,D. Green enters the game for A. Iguodala,,38,25
110,2,9:35.0,,R. Jefferson enters the game for M. Dellavedova,38,25
111,2,9:22.0,,K. Love misses 3-pt jump shot from 23 ft,38,25
112,2,9:21.0,Defensive rebound by K. Thompson,,38,25
113,2,9:14.0,D. Green makes 3-pt jump shot from 24 ft (assist by K. Thompson),,41,25
114,2,9:02.0,,A. Varejão makes 2-pt jump shot from 6 ft (assist by K. Irving),41,27
115,2,8:54.0,S. Livingston makes 2-pt jump shot from 12 ft,,43,27
116,2,8:53.0,,Cleveland full timeout,43,27
117,2,8:53.0,,L. James enters the game for K. Love,43,27
118,2,8:38.0,,L. James makes 2-pt layup from 2 ft,43,29
119,2,8:16.0,K. Thompson misses 2-pt jump shot from 11 ft,,43,29
120,2,8:15.0,,Defensive rebound by A. Varejão,43,29
121,2,8:05.0,,K. Irving makes 2-pt jump shot from 17 ft,43,31
122,2,7:50.0,S. Livingston makes 2-pt layup from 1 ft (assist by D. Green),,45,31
123,2,7:35.0,,A. Varejão misses 2-pt jump shot from 16 ft,45,31
124,2,7:35.0,,Offensive rebound by Team,45,31
125,2,7:35.0,Loose ball foul by F. Ezeli (drawn by L. James),,45,31
126,2,7:35.0,A. Iguodala enters the game for F. Ezeli,,45,31
127,2,7:35.0,S. Curry enters the game for H. Barnes,,45,31
128,2,7:35.0,,J. Smith enters the game for A. Varejão,45,31
129,2,7:18.0,,L. James misses 2-pt jump shot from 10 ft,45,31
130,2,7:16.0,Defensive rebound by S. Livingston,,45,31
131,2,7:12.0,A. Iguodala makes 2-pt dunk at rim (assist by S. Curry),,47,31
132,2,6:55.0,,Shooting foul by S. Curry (drawn by R. Jefferson),47,31
133,2,6:55.0,,R. Jefferson misses free throw 1 of 2,47,31
134,2,6:55.0,,Offensive rebound by Team,47,31
135,2,6:55.0,,R. Jefferson makes free throw 2 of 2,47,32
136,2,6:42.0,D. Green makes 2-pt jump shot from 4 ft (assist by S. Livingston),,49,32
137,2,6:42.0,Shooting foul by R. Jefferson (drawn by D. Green),,49,32
138,2,6:42.0,D. Green makes free throw 1 of 1,,50,32
139,2,6:27.0,,K. Irving misses 2-pt jump shot from 17 ft,50,32
140,2,6:25.0,Defensive rebound by D. Green,,50,32
141,2,6:23.0,Turnover by D. Green (bad pass; steal by J. Smith),,50,32
142,2,6:23.0,,Personal foul by S. Livingston (drawn by J. Smith),50,32
143,2,5:59.0,,Turnover by R. Jefferson (lost ball; steal by S. Livingston),50,32
144,2,5:53.0,A. Iguodala makes 2-pt dunk at rim (assist by S. Livingston),,52,32
145,2,5:53.0,,Cleveland full timeout,52,32
146,2,5:53.0,Official timeout,,52,32
147,2,5:53.0,,T. Mozgov enters the game for I. Shumpert,52,32
148,2,5:42.0,,K. Irving misses 3-pt jump shot from 25 ft,52,32
149,2,5:41.0,Defensive rebound by S. Curry,,52,32
150,2,5:26.0,S. Curry makes 2-pt layup at rim (assist by K. Thompson),,54,32
151,2,5:26.0,Shooting foul by T. Mozgov (drawn by S. Curry),,54,32
152,2,5:26.0,S. Curry makes free throw 1 of 1,,55,32
153,2,5:05.0,,K. Irving misses 2-pt jump shot from 12 ft,55,32
154,2,5:04.0,Defensive rebound by A. Iguodala,,55,32
155,2,5:04.0,Personal foul by T. Mozgov (drawn by S. Curry),,55,32
156,2,5:04.0,,T. Thompson enters the game for T. Mozgov,55,32
157,2,4:52.0,S. Curry misses 2-pt jump shot from 4 ft,,55,32
158,2,4:51.0,,Defensive rebound by K. Irving,55,32
159,2,4:38.0,,Turnover by L. James (lost ball; steal by S. Curry),55,32
160,2,4:32.0,S. Curry makes 2-pt layup at rim,,57,32
161,2,4:09.0,,J. Smith makes 2-pt jump shot from 5 ft,57,34
162,2,3:58.0,K. Thompson makes 2-pt jump shot from 10 ft,,59,34
163,2,3:44.0,,L. James misses 2-pt jump shot from 3 ft (block by D. Green),59,34
164,2,3:42.0,Defensive rebound by D. Green,,59,34
165,2,3:37.0,K. Thompson misses 3-pt jump shot from 22 ft,,59,34
