,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
62,1,4:34.0,M. Dellavedova enters the game for K. Irving,,18,15
63,1,4:23.0,Shooting foul by M. Morris (drawn by L. James),,18,15
64,1,4:23.0,L. James misses free throw 1 of 2,,18,15
65,1,4:23.0,Offensive rebound by Team,,18,15
66,1,4:23.0,L. James makes free throw 2 of 2,,19,15
67,1,4:09.0,,M. Morris misses 3-pt jump shot from 25 ft,19,15
68,1,4:07.0,Defensive rebound by K. Love,,19,15
69,1,3:59.0,K. Love makes 3-pt jump shot from 25 ft (assist by J. Smith),,22,15
70,1,3:52.0,,Detroit full timeout,22,15
71,1,3:52.0,,S. Johnson enters the game for M. Morris,22,15
72,1,3:35.0,,A. Drummond makes 2-pt jump shot from 6 ft (assist by S. Johnson),22,17
73,1,3:21.0,Turnover by L. James (bad pass; steal by K. Caldwell-Pope),,22,17
74,1,3:14.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by S. Johnson),22,19
75,1,2:53.0,T. Mozgov makes 2-pt jump shot from 7 ft (assist by L. James),,24,19
76,1,2:36.0,,A. Drummond misses 2-pt hook shot from 5 ft,24,19
77,1,2:35.0,,Offensive rebound by S. Johnson,24,19
78,1,2:32.0,,S. Johnson makes 2-pt dunk at rim,24,21
79,1,2:19.0,Def 3 sec tech foul by A. Drummond,,24,21
80,1,2:19.0,L. James makes technical free throw,,25,21
81,1,2:19.0,,B. Jennings enters the game for R. Jackson,25,21
82,1,2:19.0,T. Thompson enters the game for K. Love,,25,21
83,1,2:19.0,I. Shumpert enters the game for J. Smith,,25,21
84,1,2:15.0,T. Thompson makes 2-pt layup at rim (assist by M. Dellavedova),,27,21
85,1,2:15.0,Shooting foul by A. Drummond (drawn by T. Thompson),,27,21
86,1,2:15.0,T. Thompson makes free throw 1 of 1,,28,21
87,1,1:59.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by S. Johnson),28,23
88,1,1:59.0,,Shooting foul by T. Mozgov (drawn by A. Drummond),28,23
89,1,1:59.0,,A. Drummond misses free throw 1 of 1,28,23
90,1,1:58.0,Defensive rebound by L. James,,28,23
91,1,1:36.0,T. Thompson misses 2-pt jump shot from 8 ft,,28,23
92,1,1:35.0,Offensive rebound by T. Mozgov,,28,23
93,1,1:32.0,I. Shumpert makes 3-pt jump shot from 26 ft (assist by T. Mozgov),,31,23
94,1,1:11.0,,A. Drummond misses 2-pt dunk at rim,31,23
95,1,1:10.0,Defensive rebound by I. Shumpert,,31,23
96,1,1:04.0,Turnover by I. Shumpert (bad pass; steal by S. Johnson),,31,23
97,1,0:57.0,,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by A. Tolliver),31,26
98,1,0:41.0,L. James makes 2-pt jump shot from 7 ft (assist by M. Dellavedova),,33,26
99,1,0:27.0,,A. Drummond misses 2-pt layup at rim,33,26
100,1,0:26.0,,Offensive rebound by A. Drummond,33,26
101,1,0:26.0,,Shooting foul by I. Shumpert (drawn by A. Drummond),33,26
102,1,0:26.0,,A. Drummond misses free throw 1 of 2,33,26
103,1,0:26.0,,Offensive rebound by Team,33,26
104,1,0:26.0,,A. Drummond makes free throw 2 of 2,33,27
105,1,0:03.0,L. James misses 2-pt jump shot from 19 ft,,33,27
106,1,0:02.0,Offensive rebound by M. Dellavedova,,33,27
107,2,11:46.0,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by K. Love),,36,27
108,2,11:27.0,,S. Johnson misses 2-pt jump shot from 18 ft,36,27
109,2,11:26.0,,Offensive rebound by A. Tolliver,36,27
110,2,11:20.0,,B. Jennings misses 3-pt jump shot from 24 ft,36,27
111,2,11:19.0,Defensive rebound by T. Thompson,,36,27
112,2,11:08.0,K. Love misses 3-pt jump shot from 24 ft,,36,27
113,2,11:05.0,,Defensive rebound by A. Baynes,36,27
114,2,11:02.0,,Shooting foul by I. Shumpert (drawn by S. Johnson),36,27
115,2,11:02.0,,S. Johnson makes free throw 1 of 2,36,28
116,2,11:02.0,,S. Johnson makes free throw 2 of 2,36,29
117,2,10:39.0,K. Love misses 2-pt hook shot from 6 ft,,36,29
118,2,10:38.0,,Defensive rebound by M. Morris,36,29
119,2,10:28.0,,M. Morris makes 2-pt jump shot from 18 ft,36,31
120,2,10:09.0,I. Shumpert misses 3-pt jump shot from 26 ft,,36,31
121,2,10:08.0,Offensive rebound by M. Dellavedova,,36,31
122,2,9:53.0,T. Thompson makes 2-pt layup at rim (assist by M. Dellavedova),,38,31
123,2,9:49.0,,Detroit full timeout,38,31
124,2,9:49.0,K. Irving enters the game for M. Dellavedova,,38,31
125,2,9:37.0,,Shooting foul by R. Jefferson (drawn by M. Morris),38,31
126,2,9:37.0,,M. Morris makes free throw 1 of 2,38,32
127,2,9:37.0,,M. Morris makes free throw 2 of 2,38,33
128,2,9:20.0,Shooting foul by A. Tolliver (drawn by K. Love),,38,33
129,2,9:20.0,K. Love makes free throw 1 of 2,,39,33
130,2,9:20.0,K. Love makes free throw 2 of 2,,40,33
131,2,9:03.0,,Turnover by B. Jennings (bad pass; steal by R. Jefferson),40,33
132,2,9:03.0,Personal foul by A. Baynes (drawn by R. Jefferson),,40,33
133,2,8:41.0,K. Irving makes 2-pt jump shot from 13 ft,,42,33
134,2,8:31.0,,Offensive foul by A. Baynes (drawn by I. Shumpert),42,33
135,2,8:31.0,,Turnover by A. Baynes (offensive foul),42,33
136,2,8:31.0,,E. İlyasova enters the game for A. Tolliver,42,33
137,2,8:22.0,Shooting foul by A. Baynes (drawn by K. Irving),,42,33
138,2,8:22.0,K. Irving misses free throw 1 of 2,,42,33
139,2,8:22.0,Offensive rebound by Team,,42,33
140,2,8:22.0,,R. Jackson enters the game for B. Jennings,42,33
141,2,8:22.0,,A. Drummond enters the game for A. Baynes,42,33
142,2,8:22.0,,Violation by Team (jump ball),42,33
143,2,8:22.0,K. Irving makes free throw 2 of 2,,43,33
144,2,8:08.0,,R. Jackson misses 2-pt jump shot from 10 ft,43,33
145,2,8:08.0,Defensive rebound by K. Love,,43,33
146,2,8:01.0,K. Irving misses 2-pt jump shot from 7 ft,,43,33
147,2,8:01.0,,Defensive rebound by S. Johnson,43,33
148,2,7:53.0,,S. Johnson makes 2-pt layup at rim,43,35
149,2,7:30.0,K. Irving makes 2-pt jump shot from 14 ft,,45,35
150,2,7:24.0,,Personal foul by K. Love (drawn by E. İlyasova),45,35
151,2,7:19.0,,Personal foul by K. Irving (drawn by R. Jackson),45,35
152,2,7:05.0,,M. Morris misses 3-pt jump shot from 25 ft,45,35
153,2,7:04.0,Defensive rebound by T. Thompson,,45,35
154,2,6:58.0,Shooting foul by M. Morris (drawn by T. Thompson),,45,35
155,2,6:58.0,T. Thompson makes free throw 1 of 2,,46,35
156,2,6:58.0,T. Thompson makes free throw 2 of 2,,47,35
157,2,6:38.0,,A. Drummond makes 2-pt hook shot from 5 ft,47,37
158,2,6:22.0,R. Jefferson misses 3-pt jump shot from 25 ft,,47,37
159,2,6:22.0,,Defensive rebound by E. İlyasova,47,37
160,2,6:17.0,,Personal foul by R. Jefferson (drawn by M. Morris),47,37
161,2,6:17.0,,M. Morris makes free throw 1 of 2,47,38
162,2,6:17.0,,K. Caldwell-Pope enters the game for S. Johnson,47,38
163,2,6:17.0,J. Smith enters the game for I. Shumpert,,47,38
164,2,6:17.0,L. James enters the game for R. Jefferson,,47,38
165,2,6:17.0,,M. Morris makes free throw 2 of 2,47,39
166,2,6:02.0,T. Thompson makes 2-pt dunk at rim (assist by K. Love),,49,39
167,2,5:51.0,,Shooting foul by K. Irving (drawn by R. Jackson),49,39
168,2,5:51.0,Official timeout,,49,39
169,2,5:51.0,,R. Jackson makes free throw 1 of 2,49,40
170,2,5:51.0,,R. Jackson makes free throw 2 of 2,49,41
171,2,5:36.0,K. Irving makes 2-pt jump shot from 4 ft,,51,41
172,2,5:17.0,,A. Drummond makes 2-pt layup at rim,51,43
173,2,5:02.0,Shooting foul by M. Morris (drawn by K. Irving),,51,43
174,2,5:02.0,K. Irving makes free throw 1 of 2,,52,43
175,2,5:02.0,,S. Johnson enters the game for M. Morris,52,43
176,2,5:02.0,K. Irving makes free throw 2 of 2,,53,43
177,2,4:41.0,,E. İlyasova misses 3-pt jump shot from 26 ft,53,43
178,2,4:41.0,Defensive rebound by L. James,,53,43
179,2,4:39.0,Shooting foul by K. Caldwell-Pope (drawn by K. Love),,53,43
180,2,4:39.0,K. Love makes free throw 1 of 2,,54,43
181,2,4:39.0,M. Dellavedova enters the game for K. Irving,,54,43
182,2,4:39.0,K. Love makes free throw 2 of 2,,55,43
183,2,4:22.0,,S. Johnson makes 3-pt jump shot from 22 ft (assist by R. Jackson),55,46
184,2,3:55.0,L. James misses 2-pt jump shot from 14 ft,,55,46
185,2,3:54.0,,Defensive rebound by E. İlyasova,55,46
186,2,3:48.0,,A. Drummond makes 2-pt layup at rim (assist by R. Jackson),55,48
187,2,3:36.0,K. Love makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),,58,48
188,2,3:19.0,,R. Jackson misses 3-pt jump shot from 25 ft,58,48
189,2,3:18.0,Defensive rebound by L. James,,58,48
190,2,3:10.0,T. Thompson misses 2-pt jump shot from 5 ft (block by A. Drummond),,58,48
191,2,3:08.0,,Defensive rebound by R. Jackson,58,48
192,2,3:02.0,,S. Johnson misses 2-pt jump shot from 7 ft,58,48
193,2,3:00.0,Defensive rebound by K. Love,,58,48
194,2,2:59.0,L. James misses 3-pt jump shot from 27 ft (block by K. Caldwell-Pope),,58,48
195,2,2:59.0,Offensive rebound by Team,,58,48
196,2,2:59.0,Cleveland full timeout,,58,48
197,2,2:56.0,M. Dellavedova misses 2-pt jump shot from 16 ft,,58,48
198,2,2:55.0,,Defensive rebound by A. Drummond,58,48
199,2,2:41.0,,E. İlyasova makes 2-pt layup at rim (assist by K. Caldwell-Pope),58,50
200,2,2:31.0,Personal foul by S. Johnson (drawn by L. James),,58,50
201,2,2:31.0,L. James makes free throw 1 of 2,,59,50
202,2,2:31.0,,A. Tolliver enters the game for E. İlyasova,59,50
203,2,2:31.0,J. Cunningham enters the game for M. Dellavedova,,59,50
204,2,2:31.0,L. James makes free throw 2 of 2,,60,50
205,2,2:31.0,,Personal take foul by J. Cunningham (drawn by A. Drummond),60,50
206,2,2:31.0,,A. Drummond misses free throw 1 of 2,60,50
207,2,2:31.0,,Offensive rebound by Team,60,50
208,2,2:31.0,M. Dellavedova enters the game for J. Cunningham,,60,50
209,2,2:31.0,,A. Drummond misses free throw 2 of 2,60,50
210,2,2:30.0,Defensive rebound by K. Love,,60,50
211,2,2:16.0,Shooting foul by S. Johnson (drawn by K. Love),,60,50
212,2,2:16.0,K. Love makes free throw 1 of 2,,61,50
213,2,2:16.0,,J. Anthony enters the game for A. Drummond,61,50
214,2,2:16.0,K. Love makes free throw 2 of 2,,62,50
215,2,2:05.0,,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by A. Tolliver),62,53
216,2,2:05.0,,Shooting foul by K. Love (drawn by K. Caldwell-Pope),62,53
217,2,2:05.0,K. Irving enters the game for K. Love,,62,53
218,2,2:05.0,,K. Caldwell-Pope makes free throw 1 of 1,62,54
219,2,1:51.0,Personal foul by J. Anthony (drawn by K. Irving),,62,54
220,2,1:51.0,K. Irving makes free throw 1 of 2,,63,54
221,2,1:51.0,K. Irving makes free throw 2 of 2,,64,54
222,2,1:25.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,64,54
223,2,1:25.0,,Offensive rebound by J. Anthony,64,54
224,2,1:17.0,,R. Jackson makes 2-pt jump shot from 21 ft,64,56
225,2,0:57.0,K. Irving misses 2-pt jump shot from 15 ft,,64,56
226,2,0:55.0,,Defensive rebound by K. Caldwell-Pope,64,56
227,2,0:48.0,,A. Tolliver misses 3-pt jump shot from 22 ft,64,56
228,2,0:48.0,Defensive rebound by L. James,,64,56
229,2,0:39.0,J. Smith misses 3-pt jump shot from 24 ft,,64,56
230,2,0:38.0,,Defensive rebound by A. Tolliver,64,56
231,2,0:30.0,,R. Jackson misses 3-pt jump shot from 27 ft,64,56
232,2,0:29.0,Defensive rebound by T. Thompson,,64,56
233,2,0:09.0,L. James makes 2-pt jump shot from 15 ft,,66,56
234,2,0:02.0,,R. Jackson makes 2-pt layup at rim,66,58
235,3,11:42.0,L. James makes 2-pt jump shot from 14 ft,,68,58
236,3,11:29.0,,Personal foul by L. James (drawn by M. Morris),68,58
237,3,11:18.0,,R. Jackson misses 2-pt jump shot from 4 ft,68,58
238,3,11:18.0,Defensive rebound by T. Thompson,,68,58
239,3,11:01.0,J. Smith makes 3-pt jump shot from 23 ft (assist by K. Irving),,71,58
240,3,10:44.0,,M. Morris misses 2-pt jump shot from 2 ft,71,58
241,3,10:44.0,Defensive rebound by J. Smith,,71,58
242,3,10:38.0,K. Irving misses 2-pt jump shot from 5 ft (block by A. Drummond),,71,58
243,3,10:38.0,,Defensive rebound by R. Jackson,71,58
244,3,10:34.0,,Personal foul by L. James (drawn by R. Jackson),71,58
245,3,10:23.0,,A. Drummond misses 2-pt jump shot from 5 ft,71,58
246,3,10:23.0,Defensive rebound by T. Thompson,,71,58
247,3,10:13.0,L. James misses 3-pt jump shot from 25 ft,,71,58
248,3,10:13.0,,Defensive rebound by A. Drummond,71,58
