,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CHICAGO_ACTION,LA CLIPPERS_SCORE,CHICAGO_SCORE
0,1,11:44.0,J. Redick makes 2-pt jump shot from 21 ft (assist by L. Mbah a Moute),,2,0
1,1,11:31.0,,P. Gasol makes 2-pt jump shot from 20 ft (assist by T. Gibson),2,2
2,1,11:11.0,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),,4,2
3,1,10:56.0,,D. Rose misses 2-pt layup from 2 ft (block by D. Jordan),4,2
4,1,10:54.0,Defensive rebound by B. Griffin,,4,2
5,1,10:48.0,B. Griffin makes 2-pt hook shot from 4 ft,,6,2
6,1,10:34.0,,J. Butler makes 2-pt jump shot from 21 ft,6,4
7,1,10:28.0,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),,8,4
8,1,10:07.0,,T. Gibson misses 2-pt jump shot from 13 ft,8,4
9,1,10:06.0,Defensive rebound by D. Jordan,,8,4
10,1,9:55.0,C. Paul misses 2-pt jump shot from 19 ft,,8,4
11,1,9:54.0,,Defensive rebound by J. Butler,8,4
12,1,9:40.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by J. Butler),8,6
13,1,9:22.0,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),,10,6
14,1,9:07.0,Offensive charge foul by T. Snell (drawn by B. Griffin),,10,6
15,1,9:07.0,,Turnover by T. Snell (offensive foul),10,6
16,1,8:53.0,B. Griffin misses 2-pt jump shot from 21 ft,,10,6
17,1,8:52.0,,Defensive rebound by T. Gibson,10,6
18,1,8:31.0,,J. Butler misses 2-pt jump shot from 11 ft,10,6
19,1,8:27.0,Defensive rebound by L. Mbah a Moute,,10,6
20,1,8:18.0,L. Mbah a Moute misses 2-pt jump shot from 14 ft,,10,6
21,1,8:17.0,,Defensive rebound by D. Rose,10,6
22,1,8:09.0,,P. Gasol misses 2-pt jump shot from 16 ft,10,6
23,1,8:08.0,Defensive rebound by D. Jordan,,10,6
24,1,7:56.0,B. Griffin misses 2-pt jump shot from 16 ft,,10,6
25,1,7:55.0,,Defensive rebound by P. Gasol,10,6
26,1,7:43.0,,P. Gasol misses 2-pt jump shot from 17 ft,10,6
27,1,7:42.0,Defensive rebound by B. Griffin,,10,6
28,1,7:31.0,C. Paul misses 2-pt jump shot from 17 ft,,10,6
29,1,7:30.0,,Defensive rebound by T. Snell,10,6
30,1,7:22.0,,T. Gibson misses 2-pt jump shot from 13 ft,10,6
31,1,7:21.0,Defensive rebound by D. Jordan,,10,6
32,1,7:16.0,LA Clippers full timeout,,10,6
33,1,7:06.0,J. Redick misses 2-pt jump shot from 19 ft,,10,6
34,1,7:04.0,Offensive rebound by D. Jordan,,10,6
35,1,7:04.0,D. Jordan misses 2-pt layup from 2 ft (block by J. Butler),,10,6
36,1,7:04.0,Offensive rebound by Team,,10,6
37,1,6:47.0,L. Mbah a Moute makes 3-pt jump shot from 23 ft (assist by B. Griffin),,13,6
38,1,6:30.0,,T. Snell makes 2-pt dunk at rim,13,8
39,1,6:11.0,J. Redick misses 2-pt jump shot from 20 ft,,13,8
40,1,6:10.0,,Defensive rebound by T. Gibson,13,8
41,1,6:03.0,,D. Rose misses 2-pt jump shot from 20 ft,13,8
42,1,6:01.0,Defensive rebound by B. Griffin,,13,8
43,1,5:48.0,J. Redick misses 2-pt jump shot from 21 ft,,13,8
44,1,5:47.0,,Defensive rebound by P. Gasol,13,8
45,1,5:39.0,,Shooting foul by D. Jordan (drawn by P. Gasol),13,8
46,1,5:39.0,,P. Gasol makes 2-pt jump shot from 6 ft,13,10
47,1,5:39.0,,P. Gasol makes free throw 1 of 1,13,11
48,1,5:17.0,B. Griffin makes 2-pt hook shot from 6 ft,,15,11
49,1,4:57.0,,J. Butler misses 3-pt jump shot from 25 ft,15,11
50,1,4:57.0,,Offensive rebound by Team,15,11
51,1,4:57.0,Loose ball foul by L. Mbah a Moute (drawn by T. Gibson),,15,11
52,1,4:57.0,J. Crawford enters the game for J. Redick,,15,11
53,1,4:57.0,,J. Noah enters the game for T. Gibson,15,11
54,1,4:57.0,,K. Hinrich enters the game for D. Rose,15,11
55,1,4:45.0,,P. Gasol misses 2-pt jump shot from 7 ft (block by B. Griffin),15,11
56,1,4:43.0,Defensive rebound by B. Griffin,,15,11
57,1,4:19.0,L. Mbah a Moute misses 3-pt jump shot from 23 ft,,15,11
58,1,4:18.0,Offensive rebound by L. Mbah a Moute,,15,11
59,1,4:01.0,C. Paul makes 2-pt jump shot from 19 ft,,17,11
60,1,3:47.0,,J. Butler misses 2-pt jump shot from 17 ft,17,11
61,1,3:45.0,,Offensive rebound by J. Noah,17,11
62,1,3:43.0,,J. Noah misses 2-pt layup from 1 ft (block by B. Griffin),17,11
63,1,3:41.0,Defensive rebound by B. Griffin,,17,11
64,1,3:31.0,C. Paul misses 2-pt jump shot from 10 ft,,17,11
65,1,3:28.0,Offensive rebound by L. Mbah a Moute,,17,11
66,1,3:28.0,L. Mbah a Moute makes 2-pt layup at rim,,19,11
67,1,3:26.0,,Chicago full timeout,19,11
68,1,3:26.0,,D. McDermott enters the game for T. Snell,19,11
69,1,3:26.0,A. Rivers enters the game for C. Paul,,19,11
70,1,3:26.0,W. Johnson enters the game for L. Mbah a Moute,,19,11
71,1,3:12.0,,J. Butler makes 2-pt jump shot from 16 ft (assist by J. Noah),19,13
72,1,2:52.0,J. Crawford misses 2-pt jump shot from 11 ft (block by J. Butler),,19,13
73,1,2:51.0,,Defensive rebound by J. Noah,19,13
74,1,2:35.0,,P. Gasol makes 2-pt jump shot from 11 ft (assist by J. Noah),19,15
75,1,2:21.0,B. Griffin misses 2-pt jump shot from 19 ft,,19,15
76,1,2:20.0,,Defensive rebound by P. Gasol,19,15
77,1,2:05.0,,J. Butler misses 2-pt jump shot from 14 ft,19,15
78,1,2:04.0,Defensive rebound by D. Jordan,,19,15
79,1,1:52.0,Turnover by J. Crawford (bad pass; steal by P. Gasol),,19,15
80,1,1:44.0,,K. Hinrich makes 3-pt jump shot from 23 ft (assist by J. Butler),19,18
81,1,1:23.0,Turnover by A. Rivers (bad pass; steal by K. Hinrich),,19,18
82,1,1:11.0,,J. Noah misses 2-pt jump shot from 7 ft,19,18
83,1,1:10.0,Defensive rebound by D. Jordan,,19,18
84,1,0:58.0,W. Johnson makes 3-pt jump shot from 25 ft (assist by B. Griffin),,22,18
85,1,0:43.0,,P. Gasol misses 2-pt jump shot from 19 ft,22,18
86,1,0:42.0,Defensive rebound by B. Griffin,,22,18
87,1,0:38.0,Turnover by B. Griffin (bad pass; steal by P. Gasol),,22,18
