,QUARTER,TIME_REMAINING,TORONTO_ACTION,PORTLAND_ACTION,TORONTO_SCORE,PORTLAND_SCORE
0,1,11:41.0,,Personal foul by J. Valančiūnas (drawn by M. Plumlee),0,0
1,1,11:37.0,,D. Lillard misses 3-pt jump shot from 24 ft,0,0
2,1,11:37.0,Defensive rebound by J. Valančiūnas,,0,0
3,1,11:18.0,L. Scola misses 3-pt jump shot from 24 ft,,0,0
4,1,11:17.0,Offensive rebound by J. Valančiūnas,,0,0
5,1,11:17.0,J. Valančiūnas misses 2-pt layup from 1 ft,,0,0
6,1,11:15.0,Offensive rebound by J. Valančiūnas,,0,0
7,1,11:15.0,J. Valančiūnas misses 2-pt layup from 2 ft,,0,0
8,1,11:14.0,,Defensive rebound by C. McCollum,0,0
9,1,11:08.0,,Shooting foul by N. Powell (drawn by C. McCollum),0,0
10,1,11:08.0,,C. McCollum misses free throw 1 of 2,0,0
11,1,11:08.0,,Offensive rebound by Team,0,0
12,1,11:08.0,B. Biyombo enters the game for J. Valančiūnas,,0,0
13,1,11:08.0,,C. McCollum makes free throw 2 of 2,0,1
14,1,10:57.0,B. Biyombo misses 2-pt dunk at rim (block by M. Plumlee),,0,1
15,1,10:56.0,Offensive rebound by D. DeRozan,,0,1
16,1,10:50.0,D. DeRozan misses 2-pt layup from 2 ft,,0,1
17,1,10:48.0,Offensive rebound by B. Biyombo,,0,1
18,1,10:39.0,K. Lowry makes 3-pt jump shot from 25 ft,,3,1
19,1,10:22.0,,C. McCollum misses 2-pt jump shot from 17 ft,3,1
20,1,10:22.0,Defensive rebound by B. Biyombo,,3,1
21,1,10:08.0,D. DeRozan makes 3-pt jump shot from 23 ft (assist by N. Powell),,6,1
22,1,9:46.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by C. McCollum),6,3
23,1,9:46.0,,Shooting foul by L. Scola (drawn by M. Plumlee),6,3
24,1,9:46.0,,M. Plumlee misses free throw 1 of 1,6,3
25,1,9:45.0,Defensive rebound by L. Scola,,6,3
26,1,9:33.0,Shooting foul by C. McCollum (drawn by D. DeRozan),,6,3
27,1,9:33.0,D. DeRozan makes free throw 1 of 2,,7,3
28,1,9:33.0,D. DeRozan makes free throw 2 of 2,,8,3
29,1,9:19.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),8,6
30,1,9:02.0,N. Powell misses 2-pt jump shot from 4 ft (block by M. Harkless),,8,6
31,1,9:01.0,Offensive rebound by D. DeRozan,,8,6
32,1,8:54.0,D. DeRozan misses 2-pt jump shot from 8 ft,,8,6
33,1,8:53.0,,Defensive rebound by M. Harkless,8,6
34,1,8:47.0,,M. Plumlee makes 2-pt layup at rim (assist by D. Lillard),8,8
35,1,8:47.0,,Shooting foul by B. Biyombo (drawn by M. Plumlee),8,8
36,1,8:47.0,,M. Plumlee misses free throw 1 of 1,8,8
37,1,8:46.0,Defensive rebound by L. Scola,,8,8
38,1,8:31.0,D. DeRozan makes 2-pt layup from 1 ft (assist by K. Lowry),,10,8
39,1,8:31.0,Shooting foul by M. Plumlee (drawn by D. DeRozan),,10,8
40,1,8:31.0,D. DeRozan makes free throw 1 of 1,,11,8
41,1,8:18.0,,D. Lillard misses 3-pt jump shot from 25 ft,11,8
42,1,8:17.0,Defensive rebound by B. Biyombo,,11,8
43,1,8:08.0,L. Scola misses 2-pt hook shot from 3 ft,,11,8
44,1,8:08.0,Offensive rebound by Team,,11,8
45,1,8:08.0,,Loose ball foul by M. Plumlee (drawn by B. Biyombo),11,8
46,1,8:08.0,,E. Davis enters the game for M. Plumlee,11,8
47,1,7:53.0,Turnover by K. Lowry (lost ball; steal by C. McCollum),,11,8
48,1,7:46.0,,A. Aminu misses 2-pt dunk at rim,11,8
49,1,7:46.0,Defensive rebound by K. Lowry,,11,8
50,1,7:37.0,D. DeRozan misses 2-pt jump shot from 4 ft,,11,8
51,1,7:36.0,,Defensive rebound by C. McCollum,11,8
52,1,7:28.0,,C. McCollum misses 2-pt layup from 2 ft (block by B. Biyombo),11,8
53,1,7:27.0,,Offensive rebound by E. Davis,11,8
54,1,7:27.0,,E. Davis misses 2-pt layup from 1 ft (block by L. Scola),11,8
55,1,7:25.0,,Offensive rebound by E. Davis,11,8
56,1,7:24.0,,E. Davis makes 2-pt layup at rim,11,10
57,1,7:00.0,D. DeRozan makes 2-pt layup from 1 ft,,13,10
58,1,6:42.0,,Turnover by M. Harkless (step out of bounds),13,10
59,1,6:22.0,L. Scola misses 2-pt hook shot from 3 ft,,13,10
60,1,6:22.0,,Defensive rebound by D. Lillard,13,10
61,1,6:16.0,,Shooting foul by B. Biyombo (drawn by D. Lillard),13,10
62,1,6:16.0,,D. Lillard makes free throw 1 of 2,13,11
63,1,6:16.0,P. Patterson enters the game for B. Biyombo,,13,11
64,1,6:16.0,,D. Lillard makes free throw 2 of 2,13,12
