,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
0,1,11:43.0,B. Lopez makes 2-pt hook shot from 8 ft,,2,0
1,1,11:27.0,,L. Deng makes 2-pt layup from 1 ft,2,2
2,1,11:15.0,Turnover by J. Jack (bad pass),,2,2
3,1,11:01.0,,C. Bosh makes 3-pt jump shot from 23 ft (assist by G. Dragić),2,5
4,1,10:46.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,2,5
5,1,10:45.0,,Defensive rebound by C. Bosh,2,5
6,1,10:29.0,,Shooting foul by B. Bogdanović (drawn by D. Wade),2,5
7,1,10:29.0,,D. Wade makes free throw 1 of 2,2,6
8,1,10:29.0,,D. Wade makes free throw 2 of 2,2,7
9,1,10:17.0,J. Jack makes 2-pt jump shot from 16 ft,,4,7
10,1,9:51.0,,Turnover by G. Dragić (bad pass; steal by J. Jack),4,7
11,1,9:37.0,B. Lopez misses 2-pt layup from 1 ft,,4,7
12,1,9:31.0,Offensive rebound by B. Lopez,,4,7
13,1,9:31.0,J. Jack makes 2-pt layup at rim,,6,7
14,1,9:15.0,,L. Deng misses 3-pt jump shot from 23 ft,6,7
15,1,9:14.0,Defensive rebound by B. Lopez,,6,7
16,1,9:01.0,B. Lopez misses 2-pt layup from 1 ft (block by L. Deng),,6,7
17,1,9:00.0,,Defensive rebound by G. Dragić,6,7
18,1,8:57.0,,Turnover by G. Dragić (bad pass),6,7
19,1,8:41.0,J. Johnson misses 2-pt layup from 3 ft,,6,7
20,1,8:40.0,,Defensive rebound by H. Whiteside,6,7
21,1,8:30.0,,H. Whiteside misses 2-pt jump shot from 4 ft,6,7
22,1,8:28.0,Defensive rebound by T. Young,,6,7
23,1,8:22.0,Turnover by T. Young (bad pass; steal by G. Dragić),,6,7
24,1,8:18.0,,D. Wade makes 2-pt dunk at rim (assist by G. Dragić),6,9
25,1,8:05.0,B. Lopez makes 2-pt layup from 1 ft (assist by J. Johnson),,8,9
26,1,7:53.0,,Turnover by G. Dragić (bad pass; steal by B. Lopez),8,9
27,1,7:43.0,J. Johnson misses 3-pt jump shot from 25 ft,,8,9
28,1,7:42.0,,Defensive rebound by D. Wade,8,9
29,1,7:38.0,,D. Wade makes 2-pt jump shot from 4 ft,8,11
30,1,7:32.0,B. Bogdanović misses 2-pt layup from 2 ft (block by H. Whiteside),,8,11
31,1,7:31.0,Offensive rebound by Team,,8,11
32,1,7:17.0,B. Lopez makes 2-pt jump shot from 9 ft,,10,11
33,1,7:02.0,,Turnover by H. Whiteside (offensive goaltending),10,11
34,1,6:41.0,B. Lopez makes 2-pt jump shot from 7 ft,,12,11
35,1,6:35.0,,Miami full timeout,12,11
36,1,6:35.0,,G. Green enters the game for C. Bosh,12,11
37,1,6:25.0,,G. Dragić misses 2-pt jump shot from 11 ft,12,11
38,1,6:24.0,Defensive rebound by B. Lopez,,12,11
39,1,6:08.0,T. Young misses 2-pt layup from 2 ft,,12,11
40,1,6:07.0,,Defensive rebound by H. Whiteside,12,11
41,1,5:56.0,,H. Whiteside misses 2-pt jump shot from 4 ft (block by B. Lopez),12,11
42,1,5:54.0,Defensive rebound by J. Jack,,12,11
43,1,5:44.0,T. Young makes 2-pt jump shot from 7 ft,,14,11
44,1,5:17.0,,D. Wade makes 2-pt layup from 1 ft (assist by G. Dragić),14,13
45,1,5:04.0,Shooting foul by L. Deng (drawn by B. Bogdanović),,14,13
46,1,5:04.0,B. Bogdanović makes free throw 1 of 2,,15,13
47,1,5:04.0,B. Bogdanović makes free throw 2 of 2,,16,13
48,1,4:54.0,,G. Green misses 2-pt jump shot from 19 ft,16,13
49,1,4:53.0,,Offensive rebound by H. Whiteside,16,13
