,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
0,1,11:48.0,A. Wiggins misses 3-pt jump shot from 25 ft,,0,0
1,1,11:48.0,,Defensive rebound by A. Aminu,0,0
2,1,11:35.0,,M. Harkless misses 2-pt layup from 2 ft (block by G. Dieng),0,0
3,1,11:33.0,Defensive rebound by K. Towns,,0,0
4,1,11:28.0,K. Towns misses 2-pt jump shot from 17 ft,,0,0
5,1,11:27.0,,Defensive rebound by D. Lillard,0,0
6,1,11:13.0,,C. McCollum misses 2-pt jump shot from 7 ft,0,0
7,1,11:12.0,,Offensive rebound by C. McCollum,0,0
8,1,11:00.0,,M. Harkless misses 3-pt jump shot from 25 ft,0,0
9,1,10:59.0,,Offensive rebound by M. Plumlee,0,0
10,1,10:56.0,,A. Aminu misses 2-pt jump shot from 7 ft (block by Z. LaVine),0,0
11,1,10:56.0,,Offensive rebound by Team,0,0
12,1,10:48.0,,C. McCollum misses 3-pt jump shot from 25 ft,0,0
13,1,10:48.0,Defensive rebound by R. Rubio,,0,0
14,1,10:42.0,Turnover by G. Dieng (traveling),,0,0
15,1,10:28.0,,Shooting foul by G. Dieng (drawn by C. McCollum),0,0
16,1,10:28.0,,C. McCollum makes free throw 1 of 2,0,1
17,1,10:28.0,,C. McCollum makes free throw 2 of 2,0,2
18,1,10:13.0,K. Towns misses 2-pt jump shot from 10 ft,,0,2
19,1,10:11.0,,Defensive rebound by M. Plumlee,0,2
20,1,10:08.0,,Turnover by D. Lillard (bad pass; steal by R. Rubio),0,2
21,1,10:06.0,Turnover by R. Rubio (bad pass),,0,2
22,1,9:50.0,,D. Lillard makes 3-pt jump shot from 25 ft,0,5
23,1,9:29.0,G. Dieng misses 2-pt jump shot from 18 ft,,0,5
24,1,9:29.0,,Defensive rebound by M. Plumlee,0,5
25,1,9:20.0,,D. Lillard misses 2-pt jump shot from 18 ft,0,5
26,1,9:20.0,Defensive rebound by R. Rubio,,0,5
27,1,9:15.0,Shooting foul by A. Aminu (drawn by G. Dieng),,0,5
28,1,9:15.0,G. Dieng makes free throw 1 of 2,,1,5
29,1,9:15.0,G. Dieng makes free throw 2 of 2,,2,5
30,1,9:02.0,,D. Lillard misses 2-pt layup from 1 ft,2,5
31,1,9:02.0,Defensive rebound by Team,,2,5
32,1,8:46.0,A. Wiggins misses 2-pt jump shot from 15 ft,,2,5
33,1,8:46.0,,Defensive rebound by M. Plumlee,2,5
34,1,8:36.0,,Turnover by C. McCollum (bad pass; steal by R. Rubio),2,5
35,1,8:24.0,Z. LaVine makes 3-pt jump shot from 25 ft (assist by K. Towns),,5,5
36,1,8:05.0,,C. McCollum makes 2-pt hook shot from 2 ft,5,7
37,1,7:51.0,R. Rubio makes 2-pt jump shot from 16 ft,,7,7
38,1,7:29.0,,Shooting foul by A. Wiggins (drawn by M. Plumlee),7,7
39,1,7:29.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by D. Lillard),7,9
40,1,7:29.0,,M. Plumlee makes free throw 1 of 1,7,10
41,1,7:17.0,Shooting foul by M. Plumlee (drawn by G. Dieng),,7,10
42,1,7:17.0,G. Dieng misses free throw 1 of 2,,7,10
43,1,7:17.0,Offensive rebound by Team,,7,10
44,1,7:17.0,G. Dieng makes free throw 2 of 2,,8,10
45,1,6:55.0,,M. Harkless makes 3-pt jump shot from 24 ft (assist by C. McCollum),8,13
46,1,6:50.0,Shooting foul by A. Aminu (drawn by Z. LaVine),,8,13
47,1,6:50.0,Z. LaVine makes free throw 1 of 2,,9,13
48,1,6:50.0,,N. Vonleh enters the game for A. Aminu,9,13
49,1,6:50.0,Z. LaVine makes free throw 2 of 2,,10,13
50,1,6:32.0,,M. Plumlee misses 2-pt jump shot from 1 ft (block by G. Dieng),10,13
51,1,6:31.0,,Offensive rebound by M. Plumlee,10,13
52,1,6:31.0,,M. Plumlee makes 2-pt layup from 1 ft,10,15
53,1,6:31.0,,Shooting foul by K. Towns (drawn by M. Plumlee),10,15
54,1,6:31.0,,M. Plumlee makes free throw 1 of 1,10,16
55,1,6:28.0,Minnesota full timeout,,10,16
56,1,6:22.0,Shooting foul by C. McCollum (drawn by G. Dieng),,10,16
57,1,6:22.0,G. Dieng makes free throw 1 of 2,,11,16
58,1,6:22.0,G. Dieng makes free throw 2 of 2,,12,16
59,1,6:05.0,,D. Lillard makes 2-pt layup at rim,12,18
60,1,5:44.0,Turnover by R. Rubio (bad pass),,12,18
61,1,5:26.0,,D. Lillard makes 2-pt layup from 1 ft,12,20
