,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PORTLAND_ACTION,LA LAKERS_SCORE,PORTLAND_SCORE
0,1,11:44.0,J. Randle makes 2-pt jump shot from 19 ft (assist by R. Hibbert),,2,0
1,1,11:30.0,,C. McCollum misses 2-pt jump shot from 18 ft,2,0
2,1,11:29.0,Defensive rebound by J. Randle,,2,0
3,1,11:20.0,Turnover by K. Bryant (bad pass; steal by N. Vonleh),,2,0
4,1,11:07.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by M. Plumlee),2,3
5,1,10:43.0,J. Randle misses 2-pt jump shot from 18 ft,,2,3
6,1,10:42.0,,Defensive rebound by M. Plumlee,2,3
7,1,10:22.0,,A. Aminu misses 3-pt jump shot from 22 ft,2,3
8,1,10:21.0,Defensive rebound by J. Randle,,2,3
9,1,10:06.0,R. Hibbert makes 2-pt layup from 1 ft (assist by J. Clarkson),,4,3
10,1,10:06.0,Shooting foul by A. Aminu (drawn by R. Hibbert),,4,3
11,1,10:06.0,R. Hibbert makes free throw 1 of 1,,5,3
12,1,9:53.0,,D. Lillard misses 2-pt jump shot from 18 ft,5,3
13,1,9:51.0,,Offensive rebound by N. Vonleh,5,3
14,1,9:51.0,,N. Vonleh makes 2-pt layup at rim,5,5
15,1,9:34.0,J. Clarkson misses 2-pt jump shot from 3 ft,,5,5
16,1,9:33.0,Offensive rebound by R. Hibbert,,5,5
17,1,9:33.0,R. Hibbert makes 2-pt layup from 1 ft,,7,5
18,1,9:25.0,,C. McCollum makes 2-pt jump shot from 17 ft,7,7
19,1,9:09.0,Shooting foul by C. McCollum (drawn by L. Williams),,7,7
20,1,9:09.0,L. Williams makes free throw 1 of 3,,8,7
21,1,9:09.0,L. Williams makes free throw 2 of 3,,9,7
22,1,9:09.0,L. Williams makes free throw 3 of 3,,10,7
23,1,8:56.0,,C. McCollum misses 3-pt jump shot from 27 ft,10,7
24,1,8:54.0,,Offensive rebound by M. Plumlee,10,7
25,1,8:39.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by N. Vonleh),10,10
26,1,8:27.0,Turnover by L. Williams (bad pass; steal by N. Vonleh),,10,10
27,1,8:13.0,,C. McCollum misses 3-pt jump shot from 24 ft,10,10
28,1,8:13.0,Defensive rebound by R. Hibbert,,10,10
29,1,8:03.0,J. Clarkson makes 2-pt layup at rim,,12,10
30,1,7:53.0,,C. McCollum misses 2-pt layup from 2 ft (block by R. Hibbert),12,10
31,1,7:52.0,Defensive rebound by R. Hibbert,,12,10
32,1,7:45.0,J. Clarkson misses 3-pt jump shot from 23 ft,,12,10
33,1,7:45.0,,Defensive rebound by D. Lillard,12,10
34,1,7:37.0,,D. Lillard makes 2-pt layup from 1 ft,12,12
35,1,7:37.0,,Shooting foul by J. Randle (drawn by D. Lillard),12,12
36,1,7:37.0,,D. Lillard misses free throw 1 of 1,12,12
37,1,7:36.0,Defensive rebound by J. Randle,,12,12
38,1,7:27.0,Turnover by J. Clarkson (lost ball),,12,12
39,1,7:08.0,,Turnover by M. Plumlee (lost ball; steal by L. Williams),12,12
40,1,7:01.0,Turnover by K. Bryant (lost ball),,12,12
41,1,6:47.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by M. Plumlee),12,15
42,1,6:29.0,J. Randle misses 2-pt jump shot from 3 ft,,12,15
43,1,6:28.0,,Defensive rebound by A. Aminu,12,15
44,1,6:18.0,,C. McCollum makes 2-pt layup from 1 ft,12,17
45,1,6:02.0,Turnover by L. Williams (lost ball),,12,17
46,1,6:02.0,,Portland full timeout,12,17
47,1,5:50.0,,A. Aminu makes 2-pt jump shot from 21 ft (assist by D. Lillard),12,19
48,1,5:33.0,Turnover by K. Bryant (bad pass; steal by M. Plumlee),,12,19
49,1,5:26.0,,D. Lillard makes 2-pt layup from 1 ft (assist by A. Aminu),12,21
50,1,5:17.0,K. Bryant misses 3-pt jump shot from 24 ft,,12,21
51,1,5:16.0,,Defensive rebound by N. Vonleh,12,21
52,1,5:04.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),12,24
53,1,4:49.0,Shooting foul by M. Plumlee (drawn by J. Clarkson),,12,24
54,1,4:49.0,J. Clarkson makes free throw 1 of 2,,13,24
55,1,4:49.0,R. Kelly enters the game for J. Randle,,13,24
56,1,4:49.0,,G. Henderson enters the game for A. Aminu,13,24
57,1,4:49.0,,A. Crabbe enters the game for C. McCollum,13,24
58,1,4:49.0,D. Russell enters the game for L. Williams,,13,24
59,1,4:49.0,J. Clarkson makes free throw 2 of 2,,14,24
60,1,4:34.0,,Personal foul by R. Kelly (drawn by D. Lillard),14,24
61,1,4:29.0,,D. Lillard makes 2-pt jump shot from 22 ft (assist by G. Henderson),14,26
62,1,4:03.0,K. Bryant makes 2-pt jump shot from 17 ft,,16,26
63,1,3:35.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by M. Plumlee),16,29
64,1,3:20.0,D. Russell makes 2-pt jump shot from 15 ft,,18,29
65,1,3:09.0,,D. Lillard makes 2-pt layup at rim,18,31
66,1,2:52.0,D. Russell makes 2-pt layup from 1 ft (assist by J. Clarkson),,20,31
67,1,2:42.0,,D. Lillard misses 3-pt jump shot from 25 ft,20,31
68,1,2:41.0,Defensive rebound by R. Kelly,,20,31
69,1,2:33.0,J. Clarkson misses 2-pt jump shot from 6 ft,,20,31
70,1,2:33.0,,Defensive rebound by N. Vonleh,20,31
71,1,2:22.0,,A. Crabbe misses 2-pt jump shot from 20 ft,20,31
72,1,2:21.0,Defensive rebound by K. Bryant,,20,31
73,1,2:11.0,J. Clarkson misses 3-pt jump shot from 23 ft,,20,31
74,1,2:11.0,,Defensive rebound by M. Plumlee,20,31
75,1,2:01.0,,N. Vonleh makes 2-pt jump shot from 3 ft (assist by D. Lillard),20,33
76,1,1:37.0,D. Russell misses 2-pt jump shot from 7 ft,,20,33
77,1,1:36.0,,Defensive rebound by M. Plumlee,20,33
78,1,1:16.0,,G. Henderson makes 2-pt jump shot from 17 ft (assist by M. Plumlee),20,35
79,1,1:03.0,Shooting foul by M. Plumlee (drawn by R. Hibbert),,20,35
80,1,1:03.0,LA Lakers full timeout,,20,35
81,1,1:03.0,,E. Davis enters the game for N. Vonleh,20,35
82,1,1:03.0,,C. McCollum enters the game for M. Plumlee,20,35
83,1,1:03.0,,M. Leonard enters the game for D. Lillard,20,35
84,1,1:03.0,A. Brown enters the game for K. Bryant,,20,35
85,1,1:03.0,R. Hibbert makes free throw 1 of 2,,21,35
86,1,1:03.0,R. Hibbert makes free throw 2 of 2,,22,35
87,1,0:51.0,,C. McCollum misses 2-pt layup from 2 ft (block by R. Hibbert),22,35
88,1,0:50.0,,Offensive rebound by E. Davis,22,35
89,1,0:50.0,,E. Davis makes 2-pt layup at rim,22,37
90,1,0:34.0,Turnover by D. Russell (bad pass; steal by C. McCollum),,22,37
91,1,0:27.0,,M. Leonard misses 3-pt jump shot from 25 ft,22,37
92,1,0:26.0,Defensive rebound by R. Kelly,,22,37
93,1,0:06.0,J. Clarkson misses 2-pt jump shot from 14 ft,,22,37
94,1,0:06.0,,Defensive rebound by M. Leonard,22,37
95,1,0:00.0,,A. Crabbe misses 3-pt jump shot from 24 ft,22,37
96,1,0:00.0,,Offensive rebound by Team,22,37
97,2,11:49.0,,Def 3 sec tech foul by B. Bass,22,37
98,2,11:49.0,,M. Leonard misses technical free throw,22,37
99,2,11:49.0,,Offensive rebound by Team,22,37
100,2,11:40.0,,C. McCollum makes 2-pt jump shot from 8 ft,22,39
101,2,11:24.0,B. Bass makes 2-pt jump shot from 10 ft (assist by D. Russell),,24,39
102,2,11:03.0,,A. Crabbe makes 2-pt layup at rim (assist by M. Leonard),24,41
103,2,10:44.0,R. Kelly misses 2-pt jump shot from 14 ft,,24,41
104,2,10:43.0,,Defensive rebound by E. Davis,24,41
105,2,10:31.0,,G. Henderson makes 2-pt jump shot from 15 ft,24,43
106,2,10:16.0,R. Kelly makes 3-pt jump shot from 24 ft (assist by B. Bass),,27,43
107,2,9:58.0,,Turnover by M. Leonard (step out of bounds),27,43
108,2,9:58.0,L. Williams enters the game for J. Clarkson,,27,43
109,2,9:47.0,D. Russell makes 2-pt jump shot from 16 ft,,29,43
110,2,9:41.0,,Offensive foul by A. Crabbe (drawn by D. Russell),29,43
111,2,9:41.0,,Turnover by A. Crabbe (offensive foul),29,43
112,2,9:27.0,Personal foul by E. Davis (drawn by R. Kelly),,29,43
113,2,9:24.0,Shooting foul by C. McCollum (drawn by D. Russell),,29,43
114,2,9:24.0,D. Russell makes free throw 1 of 2,,30,43
115,2,9:24.0,D. Russell makes free throw 2 of 2,,31,43
