,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SAN ANTONIO_ACTION,PHILADELPHIA_SCORE,SAN ANTONIO_SCORE
0,1,11:35.0,N. Noel makes 2-pt layup at rim,,2,0
1,1,11:16.0,,L. Aldridge misses 2-pt jump shot from 17 ft,2,0
2,1,11:15.0,Defensive rebound by N. Noel,,2,0
3,1,11:00.0,N. Noel misses 2-pt jump shot from 6 ft,,2,0
4,1,10:59.0,,Defensive rebound by T. Duncan,2,0
5,1,10:47.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by T. Duncan),2,2
6,1,10:25.0,N. Stauskas misses 2-pt jump shot from 10 ft,,2,2
7,1,10:24.0,,Defensive rebound by K. Anderson,2,2
8,1,10:12.0,,T. Parker makes 2-pt jump shot from 6 ft,2,4
9,1,9:48.0,N. Noel misses 2-pt jump shot from 12 ft,,2,4
10,1,9:47.0,,Defensive rebound by D. Green,2,4
11,1,9:43.0,,Shooting block foul by T. McConnell (drawn by T. Parker),2,4
12,1,9:43.0,,T. Parker makes free throw 1 of 2,2,5
13,1,9:43.0,,T. Parker makes free throw 2 of 2,2,6
14,1,9:25.0,J. Grant misses 3-pt jump shot from 25 ft,,2,6
15,1,9:24.0,,Defensive rebound by D. Green,2,6
16,1,9:21.0,,L. Aldridge misses 2-pt layup from 1 ft,2,6
17,1,9:20.0,,Offensive rebound by Team,2,6
18,1,9:13.0,,Shooting foul by J. Okafor (drawn by T. Parker),2,6
19,1,9:13.0,,T. Parker makes free throw 1 of 2,2,7
20,1,9:13.0,,T. Parker makes free throw 2 of 2,2,8
21,1,9:02.0,J. Grant misses 2-pt jump shot from 4 ft (block by T. Duncan),,2,8
22,1,9:01.0,,Defensive rebound by L. Aldridge,2,8
23,1,8:44.0,,T. Duncan makes 2-pt jump shot from 19 ft (assist by T. Parker),2,10
24,1,8:40.0,Philadelphia full timeout,,2,10
25,1,8:30.0,N. Noel misses 2-pt jump shot from 15 ft,,2,10
26,1,8:29.0,,Defensive rebound by K. Anderson,2,10
27,1,8:21.0,,K. Anderson misses 2-pt jump shot from 15 ft,2,10
28,1,8:19.0,Defensive rebound by T. McConnell,,2,10
29,1,8:12.0,T. McConnell makes 2-pt layup from 1 ft,,4,10
30,1,8:01.0,,T. Parker makes 2-pt jump shot from 16 ft,4,12
31,1,7:39.0,Turnover by T. McConnell (bad pass),,4,12
32,1,7:39.0,H. Thompson enters the game for J. Grant,,4,12
33,1,7:26.0,,L. Aldridge misses 2-pt jump shot from 17 ft,4,12
34,1,7:25.0,Defensive rebound by J. Okafor,,4,12
35,1,7:15.0,T. McConnell misses 2-pt jump shot from 16 ft,,4,12
36,1,7:14.0,,Defensive rebound by T. Duncan,4,12
37,1,7:04.0,,T. Duncan misses 2-pt jump shot from 8 ft,4,12
38,1,7:00.0,,Offensive rebound by L. Aldridge,4,12
39,1,6:57.0,,K. Anderson misses 2-pt jump shot from 17 ft,4,12
40,1,6:56.0,,Offensive rebound by T. Duncan,4,12
41,1,6:52.0,,D. Green misses 3-pt jump shot from 25 ft,4,12
42,1,6:50.0,,Offensive rebound by L. Aldridge,4,12
43,1,6:35.0,,Turnover by T. Parker (lost ball; steal by T. McConnell),4,12
44,1,6:27.0,N. Stauskas misses 3-pt jump shot from 23 ft,,4,12
45,1,6:26.0,Offensive rebound by J. Okafor,,4,12
46,1,6:22.0,H. Thompson misses 3-pt jump shot from 23 ft,,4,12
47,1,6:21.0,,Defensive rebound by T. Parker,4,12
48,1,6:17.0,,K. Anderson makes 2-pt layup at rim (assist by T. Parker),4,14
49,1,6:11.0,Personal foul by T. Duncan (drawn by J. Okafor),,4,14
50,1,6:11.0,C. Wood enters the game for N. Noel,,4,14
51,1,6:11.0,,R. Butler enters the game for D. Green,4,14
52,1,5:59.0,Shooting foul by K. Anderson (drawn by J. Okafor),,4,14
53,1,5:59.0,J. Okafor makes free throw 1 of 2,,5,14
54,1,5:59.0,I. Canaan enters the game for T. McConnell,,5,14
55,1,5:59.0,J. Okafor makes free throw 2 of 2,,6,14
56,1,5:40.0,,T. Duncan misses 2-pt jump shot from 17 ft,6,14
57,1,5:38.0,Defensive rebound by H. Thompson,,6,14
58,1,5:26.0,N. Stauskas misses 3-pt jump shot from 24 ft,,6,14
59,1,5:25.0,,Defensive rebound by K. Anderson,6,14
60,1,5:14.0,,K. Anderson misses 2-pt jump shot from 6 ft,6,14
61,1,5:13.0,Defensive rebound by I. Canaan,,6,14
62,1,5:08.0,N. Stauskas misses 2-pt layup from 2 ft (block by K. Anderson),,6,14
63,1,5:06.0,,Defensive rebound by K. Anderson,6,14
64,1,4:59.0,,R. Butler misses 3-pt jump shot from 22 ft,6,14
65,1,4:58.0,Defensive rebound by H. Thompson,,6,14
66,1,4:38.0,J. Okafor makes 2-pt jump shot from 11 ft (assist by I. Canaan),,8,14
67,1,4:38.0,,San Antonio full timeout,8,14
68,1,4:38.0,J. Sampson enters the game for J. Okafor,,8,14
69,1,4:38.0,,P. Mills enters the game for T. Parker,8,14
70,1,4:38.0,,B. Diaw enters the game for T. Duncan,8,14
71,1,4:38.0,,D. Green enters the game for K. Anderson,8,14
72,1,4:38.0,J. Grant enters the game for N. Stauskas,,8,14
73,1,4:32.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by D. Green),8,16
74,1,4:09.0,I. Canaan misses 3-pt jump shot from 28 ft,,8,16
75,1,4:08.0,,Defensive rebound by B. Diaw,8,16
76,1,3:55.0,,Shooting foul by J. Sampson (drawn by B. Diaw),8,16
77,1,3:55.0,,B. Diaw makes free throw 1 of 2,8,17
78,1,3:55.0,N. Noel enters the game for H. Thompson,,8,17
79,1,3:55.0,,B. Diaw makes free throw 2 of 2,8,18
80,1,3:43.0,J. Sampson misses 2-pt jump shot from 6 ft (block by L. Aldridge),,8,18
81,1,3:41.0,,Defensive rebound by D. Green,8,18
82,1,3:36.0,,P. Mills misses 3-pt jump shot from 26 ft,8,18
83,1,3:36.0,Defensive rebound by Team,,8,18
84,1,3:17.0,N. Noel misses 2-pt jump shot from 10 ft,,8,18
85,1,3:16.0,,Defensive rebound by B. Diaw,8,18
86,1,2:56.0,,L. Aldridge misses 2-pt jump shot from 16 ft,8,18
87,1,2:55.0,Defensive rebound by I. Canaan,,8,18
88,1,2:47.0,I. Canaan misses 2-pt jump shot from 17 ft,,8,18
89,1,2:46.0,,Defensive rebound by R. Butler,8,18
90,1,2:30.0,,B. Diaw misses 2-pt jump shot from 4 ft,8,18
91,1,2:28.0,,Offensive rebound by L. Aldridge,8,18
92,1,2:28.0,,L. Aldridge makes 2-pt layup at rim,8,20
93,1,2:15.0,C. Wood misses 3-pt jump shot from 25 ft,,8,20
94,1,2:14.0,,Defensive rebound by P. Mills,8,20
95,1,1:56.0,,P. Mills misses 3-pt jump shot from 22 ft,8,20
96,1,1:54.0,Defensive rebound by C. Wood,,8,20
97,1,1:41.0,C. Wood misses 2-pt jump shot from 10 ft,,8,20
98,1,1:40.0,,Defensive rebound by L. Aldridge,8,20
99,1,1:36.0,,Turnover by L. Aldridge (bad pass),8,20
100,1,1:36.0,J. Okafor enters the game for C. Wood,,8,20
101,1,1:36.0,,D. West enters the game for L. Aldridge,8,20
102,1,1:21.0,J. Grant makes 2-pt layup from 2 ft (assist by J. Okafor),,10,20
103,1,1:13.0,,Offensive foul by D. West (drawn by J. Okafor),10,20
104,1,1:13.0,,Turnover by D. West (offensive foul),10,20
105,1,1:02.0,Turnover by N. Noel (lost ball; steal by P. Mills),,10,20
106,1,1:00.0,,P. Mills misses 2-pt layup from 2 ft,10,20
107,1,0:59.0,Defensive rebound by J. Okafor,,10,20
108,1,0:55.0,Turnover by J. Grant (offensive foul),,10,20
109,1,0:55.0,,Offensive charge foul by J. Grant (drawn by D. Green),10,20
110,1,0:45.0,,D. Green misses 2-pt jump shot from 13 ft,10,20
111,1,0:45.0,Defensive rebound by Team,,10,20
112,1,0:31.0,I. Canaan misses 2-pt jump shot from 8 ft (block by D. West),,10,20
113,1,0:29.0,Offensive rebound by I. Canaan,,10,20
114,1,0:28.0,J. Sampson makes 2-pt layup from 3 ft (assist by I. Canaan),,12,20
115,1,0:05.0,,D. Green misses 3-pt jump shot from 25 ft,12,20
116,1,0:04.0,,Offensive rebound by D. West,12,20
117,1,0:04.0,Loose ball foul by J. Grant (drawn by D. West),,12,20
118,1,0:00.0,,R. Butler misses 3-pt jump shot from 24 ft,12,20
119,1,0:00.0,,Offensive rebound by Team,12,20
120,2,11:45.0,,Shooting foul by N. Noel (drawn by D. West),12,20
121,2,11:45.0,,D. West makes free throw 1 of 2,12,21
122,2,11:45.0,,T. Parker enters the game for R. Butler,12,21
123,2,11:45.0,,D. West makes free throw 2 of 2,12,22
124,2,11:23.0,J. Okafor misses 2-pt jump shot from 9 ft,,12,22
125,2,11:22.0,,Defensive rebound by K. Anderson,12,22
126,2,11:07.0,,D. West misses 2-pt layup from 1 ft,12,22
127,2,11:06.0,,Offensive rebound by B. Diaw,12,22
128,2,11:06.0,,B. Diaw misses 2-pt layup from 1 ft,12,22
129,2,11:04.0,Defensive rebound by P. Pressey,,12,22
130,2,10:59.0,Turnover by N. Stauskas (lost ball; steal by K. Anderson),,12,22
131,2,10:46.0,,T. Parker makes 2-pt layup from 1 ft (assist by D. West),12,24
132,2,10:31.0,Shooting foul by D. West (drawn by N. Noel),,12,24
133,2,10:31.0,N. Noel misses free throw 1 of 2,,12,24
134,2,10:31.0,Offensive rebound by Team,,12,24
135,2,10:31.0,H. Thompson enters the game for I. Canaan,,12,24
136,2,10:31.0,N. Noel makes free throw 2 of 2,,13,24
137,2,10:12.0,,D. West makes 2-pt jump shot from 16 ft (assist by B. Diaw),13,26
138,2,10:01.0,N. Stauskas misses 3-pt jump shot from 23 ft,,13,26
139,2,10:00.0,,Defensive rebound by B. Diaw,13,26
140,2,9:52.0,,P. Mills misses 2-pt jump shot from 16 ft,13,26
141,2,9:51.0,Defensive rebound by N. Noel,,13,26
142,2,9:41.0,H. Thompson makes 3-pt jump shot from 25 ft (assist by P. Pressey),,16,26
143,2,9:27.0,,P. Mills misses 3-pt jump shot from 24 ft,16,26
144,2,9:26.0,Defensive rebound by P. Pressey,,16,26
145,2,9:22.0,Philadelphia full timeout,,16,26
146,2,9:22.0,,R. McCallum enters the game for P. Mills,16,26
147,2,9:22.0,J. Grant enters the game for N. Noel,,16,26
148,2,9:13.0,P. Pressey makes 2-pt jump shot from 17 ft,,18,26
149,2,9:00.0,,R. McCallum makes 2-pt layup from 3 ft (assist by D. West),18,28
150,2,8:51.0,J. Okafor misses 2-pt jump shot from 6 ft,,18,28
151,2,8:49.0,,Defensive rebound by D. West,18,28
152,2,8:38.0,,B. Diaw misses 2-pt jump shot from 5 ft,18,28
153,2,8:37.0,Defensive rebound by J. Okafor,,18,28
154,2,8:26.0,J. Grant makes 3-pt jump shot from 24 ft (assist by P. Pressey),,21,28
155,2,8:16.0,,T. Parker misses 2-pt jump shot from 7 ft,21,28
156,2,8:15.0,Defensive rebound by J. Grant,,21,28
157,2,8:06.0,H. Thompson makes 2-pt jump shot from 9 ft,,23,28
158,2,7:53.0,,R. McCallum misses 2-pt jump shot from 10 ft,23,28
159,2,7:52.0,Defensive rebound by J. Grant,,23,28
160,2,7:40.0,N. Stauskas misses 2-pt jump shot from 16 ft,,23,28
161,2,7:39.0,,Defensive rebound by K. Anderson,23,28
162,2,7:38.0,Violation by P. Pressey (kicked ball),,23,28
163,2,7:38.0,,T. Duncan enters the game for B. Diaw,23,28
164,2,7:38.0,T. McConnell enters the game for P. Pressey,,23,28
165,2,7:38.0,N. Noel enters the game for J. Okafor,,23,28
166,2,7:32.0,,T. Parker misses 2-pt layup from 2 ft,23,28
167,2,7:31.0,Defensive rebound by T. McConnell,,23,28
168,2,7:27.0,Turnover by N. Stauskas (lost ball; steal by T. Parker),,23,28
169,2,7:03.0,,T. Duncan makes 2-pt jump shot from 8 ft (assist by D. West),23,30
170,2,6:49.0,Turnover by H. Thompson (bad pass; steal by K. Anderson),,23,30
171,2,6:38.0,,D. West makes 2-pt jump shot from 16 ft (assist by K. Anderson),23,32
172,2,6:23.0,J. Grant makes 2-pt layup from 2 ft (assist by H. Thompson),,25,32
173,2,6:05.0,,T. Duncan makes 2-pt layup at rim (assist by D. West),25,34
174,2,6:05.0,,Shooting foul by N. Noel (drawn by T. Duncan),25,34
175,2,6:05.0,I. Canaan enters the game for N. Stauskas,,25,34
176,2,6:05.0,,L. Aldridge enters the game for D. West,25,34
177,2,6:05.0,,T. Duncan misses free throw 1 of 1,25,34
178,2,6:04.0,Defensive rebound by J. Grant,,25,34
179,2,5:55.0,Shooting foul by L. Aldridge (drawn by N. Noel),,25,34
180,2,5:55.0,Official timeout,,25,34
181,2,5:55.0,N. Noel misses free throw 1 of 2,,25,34
182,2,5:55.0,Offensive rebound by Team,,25,34
183,2,5:55.0,N. Noel makes free throw 2 of 2,,26,34
184,2,5:38.0,,Shooting foul by N. Noel (drawn by L. Aldridge),26,34
185,2,5:38.0,,L. Aldridge makes free throw 1 of 2,26,35
186,2,5:38.0,J. Okafor enters the game for N. Noel,,26,35
187,2,5:38.0,,L. Aldridge misses free throw 2 of 2,26,35
188,2,5:38.0,Defensive rebound by I. Canaan,,26,35
189,2,5:19.0,J. Okafor makes 2-pt layup from 3 ft,,28,35
190,2,5:03.0,,T. Duncan misses 2-pt jump shot from 3 ft (block by J. Grant),28,35
191,2,5:02.0,Defensive rebound by I. Canaan,,28,35
192,2,4:56.0,H. Thompson misses 3-pt jump shot from 24 ft,,28,35
193,2,4:55.0,,Defensive rebound by R. McCallum,28,35
194,2,4:51.0,,R. McCallum makes 2-pt dunk at rim,28,37
195,2,4:28.0,J. Okafor misses 2-pt jump shot from 4 ft,,28,37
196,2,4:28.0,,Defensive rebound by R. McCallum,28,37
197,2,4:16.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by T. Parker),28,39
198,2,3:48.0,J. Okafor makes 2-pt jump shot from 9 ft,,30,39
199,2,3:42.0,,San Antonio full timeout,30,39
