,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MILWAUKEE_ACTION,NEW YORK_SCORE,MILWAUKEE_SCORE
0,1,11:50.0,Offensive charge foul by G. Antetokounmpo (drawn by J. Calderón),,0,0
1,1,11:50.0,,Turnover by G. Antetokounmpo (offensive foul),0,0
2,1,11:34.0,R. Lopez makes 2-pt jump shot from 11 ft (assist by J. Calderón),,2,0
3,1,11:13.0,,G. Antetokounmpo makes 2-pt jump shot from 14 ft,2,2
4,1,11:01.0,Shooting foul by J. Parker (drawn by C. Anthony),,2,2
5,1,11:01.0,C. Anthony makes free throw 1 of 2,,3,2
6,1,11:01.0,C. Anthony makes free throw 2 of 2,,4,2
7,1,10:49.0,,G. Monroe misses 2-pt jump shot from 6 ft,4,2
8,1,10:47.0,Defensive rebound by A. Afflalo,,4,2
9,1,10:41.0,C. Anthony misses 3-pt jump shot from 24 ft,,4,2
10,1,10:40.0,,Defensive rebound by J. Parker,4,2
11,1,10:34.0,,G. Antetokounmpo misses 2-pt layup from 1 ft (block by R. Lopez),4,2
12,1,10:32.0,Defensive rebound by J. Calderón,,4,2
13,1,10:29.0,A. Afflalo makes 2-pt layup at rim (assist by J. Calderón),,6,2
14,1,10:04.0,,K. Middleton misses 2-pt jump shot from 13 ft,6,2
15,1,10:03.0,,Offensive rebound by J. Parker,6,2
16,1,10:01.0,,J. Parker makes 2-pt layup at rim,6,4
17,1,9:58.0,New York full timeout,,6,4
18,1,9:58.0,L. Thomas enters the game for C. Anthony,,6,4
19,1,9:46.0,L. Thomas misses 2-pt layup from 1 ft (block by J. Parker),,6,4
20,1,9:43.0,,Defensive rebound by J. Parker,6,4
21,1,9:32.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,6,4
22,1,9:29.0,,Offensive rebound by G. Monroe,6,4
23,1,9:29.0,,G. Monroe makes 2-pt layup at rim,6,6
24,1,9:13.0,K. Porziņģis misses 2-pt jump shot from 19 ft,,6,6
25,1,9:12.0,,Defensive rebound by G. Monroe,6,6
26,1,8:56.0,,G. Monroe makes 2-pt jump shot from 12 ft (assist by O. Mayo),6,8
27,1,8:45.0,A. Afflalo misses 3-pt jump shot from 24 ft,,6,8
28,1,8:43.0,,Defensive rebound by G. Antetokounmpo,6,8
29,1,8:32.0,,G. Monroe makes 2-pt layup at rim (assist by K. Middleton),6,10
30,1,8:10.0,K. Porziņģis misses 2-pt hook shot from 4 ft,,6,10
31,1,8:09.0,,Defensive rebound by G. Antetokounmpo,6,10
32,1,8:01.0,,K. Middleton misses 2-pt jump shot from 6 ft,6,10
33,1,8:00.0,Defensive rebound by J. Calderón,,6,10
34,1,7:55.0,L. Thomas misses 3-pt jump shot from 25 ft,,6,10
35,1,7:53.0,,Defensive rebound by G. Antetokounmpo,6,10
36,1,7:47.0,,G. Monroe misses 2-pt layup from 2 ft,6,10
37,1,7:47.0,,Offensive rebound by G. Monroe,6,10
38,1,7:47.0,,Personal foul by K. Porziņģis (drawn by G. Monroe),6,10
39,1,7:44.0,C. Anthony enters the game for K. Porziņģis,,6,10
40,1,7:37.0,,G. Antetokounmpo misses 2-pt jump shot from 13 ft,6,10
41,1,7:34.0,Defensive rebound by J. Calderón,,6,10
42,1,7:28.0,J. Calderón makes 2-pt layup from 1 ft,,8,10
43,1,7:18.0,,Personal foul by A. Afflalo (drawn by K. Middleton),8,10
44,1,7:18.0,,J. O'Bryant enters the game for J. Parker,8,10
45,1,7:13.0,,K. Middleton misses 2-pt jump shot from 9 ft,8,10
46,1,7:12.0,,Offensive rebound by K. Middleton,8,10
47,1,7:10.0,,K. Middleton misses 2-pt layup from 1 ft (block by C. Anthony),8,10
48,1,7:10.0,,Offensive rebound by Team,8,10
49,1,7:04.0,,O. Mayo makes 2-pt jump shot from 19 ft (assist by J. O'Bryant),8,12
50,1,6:44.0,Turnover by L. Thomas (traveling),,8,12
51,1,6:26.0,,G. Monroe makes 2-pt jump shot from 17 ft (assist by O. Mayo),8,14
52,1,6:12.0,A. Afflalo makes 2-pt jump shot from 15 ft (assist by L. Thomas),,10,14
53,1,5:58.0,,G. Monroe misses 2-pt hook shot from 7 ft,10,14
54,1,5:57.0,Defensive rebound by C. Anthony,,10,14
55,1,5:48.0,L. Thomas makes 3-pt jump shot from 23 ft (assist by J. Calderón),,13,14
56,1,5:34.0,,O. Mayo misses 2-pt jump shot from 18 ft,13,14
57,1,5:33.0,Defensive rebound by C. Anthony,,13,14
58,1,5:17.0,R. Lopez misses 2-pt jump shot from 15 ft,,13,14
59,1,5:16.0,,Defensive rebound by O. Mayo,13,14
60,1,5:05.0,,J. O'Bryant makes 2-pt hook shot from 5 ft,13,16
61,1,4:52.0,Turnover by R. Lopez (bad pass),,13,16
62,1,4:52.0,,Milwaukee full timeout,13,16
63,1,4:52.0,,M. Carter-Williams enters the game for O. Mayo,13,16
64,1,4:52.0,K. Séraphin enters the game for R. Lopez,,13,16
65,1,4:52.0,L. Galloway enters the game for J. Calderón,,13,16
66,1,4:35.0,,Shooting foul by K. Séraphin (drawn by G. Monroe),13,16
67,1,4:35.0,,G. Monroe makes free throw 1 of 2,13,17
68,1,4:35.0,,G. Monroe makes free throw 2 of 2,13,18
69,1,4:13.0,K. Séraphin misses 2-pt hook shot from 6 ft,,13,18
