,QUARTER,TIME_REMAINING,TORONTO_ACTION,LA LAKERS_ACTION,TORONTO_SCORE,LA LAKERS_SCORE
0,1,11:41.0,,R. Hibbert misses 2-pt jump shot from 12 ft,0,0
1,1,11:41.0,Defensive rebound by J. Valančiūnas,,0,0
2,1,11:21.0,L. Scola misses 3-pt jump shot from 22 ft,,0,0
3,1,11:20.0,,Defensive rebound by K. Bryant,0,0
4,1,11:05.0,,J. Clarkson makes 2-pt jump shot from 19 ft,0,2
5,1,10:51.0,D. Carroll misses 3-pt jump shot from 24 ft,,0,2
6,1,10:50.0,,Defensive rebound by D. Russell,0,2
7,1,10:43.0,,D. Russell misses 2-pt layup at rim,0,2
8,1,10:42.0,Defensive rebound by L. Scola,,0,2
9,1,10:32.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,3,2
10,1,10:13.0,,Shooting foul by L. Scola (drawn by J. Randle),3,2
11,1,10:13.0,,J. Randle makes free throw 1 of 2,3,3
12,1,10:13.0,,J. Randle makes free throw 2 of 2,3,4
13,1,10:03.0,Offensive foul by D. DeRozan (drawn by J. Randle),,3,4
14,1,10:03.0,Turnover by D. DeRozan (offensive foul),,3,4
15,1,9:43.0,,J. Clarkson misses 2-pt jump shot from 14 ft,3,4
16,1,9:42.0,Defensive rebound by K. Lowry,,3,4
17,1,9:28.0,Personal foul by R. Hibbert (drawn by J. Valančiūnas),,3,4
18,1,9:22.0,K. Lowry makes 3-pt jump shot from 24 ft,,6,4
19,1,9:12.0,,Turnover by R. Hibbert (traveling),6,4
20,1,8:55.0,K. Lowry misses 2-pt layup from 1 ft,,6,4
21,1,8:55.0,,Defensive rebound by J. Randle,6,4
22,1,8:45.0,,J. Randle misses 2-pt hook shot from 1 ft,6,4
23,1,8:43.0,Defensive rebound by J. Valančiūnas,,6,4
24,1,8:34.0,D. DeRozan misses 2-pt layup from 1 ft,,6,4
25,1,8:33.0,,Defensive rebound by R. Hibbert,6,4
26,1,8:25.0,,J. Randle misses 2-pt layup at rim,6,4
27,1,8:24.0,,Offensive rebound by J. Randle,6,4
28,1,8:18.0,,D. Russell makes 3-pt jump shot from 24 ft (assist by K. Bryant),6,7
29,1,8:01.0,Turnover by D. Carroll (lost ball; steal by K. Bryant),,6,7
30,1,7:54.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by D. Russell),6,9
31,1,7:48.0,Toronto full timeout,,6,9
32,1,7:38.0,D. DeRozan makes 2-pt layup from 2 ft,,8,9
33,1,7:20.0,,D. Russell makes 2-pt jump shot from 9 ft (assist by K. Bryant),8,11
