,QUARTER,TIME_REMAINING,MIAMI_ACTION,PORTLAND_ACTION,MIAMI_SCORE,PORTLAND_SCORE
0,1,11:35.0,,Shooting foul by G. Dragić (drawn by M. Plumlee),0,0
1,1,11:35.0,,M. Plumlee makes free throw 1 of 2,0,1
2,1,11:35.0,,M. Plumlee misses free throw 2 of 2,0,1
3,1,11:34.0,Defensive rebound by L. Deng,,0,1
4,1,11:14.0,Turnover by G. Dragić (bad pass),,0,1
5,1,11:01.0,,Turnover by A. Aminu (bad pass; steal by L. Deng),0,1
6,1,10:54.0,L. Deng misses 2-pt hook shot from 6 ft,,0,1
7,1,10:54.0,,Defensive rebound by M. Plumlee,0,1
8,1,10:45.0,,Turnover by D. Lillard (bad pass; steal by A. Stoudemire),0,1
9,1,10:40.0,G. Dragić misses 2-pt layup from 2 ft (block by M. Harkless),,0,1
10,1,10:39.0,,Defensive rebound by D. Lillard,0,1
11,1,10:33.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),0,4
12,1,10:14.0,G. Green makes 2-pt jump shot from 12 ft,,2,4
13,1,9:48.0,,M. Plumlee misses 2-pt jump shot from 12 ft,2,4
14,1,9:48.0,Defensive rebound by Team,,2,4
15,1,9:39.0,G. Dragić makes 2-pt jump shot from 6 ft,,4,4
16,1,9:29.0,,D. Lillard makes 2-pt jump shot from 22 ft,4,6
17,1,9:13.0,L. Deng misses 3-pt jump shot from 25 ft,,4,6
18,1,9:13.0,,Defensive rebound by D. Lillard,4,6
19,1,9:08.0,,Personal foul by A. Stoudemire,4,6
20,1,8:58.0,,D. Lillard misses 2-pt jump shot from 21 ft,4,6
21,1,8:57.0,Defensive rebound by L. Deng,,4,6
22,1,8:42.0,Turnover by A. Stoudemire (lost ball; steal by M. Plumlee),,4,6
23,1,8:36.0,,M. Harkless makes 2-pt layup from 1 ft (assist by C. McCollum),4,8
24,1,8:22.0,G. Dragić misses 2-pt jump shot from 14 ft,,4,8
25,1,8:21.0,,Defensive rebound by A. Aminu,4,8
26,1,8:12.0,,M. Harkless misses 3-pt jump shot from 22 ft,4,8
27,1,8:12.0,Defensive rebound by G. Green,,4,8
28,1,7:54.0,J. Johnson makes 2-pt jump shot from 2 ft,,6,8
29,1,7:38.0,,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),6,10
30,1,7:12.0,J. Johnson makes 3-pt jump shot from 23 ft (assist by L. Deng),,9,10
31,1,6:53.0,,D. Lillard makes 2-pt jump shot from 16 ft (assist by M. Harkless),9,12
32,1,6:35.0,Turnover by A. Stoudemire (lost ball; steal by C. McCollum),,9,12
33,1,6:29.0,,D. Lillard misses 3-pt jump shot from 24 ft,9,12
34,1,6:26.0,,Offensive rebound by A. Aminu,9,12
35,1,6:25.0,,Turnover by A. Aminu (bad pass; steal by G. Dragić),9,12
36,1,6:19.0,G. Green misses 2-pt layup from 1 ft,,9,12
37,1,6:17.0,Offensive rebound by G. Green,,9,12
38,1,6:17.0,G. Green misses 2-pt jump shot from 9 ft,,9,12
39,1,6:15.0,Offensive rebound by G. Dragić,,9,12
40,1,6:12.0,Turnover by G. Dragić (lost ball; steal by C. McCollum),,9,12
41,1,6:10.0,,Turnover by C. McCollum (lost ball; steal by L. Deng),9,12
42,1,6:06.0,G. Dragić misses 3-pt jump shot from 22 ft,,9,12
43,1,6:05.0,,Defensive rebound by M. Plumlee,9,12
44,1,5:48.0,,M. Harkless makes 2-pt jump shot from 3 ft,9,14
45,1,5:46.0,Miami full timeout,,9,14
46,1,5:46.0,H. Whiteside enters the game for A. Stoudemire,,9,14
47,1,5:37.0,J. Johnson misses 3-pt jump shot from 22 ft,,9,14
48,1,5:36.0,Offensive rebound by L. Deng,,9,14
49,1,5:36.0,L. Deng misses 2-pt layup at rim,,9,14
50,1,5:34.0,Offensive rebound by L. Deng,,9,14
51,1,5:30.0,H. Whiteside misses 2-pt layup from 2 ft (block by A. Aminu),,9,14
52,1,5:29.0,Offensive rebound by J. Johnson,,9,14
53,1,5:20.0,H. Whiteside makes 2-pt hook shot from 3 ft,,11,14
54,1,5:00.0,,A. Aminu misses 2-pt layup from 2 ft,11,14
55,1,4:59.0,Defensive rebound by L. Deng,,11,14
56,1,4:54.0,G. Green misses 3-pt jump shot from 24 ft,,11,14
57,1,4:53.0,,Defensive rebound by M. Harkless,11,14
58,1,4:43.0,,M. Plumlee makes 2-pt jump shot from 6 ft (assist by A. Aminu),11,16
59,1,4:19.0,L. Deng makes 2-pt layup from 1 ft (assist by J. Johnson),,13,16
60,1,3:57.0,,C. McCollum misses 2-pt jump shot from 19 ft,13,16
61,1,3:56.0,Defensive rebound by L. Deng,,13,16
62,1,3:50.0,Personal foul by A. Aminu,,13,16
63,1,3:50.0,,G. Henderson enters the game for C. McCollum,13,16
64,1,3:50.0,,A. Crabbe enters the game for A. Aminu,13,16
65,1,3:50.0,,E. Davis enters the game for M. Plumlee,13,16
66,1,3:50.0,J. Winslow enters the game for J. Johnson,,13,16
67,1,3:33.0,L. Deng misses 2-pt jump shot from 20 ft,,13,16
68,1,3:33.0,,Defensive rebound by A. Crabbe,13,16
69,1,3:21.0,,G. Henderson misses 3-pt jump shot from 24 ft,13,16
70,1,3:20.0,Defensive rebound by H. Whiteside,,13,16
