,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
0,1,11:44.0,,J. Green makes 2-pt layup from 1 ft,0,2
1,1,11:27.0,D. Green misses 2-pt jump shot from 12 ft,,0,2
2,1,11:25.0,Offensive rebound by D. Green,,0,2
3,1,11:25.0,D. Green misses 2-pt layup at rim,,0,2
4,1,11:23.0,,Defensive rebound by T. Allen,0,2
5,1,11:14.0,,Shooting foul by K. Leonard (drawn by J. Green),0,2
6,1,11:14.0,,J. Green misses free throw 1 of 2,0,2
7,1,11:14.0,,Offensive rebound by Team,0,2
8,1,11:14.0,,J. Green makes free throw 2 of 2,0,3
9,1,10:48.0,L. Aldridge misses 2-pt jump shot from 20 ft,,0,3
10,1,10:48.0,,Defensive rebound by M. Gasol,0,3
11,1,10:39.0,,Z. Randolph makes 2-pt jump shot from 5 ft,0,5
12,1,10:25.0,T. Parker makes 2-pt jump shot from 6 ft (assist by D. Green),,2,5
13,1,10:05.0,,J. Green makes 2-pt layup from 1 ft,2,7
14,1,9:50.0,L. Aldridge misses 2-pt layup from 1 ft,,2,7
15,1,9:48.0,,Defensive rebound by M. Gasol,2,7
16,1,9:38.0,,Z. Randolph misses 2-pt jump shot from 18 ft,2,7
17,1,9:38.0,Defensive rebound by T. Parker,,2,7
18,1,9:26.0,K. Leonard misses 3-pt jump shot from 23 ft,,2,7
19,1,9:25.0,,Defensive rebound by M. Gasol,2,7
20,1,9:17.0,,M. Conley makes 2-pt layup at rim,2,9
21,1,9:17.0,San Antonio full timeout,,2,9
22,1,8:54.0,T. Duncan makes 2-pt hook shot from 10 ft,,4,9
23,1,8:39.0,,M. Gasol makes 2-pt jump shot from 16 ft (assist by J. Green),4,11
24,1,8:22.0,D. Green misses 3-pt jump shot from 22 ft,,4,11
25,1,8:21.0,Offensive rebound by T. Parker,,4,11
26,1,8:04.0,T. Parker makes 2-pt jump shot from 18 ft (assist by T. Duncan),,6,11
27,1,7:46.0,,J. Green misses 2-pt jump shot from 13 ft,6,11
28,1,7:44.0,Defensive rebound by K. Leonard,,6,11
29,1,7:38.0,K. Leonard misses 2-pt jump shot from 16 ft,,6,11
30,1,7:35.0,Offensive rebound by T. Parker,,6,11
