,QUARTER,TIME_REMAINING,DETROIT_ACTION,BROOKLYN_ACTION,DETROIT_SCORE,BROOKLYN_SCORE
0,1,11:46.0,M. Morris misses 2-pt jump shot from 18 ft,,0,0
1,1,11:45.0,,Defensive rebound by J. Jack,0,0
2,1,11:27.0,,B. Lopez misses 2-pt jump shot from 13 ft,0,0
3,1,11:26.0,Defensive rebound by M. Morris,,0,0
4,1,11:10.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,0,0
5,1,11:09.0,,Defensive rebound by J. Jack,0,0
6,1,10:53.0,,B. Lopez misses 2-pt hook shot from 6 ft,0,0
7,1,10:52.0,Defensive rebound by R. Jackson,,0,0
8,1,10:46.0,Turnover by R. Jackson (lost ball; steal by B. Lopez),,0,0
9,1,10:41.0,,T. Young makes 2-pt dunk at rim (assist by B. Lopez),0,2
10,1,10:19.0,M. Morris misses 2-pt jump shot from 7 ft,,0,2
11,1,10:18.0,,Defensive rebound by J. Jack,0,2
12,1,10:02.0,,Personal foul by R. Jackson (drawn by R. Hollis-Jefferson),0,2
13,1,9:55.0,,B. Lopez misses 2-pt jump shot from 13 ft,0,2
14,1,9:54.0,Defensive rebound by A. Drummond,,0,2
15,1,9:43.0,Personal foul by T. Young (drawn by E. İlyasova),,0,2
16,1,9:31.0,R. Jackson misses 3-pt jump shot from 29 ft,,0,2
17,1,9:30.0,,Defensive rebound by R. Hollis-Jefferson,0,2
18,1,9:21.0,,B. Lopez misses 2-pt jump shot from 9 ft,0,2
19,1,9:20.0,Defensive rebound by R. Jackson,,0,2
20,1,9:16.0,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),,2,2
21,1,9:16.0,Shooting foul by B. Lopez (drawn by A. Drummond),,2,2
22,1,9:16.0,Turnover by A. Drummond (lane violation.),,2,2
23,1,9:03.0,,B. Lopez makes 2-pt layup from 1 ft (assist by T. Young),2,4
24,1,9:03.0,,Shooting foul by A. Drummond (drawn by B. Lopez),2,4
25,1,9:03.0,,B. Lopez makes free throw 1 of 1,2,5
26,1,8:54.0,R. Jackson misses 2-pt jump shot from 14 ft,,2,5
27,1,8:53.0,,Defensive rebound by Team,2,5
28,1,8:35.0,,R. Hollis-Jefferson misses 2-pt layup from 1 ft (block by A. Drummond),2,5
29,1,8:34.0,,Offensive rebound by Team,2,5
30,1,8:30.0,,T. Young makes 2-pt jump shot from 4 ft (assist by J. Johnson),2,7
31,1,8:06.0,A. Drummond misses 2-pt jump shot from 5 ft,,2,7
32,1,8:05.0,,Defensive rebound by J. Johnson,2,7
33,1,7:57.0,,T. Young misses 2-pt hook shot from 7 ft,2,7
34,1,7:56.0,Defensive rebound by A. Drummond,,2,7
35,1,7:50.0,R. Jackson misses 2-pt layup from 2 ft (block by T. Young),,2,7
36,1,7:48.0,Offensive rebound by E. İlyasova,,2,7
37,1,7:46.0,E. İlyasova misses 2-pt layup from 2 ft (block by B. Lopez),,2,7
38,1,7:44.0,,Defensive rebound by R. Hollis-Jefferson,2,7
39,1,7:36.0,,B. Lopez misses 2-pt hook shot from 6 ft,2,7
40,1,7:35.0,Defensive rebound by R. Jackson,,2,7
41,1,7:31.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Jackson),,4,7
42,1,7:04.0,,Turnover by T. Young (lost ball; steal by M. Morris),4,7
43,1,6:54.0,Shooting foul by T. Young (drawn by A. Drummond),,4,7
44,1,6:54.0,A. Drummond misses free throw 1 of 2,,4,7
45,1,6:54.0,Offensive rebound by Team,,4,7
46,1,6:54.0,A. Drummond misses free throw 2 of 2,,4,7
47,1,6:53.0,Offensive rebound by E. İlyasova,,4,7
48,1,6:46.0,E. İlyasova makes 2-pt jump shot from 7 ft,,6,7
49,1,6:36.0,,J. Jack misses 2-pt jump shot from 20 ft,6,7
50,1,6:35.0,Defensive rebound by Team,,6,7
51,1,6:20.0,K. Caldwell-Pope makes 2-pt jump shot from 9 ft,,8,7
52,1,6:06.0,,Turnover by B. Lopez (bad pass; steal by A. Drummond),8,7
53,1,5:41.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,8,7
54,1,5:40.0,,Defensive rebound by J. Jack,8,7
55,1,5:32.0,,J. Jack makes 3-pt jump shot from 24 ft,8,10
56,1,5:15.0,M. Morris makes 3-pt jump shot from 24 ft (assist by R. Jackson),,11,10
57,1,5:12.0,,Brooklyn full timeout,11,10
58,1,5:12.0,,A. Bargnani enters the game for J. Johnson,11,10
59,1,5:12.0,,B. Bogdanović enters the game for T. Young,11,10
60,1,5:01.0,,B. Lopez makes 2-pt jump shot from 10 ft (assist by J. Jack),11,12
61,1,4:42.0,R. Jackson misses 2-pt layup from 2 ft (block by R. Hollis-Jefferson),,11,12
62,1,4:41.0,Offensive rebound by Team,,11,12
63,1,4:37.0,E. İlyasova makes 2-pt jump shot from 19 ft (assist by M. Morris),,13,12
64,1,4:22.0,,Turnover by J. Jack (bad pass),13,12
65,1,4:22.0,A. Tolliver enters the game for M. Morris,,13,12
66,1,4:22.0,S. Johnson enters the game for E. İlyasova,,13,12
67,1,4:03.0,R. Jackson misses 2-pt jump shot from 21 ft,,13,12
68,1,4:02.0,,Defensive rebound by B. Bogdanović,13,12
69,1,3:54.0,,A. Bargnani misses 2-pt jump shot from 17 ft,13,12
70,1,3:53.0,,Offensive rebound by B. Lopez,13,12
71,1,3:51.0,,B. Lopez misses 2-pt layup from 1 ft,13,12
72,1,3:50.0,Defensive rebound by A. Tolliver,,13,12
73,1,3:39.0,S. Johnson misses 2-pt jump shot from 9 ft,,13,12
74,1,3:38.0,Offensive rebound by A. Drummond,,13,12
75,1,3:37.0,A. Drummond misses 2-pt layup at rim,,13,12
