,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PORTLAND_ACTION,OKLAHOMA CITY_SCORE,PORTLAND_SCORE
0,1,11:47.0,K. Durant misses 2-pt jump shot from 19 ft,,0,0
1,1,11:47.0,,Defensive rebound by D. Lillard,0,0
2,1,11:39.0,,C. McCollum misses 2-pt jump shot from 12 ft,0,0
3,1,11:38.0,Defensive rebound by R. Westbrook,,0,0
4,1,11:28.0,S. Ibaka makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,3,0
5,1,11:07.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by M. Plumlee),3,3
6,1,10:45.0,Turnover by S. Ibaka (lost ball; steal by N. Vonleh),,3,3
7,1,10:42.0,,A. Aminu makes 2-pt dunk at rim (assist by N. Vonleh),3,5
8,1,10:20.0,Turnover by R. Westbrook (bad pass; steal by N. Vonleh),,3,5
9,1,10:12.0,,C. McCollum misses 3-pt jump shot from 25 ft,3,5
10,1,10:11.0,Defensive rebound by S. Ibaka,,3,5
11,1,10:03.0,R. Westbrook misses 2-pt jump shot from 10 ft,,3,5
12,1,10:02.0,,Defensive rebound by Team,3,5
13,1,9:54.0,,Offensive foul by N. Vonleh (drawn by S. Ibaka),3,5
14,1,9:54.0,,Turnover by N. Vonleh (offensive foul),3,5
15,1,9:38.0,K. Durant misses 2-pt jump shot from 15 ft,,3,5
16,1,9:37.0,,Defensive rebound by C. McCollum,3,5
17,1,9:31.0,,A. Aminu misses 2-pt jump shot from 22 ft,3,5
18,1,9:31.0,Defensive rebound by R. Westbrook,,3,5
19,1,9:25.0,K. Durant makes 2-pt dunk at rim (assist by R. Westbrook),,5,5
20,1,9:01.0,,Turnover by Team (shot clock),5,5
21,1,8:44.0,R. Westbrook makes 2-pt jump shot from 4 ft,,7,5
22,1,8:35.0,,Personal foul by R. Westbrook (drawn by D. Lillard),7,5
23,1,8:26.0,,N. Vonleh misses 2-pt jump shot from 19 ft,7,5
24,1,8:26.0,Defensive rebound by R. Westbrook,,7,5
25,1,8:19.0,K. Durant makes 2-pt layup from 2 ft,,9,5
26,1,8:06.0,,D. Lillard misses 3-pt jump shot from 23 ft,9,5
27,1,8:06.0,,Offensive rebound by Team,9,5
28,1,7:46.0,,Portland full timeout,9,5
29,1,7:40.0,,N. Vonleh misses 2-pt hook shot from 3 ft,9,5
30,1,7:40.0,Defensive rebound by K. Durant,,9,5
31,1,7:33.0,Turnover by K. Durant (traveling),,9,5
