,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,HOUSTON_ACTION,GOLDEN STATE_SCORE,HOUSTON_SCORE
0,1,11:38.0,,D. Howard misses 2-pt jump shot from 8 ft,0,0
1,1,11:37.0,Defensive rebound by A. Bogut,,0,0
2,1,11:18.0,H. Barnes makes 2-pt jump shot from 10 ft,,2,0
3,1,11:10.0,,P. Beverley misses 2-pt layup from 2 ft (block by A. Bogut),2,0
4,1,11:10.0,,Offensive rebound by Team,2,0
5,1,11:01.0,,D. Motiejūnas misses 2-pt layup from 3 ft,2,0
6,1,11:00.0,Defensive rebound by D. Green,,2,0
7,1,10:54.0,D. Green misses 2-pt layup from 1 ft,,2,0
8,1,10:53.0,,Defensive rebound by T. Ariza,2,0
9,1,10:47.0,,Personal foul by S. Livingston,2,0
10,1,10:42.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),2,3
11,1,10:30.0,K. Thompson misses 3-pt jump shot from 25 ft,,2,3
12,1,10:28.0,,Defensive rebound by P. Beverley,2,3
13,1,10:24.0,,Shooting foul by A. Bogut (drawn by D. Howard),2,3
14,1,10:24.0,,D. Howard makes free throw 1 of 2,2,4
15,1,10:24.0,,D. Howard misses free throw 2 of 2,2,4
16,1,10:23.0,,Offensive rebound by D. Motiejūnas,2,4
17,1,10:18.0,,D. Motiejūnas misses 2-pt layup from 4 ft (block by A. Bogut),2,4
18,1,10:15.0,,Offensive rebound by D. Motiejūnas,2,4
19,1,10:15.0,,D. Motiejūnas makes 2-pt layup from 2 ft,2,6
20,1,9:59.0,D. Green misses 2-pt jump shot from 21 ft,,2,6
21,1,9:58.0,,Defensive rebound by J. Harden,2,6
22,1,9:50.0,,D. Motiejūnas misses 2-pt hook shot from 5 ft,2,6
23,1,9:50.0,Defensive rebound by A. Bogut,,2,6
24,1,9:37.0,K. Thompson makes 2-pt layup at rim (assist by S. Livingston),,4,6
25,1,9:17.0,,T. Ariza misses 3-pt jump shot from 23 ft,4,6
26,1,9:16.0,Defensive rebound by D. Green,,4,6
27,1,9:11.0,S. Livingston makes 2-pt dunk at rim (assist by D. Green),,6,6
28,1,8:56.0,,J. Harden misses 2-pt jump shot from 20 ft,6,6
