,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHICAGO_ACTION,MEMPHIS_SCORE,CHICAGO_SCORE
0,1,11:44.0,,Turnover by T. Snell (bad pass; steal by J. Green),0,0
1,1,11:23.0,M. Barnes misses 2-pt jump shot from 3 ft,,0,0
2,1,11:22.0,,Defensive rebound by P. Gasol,0,0
3,1,11:01.0,,D. Rose makes 2-pt jump shot from 2 ft (assist by T. Gibson),0,2
4,1,10:43.0,C. Lee misses 2-pt jump shot from 17 ft,,0,2
5,1,10:42.0,,Defensive rebound by T. Snell,0,2
6,1,10:27.0,,Turnover by P. Gasol (bad pass; steal by M. Barnes),0,2
7,1,10:21.0,M. Barnes misses 2-pt jump shot from 23 ft,,0,2
8,1,10:20.0,,Defensive rebound by P. Gasol,0,2
9,1,10:11.0,,D. Rose misses 2-pt jump shot from 21 ft,0,2
10,1,10:10.0,Defensive rebound by C. Lee,,0,2
11,1,9:57.0,J. Green makes 2-pt jump shot from 15 ft,,2,2
12,1,9:42.0,,P. Gasol misses 2-pt jump shot from 16 ft,2,2
13,1,9:41.0,Defensive rebound by C. Lee,,2,2
14,1,9:24.0,M. Gasol misses 2-pt jump shot from 18 ft,,2,2
15,1,9:23.0,,Defensive rebound by T. Snell,2,2
16,1,9:11.0,,T. Gibson makes 2-pt jump shot from 16 ft (assist by J. Butler),2,4
17,1,8:58.0,M. Gasol misses 2-pt jump shot from 18 ft,,2,4
18,1,8:57.0,,Defensive rebound by P. Gasol,2,4
19,1,8:51.0,,D. Rose makes 2-pt jump shot from 18 ft,2,6
20,1,8:30.0,C. Lee makes 2-pt layup from 3 ft,,4,6
21,1,8:18.0,,D. Rose makes 2-pt layup from 1 ft (assist by P. Gasol),4,8
22,1,8:18.0,,Shooting foul by M. Conley (drawn by D. Rose),4,8
23,1,8:18.0,,D. Rose misses free throw 1 of 1,4,8
24,1,8:15.0,Defensive rebound by M. Barnes,,4,8
25,1,8:06.0,M. Gasol makes 2-pt jump shot from 11 ft (assist by C. Lee),,6,8
26,1,7:53.0,,D. Rose makes 2-pt layup from 1 ft,6,10
27,1,7:37.0,M. Gasol makes 2-pt jump shot from 18 ft (assist by C. Lee),,8,10
28,1,7:29.0,,J. Butler makes 2-pt jump shot from 19 ft,8,12
29,1,7:15.0,Shooting foul by T. Gibson (drawn by M. Barnes),,8,12
30,1,7:15.0,M. Barnes makes free throw 1 of 2,,9,12
31,1,7:15.0,M. Barnes misses free throw 2 of 2,,9,12
32,1,7:13.0,,Defensive rebound by T. Gibson,9,12
33,1,6:55.0,,T. Gibson misses 2-pt jump shot from 15 ft,9,12
34,1,6:54.0,Defensive rebound by C. Lee,,9,12
35,1,6:44.0,J. Green misses 2-pt hook shot from 6 ft,,9,12
36,1,6:43.0,,Defensive rebound by P. Gasol,9,12
37,1,6:31.0,,J. Butler makes 2-pt jump shot from 16 ft,9,14
38,1,6:16.0,Shooting foul by J. Butler (drawn by J. Green),,9,14
39,1,6:16.0,J. Green misses free throw 1 of 2,,9,14
40,1,6:16.0,Offensive rebound by Team,,9,14
41,1,6:16.0,J. Green makes free throw 2 of 2,,10,14
42,1,6:03.0,,J. Butler misses 2-pt layup from 3 ft,10,14
43,1,6:02.0,Defensive rebound by C. Lee,,10,14
44,1,5:46.0,C. Lee makes 2-pt jump shot from 19 ft (assist by M. Gasol),,12,14
45,1,5:35.0,,Turnover by T. Gibson (traveling),12,14
46,1,5:35.0,,Chicago full timeout,12,14
47,1,5:35.0,,J. Noah enters the game for T. Gibson,12,14
48,1,5:35.0,Z. Randolph enters the game for M. Barnes,,12,14
49,1,5:21.0,C. Lee makes 2-pt jump shot from 7 ft (assist by Z. Randolph),,14,14
50,1,5:01.0,,D. Rose misses 2-pt jump shot from 18 ft,14,14
51,1,5:01.0,,Offensive rebound by P. Gasol,14,14
52,1,5:01.0,,Personal foul by M. Gasol (drawn by P. Gasol),14,14
53,1,4:50.0,,Turnover by P. Gasol (bad pass),14,14
54,1,4:33.0,C. Lee makes 2-pt jump shot from 19 ft (assist by M. Gasol),,16,14
