,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,ATLANTA_ACTION,NEW ORLEANS_SCORE,ATLANTA_SCORE
0,1,11:47.0,,Turnover by A. Horford (bad pass; steal by E. Gordon),0,0
1,1,11:27.0,L. Babbitt makes 3-pt jump shot from 23 ft (assist by E. Gordon),,3,0
2,1,11:10.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by P. Millsap),3,2
3,1,10:55.0,E. Gordon misses 2-pt jump shot from 14 ft,,3,2
4,1,10:54.0,,Defensive rebound by K. Bazemore,3,2
5,1,10:46.0,,Personal foul by L. Babbitt (drawn by K. Korver),3,2
6,1,10:38.0,,K. Korver makes 2-pt jump shot from 16 ft (assist by J. Teague),3,4
7,1,10:28.0,Shooting foul by J. Teague (drawn by Ö. Aşık),,3,4
8,1,10:28.0,Ö. Aşık makes free throw 1 of 2,,4,4
9,1,10:28.0,Ö. Aşık misses free throw 2 of 2,,4,4
10,1,10:27.0,,Defensive rebound by K. Bazemore,4,4
11,1,10:11.0,,J. Teague misses 2-pt jump shot from 20 ft,4,4
12,1,10:09.0,Defensive rebound by R. Anderson,,4,4
13,1,10:04.0,E. Gordon misses 2-pt jump shot from 3 ft (block by A. Horford),,4,4
14,1,10:01.0,,Defensive rebound by A. Horford,4,4
15,1,9:58.0,,Turnover by K. Bazemore (lost ball),4,4
16,1,9:44.0,Turnover by I. Smith (step out of bounds),,4,4
17,1,9:34.0,,K. Korver misses 3-pt jump shot from 25 ft,4,4
18,1,9:33.0,Defensive rebound by Ö. Aşık,,4,4
19,1,9:17.0,R. Anderson misses 2-pt layup from 1 ft (block by A. Horford),,4,4
20,1,9:17.0,,Defensive rebound by P. Millsap,4,4
21,1,9:17.0,,Personal foul by Ö. Aşık (drawn by P. Millsap),4,4
22,1,9:03.0,,A. Horford misses 2-pt jump shot from 17 ft,4,4
23,1,9:02.0,Defensive rebound by R. Anderson,,4,4
24,1,8:54.0,R. Anderson misses 3-pt jump shot from 25 ft,,4,4
25,1,8:53.0,Offensive rebound by Team,,4,4
26,1,8:53.0,,Loose ball foul by K. Bazemore (drawn by Ö. Aşık),4,4
27,1,8:47.0,Turnover by I. Smith (bad pass; steal by J. Teague),,4,4
28,1,8:43.0,,J. Teague makes 2-pt layup from 1 ft,4,6
29,1,8:27.0,R. Anderson misses 3-pt jump shot from 24 ft,,4,6
30,1,8:25.0,,Defensive rebound by K. Korver,4,6
31,1,8:18.0,Offensive charge foul by P. Millsap (drawn by Ö. Aşık),,4,6
32,1,8:18.0,,Turnover by P. Millsap (offensive foul),4,6
33,1,8:04.0,E. Gordon misses 3-pt jump shot from 24 ft,,4,6
34,1,8:02.0,Offensive rebound by R. Anderson,,4,6
35,1,8:00.0,I. Smith misses 2-pt layup from 1 ft (block by J. Teague),,4,6
36,1,8:00.0,Offensive rebound by Team,,4,6
37,1,7:56.0,E. Gordon misses 2-pt jump shot from 15 ft,,4,6
38,1,7:54.0,,Defensive rebound by A. Horford,4,6
39,1,7:45.0,,P. Millsap misses 2-pt jump shot from 11 ft,4,6
40,1,7:42.0,Defensive rebound by Ö. Aşık,,4,6
41,1,7:31.0,R. Anderson makes 2-pt jump shot from 13 ft,,6,6
42,1,7:22.0,,A. Horford makes 2-pt jump shot from 17 ft (assist by J. Teague),6,8
43,1,7:06.0,R. Anderson makes 3-pt jump shot from 24 ft (assist by L. Babbitt),,9,8
44,1,6:55.0,,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Teague),9,11
45,1,6:43.0,E. Gordon makes 2-pt layup from 1 ft,,11,11
46,1,6:32.0,,A. Horford makes 2-pt layup from 1 ft (assist by J. Teague),11,13
47,1,6:16.0,I. Smith makes 2-pt layup at rim,,13,13
48,1,6:07.0,,K. Korver misses 3-pt jump shot from 24 ft,13,13
49,1,6:06.0,Defensive rebound by R. Anderson,,13,13
50,1,5:48.0,R. Anderson misses 2-pt jump shot from 21 ft,,13,13
51,1,5:46.0,Offensive rebound by R. Anderson,,13,13
52,1,5:41.0,I. Smith makes 2-pt layup from 1 ft (assist by E. Gordon),,15,13
