,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DENVER_ACTION,SACRAMENTO_SCORE,DENVER_SCORE
0,1,11:43.0,D. Collison misses 2-pt jump shot from 13 ft,,0,0
1,1,11:42.0,,Defensive rebound by N. Jokić,0,0
2,1,11:23.0,,G. Harris misses 2-pt jump shot from 19 ft,0,0
3,1,11:23.0,Defensive rebound by W. Cauley-Stein,,0,0
4,1,11:07.0,W. Cauley-Stein misses 2-pt layup from 1 ft (block by G. Harris),,0,0
5,1,11:06.0,Offensive rebound by W. Cauley-Stein,,0,0
6,1,11:00.0,R. Gay misses 3-pt jump shot from 24 ft,,0,0
7,1,10:59.0,,Defensive rebound by N. Jokić,0,0
8,1,10:47.0,,J. Sampson makes 2-pt layup from 1 ft (assist by K. Faried),0,2
9,1,10:18.0,Q. Acy makes 3-pt jump shot from 24 ft (assist by D. Collison),,3,2
10,1,10:05.0,,K. Faried makes 2-pt layup from 1 ft,3,4
11,1,9:40.0,Q. Acy misses 2-pt jump shot from 8 ft,,3,4
12,1,9:36.0,Offensive rebound by W. Cauley-Stein,,3,4
13,1,9:36.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,5,4
14,1,9:29.0,,Personal foul by D. Collison,5,4
15,1,9:17.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by G. Harris),5,7
16,1,9:01.0,B. McLemore makes 2-pt jump shot from 20 ft (assist by W. Cauley-Stein),,7,7
17,1,8:40.0,,K. Faried makes 2-pt jump shot from 5 ft (assist by E. Mudiay),7,9
18,1,8:24.0,W. Cauley-Stein makes 2-pt jump shot from 15 ft (assist by Q. Acy),,9,9
19,1,8:03.0,,N. Jokić misses 2-pt jump shot from 6 ft,9,9
20,1,8:01.0,,Offensive rebound by N. Jokić,9,9
21,1,8:01.0,,N. Jokić makes 2-pt layup from 1 ft,9,11
22,1,7:46.0,R. Gay makes 2-pt layup from 1 ft,,11,11
23,1,7:46.0,,Denver full timeout,11,11
24,1,7:23.0,,Shooting foul by B. McLemore (drawn by G. Harris),11,11
25,1,7:23.0,,G. Harris misses free throw 1 of 2,11,11
26,1,7:23.0,,Offensive rebound by Team,11,11
27,1,7:23.0,,G. Harris makes free throw 2 of 2,11,12
28,1,7:06.0,R. Gay makes 2-pt jump shot from 21 ft,,13,12
29,1,6:53.0,,G. Harris misses 3-pt jump shot from 25 ft,13,12
30,1,6:52.0,Defensive rebound by Q. Acy,,13,12
31,1,6:41.0,Q. Acy misses 2-pt jump shot from 17 ft,,13,12
32,1,6:40.0,,Defensive rebound by E. Mudiay,13,12
33,1,6:33.0,,G. Harris makes 2-pt dunk at rim (assist by E. Mudiay),13,14
34,1,6:07.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,13,14
35,1,6:07.0,Offensive rebound by R. Gay,,13,14
36,1,6:02.0,R. Gay misses 2-pt hook shot from 3 ft,,13,14
