,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
0,1,11:42.0,,G. Harris misses 2-pt jump shot from 12 ft,0,0
1,1,11:41.0,,Offensive rebound by J. Nelson,0,0
2,1,11:34.0,,K. Faried misses 2-pt hook shot from 8 ft,0,0
3,1,11:32.0,Defensive rebound by N. Vonleh,,0,0
4,1,11:07.0,C. McCollum makes 2-pt layup from 1 ft (assist by A. Crabbe),,2,0
5,1,10:57.0,,G. Harris misses 2-pt jump shot from 14 ft,2,0
6,1,10:56.0,Defensive rebound by A. Crabbe,,2,0
7,1,10:52.0,Shooting foul by K. Faried (drawn by M. Plumlee),,2,0
8,1,10:52.0,M. Plumlee makes free throw 1 of 2,,3,0
9,1,10:52.0,M. Plumlee makes free throw 2 of 2,,4,0
10,1,10:39.0,,K. Faried makes 2-pt layup from 2 ft (assist by J. Nelson),4,2
11,1,10:27.0,Turnover by C. McCollum (bad pass; steal by D. Gallinari),,4,2
12,1,10:24.0,,Shooting foul by A. Aminu (drawn by D. Gallinari),4,2
13,1,10:24.0,,D. Gallinari misses free throw 1 of 2,4,2
14,1,10:24.0,,Offensive rebound by Team,4,2
15,1,10:24.0,,D. Gallinari makes free throw 2 of 2,4,3
16,1,10:08.0,A. Aminu makes 2-pt jump shot from 15 ft,,6,3
17,1,9:50.0,,K. Faried misses 2-pt hook shot from 4 ft,6,3
18,1,9:50.0,,Offensive rebound by N. Jokić,6,3
19,1,9:44.0,,N. Jokić misses 2-pt layup from 1 ft (block by M. Plumlee),6,3
20,1,9:42.0,Defensive rebound by C. McCollum,,6,3
21,1,9:37.0,A. Aminu misses 3-pt jump shot from 27 ft,,6,3
22,1,9:36.0,,Defensive rebound by G. Harris,6,3
23,1,9:27.0,,J. Nelson makes 2-pt layup from 2 ft (assist by G. Harris),6,5
24,1,9:13.0,M. Plumlee misses 2-pt layup from 2 ft (block by D. Gallinari),,6,5
25,1,9:09.0,,Defensive rebound by N. Jokić,6,5
26,1,9:04.0,,Shooting foul by A. Crabbe (drawn by D. Gallinari),6,5
27,1,9:04.0,,D. Gallinari makes free throw 1 of 2,6,6
28,1,9:04.0,,D. Gallinari makes free throw 2 of 2,6,7
29,1,8:49.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by A. Aminu),,9,7
30,1,8:31.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by D. Gallinari),9,10
31,1,7:59.0,A. Aminu misses 2-pt jump shot from 13 ft,,9,10
32,1,7:59.0,,Defensive rebound by K. Faried,9,10
33,1,7:43.0,,N. Jokić misses 2-pt layup from 3 ft,9,10
34,1,7:42.0,,Offensive rebound by K. Faried,9,10
35,1,7:42.0,,K. Faried misses 2-pt layup from 1 ft,9,10
36,1,7:40.0,Defensive rebound by A. Aminu,,9,10
37,1,7:23.0,C. McCollum misses 3-pt jump shot from 22 ft,,9,10
38,1,7:22.0,,Defensive rebound by N. Jokić,9,10
39,1,7:02.0,,G. Harris misses 2-pt jump shot from 14 ft,9,10
40,1,7:01.0,,Offensive rebound by J. Nelson,9,10
41,1,6:39.0,,D. Gallinari misses 2-pt layup from 2 ft,9,10
42,1,6:39.0,,Offensive rebound by N. Jokić,9,10
43,1,6:39.0,,N. Jokić misses 2-pt layup from 1 ft,9,10
44,1,6:39.0,Defensive rebound by C. McCollum,,9,10
45,1,6:39.0,Personal foul by K. Faried (drawn by C. McCollum),,9,10
46,1,6:39.0,,D. Arthur enters the game for K. Faried,9,10
47,1,6:26.0,Turnover by A. Crabbe (bad pass; steal by N. Jokić),,9,10
48,1,6:15.0,,J. Nelson makes 2-pt jump shot from 22 ft,9,12
49,1,6:02.0,N. Vonleh misses 3-pt jump shot from 24 ft,,9,12
50,1,6:02.0,,Defensive rebound by J. Nelson,9,12
51,1,5:52.0,,D. Arthur misses 3-pt jump shot from 24 ft,9,12
52,1,5:51.0,Defensive rebound by Team,,9,12
53,1,5:51.0,,Denver full timeout,9,12
54,1,5:39.0,A. Crabbe makes 3-pt jump shot from 23 ft (assist by C. McCollum),,12,12
55,1,5:18.0,,D. Gallinari makes 2-pt jump shot from 11 ft,12,14
56,1,5:08.0,Turnover by C. McCollum (lost ball; steal by N. Jokić),,12,14
57,1,5:03.0,M. Leonard enters the game for N. Vonleh,,12,14
58,1,5:03.0,M. Harkless enters the game for A. Aminu,,12,14
59,1,5:02.0,,Personal foul by M. Harkless (drawn by D. Arthur),12,14
60,1,4:55.0,,Turnover by N. Jokić (lost ball),12,14
61,1,4:40.0,Personal foul by D. Arthur (drawn by M. Leonard),,12,14
62,1,4:28.0,M. Harkless makes 2-pt layup from 1 ft (assist by M. Leonard),,14,14
63,1,4:14.0,,D. Gallinari makes 2-pt layup at rim (assist by N. Jokić),14,16
64,1,3:59.0,C. McCollum misses 2-pt jump shot from 11 ft,,14,16
65,1,3:58.0,,Defensive rebound by D. Gallinari,14,16
66,1,3:54.0,,Turnover by D. Arthur (bad pass),14,16
67,1,3:54.0,,W. Barton enters the game for G. Harris,14,16
68,1,3:54.0,,J. Nurkić enters the game for N. Jokić,14,16
