,QUARTER,TIME_REMAINING,ORLANDO_ACTION,SACRAMENTO_ACTION,ORLANDO_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,,Turnover by R. Gay (lost ball),0,0
1,1,11:27.0,A. Gordon makes 2-pt jump shot from 6 ft,,2,0
2,1,11:01.0,,Turnover by R. Gay (lost ball; steal by V. Oladipo),2,0
3,1,10:43.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by C. Watson),,5,0
4,1,10:25.0,,R. Rondo misses 3-pt jump shot from 25 ft,5,0
5,1,10:25.0,Defensive rebound by A. Gordon,,5,0
6,1,10:07.0,D. Dedmon makes 2-pt hook shot from 8 ft (assist by E. Fournier),,7,0
7,1,9:53.0,,Turnover by Q. Acy (lost ball; steal by V. Oladipo),7,0
8,1,9:49.0,A. Gordon makes 2-pt dunk at rim (assist by V. Oladipo),,9,0
9,1,9:49.0,,Sacramento full timeout,9,0
10,1,9:34.0,,Turnover by R. Gay (traveling),9,0
11,1,9:19.0,Turnover by E. Fournier (traveling),,9,0
12,1,8:53.0,,D. Collison misses 2-pt jump shot from 14 ft,9,0
13,1,8:52.0,,Offensive rebound by W. Cauley-Stein,9,0
14,1,8:43.0,,R. Rondo misses 2-pt layup from 2 ft,9,0
15,1,8:41.0,Defensive rebound by D. Dedmon,,9,0
16,1,8:23.0,V. Oladipo makes 3-pt jump shot from 23 ft (assist by E. Fournier),,12,0
17,1,8:16.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Collison),12,2
18,1,8:02.0,E. Fournier misses 2-pt jump shot from 3 ft,,12,2
19,1,8:01.0,Offensive rebound by A. Gordon,,12,2
20,1,8:01.0,Shooting foul by R. Gay (drawn by A. Gordon),,12,2
21,1,8:01.0,A. Gordon misses free throw 1 of 2,,12,2
22,1,8:01.0,Offensive rebound by Team,,12,2
23,1,8:01.0,A. Gordon makes free throw 2 of 2,,13,2
24,1,7:42.0,,Q. Acy misses 2-pt jump shot from 19 ft,13,2
25,1,7:41.0,Defensive rebound by C. Watson,,13,2
26,1,7:29.0,Shooting foul by Q. Acy (drawn by V. Oladipo),,13,2
27,1,7:29.0,V. Oladipo misses free throw 1 of 2,,13,2
28,1,7:29.0,Offensive rebound by Team,,13,2
29,1,7:29.0,,O. Casspi enters the game for Q. Acy,13,2
30,1,7:29.0,V. Oladipo makes free throw 2 of 2,,14,2
31,1,7:13.0,,O. Casspi misses 2-pt jump shot from 8 ft,14,2
32,1,7:12.0,Defensive rebound by E. Fournier,,14,2
33,1,7:09.0,Turnover by A. Gordon (bad pass; steal by R. Rondo),,14,2
34,1,7:01.0,,D. Collison misses 3-pt jump shot from 22 ft,14,2
35,1,7:00.0,Defensive rebound by A. Gordon,,14,2
36,1,6:56.0,Turnover by V. Oladipo (lost ball),,14,2
37,1,6:44.0,,D. Collison misses 3-pt jump shot from 25 ft,14,2
38,1,6:44.0,Defensive rebound by E. Fournier,,14,2
39,1,6:36.0,E. Fournier misses 2-pt layup from 4 ft (block by W. Cauley-Stein),,14,2
40,1,6:34.0,Offensive rebound by E. Fournier,,14,2
41,1,6:32.0,D. Dedmon makes 2-pt dunk at rim (assist by E. Fournier),,16,2
42,1,6:13.0,,Shooting block foul by E. Fournier (drawn by R. Gay),16,2
43,1,6:13.0,,R. Gay makes free throw 1 of 2,16,3
44,1,6:13.0,,R. Gay makes free throw 2 of 2,16,4
45,1,6:02.0,Turnover by V. Oladipo (lost ball),,16,4
46,1,5:56.0,,Turnover by W. Cauley-Stein (bad pass; steal by E. Fournier),16,4
47,1,5:39.0,Shooting foul by W. Cauley-Stein (drawn by A. Gordon),,16,4
48,1,5:39.0,A. Gordon makes free throw 1 of 2,,17,4
49,1,5:39.0,,M. Belinelli enters the game for D. Collison,17,4
50,1,5:39.0,A. Gordon misses free throw 2 of 2,,17,4
51,1,5:38.0,,Defensive rebound by W. Cauley-Stein,17,4
52,1,5:13.0,,R. Gay misses 2-pt jump shot from 5 ft,17,4
53,1,5:12.0,Defensive rebound by D. Dedmon,,17,4
54,1,5:07.0,V. Oladipo misses 2-pt jump shot from 22 ft,,17,4
55,1,5:06.0,,Defensive rebound by Team,17,4
56,1,5:06.0,Loose ball foul by A. Gordon,,17,4
57,1,4:41.0,,R. Rondo makes 2-pt jump shot from 6 ft,17,6
58,1,4:27.0,D. Dedmon misses 2-pt dunk at rim (block by R. Gay),,17,6
59,1,4:25.0,,Defensive rebound by R. Gay,17,6
60,1,4:19.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by R. Rondo),17,9
61,1,3:55.0,V. Oladipo misses 3-pt jump shot from 23 ft,,17,9
62,1,3:55.0,Offensive rebound by V. Oladipo,,17,9
63,1,3:54.0,Personal foul by R. Gay,,17,9
64,1,3:54.0,J. Smith enters the game for D. Dedmon,,17,9
65,1,3:54.0,M. Hezonja enters the game for V. Oladipo,,17,9
66,1,3:54.0,,K. Koufos enters the game for W. Cauley-Stein,17,9
67,1,3:38.0,E. Fournier misses 2-pt jump shot from 19 ft,,17,9
68,1,3:37.0,Offensive rebound by M. Hezonja,,17,9
69,1,3:37.0,Orlando full timeout,,17,9
70,1,3:37.0,,S. Curry enters the game for R. Gay,17,9
71,1,3:25.0,J. Smith makes 2-pt jump shot from 19 ft (assist by M. Hezonja),,19,9
72,1,3:08.0,,Turnover by M. Belinelli (bad pass),19,9
73,1,2:50.0,A. Gordon makes 2-pt layup from 3 ft,,21,9
74,1,2:38.0,,M. Belinelli makes 2-pt jump shot from 19 ft (assist by R. Rondo),21,11
75,1,2:32.0,A. Gordon makes 2-pt dunk at rim (assist by C. Watson),,23,11
76,1,2:17.0,,M. Belinelli misses 2-pt jump shot from 22 ft,23,11
77,1,2:16.0,Defensive rebound by A. Gordon,,23,11
78,1,2:11.0,C. Watson misses 3-pt jump shot from 25 ft,,23,11
79,1,2:10.0,,Defensive rebound by K. Koufos,23,11
80,1,2:04.0,,O. Casspi misses 2-pt layup from 3 ft (block by J. Smith),23,11
81,1,2:03.0,Defensive rebound by J. Smith,,23,11
