,QUARTER,TIME_REMAINING,CHICAGO_ACTION,OKLAHOMA CITY_ACTION,CHICAGO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:40.0,D. Rose misses 2-pt jump shot from 11 ft,,0,0
1,1,11:39.0,Offensive rebound by T. Gibson,,0,0
2,1,11:37.0,T. Gibson makes 2-pt hook shot from 3 ft,,2,0
3,1,11:22.0,,R. Westbrook misses 2-pt jump shot from 10 ft,2,0
4,1,11:22.0,Defensive rebound by Team,,2,0
5,1,11:22.0,,Loose ball foul by S. Adams (drawn by P. Gasol),2,0
6,1,11:00.0,T. Gibson makes 2-pt hook shot from 6 ft,,4,0
7,1,10:39.0,,S. Ibaka misses 2-pt jump shot from 16 ft,4,0
8,1,10:39.0,Defensive rebound by N. Mirotić,,4,0
9,1,10:31.0,Shooting foul by S. Adams (drawn by P. Gasol),,4,0
10,1,10:31.0,P. Gasol makes free throw 1 of 2,,5,0
11,1,10:31.0,,E. Freedom enters the game for S. Adams,5,0
12,1,10:31.0,P. Gasol makes free throw 2 of 2,,6,0
13,1,10:08.0,,S. Ibaka misses 2-pt jump shot from 16 ft,6,0
14,1,10:07.0,Defensive rebound by N. Mirotić,,6,0
15,1,9:59.0,D. Rose misses 2-pt jump shot from 10 ft,,6,0
16,1,9:58.0,,Defensive rebound by E. Freedom,6,0
17,1,9:43.0,,K. Durant misses 2-pt jump shot from 11 ft,6,0
18,1,9:43.0,Defensive rebound by N. Mirotić,,6,0
19,1,9:34.0,Shooting foul by A. Roberson (drawn by N. Mirotić),,6,0
20,1,9:34.0,N. Mirotić makes free throw 1 of 3,,7,0
21,1,9:34.0,N. Mirotić makes free throw 2 of 3,,8,0
22,1,9:34.0,N. Mirotić makes free throw 3 of 3,,9,0
23,1,9:25.0,,R. Westbrook misses 3-pt jump shot from 24 ft,9,0
24,1,9:24.0,Defensive rebound by T. Gibson,,9,0
25,1,9:15.0,P. Gasol makes 2-pt dunk at rim (assist by J. Butler),,11,0
26,1,9:14.0,,Oklahoma City full timeout,11,0
27,1,9:01.0,,R. Westbrook makes 2-pt layup from 2 ft,11,2
28,1,8:43.0,N. Mirotić misses 3-pt jump shot from 22 ft,,11,2
29,1,8:43.0,Offensive rebound by T. Gibson,,11,2
30,1,8:42.0,Personal foul by R. Westbrook (drawn by T. Gibson),,11,2
31,1,8:36.0,Turnover by N. Mirotić (bad pass; steal by R. Westbrook),,11,2
32,1,8:35.0,,Personal foul by N. Mirotić (drawn by R. Westbrook),11,2
33,1,8:16.0,,K. Durant makes 2-pt jump shot from 11 ft,11,4
34,1,8:04.0,D. Rose misses 2-pt jump shot from 10 ft,,11,4
35,1,8:00.0,Offensive rebound by D. Rose,,11,4
36,1,8:00.0,D. Rose makes 2-pt layup from 2 ft,,13,4
37,1,7:52.0,,Turnover by R. Westbrook (lost ball; steal by N. Mirotić),13,4
38,1,7:48.0,T. Gibson makes 2-pt dunk at rim (assist by N. Mirotić),,15,4
39,1,7:20.0,,A. Roberson misses 2-pt layup from 2 ft,15,4
40,1,7:20.0,,Offensive rebound by S. Ibaka,15,4
41,1,7:19.0,,S. Ibaka misses 2-pt layup at rim,15,4
42,1,7:19.0,,Offensive rebound by A. Roberson,15,4
43,1,7:19.0,,A. Roberson misses 2-pt layup from 2 ft,15,4
44,1,7:19.0,,Offensive rebound by Team,15,4
45,1,7:19.0,,Turnover by Team (shot clock),15,4
46,1,7:10.0,Turnover by D. Rose (bad pass; steal by R. Westbrook),,15,4
47,1,7:07.0,,Shooting foul by D. Rose (drawn by R. Westbrook),15,4
48,1,7:07.0,,R. Westbrook makes free throw 1 of 2,15,5
49,1,7:07.0,,R. Westbrook misses free throw 2 of 2,15,5
50,1,7:06.0,,Offensive rebound by E. Freedom,15,5
51,1,7:06.0,,E. Freedom makes 2-pt layup from 1 ft,15,7
52,1,6:44.0,P. Gasol makes 2-pt jump shot from 14 ft,,17,7
53,1,6:27.0,,S. Ibaka misses 2-pt jump shot from 18 ft,17,7
54,1,6:27.0,Defensive rebound by N. Mirotić,,17,7
55,1,6:16.0,T. Gibson makes 2-pt dunk at rim (assist by P. Gasol),,19,7
56,1,5:54.0,,K. Durant makes 2-pt jump shot from 14 ft,19,9
57,1,5:43.0,Shooting foul by A. Roberson (drawn by D. Rose),,19,9
58,1,5:43.0,D. Rose makes free throw 1 of 2,,20,9
59,1,5:43.0,,D. Waiters enters the game for A. Roberson,20,9
60,1,5:43.0,T. Snell enters the game for N. Mirotić,,20,9
61,1,5:43.0,D. Rose makes free throw 2 of 2,,21,9
62,1,5:31.0,,Shooting foul by T. Gibson (drawn by E. Freedom),21,9
63,1,5:31.0,,E. Freedom makes free throw 1 of 2,21,10
64,1,5:31.0,,N. Collison enters the game for S. Ibaka,21,10
65,1,5:31.0,,E. Freedom makes free throw 2 of 2,21,11
66,1,5:15.0,Turnover by J. Butler (lost ball; steal by R. Westbrook),,21,11
67,1,5:09.0,,K. Durant makes 2-pt layup from 1 ft,21,13
68,1,4:59.0,P. Gasol makes 2-pt jump shot from 16 ft (assist by T. Gibson),,23,13
69,1,4:40.0,,E. Freedom misses 2-pt layup from 2 ft (block by P. Gasol),23,13
70,1,4:39.0,,Offensive rebound by E. Freedom,23,13
71,1,4:38.0,,E. Freedom misses 2-pt layup from 1 ft,23,13
72,1,4:36.0,,Offensive rebound by N. Collison,23,13
73,1,4:36.0,,N. Collison misses 2-pt layup from 1 ft,23,13
74,1,4:35.0,Defensive rebound by T. Gibson,,23,13
75,1,4:27.0,D. Rose misses 2-pt jump shot from 19 ft,,23,13
76,1,4:26.0,,Defensive rebound by E. Freedom,23,13
77,1,4:16.0,,R. Westbrook makes 2-pt jump shot from 8 ft,23,15
78,1,4:16.0,,Shooting foul by D. Rose (drawn by R. Westbrook),23,15
79,1,4:16.0,K. Hinrich enters the game for D. Rose,,23,15
80,1,4:16.0,,R. Westbrook makes free throw 1 of 1,23,16
81,1,3:54.0,Personal foul by R. Westbrook (drawn by P. Gasol),,23,16
82,1,3:54.0,P. Gasol misses free throw 1 of 2,,23,16
83,1,3:54.0,Offensive rebound by Team,,23,16
84,1,3:54.0,,D. Augustin enters the game for R. Westbrook,23,16
85,1,3:54.0,A. Brooks enters the game for K. Hinrich,,23,16
86,1,3:54.0,P. Gasol makes free throw 2 of 2,,24,16
87,1,3:54.0,,Loose ball foul by N. Collison (drawn by T. Gibson),24,16
88,1,3:54.0,T. Gibson makes free throw 1 of 1,,25,16
89,1,3:34.0,,D. Augustin misses 2-pt jump shot from 17 ft (block by A. Brooks),25,16
90,1,3:33.0,,Offensive rebound by K. Durant,25,16
91,1,3:30.0,,D. Augustin misses 3-pt jump shot from 24 ft,25,16
92,1,3:29.0,,Offensive rebound by E. Freedom,25,16
93,1,3:29.0,,E. Freedom makes 2-pt layup from 1 ft,25,18
94,1,3:12.0,T. Gibson misses 2-pt jump shot from 16 ft,,25,18
95,1,3:12.0,,Defensive rebound by E. Freedom,25,18
96,1,3:06.0,,Personal foul by J. Butler (drawn by K. Durant),25,18
97,1,3:06.0,,K. Durant makes free throw 1 of 2,25,19
98,1,3:06.0,,K. Durant makes free throw 2 of 2,25,20
99,1,2:51.0,T. Snell misses 2-pt layup from 1 ft,,25,20
100,1,2:50.0,Offensive rebound by P. Gasol,,25,20
101,1,2:46.0,P. Gasol misses 2-pt jump shot from 13 ft,,25,20
102,1,2:46.0,,Defensive rebound by K. Durant,25,20
103,1,2:35.0,,E. Freedom misses 2-pt layup at rim,25,20
104,1,2:34.0,Defensive rebound by T. Snell,,25,20
105,1,2:21.0,J. Butler misses 2-pt jump shot from 17 ft,,25,20
