,QUARTER,TIME_REMAINING,DENVER_ACTION,LA CLIPPERS_ACTION,DENVER_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,,J. Redick misses 2-pt jump shot from 22 ft,0,0
1,1,11:39.0,Defensive rebound by K. Faried,,0,0
2,1,11:21.0,E. Mudiay misses 2-pt jump shot from 16 ft,,0,0
3,1,11:20.0,,Defensive rebound by P. Pierce,0,0
4,1,11:08.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),0,3
5,1,10:45.0,K. Faried misses 2-pt jump shot from 14 ft,,0,3
6,1,10:44.0,,Defensive rebound by L. Mbah a Moute,0,3
7,1,10:36.0,,P. Pierce misses 3-pt jump shot from 23 ft,0,3
8,1,10:34.0,Defensive rebound by K. Faried,,0,3
9,1,10:17.0,K. Faried makes 2-pt jump shot from 3 ft (assist by N. Jokić),,2,3
10,1,10:01.0,,C. Paul makes 3-pt jump shot from 25 ft (assist by P. Pierce),2,6
11,1,9:49.0,Turnover by G. Harris (bad pass; steal by C. Paul),,2,6
12,1,9:36.0,,P. Pierce misses 3-pt jump shot from 24 ft,2,6
13,1,9:35.0,Defensive rebound by Team,,2,6
14,1,9:19.0,Turnover by N. Jokić (lost ball; steal by P. Pierce),,2,6
15,1,9:12.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by D. Jordan),2,9
16,1,9:11.0,Denver full timeout,,2,9
17,1,8:50.0,E. Mudiay misses 2-pt layup from 1 ft,,2,9
18,1,8:50.0,,Defensive rebound by C. Paul,2,9
19,1,8:38.0,,C. Paul makes 2-pt jump shot from 20 ft,2,11
20,1,8:20.0,D. Gallinari makes 2-pt dunk at rim (assist by E. Mudiay),,4,11
21,1,8:00.0,,J. Redick misses 3-pt jump shot from 23 ft,4,11
22,1,7:58.0,Defensive rebound by N. Jokić,,4,11
23,1,7:52.0,G. Harris misses 2-pt layup from 1 ft,,4,11
24,1,7:50.0,Offensive rebound by K. Faried,,4,11
25,1,7:45.0,D. Gallinari misses 3-pt jump shot from 25 ft,,4,11
26,1,7:45.0,Offensive rebound by K. Faried,,4,11
27,1,7:41.0,K. Faried makes 2-pt hook shot from 16 ft,,6,11
28,1,7:25.0,,C. Paul makes 3-pt jump shot from 24 ft (assist by P. Pierce),6,14
29,1,7:12.0,G. Harris makes 2-pt jump shot from 18 ft (assist by K. Faried),,8,14
30,1,6:57.0,,C. Paul misses 3-pt jump shot from 23 ft,8,14
31,1,6:56.0,Defensive rebound by D. Gallinari,,8,14
32,1,6:46.0,K. Faried makes 2-pt hook shot from 7 ft (assist by D. Gallinari),,10,14
33,1,6:17.0,,Turnover by L. Mbah a Moute (lost ball; steal by K. Faried),10,14
34,1,6:04.0,E. Mudiay misses 3-pt jump shot from 23 ft,,10,14
35,1,6:04.0,,Defensive rebound by D. Jordan,10,14
36,1,5:55.0,,L. Mbah a Moute misses 3-pt jump shot from 23 ft,10,14
37,1,5:55.0,Defensive rebound by N. Jokić,,10,14
38,1,5:46.0,N. Jokić makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,13,14
39,1,5:31.0,,Turnover by D. Jordan (lost ball; steal by G. Harris),13,14
40,1,5:25.0,G. Harris makes 2-pt layup at rim (assist by D. Gallinari),,15,14
41,1,5:24.0,,LA Clippers full timeout,15,14
42,1,5:24.0,,W. Johnson enters the game for P. Pierce,15,14
43,1,5:04.0,,C. Paul misses 3-pt jump shot from 26 ft,15,14
44,1,5:03.0,Defensive rebound by D. Gallinari,,15,14
45,1,4:40.0,E. Mudiay misses 2-pt jump shot from 12 ft,,15,14
46,1,4:38.0,Offensive rebound by Team,,15,14
47,1,4:38.0,,J. Crawford enters the game for L. Mbah a Moute,15,14
48,1,4:25.0,N. Jokić makes 2-pt layup from 2 ft,,17,14
49,1,4:01.0,,J. Redick misses 2-pt jump shot from 4 ft,17,14
50,1,3:59.0,Defensive rebound by N. Jokić,,17,14
51,1,3:55.0,G. Harris makes 2-pt layup at rim,,19,14
52,1,3:39.0,,W. Johnson misses 2-pt jump shot from 21 ft,19,14
53,1,3:39.0,Defensive rebound by N. Jokić,,19,14
54,1,3:30.0,Turnover by D. Gallinari (bad pass; steal by J. Redick),,19,14
55,1,3:22.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),19,17
56,1,3:01.0,D. Gallinari misses 2-pt layup from 1 ft,,19,17
57,1,3:00.0,Offensive rebound by N. Jokić,,19,17
58,1,2:56.0,N. Jokić misses 2-pt layup from 1 ft,,19,17
59,1,2:53.0,Offensive rebound by N. Jokić,,19,17
60,1,2:49.0,D. Gallinari misses 3-pt jump shot from 25 ft,,19,17
61,1,2:49.0,,Defensive rebound by J. Crawford,19,17
62,1,2:49.0,,Shooting foul by E. Mudiay (drawn by C. Paul),19,17
63,1,2:49.0,,C. Paul makes free throw 1 of 2,19,18
64,1,2:49.0,,J. Green enters the game for J. Redick,19,18
65,1,2:49.0,W. Barton enters the game for K. Faried,,19,18
66,1,2:49.0,,C. Paul makes free throw 2 of 2,19,19
67,1,2:42.0,Personal foul by C. Paul,,19,19
68,1,2:42.0,,P. Prigioni enters the game for C. Paul,19,19
69,1,2:35.0,E. Mudiay makes 2-pt layup from 1 ft,,21,19
70,1,2:22.0,,W. Johnson misses 3-pt jump shot from 22 ft,21,19
71,1,2:21.0,Defensive rebound by G. Harris,,21,19
72,1,2:15.0,W. Barton misses 2-pt layup from 1 ft,,21,19
73,1,2:13.0,,Defensive rebound by W. Johnson,21,19
74,1,2:05.0,,J. Crawford misses 2-pt jump shot from 17 ft,21,19
75,1,2:04.0,Defensive rebound by W. Barton,,21,19
76,1,2:00.0,G. Harris misses 2-pt dunk at rim (block by J. Green),,21,19
77,1,1:54.0,,Defensive rebound by J. Crawford,21,19
78,1,1:41.0,,Turnover by W. Johnson (bad pass),21,19
79,1,1:41.0,,C. Aldrich enters the game for D. Jordan,21,19
80,1,1:41.0,J. Lauvergne enters the game for N. Jokić,,21,19
81,1,1:28.0,J. Lauvergne makes 2-pt dunk at rim (assist by E. Mudiay),,23,19
82,1,1:05.0,,Shooting foul by D. Gallinari (drawn by J. Green),23,19
83,1,1:05.0,,J. Green misses free throw 1 of 2,23,19
84,1,1:05.0,,Offensive rebound by Team,23,19
85,1,1:05.0,D. Arthur enters the game for G. Harris,,23,19
86,1,1:05.0,,J. Green misses free throw 2 of 2,23,19
87,1,1:03.0,Defensive rebound by W. Barton,,23,19
88,1,0:51.0,E. Mudiay misses 2-pt jump shot from 18 ft,,23,19
89,1,0:48.0,,Defensive rebound by W. Johnson,23,19
90,1,0:41.0,,P. Prigioni misses 3-pt jump shot from 24 ft,23,19
91,1,0:40.0,,Offensive rebound by C. Aldrich,23,19
92,1,0:29.0,,J. Crawford misses 3-pt jump shot from 25 ft,23,19
93,1,0:28.0,Defensive rebound by J. Lauvergne,,23,19
94,1,0:11.0,Personal foul by J. Crawford,,23,19
95,1,0:04.0,D. Arthur misses 2-pt jump shot from 12 ft,,23,19
96,1,0:03.0,,Defensive rebound by W. Johnson,23,19
97,1,0:02.0,,P. Prigioni misses 3-pt jump shot from 35 ft,23,19
98,1,0:00.0,,Offensive rebound by Team,23,19
99,2,11:41.0,J. Sampson misses 2-pt jump shot from 6 ft,,23,19
100,2,11:40.0,,Defensive rebound by J. Green,23,19
101,2,11:21.0,,J. Green misses 2-pt layup from 1 ft,23,19
102,2,11:21.0,,Offensive rebound by Team,23,19
103,2,11:16.0,,J. Crawford makes 2-pt jump shot from 17 ft (assist by P. Prigioni),23,21
104,2,11:09.0,Personal foul by P. Prigioni,,23,21
105,2,11:03.0,Turnover by D. Augustin (lost ball; steal by C. Aldrich),,23,21
106,2,10:52.0,,C. Aldrich makes 2-pt dunk at rim (assist by P. Prigioni),23,23
107,2,10:37.0,Turnover by W. Barton (bad pass; steal by P. Prigioni),,23,23
108,2,10:31.0,,J. Crawford makes 2-pt jump shot from 19 ft,23,25
109,2,10:29.0,Denver full timeout,,23,25
110,2,10:12.0,D. Arthur misses 3-pt jump shot from 24 ft,,23,25
111,2,10:12.0,,Defensive rebound by P. Prigioni,23,25
112,2,9:54.0,,J. Crawford misses 2-pt jump shot from 16 ft,23,25
113,2,9:53.0,Defensive rebound by J. Sampson,,23,25
114,2,9:45.0,Personal foul by J. Green,,23,25
115,2,9:38.0,Def 3 sec tech foul by W. Johnson,,23,25
116,2,9:38.0,W. Barton makes technical free throw,,24,25
117,2,9:30.0,D. Augustin misses 3-pt jump shot from 24 ft,,24,25
118,2,9:30.0,,Defensive rebound by W. Johnson,24,25
119,2,9:23.0,,J. Crawford makes 3-pt jump shot from 25 ft (assist by P. Prigioni),24,28
120,2,9:06.0,J. Sampson misses 2-pt jump shot from 13 ft,,24,28
121,2,9:06.0,,Defensive rebound by P. Prigioni,24,28
122,2,8:56.0,,J. Green misses 2-pt layup at rim,24,28
123,2,8:54.0,Defensive rebound by J. Lauvergne,,24,28
124,2,8:54.0,Personal take foul by P. Prigioni,,24,28
125,2,8:38.0,W. Barton makes 2-pt jump shot from 12 ft,,26,28
126,2,8:38.0,Shooting foul by P. Prigioni (drawn by W. Barton),,26,28
127,2,8:38.0,W. Barton makes free throw 1 of 1,,27,28
128,2,8:24.0,,J. Crawford misses 2-pt jump shot from 21 ft,27,28
129,2,8:23.0,Defensive rebound by J. Lauvergne,,27,28
130,2,8:14.0,J. Lauvergne makes 2-pt jump shot from 8 ft (assist by D. Augustin),,29,28
131,2,8:01.0,,P. Prigioni misses 3-pt jump shot from 24 ft,29,28
132,2,8:01.0,Defensive rebound by Team,,29,28
133,2,8:01.0,,C. Wilcox enters the game for P. Prigioni,29,28
134,2,7:46.0,Turnover by W. Barton (bad pass),,29,28
135,2,7:27.0,,J. Crawford makes 2-pt layup from 1 ft,29,30
136,2,7:27.0,,Shooting foul by D. Arthur (drawn by J. Crawford),29,30
137,2,7:27.0,,J. Crawford makes free throw 1 of 1,29,31
138,2,7:13.0,Turnover by D. Augustin (lost ball; steal by C. Aldrich),,29,31
139,2,7:10.0,,Turnover by C. Aldrich (bad pass; steal by W. Barton),29,31
140,2,7:09.0,Shooting foul by C. Aldrich (drawn by J. Lauvergne),,29,31
141,2,7:09.0,J. Lauvergne makes free throw 1 of 2,,30,31
142,2,7:09.0,J. Lauvergne makes free throw 2 of 2,,31,31
143,2,6:53.0,,J. Green misses 3-pt jump shot from 24 ft,31,31
144,2,6:53.0,Defensive rebound by W. Barton,,31,31
145,2,6:47.0,W. Barton misses 2-pt jump shot from 18 ft,,31,31
146,2,6:45.0,,Defensive rebound by W. Johnson,31,31
147,2,6:35.0,,W. Johnson makes 2-pt layup at rim (assist by J. Crawford),31,33
148,2,6:19.0,D. Augustin misses 3-pt jump shot from 24 ft,,31,33
149,2,6:19.0,,Defensive rebound by J. Green,31,33
150,2,6:11.0,,J. Green misses 2-pt jump shot from 6 ft,31,33
151,2,6:06.0,Defensive rebound by W. Barton,,31,33
152,2,6:04.0,W. Barton misses 2-pt layup from 1 ft (block by C. Aldrich),,31,33
153,2,6:02.0,,Defensive rebound by C. Aldrich,31,33
154,2,5:56.0,,Personal foul by W. Barton,31,33
155,2,5:56.0,Official timeout,,31,33
156,2,5:56.0,,C. Paul enters the game for W. Johnson,31,33
157,2,5:56.0,,J. Redick enters the game for C. Aldrich,31,33
158,2,5:56.0,,D. Jordan enters the game for C. Wilcox,31,33
159,2,5:56.0,E. Mudiay enters the game for D. Augustin,,31,33
160,2,5:56.0,D. Gallinari enters the game for J. Sampson,,31,33
161,2,5:43.0,,D. Jordan misses 2-pt hook shot from 4 ft,31,33
162,2,5:41.0,Defensive rebound by E. Mudiay,,31,33
163,2,5:27.0,Personal foul by J. Crawford,,31,33
164,2,5:27.0,D. Gallinari misses free throw 1 of 2,,31,33
165,2,5:27.0,Offensive rebound by Team,,31,33
166,2,5:27.0,,P. Pierce enters the game for J. Green,31,33
167,2,5:27.0,,L. Mbah a Moute enters the game for J. Crawford,31,33
168,2,5:27.0,D. Gallinari misses free throw 2 of 2,,31,33
169,2,5:25.0,,Defensive rebound by D. Jordan,31,33
170,2,5:18.0,,J. Redick misses 3-pt jump shot from 24 ft,31,33
171,2,5:17.0,Defensive rebound by D. Gallinari,,31,33
172,2,5:12.0,Shooting foul by L. Mbah a Moute (drawn by D. Gallinari),,31,33
173,2,5:12.0,D. Gallinari makes free throw 1 of 2,,32,33
174,2,5:12.0,D. Gallinari makes free throw 2 of 2,,33,33
175,2,4:55.0,,D. Jordan makes 2-pt layup at rim (assist by C. Paul),33,35
176,2,4:55.0,,Shooting foul by D. Arthur (drawn by D. Jordan),33,35
177,2,4:55.0,K. Faried enters the game for D. Arthur,,33,35
178,2,4:55.0,,D. Jordan makes free throw 1 of 1,33,36
179,2,4:36.0,J. Lauvergne makes 2-pt jump shot from 22 ft (assist by E. Mudiay),,35,36
180,2,4:20.0,,Turnover by D. Jordan (bad pass),35,36
181,2,4:20.0,G. Harris enters the game for W. Barton,,35,36
182,2,3:58.0,G. Harris makes 2-pt jump shot from 20 ft,,37,36
183,2,3:40.0,,L. Mbah a Moute misses 3-pt jump shot from 23 ft,37,36
184,2,3:38.0,Defensive rebound by E. Mudiay,,37,36
185,2,3:29.0,K. Faried makes 2-pt layup from 1 ft (assist by E. Mudiay),,39,36
186,2,3:12.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by C. Paul),39,38
187,2,2:57.0,Turnover by G. Harris (bad pass; steal by L. Mbah a Moute),,39,38
188,2,2:50.0,,Personal foul by K. Faried,39,38
189,2,2:50.0,,LA Clippers full timeout,39,38
190,2,2:50.0,N. Jokić enters the game for J. Lauvergne,,39,38
191,2,2:41.0,,Shooting foul by K. Faried (drawn by D. Jordan),39,38
192,2,2:41.0,,D. Jordan makes free throw 1 of 2,39,39
193,2,2:41.0,,D. Jordan misses free throw 2 of 2,39,39
194,2,2:37.0,Defensive rebound by N. Jokić,,39,39
195,2,2:23.0,N. Jokić misses 3-pt jump shot from 23 ft,,39,39
196,2,2:22.0,Offensive rebound by K. Faried,,39,39
197,2,2:18.0,K. Faried makes 2-pt hook shot from 8 ft,,41,39
198,2,2:08.0,,J. Redick misses 3-pt jump shot from 24 ft,41,39
199,2,2:07.0,Defensive rebound by G. Harris,,41,39
200,2,2:00.0,G. Harris misses 2-pt layup from 1 ft,,41,39
201,2,2:00.0,Offensive rebound by K. Faried,,41,39
202,2,2:00.0,K. Faried makes 2-pt dunk at rim,,43,39
203,2,1:54.0,,Offensive foul by D. Jordan (drawn by K. Faried),43,39
204,2,1:54.0,,Turnover by D. Jordan (offensive foul),43,39
205,2,1:54.0,,W. Johnson enters the game for L. Mbah a Moute,43,39
206,2,1:37.0,N. Jokić misses 3-pt jump shot from 23 ft,,43,39
207,2,1:34.0,Offensive rebound by K. Faried,,43,39
208,2,1:31.0,K. Faried misses 2-pt layup from 1 ft,,43,39
209,2,1:29.0,Offensive rebound by K. Faried,,43,39
210,2,1:29.0,K. Faried makes 2-pt layup from 2 ft,,45,39
211,2,1:19.0,,Turnover by P. Pierce (bad pass; steal by N. Jokić),45,39
212,2,1:16.0,K. Faried makes 2-pt jump shot from 9 ft (assist by N. Jokić),,47,39
213,2,1:16.0,Shooting foul by P. Pierce (drawn by K. Faried),,47,39
214,2,1:16.0,,J. Green enters the game for P. Pierce,47,39
215,2,1:16.0,K. Faried makes free throw 1 of 1,,48,39
216,2,1:00.0,,W. Johnson misses 3-pt jump shot from 25 ft,48,39
217,2,1:00.0,Defensive rebound by E. Mudiay,,48,39
218,2,0:54.0,E. Mudiay misses 2-pt jump shot from 3 ft,,48,39
219,2,0:51.0,Offensive rebound by G. Harris,,48,39
220,2,0:50.0,G. Harris makes 3-pt jump shot from 24 ft,,51,39
221,2,0:35.0,,J. Redick misses 2-pt jump shot from 21 ft,51,39
222,2,0:34.0,Defensive rebound by D. Gallinari,,51,39
223,2,0:22.0,D. Gallinari misses 2-pt jump shot from 20 ft,,51,39
224,2,0:22.0,,Defensive rebound by W. Johnson,51,39
225,2,0:15.0,,LA Clippers full timeout,51,39
226,2,0:15.0,,J. Crawford enters the game for J. Green,51,39
227,2,0:15.0,D. Arthur enters the game for K. Faried,,51,39
228,2,0:13.0,,Turnover by W. Johnson (bad pass; steal by D. Gallinari),51,39
229,2,0:11.0,D. Gallinari makes 2-pt dunk at rim,,53,39
230,2,0:09.0,,Personal take foul by N. Jokić,53,39
231,2,0:09.0,,D. Jordan misses free throw 1 of 2,53,39
232,2,0:09.0,,Offensive rebound by Team,53,39
233,2,0:09.0,,L. Mbah a Moute enters the game for J. Crawford,53,39
234,2,0:09.0,,D. Jordan misses free throw 2 of 2,53,39
235,2,0:08.0,Defensive rebound by D. Arthur,,53,39
236,2,0:03.0,D. Arthur misses 3-pt jump shot from 24 ft,,53,39
237,2,0:01.0,Offensive rebound by G. Harris,,53,39
238,2,0:01.0,G. Harris misses 2-pt layup at rim,,53,39
239,2,0:00.0,Offensive rebound by Team,,53,39
240,3,11:37.0,K. Faried misses 2-pt jump shot from 6 ft (block by P. Pierce),,53,39
241,3,11:35.0,,Defensive rebound by D. Jordan,53,39
242,3,11:24.0,,Turnover by D. Jordan (bad pass; steal by G. Harris),53,39
243,3,11:13.0,K. Faried misses 2-pt jump shot from 17 ft,,53,39
244,3,11:11.0,,Defensive rebound by C. Paul,53,39
245,3,11:04.0,,P. Pierce misses 3-pt jump shot from 24 ft,53,39
246,3,11:03.0,Defensive rebound by K. Faried,,53,39
247,3,10:49.0,D. Gallinari makes 2-pt layup from 1 ft,,55,39
248,3,10:33.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),55,42
249,3,10:15.0,G. Harris misses 2-pt jump shot from 19 ft,,55,42
250,3,10:14.0,,Defensive rebound by L. Mbah a Moute,55,42
251,3,10:03.0,,C. Paul makes 2-pt jump shot from 9 ft,55,44
252,3,9:50.0,K. Faried makes 2-pt dunk at rim (assist by G. Harris),,57,44
253,3,9:50.0,,LA Clippers full timeout,57,44
254,3,9:36.0,,Shooting foul by E. Mudiay (drawn by P. Pierce),57,44
255,3,9:36.0,,P. Pierce makes free throw 1 of 2,57,45
256,3,9:36.0,,P. Pierce makes free throw 2 of 2,57,46
257,3,9:17.0,K. Faried makes 2-pt dunk at rim (assist by N. Jokić),,59,46
258,3,8:59.0,,J. Redick misses 3-pt jump shot from 24 ft,59,46
259,3,8:58.0,,Offensive rebound by D. Jordan,59,46
260,3,8:50.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by C. Paul),59,49
261,3,8:27.0,Turnover by D. Gallinari (lost ball; steal by C. Paul),,59,49
262,3,8:21.0,,J. Redick misses 3-pt jump shot from 24 ft,59,49
263,3,8:19.0,Defensive rebound by K. Faried,,59,49
264,3,8:09.0,E. Mudiay misses 2-pt jump shot from 14 ft,,59,49
265,3,8:06.0,,Defensive rebound by D. Jordan,59,49
266,3,7:49.0,,P. Pierce makes 2-pt jump shot from 12 ft,59,51
267,3,7:21.0,E. Mudiay misses 2-pt jump shot from 11 ft,,59,51
