,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHARLOTTE_ACTION,MILWAUKEE_SCORE,CHARLOTTE_SCORE
0,1,11:47.0,O. Mayo misses 3-pt jump shot from 24 ft,,0,0
1,1,11:46.0,,Defensive rebound by A. Jefferson,0,0
2,1,11:33.0,,Turnover by N. Batum (bad pass; steal by G. Monroe),0,0
3,1,11:27.0,G. Antetokounmpo makes 2-pt layup at rim (assist by K. Middleton),,2,0
4,1,11:13.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),2,3
5,1,10:58.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by O. Mayo),,5,3
6,1,10:43.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by N. Batum),5,6
7,1,10:31.0,O. Mayo makes 2-pt jump shot from 17 ft (assist by J. Bayless),,7,6
8,1,10:11.0,,Shooting foul by G. Antetokounmpo (drawn by N. Batum),7,6
9,1,10:11.0,,N. Batum makes free throw 1 of 2,7,7
10,1,10:11.0,,N. Batum makes free throw 2 of 2,7,8
11,1,10:11.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by G. Monroe),,9,8
12,1,9:51.0,Offensive charge foul by K. Walker (drawn by G. Monroe),,9,8
13,1,9:51.0,,Turnover by K. Walker (offensive foul),9,8
14,1,9:51.0,K. Middleton makes 2-pt layup from 1 ft (assist by J. Bayless),,11,8
15,1,9:51.0,Shooting foul by A. Jefferson (drawn by K. Middleton),,11,8
16,1,9:51.0,K. Middleton makes free throw 1 of 1,,12,8
17,1,9:51.0,,Shooting foul by O. Mayo (drawn by A. Jefferson),12,8
18,1,9:51.0,,A. Jefferson makes free throw 1 of 2,12,9
19,1,9:51.0,,A. Jefferson misses free throw 2 of 2,12,9
20,1,9:51.0,Defensive rebound by Team,,12,9
21,1,9:51.0,G. Monroe misses 2-pt hook shot from 5 ft,,12,9
22,1,9:50.0,,Defensive rebound by M. Williams,12,9
23,1,9:27.0,,P. Hairston misses 2-pt jump shot from 21 ft,12,9
24,1,9:26.0,Defensive rebound by G. Antetokounmpo,,12,9
25,1,9:14.0,J. Bayless misses 3-pt jump shot from 25 ft,,12,9
26,1,9:12.0,Offensive rebound by Team,,12,9
27,1,8:55.0,J. Bayless misses 3-pt jump shot from 24 ft,,12,9
28,1,8:54.0,,Defensive rebound by P. Hairston,12,9
29,1,8:47.0,,Turnover by N. Batum (lost ball; steal by K. Middleton),12,9
30,1,8:41.0,K. Middleton makes 2-pt layup at rim (assist by O. Mayo),,14,9
31,1,7:56.0,,Charlotte full timeout,14,9
32,1,7:44.0,,Turnover by N. Batum (lost ball; steal by K. Middleton),14,9
33,1,7:40.0,Turnover by J. Bayless (bad pass; steal by K. Walker),,14,9
34,1,7:30.0,,A. Jefferson misses 2-pt jump shot from 16 ft,14,9
35,1,7:28.0,,Offensive rebound by N. Batum,14,9
36,1,7:28.0,,N. Batum misses 2-pt layup from 1 ft,14,9
37,1,7:24.0,Defensive rebound by K. Middleton,,14,9
38,1,7:05.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Bayless),,16,9
39,1,6:45.0,,Def 3 sec tech foul by G. Antetokounmpo,16,9
40,1,6:45.0,,N. Batum makes technical free throw,16,10
41,1,6:34.0,,K. Walker misses 3-pt jump shot from 25 ft,16,10
42,1,6:33.0,Defensive rebound by Team,,16,10
43,1,6:33.0,,J. Lamb enters the game for P. Hairston,16,10
44,1,6:24.0,J. Bayless makes 2-pt dunk at rim (assist by G. Monroe),,18,10
45,1,6:11.0,,Personal foul by J. Bayless (drawn by K. Walker),18,10
46,1,5:59.0,,M. Williams misses 3-pt jump shot from 25 ft,18,10
47,1,5:58.0,Defensive rebound by G. Monroe,,18,10
48,1,5:48.0,G. Monroe misses 2-pt jump shot from 5 ft (block by K. Walker),,18,10
49,1,5:45.0,Offensive rebound by G. Monroe,,18,10
50,1,5:45.0,G. Monroe misses 2-pt layup from 1 ft (block by N. Batum),,18,10
51,1,5:43.0,Offensive rebound by O. Mayo,,18,10
52,1,5:35.0,K. Middleton misses 2-pt jump shot from 16 ft,,18,10
53,1,5:32.0,,Defensive rebound by J. Lamb,18,10
54,1,5:09.0,,Personal foul by K. Middleton (drawn by K. Walker),18,10
55,1,5:09.0,,C. Zeller enters the game for A. Jefferson,18,10
56,1,5:09.0,M. Carter-Williams enters the game for J. Bayless,,18,10
57,1,5:09.0,Violation by Team (delay of game),,18,10
58,1,5:09.0,,N. Batum misses 3-pt jump shot from 25 ft,18,10
59,1,5:08.0,Defensive rebound by G. Monroe,,18,10
60,1,4:43.0,Turnover by K. Middleton (bad pass),,18,10
61,1,4:28.0,,Personal foul by G. Antetokounmpo (drawn by K. Walker),18,10
62,1,4:28.0,,K. Walker makes free throw 1 of 2,18,11
63,1,4:28.0,J. Parker enters the game for G. Antetokounmpo,,18,11
64,1,4:28.0,,K. Walker makes free throw 2 of 2,18,12
65,1,4:13.0,J. Parker makes 2-pt dunk at rim (assist by M. Carter-Williams),,20,12
66,1,3:50.0,,Turnover by N. Batum (traveling),20,12
67,1,3:50.0,,F. Kaminsky enters the game for M. Williams,20,12
68,1,3:44.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,23,12
69,1,3:36.0,,Charlotte full timeout,23,12
