,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHARLOTTE_ACTION,MIAMI_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,L. Deng makes 2-pt layup from 1 ft (assist by G. Dragić),,2,0
1,1,11:30.0,,N. Batum makes 2-pt layup from 1 ft (assist by K. Walker),2,2
2,1,11:11.0,L. Deng misses 2-pt jump shot from 15 ft,,2,2
3,1,11:10.0,,Defensive rebound by C. Zeller,2,2
4,1,10:55.0,,C. Zeller misses 2-pt jump shot from 6 ft (block by A. Stoudemire),2,2
5,1,10:52.0,Defensive rebound by G. Dragić,,2,2
6,1,10:44.0,Shooting foul by C. Zeller (drawn by A. Stoudemire),,2,2
7,1,10:44.0,A. Stoudemire misses free throw 1 of 2,,2,2
8,1,10:44.0,Offensive rebound by Team,,2,2
9,1,10:44.0,A. Stoudemire misses free throw 2 of 2,,2,2
10,1,10:42.0,,Defensive rebound by M. Kidd-Gilchrist,2,2
11,1,10:36.0,,K. Walker misses 2-pt layup from 2 ft,2,2
12,1,10:35.0,Defensive rebound by Team,,2,2
13,1,10:26.0,G. Dragić misses 3-pt jump shot from 25 ft,,2,2
14,1,10:25.0,,Defensive rebound by N. Batum,2,2
15,1,10:14.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 14 ft,2,4
16,1,9:49.0,Turnover by D. Wade (lost ball; steal by C. Zeller),,2,4
17,1,9:45.0,,Shooting foul by C. Bosh (drawn by C. Zeller),2,4
18,1,9:45.0,,C. Zeller makes free throw 1 of 2,2,5
19,1,9:45.0,,C. Zeller misses free throw 2 of 2,2,5
20,1,9:44.0,Defensive rebound by D. Wade,,2,5
21,1,9:34.0,A. Stoudemire makes 2-pt layup from 1 ft (assist by G. Dragić),,4,5
22,1,9:11.0,,Turnover by N. Batum (bad pass; steal by G. Dragić),4,5
23,1,9:06.0,Shooting foul by M. Kidd-Gilchrist (drawn by A. Stoudemire),,4,5
24,1,9:06.0,A. Stoudemire makes free throw 1 of 2,,5,5
25,1,9:06.0,A. Stoudemire makes free throw 2 of 2,,6,5
26,1,8:47.0,,M. Williams misses 3-pt jump shot from 24 ft,6,5
27,1,8:46.0,Defensive rebound by A. Stoudemire,,6,5
28,1,8:26.0,A. Stoudemire misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),,6,5
29,1,8:26.0,Offensive rebound by Team,,6,5
30,1,8:22.0,G. Dragić makes 2-pt jump shot from 17 ft (assist by D. Wade),,8,5
31,1,7:59.0,,K. Walker makes 3-pt jump shot from 25 ft,8,8
32,1,7:43.0,C. Bosh makes 2-pt layup from 2 ft (assist by D. Wade),,10,8
33,1,7:30.0,,N. Batum misses 3-pt jump shot from 26 ft,10,8
34,1,7:29.0,Defensive rebound by C. Bosh,,10,8
35,1,7:15.0,A. Stoudemire misses 2-pt layup from 1 ft,,10,8
36,1,7:14.0,,Defensive rebound by N. Batum,10,8
37,1,7:10.0,,C. Zeller makes 2-pt layup from 1 ft (assist by N. Batum),10,10
38,1,7:10.0,,Shooting foul by G. Dragić (drawn by C. Zeller),10,10
39,1,7:10.0,J. Winslow enters the game for C. Bosh,,10,10
40,1,7:10.0,,C. Zeller makes free throw 1 of 1,10,11
41,1,6:56.0,G. Dragić misses 2-pt jump shot from 15 ft,,10,11
42,1,6:55.0,,Defensive rebound by C. Zeller,10,11
43,1,6:42.0,,M. Williams makes 2-pt layup from 1 ft,10,13
44,1,6:22.0,G. Dragić makes 2-pt layup from 1 ft,,12,13
45,1,6:04.0,,Turnover by K. Walker (lost ball; steal by G. Dragić),12,13
46,1,5:59.0,J. Winslow makes 2-pt layup from 1 ft (assist by G. Dragić),,14,13
47,1,5:46.0,,M. Williams makes 2-pt layup from 1 ft (assist by N. Batum),14,15
48,1,5:46.0,,Shooting foul by A. Stoudemire (drawn by M. Williams),14,15
49,1,5:46.0,,Charlotte full timeout,14,15
50,1,5:46.0,B. Udrih enters the game for G. Dragić,,14,15
51,1,5:46.0,,M. Williams makes free throw 1 of 1,14,16
52,1,5:31.0,D. Wade misses 2-pt jump shot from 17 ft,,14,16
53,1,5:30.0,,Defensive rebound by K. Walker,14,16
54,1,5:20.0,,Def 3 sec tech foul by A. Stoudemire,14,16
55,1,5:20.0,,N. Batum makes technical free throw,14,17
56,1,5:08.0,,M. Williams makes 2-pt jump shot from 18 ft,14,19
57,1,4:54.0,B. Udrih makes 2-pt jump shot from 18 ft,,16,19
58,1,4:30.0,,M. Williams makes 2-pt jump shot from 5 ft (assist by N. Batum),16,21
59,1,4:13.0,J. Winslow misses 2-pt jump shot from 3 ft (block by N. Batum),,16,21
60,1,4:12.0,,Defensive rebound by K. Walker,16,21
61,1,4:10.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by K. Walker),16,23
62,1,4:10.0,,Shooting foul by D. Wade (drawn by M. Kidd-Gilchrist),16,23
63,1,4:10.0,,J. Lin enters the game for M. Williams,16,23
64,1,4:10.0,,F. Kaminsky enters the game for K. Walker,16,23
65,1,4:10.0,H. Whiteside enters the game for L. Deng,,16,23
66,1,4:10.0,C. Bosh enters the game for A. Stoudemire,,16,23
67,1,4:10.0,G. Green enters the game for D. Wade,,16,23
68,1,4:10.0,,M. Kidd-Gilchrist makes free throw 1 of 1,16,24
69,1,4:08.0,Miami full timeout,,16,24
70,1,3:57.0,Personal foul by F. Kaminsky (drawn by C. Bosh),,16,24
71,1,3:48.0,B. Udrih misses 2-pt jump shot from 18 ft,,16,24
72,1,3:48.0,,Defensive rebound by Team,16,24
73,1,3:37.0,,C. Zeller misses 2-pt dunk at rim (block by H. Whiteside),16,24
74,1,3:35.0,,Offensive rebound by C. Zeller,16,24
75,1,3:35.0,,C. Zeller misses 2-pt layup from 1 ft (block by H. Whiteside),16,24
76,1,3:32.0,Defensive rebound by J. Winslow,,16,24
77,1,3:27.0,G. Green makes 2-pt layup from 1 ft,,18,24
78,1,3:27.0,Shooting foul by C. Zeller (drawn by G. Green),,18,24
79,1,3:27.0,,S. Hawes enters the game for C. Zeller,18,24
80,1,3:27.0,G. Green makes free throw 1 of 1,,19,24
81,1,3:05.0,,J. Lin misses 2-pt jump shot from 5 ft (block by H. Whiteside),19,24
82,1,3:03.0,Defensive rebound by J. Winslow,,19,24
83,1,3:00.0,J. Winslow makes 2-pt layup from 1 ft,,21,24
84,1,2:37.0,,J. Lin misses 2-pt jump shot from 22 ft,21,24
85,1,2:36.0,Defensive rebound by B. Udrih,,21,24
86,1,2:24.0,H. Whiteside makes 2-pt hook shot from 5 ft (assist by B. Udrih),,23,24
87,1,2:17.0,,Charlotte full timeout,23,24
88,1,2:17.0,,P. Hairston enters the game for M. Kidd-Gilchrist,23,24
89,1,2:08.0,,S. Hawes misses 2-pt jump shot from 18 ft,23,24
90,1,2:06.0,Defensive rebound by H. Whiteside,,23,24
91,1,1:54.0,C. Bosh misses 2-pt jump shot from 17 ft,,23,24
92,1,1:53.0,,Defensive rebound by N. Batum,23,24
93,1,1:43.0,,N. Batum makes 2-pt jump shot from 17 ft,23,26
94,1,1:25.0,B. Udrih misses 2-pt jump shot from 17 ft,,23,26
95,1,1:24.0,,Defensive rebound by F. Kaminsky,23,26
96,1,1:11.0,,Turnover by P. Hairston (bad pass; steal by J. Winslow),23,26
97,1,1:07.0,G. Green makes 2-pt dunk at rim (assist by J. Winslow),,25,26
98,1,0:56.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by J. Lin),25,29
99,1,0:44.0,B. Udrih misses 2-pt layup from 1 ft (block by J. Lin),,25,29
100,1,0:44.0,Offensive rebound by Team,,25,29
101,1,0:36.0,C. Bosh misses 2-pt jump shot from 21 ft,,25,29
102,1,0:34.0,,Defensive rebound by J. Lin,25,29
103,1,0:26.0,,N. Batum misses 2-pt jump shot from 8 ft,25,29
