,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PORTLAND_ACTION,LA CLIPPERS_SCORE,PORTLAND_SCORE
0,1,11:42.0,D. Jordan misses 2-pt hook shot from 4 ft,,0,0
1,1,11:41.0,,Defensive rebound by A. Aminu,0,0
2,1,11:32.0,,Turnover by M. Plumlee (bad pass; steal by D. Jordan),0,0
3,1,11:25.0,J. Redick misses 3-pt jump shot from 27 ft,,0,0
4,1,11:25.0,,Defensive rebound by M. Plumlee,0,0
5,1,11:17.0,,C. McCollum misses 2-pt jump shot from 16 ft,0,0
6,1,11:16.0,Defensive rebound by D. Jordan,,0,0
7,1,11:04.0,B. Griffin misses 2-pt jump shot from 4 ft (block by A. Aminu),,0,0
8,1,11:02.0,,Defensive rebound by M. Harkless,0,0
9,1,10:51.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by D. Lillard),0,3
10,1,10:33.0,C. Paul makes 2-pt layup from 2 ft,,2,3
11,1,10:12.0,,Turnover by M. Plumlee (bad pass; steal by D. Jordan),2,3
12,1,10:01.0,B. Griffin misses 2-pt jump shot from 13 ft,,2,3
13,1,10:00.0,,Defensive rebound by A. Aminu,2,3
14,1,9:45.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by M. Plumlee),2,6
15,1,9:31.0,Personal foul by C. McCollum,,2,6
16,1,9:27.0,J. Redick misses 2-pt jump shot from 4 ft,,2,6
17,1,9:26.0,,Defensive rebound by M. Plumlee,2,6
18,1,9:16.0,,A. Aminu misses 3-pt jump shot from 23 ft,2,6
19,1,9:15.0,,Offensive rebound by M. Plumlee,2,6
20,1,9:13.0,,Shooting foul by D. Jordan (drawn by A. Aminu),2,6
21,1,9:13.0,,A. Aminu makes free throw 1 of 2,2,7
22,1,9:13.0,,A. Aminu makes free throw 2 of 2,2,8
23,1,8:54.0,C. Paul makes 2-pt jump shot from 15 ft,,4,8
24,1,8:31.0,,M. Plumlee makes 2-pt jump shot from 8 ft,4,10
25,1,8:12.0,L. Mbah a Moute misses 2-pt layup from 2 ft (block by A. Aminu),,4,10
26,1,8:11.0,,Defensive rebound by D. Lillard,4,10
27,1,8:08.0,,M. Harkless makes 2-pt dunk from 1 ft (assist by D. Lillard),4,12
28,1,7:47.0,C. Paul makes 2-pt jump shot from 9 ft,,6,12
29,1,7:32.0,,A. Aminu misses 2-pt jump shot from 19 ft,6,12
30,1,7:31.0,Defensive rebound by D. Jordan,,6,12
31,1,7:27.0,B. Griffin misses 2-pt jump shot from 3 ft (block by A. Aminu),,6,12
32,1,7:26.0,,Defensive rebound by M. Plumlee,6,12
33,1,7:14.0,,M. Harkless misses 3-pt jump shot from 23 ft,6,12
34,1,7:14.0,Defensive rebound by D. Jordan,,6,12
35,1,7:06.0,Shooting foul by M. Plumlee (drawn by D. Jordan),,6,12
36,1,7:06.0,D. Jordan misses free throw 1 of 2,,6,12
37,1,7:06.0,Offensive rebound by Team,,6,12
38,1,7:06.0,D. Jordan misses free throw 2 of 2,,6,12
39,1,7:04.0,,Defensive rebound by M. Harkless,6,12
40,1,6:49.0,,M. Plumlee misses 2-pt hook shot from 2 ft,6,12
41,1,6:49.0,,Offensive rebound by M. Plumlee,6,12
42,1,6:46.0,,M. Plumlee misses 2-pt layup from 3 ft,6,12
43,1,6:45.0,,Offensive rebound by M. Plumlee,6,12
44,1,6:45.0,,M. Plumlee misses 2-pt layup from 3 ft,6,12
45,1,6:44.0,Defensive rebound by D. Jordan,,6,12
46,1,6:32.0,C. Paul makes 2-pt jump shot from 13 ft,,8,12
47,1,6:18.0,,A. Aminu makes 2-pt dunk at rim (assist by C. McCollum),8,14
48,1,6:02.0,J. Redick misses 3-pt jump shot from 26 ft,,8,14
49,1,6:01.0,,Defensive rebound by D. Lillard,8,14
50,1,5:52.0,,Shooting foul by C. Paul (drawn by M. Harkless),8,14
51,1,5:52.0,,Portland full timeout,8,14
52,1,5:52.0,J. Green enters the game for L. Mbah a Moute,,8,14
