,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MILWAUKEE_ACTION,CHARLOTTE_SCORE,MILWAUKEE_SCORE
0,1,11:37.0,M. Williams misses 2-pt jump shot from 19 ft,,0,0
1,1,11:34.0,,Defensive rebound by J. Parker,0,0
2,1,11:14.0,,K. Middleton misses 2-pt jump shot from 16 ft (block by N. Batum),0,0
3,1,11:11.0,Defensive rebound by K. Walker,,0,0
4,1,11:01.0,K. Walker misses 3-pt jump shot from 24 ft,,0,0
5,1,10:59.0,,Defensive rebound by G. Antetokounmpo,0,0
6,1,10:53.0,,O. Mayo misses 3-pt jump shot from 23 ft,0,0
7,1,10:51.0,Defensive rebound by K. Walker,,0,0
8,1,10:43.0,C. Zeller misses 2-pt jump shot from 19 ft,,0,0
9,1,10:41.0,,Defensive rebound by J. Parker,0,0
10,1,10:25.0,,Shooting foul by F. Kaminsky (drawn by J. Parker),0,0
11,1,10:25.0,,J. Parker makes free throw 1 of 2,0,1
12,1,10:25.0,,J. Parker makes free throw 2 of 2,0,2
13,1,10:14.0,K. Walker misses 2-pt layup from 2 ft,,0,2
14,1,10:13.0,Offensive rebound by C. Zeller,,0,2
15,1,10:08.0,C. Zeller makes 2-pt dunk at rim,,2,2
16,1,10:01.0,,M. Plumlee makes 2-pt layup at rim (assist by G. Antetokounmpo),2,4
17,1,9:36.0,M. Williams misses 3-pt jump shot from 23 ft,,2,4
18,1,9:35.0,,Defensive rebound by K. Middleton,2,4
19,1,9:29.0,,G. Antetokounmpo makes 2-pt hook shot from 2 ft (assist by K. Middleton),2,6
20,1,9:10.0,C. Zeller makes 2-pt jump shot from 14 ft,,4,6
21,1,8:59.0,,J. Parker makes 2-pt layup from 1 ft (assist by K. Middleton),4,8
22,1,8:42.0,Turnover by N. Batum (bad pass; steal by K. Middleton),,4,8
23,1,8:40.0,,Turnover by O. Mayo (bad pass),4,8
24,1,8:21.0,N. Batum misses 3-pt jump shot from 26 ft,,4,8
25,1,8:19.0,,Defensive rebound by G. Antetokounmpo,4,8
26,1,8:03.0,,Turnover by K. Middleton (bad pass; steal by K. Walker),4,8
27,1,7:52.0,K. Walker makes 3-pt jump shot from 25 ft,,7,8
28,1,7:39.0,,J. Parker makes 2-pt layup at rim,7,10
29,1,7:22.0,C. Zeller misses 2-pt jump shot from 13 ft,,7,10
30,1,7:21.0,Offensive rebound by M. Williams,,7,10
31,1,7:09.0,M. Williams makes 2-pt layup from 1 ft,,9,10
32,1,7:01.0,,J. Parker misses 2-pt jump shot from 17 ft,9,10
33,1,7:01.0,Defensive rebound by Team,,9,10
34,1,7:01.0,,Loose ball foul by M. Plumlee,9,10
35,1,7:00.0,,G. Monroe enters the game for M. Plumlee,9,10
36,1,6:48.0,N. Batum misses 2-pt jump shot from 19 ft,,9,10
37,1,6:46.0,,Defensive rebound by J. Parker,9,10
38,1,6:41.0,,G. Antetokounmpo misses 2-pt jump shot from 13 ft,9,10
39,1,6:38.0,Defensive rebound by M. Williams,,9,10
40,1,6:30.0,C. Zeller makes 2-pt layup from 2 ft (assist by K. Walker),,11,10
41,1,6:13.0,,G. Monroe misses 2-pt layup from 2 ft,11,10
42,1,6:11.0,Defensive rebound by F. Kaminsky,,11,10
43,1,6:01.0,M. Williams misses 2-pt jump shot from 7 ft,,11,10
44,1,6:00.0,Offensive rebound by Team,,11,10
45,1,6:00.0,A. Jefferson enters the game for C. Zeller,,11,10
46,1,6:00.0,,M. Carter-Williams enters the game for O. Mayo,11,10
47,1,5:57.0,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),,14,10
48,1,5:39.0,,J. Parker misses 2-pt jump shot from 17 ft,14,10
49,1,5:37.0,Defensive rebound by A. Jefferson,,14,10
50,1,5:29.0,Personal foul by G. Monroe,,14,10
51,1,5:29.0,,Milwaukee full timeout,14,10
52,1,5:29.0,,R. Vaughn enters the game for J. Parker,14,10
53,1,5:26.0,Turnover by M. Williams (bad pass; steal by G. Monroe),,14,10
54,1,5:19.0,,G. Antetokounmpo misses 2-pt jump shot from 4 ft,14,10
55,1,5:16.0,Defensive rebound by A. Jefferson,,14,10
56,1,5:16.0,Shooting foul by M. Carter-Williams (drawn by K. Walker),,14,10
57,1,5:16.0,K. Walker misses free throw 1 of 2,,14,10
58,1,5:16.0,Offensive rebound by Team,,14,10
59,1,5:16.0,J. Lin enters the game for N. Batum,,14,10
60,1,5:16.0,K. Walker makes free throw 2 of 2,,15,10
61,1,4:59.0,,Shooting foul by A. Jefferson (drawn by G. Monroe),15,10
62,1,4:59.0,,G. Monroe makes free throw 1 of 2,15,11
63,1,4:59.0,,G. Monroe makes free throw 2 of 2,15,12
64,1,4:45.0,J. Lin misses 2-pt jump shot from 5 ft,,15,12
65,1,4:44.0,,Defensive rebound by M. Carter-Williams,15,12
66,1,4:36.0,,R. Vaughn makes 2-pt jump shot from 11 ft (assist by K. Middleton),15,14
67,1,4:20.0,J. Lin misses 3-pt jump shot from 26 ft,,15,14
68,1,4:18.0,,Defensive rebound by G. Antetokounmpo,15,14
69,1,4:04.0,,G. Antetokounmpo makes 2-pt jump shot from 15 ft (assist by K. Middleton),15,16
70,1,3:48.0,Turnover by A. Jefferson (bad pass),,15,16
71,1,3:41.0,J. Lamb enters the game for M. Williams,,15,16
72,1,3:31.0,,G. Antetokounmpo misses 2-pt jump shot from 6 ft,15,16
73,1,3:26.0,,Offensive rebound by K. Middleton,15,16
74,1,3:26.0,,K. Middleton misses 2-pt layup from 2 ft,15,16
75,1,3:26.0,,Offensive rebound by K. Middleton,15,16
76,1,3:19.0,,Turnover by K. Middleton (bad pass; steal by K. Walker),15,16
77,1,3:09.0,K. Walker makes 2-pt layup at rim,,17,16
78,1,3:02.0,,R. Vaughn misses 3-pt jump shot from 23 ft,17,16
79,1,3:00.0,,Offensive rebound by G. Antetokounmpo,17,16
80,1,2:59.0,,G. Antetokounmpo makes 2-pt layup at rim,17,18
81,1,2:41.0,A. Jefferson misses 2-pt layup from 3 ft (block by G. Monroe),,17,18
82,1,2:41.0,,Defensive rebound by M. Carter-Williams,17,18
83,1,2:32.0,,R. Vaughn misses 3-pt jump shot from 22 ft,17,18
84,1,2:28.0,Defensive rebound by A. Jefferson,,17,18
85,1,2:21.0,K. Walker makes 3-pt jump shot from 25 ft,,20,18
86,1,2:09.0,,M. Carter-Williams makes 2-pt jump shot from 18 ft (assist by G. Antetokounmpo),20,20
87,1,1:47.0,A. Jefferson makes 2-pt jump shot from 14 ft,,22,20
88,1,1:46.0,,Milwaukee full timeout,22,20
89,1,1:46.0,Charlotte full timeout,,22,20
90,1,1:46.0,C. Zeller enters the game for F. Kaminsky,,22,20
91,1,1:46.0,M. Williams enters the game for J. Lin,,22,20
92,1,1:46.0,N. Batum enters the game for J. Lamb,,22,20
93,1,1:46.0,J. Lin enters the game for M. Williams,,22,20
94,1,1:46.0,J. Lamb enters the game for N. Batum,,22,20
95,1,1:46.0,,J. Parker enters the game for G. Antetokounmpo,22,20
96,1,1:31.0,,K. Middleton misses 2-pt jump shot from 20 ft,22,20
97,1,1:29.0,Defensive rebound by C. Zeller,,22,20
98,1,1:17.0,A. Jefferson makes 2-pt dunk at rim,,24,20
99,1,0:58.0,,K. Middleton misses 2-pt jump shot from 15 ft,24,20
100,1,0:56.0,Defensive rebound by A. Jefferson,,24,20
101,1,0:51.0,K. Walker makes 2-pt layup from 2 ft,,26,20
102,1,0:43.0,,R. Vaughn misses 3-pt jump shot from 23 ft,26,20
103,1,0:41.0,Defensive rebound by Team,,26,20
104,1,0:34.0,Turnover by K. Walker (lost ball; steal by M. Carter-Williams),,26,20
105,1,0:26.0,,J. Parker makes 2-pt dunk at rim (assist by G. Monroe),26,22
106,1,0:03.0,J. Lamb makes 2-pt jump shot from 20 ft (assist by K. Walker),,28,22
107,1,0:00.0,,M. Carter-Williams makes 3-pt jump shot from 39 ft,28,25
108,2,11:46.0,,R. Vaughn makes 2-pt jump shot from 14 ft (assist by M. Carter-Williams),28,27
109,2,11:29.0,N. Batum misses 2-pt jump shot from 17 ft,,28,27
110,2,11:25.0,,Defensive rebound by J. Parker,28,27
111,2,11:12.0,,Turnover by G. Monroe (bad pass; steal by N. Batum),28,27
112,2,11:02.0,Turnover by N. Batum (bad pass; steal by J. Parker),,28,27
113,2,10:52.0,,M. Carter-Williams makes 3-pt jump shot from 25 ft,28,30
114,2,10:41.0,N. Batum makes 2-pt jump shot from 22 ft (assist by C. Zeller),,30,30
115,2,10:30.0,,R. Vaughn misses 3-pt jump shot from 23 ft,30,30
116,2,10:28.0,Defensive rebound by N. Batum,,30,30
117,2,10:22.0,Turnover by J. Lin (step out of bounds),,30,30
118,2,10:09.0,,J. Parker misses 2-pt jump shot from 18 ft,30,30
119,2,10:09.0,,Offensive rebound by G. Monroe,30,30
120,2,10:09.0,,Personal foul by J. Lamb,30,30
121,2,10:00.0,,Turnover by O. Mayo (traveling),30,30
122,2,9:49.0,N. Batum misses 3-pt jump shot from 24 ft,,30,30
123,2,9:47.0,,Defensive rebound by M. Carter-Williams,30,30
124,2,9:41.0,,O. Mayo makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),30,33
125,2,9:25.0,Shooting foul by G. Monroe (drawn by C. Zeller),,30,33
126,2,9:25.0,C. Zeller makes free throw 1 of 2,,31,33
127,2,9:25.0,C. Zeller makes free throw 2 of 2,,32,33
128,2,9:12.0,,O. Mayo misses 2-pt jump shot from 19 ft,32,33
129,2,9:11.0,Defensive rebound by N. Batum,,32,33
130,2,9:02.0,J. Lin misses 3-pt jump shot from 26 ft,,32,33
131,2,9:01.0,Offensive rebound by C. Zeller,,32,33
132,2,8:58.0,C. Zeller makes 2-pt layup from 1 ft,,34,33
133,2,8:42.0,,Shooting foul by T. Hansbrough (drawn by G. Monroe),34,33
134,2,8:42.0,Official timeout,,34,33
135,2,8:42.0,,G. Antetokounmpo enters the game for R. Vaughn,34,33
136,2,8:42.0,,G. Monroe makes free throw 1 of 2,34,34
137,2,8:42.0,,G. Monroe makes free throw 2 of 2,34,35
138,2,8:26.0,J. Lamb makes 2-pt jump shot from 19 ft,,36,35
139,2,8:01.0,,Turnover by M. Carter-Williams (lost ball; steal by J. Lin),36,35
140,2,8:00.0,Personal foul by M. Carter-Williams,,36,35
141,2,7:42.0,Personal foul by O. Mayo,,36,35
142,2,7:35.0,Personal foul by G. Monroe,,36,35
143,2,7:35.0,,M. Plumlee enters the game for G. Monroe,36,35
