,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,HOUSTON_ACTION,CHARLOTTE_SCORE,HOUSTON_SCORE
71,1,3:41.0,C. Zeller misses 2-pt jump shot from 20 ft,,19,18
72,1,3:40.0,,Defensive rebound by J. Harden,19,18
73,1,3:33.0,,D. Howard makes 2-pt dunk at rim (assist by J. Harden),19,20
74,1,3:13.0,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),,21,20
75,1,3:07.0,,Offensive foul by D. Howard (drawn by C. Zeller),21,20
76,1,3:07.0,,Turnover by D. Howard (offensive foul),21,20
77,1,3:07.0,,C. Brewer enters the game for T. Ariza,21,20
78,1,3:07.0,,T. Jones enters the game for D. Howard,21,20
79,1,3:07.0,F. Kaminsky enters the game for M. Williams,,21,20
80,1,3:07.0,,Technical foul by D. Howard,21,20
81,1,3:07.0,N. Batum misses technical free throw,,21,20
82,1,3:07.0,Offensive rebound by Team,,21,20
83,1,3:00.0,Turnover by K. Walker (bad pass; steal by C. Brewer),,21,20
84,1,2:58.0,,Personal foul by J. Lin (drawn by J. Harden),21,20
85,1,2:58.0,Charlotte full timeout,,21,20
86,1,2:58.0,S. Hawes enters the game for C. Zeller,,21,20
87,1,2:45.0,,Shooting foul by J. Lin (drawn by J. Harden),21,20
88,1,2:45.0,,J. Harden makes free throw 1 of 2,21,21
89,1,2:45.0,,J. Harden makes free throw 2 of 2,21,22
90,1,2:34.0,N. Batum makes 2-pt layup from 1 ft,,23,22
91,1,2:20.0,,T. Jones misses 3-pt jump shot from 23 ft,23,22
92,1,2:19.0,Defensive rebound by S. Hawes,,23,22
93,1,2:10.0,S. Hawes misses 3-pt jump shot from 24 ft,,23,22
94,1,2:09.0,Offensive rebound by K. Walker,,23,22
95,1,2:04.0,,Offensive charge foul by J. Lin (drawn by J. Terry),23,22
96,1,2:04.0,Turnover by J. Lin (offensive foul),,23,22
97,1,2:04.0,,M. Thornton enters the game for J. Harden,23,22
98,1,2:04.0,,P. Beverley enters the game for J. Terry,23,22
99,1,2:04.0,J. Lamb enters the game for J. Lin,,23,22
100,1,1:48.0,,D. Motiejūnas makes 2-pt hook shot from 7 ft,23,24
101,1,1:38.0,N. Batum misses 3-pt jump shot from 26 ft,,23,24
102,1,1:36.0,,Defensive rebound by Team,23,24
103,1,1:18.0,,P. Beverley misses 3-pt jump shot from 25 ft,23,24
104,1,1:17.0,,Offensive rebound by D. Motiejūnas,23,24
105,1,1:13.0,,M. Thornton makes 3-pt jump shot from 24 ft (assist by D. Motiejūnas),23,27
106,1,0:59.0,K. Walker makes 3-pt jump shot from 27 ft,,26,27
107,1,0:50.0,,Turnover by C. Brewer (bad pass),26,27
108,1,0:43.0,Personal foul by D. Motiejūnas (drawn by K. Walker),,26,27
109,1,0:37.0,N. Batum misses 2-pt jump shot from 22 ft,,26,27
110,1,0:36.0,,Defensive rebound by D. Motiejūnas,26,27
111,1,0:27.0,,Shooting foul by K. Walker (drawn by T. Jones),26,27
112,1,0:27.0,,T. Jones misses free throw 1 of 2,26,27
113,1,0:27.0,,Offensive rebound by Team,26,27
114,1,0:27.0,,T. Ariza enters the game for D. Motiejūnas,26,27
115,1,0:27.0,,T. Jones misses free throw 2 of 2,26,27
116,1,0:27.0,Defensive rebound by N. Batum,,26,27
117,1,0:02.0,K. Walker makes 2-pt jump shot from 17 ft,,28,27
118,2,11:50.0,J. Lamb makes 2-pt layup from 1 ft (assist by S. Hawes),,30,27
119,2,11:50.0,Shooting foul by M. Thornton (drawn by J. Lamb),,30,27
120,2,11:50.0,J. Lamb makes free throw 1 of 1,,31,27
121,2,11:31.0,,D. Motiejūnas makes 2-pt hook shot from 6 ft,31,29
122,2,11:13.0,P. Hairston misses 3-pt jump shot from 26 ft,,31,29
123,2,11:12.0,,Defensive rebound by T. Jones,31,29
124,2,10:56.0,,T. Jones makes 2-pt layup from 2 ft (assist by C. Brewer),31,31
125,2,10:36.0,S. Hawes misses 2-pt jump shot from 5 ft,,31,31
126,2,10:35.0,,Defensive rebound by Team,31,31
127,2,10:21.0,,Turnover by D. Motiejūnas (bad pass; steal by S. Hawes),31,31
128,2,10:04.0,Personal foul by T. Jones (drawn by K. Walker),,31,31
129,2,9:54.0,P. Hairston misses 2-pt layup from 3 ft,,31,31
130,2,9:53.0,,Defensive rebound by C. Brewer,31,31
131,2,9:42.0,,T. Jones misses 2-pt layup from 2 ft (block by F. Kaminsky),31,31
132,2,9:40.0,,Offensive rebound by T. Jones,31,31
133,2,9:39.0,,T. Jones makes 2-pt layup from 1 ft,31,33
134,2,9:33.0,Charlotte full timeout,,31,33
135,2,9:33.0,B. Roberts enters the game for K. Walker,,31,33
136,2,9:33.0,,C. Capela enters the game for D. Motiejūnas,31,33
137,2,9:27.0,B. Roberts misses 3-pt jump shot from 25 ft,,31,33
138,2,9:27.0,,Defensive rebound by C. Brewer,31,33
139,2,9:11.0,,T. Jones makes 2-pt layup at rim (assist by P. Beverley),31,35
140,2,8:45.0,P. Hairston misses 3-pt jump shot from 25 ft,,31,35
141,2,8:44.0,,Defensive rebound by C. Capela,31,35
142,2,8:34.0,,M. Thornton misses 3-pt jump shot from 25 ft,31,35
143,2,8:33.0,Defensive rebound by Team,,31,35
144,2,8:33.0,,Loose ball foul by C. Capela (drawn by P. Hairston),31,35
145,2,8:33.0,,D. Howard enters the game for C. Capela,31,35
146,2,8:17.0,Personal foul by C. Brewer (drawn by S. Hawes),,31,35
147,2,8:09.0,J. Lamb misses 3-pt jump shot from 25 ft,,31,35
148,2,8:08.0,,Defensive rebound by P. Beverley,31,35
149,2,7:45.0,,M. Thornton misses 3-pt jump shot from 23 ft,31,35
150,2,7:44.0,,Offensive rebound by P. Beverley,31,35
151,2,7:43.0,,P. Beverley misses 2-pt jump shot from 5 ft,31,35
152,2,7:41.0,Defensive rebound by Team,,31,35
153,2,7:24.0,Turnover by B. Roberts (bad pass),,31,35
154,2,7:24.0,,J. Harden enters the game for M. Thornton,31,35
155,2,7:10.0,,Turnover by D. Howard (3 sec),31,35
156,2,6:57.0,F. Kaminsky misses 2-pt jump shot from 9 ft,,31,35
157,2,6:56.0,,Defensive rebound by D. Howard,31,35
158,2,6:51.0,,Shooting foul by P. Hairston (drawn by J. Harden),31,35
159,2,6:51.0,,J. Harden misses free throw 1 of 3,31,35
160,2,6:51.0,,Offensive rebound by Team,31,35
161,2,6:51.0,,J. Harden makes free throw 2 of 3,31,36
162,2,6:51.0,,J. Harden makes free throw 3 of 3,31,37
163,2,6:38.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by B. Roberts),,34,37
164,2,6:24.0,,P. Beverley misses 2-pt jump shot from 8 ft (block by S. Hawes),34,37
165,2,6:22.0,Defensive rebound by F. Kaminsky,,34,37
166,2,6:11.0,P. Hairston misses 3-pt jump shot from 24 ft,,34,37
167,2,6:10.0,Offensive rebound by P. Hairston,,34,37
168,2,6:06.0,J. Lamb misses 3-pt jump shot from 25 ft,,34,37
169,2,6:05.0,,Defensive rebound by P. Beverley,34,37
170,2,5:50.0,,J. Harden misses 3-pt jump shot from 24 ft,34,37
171,2,5:49.0,Defensive rebound by B. Roberts,,34,37
172,2,5:49.0,Personal foul by J. Harden (drawn by P. Hairston),,34,37
173,2,5:49.0,Charlotte full timeout,,34,37
174,2,5:49.0,M. Williams enters the game for F. Kaminsky,,34,37
175,2,5:49.0,C. Zeller enters the game for S. Hawes,,34,37
176,2,5:49.0,,J. Terry enters the game for P. Beverley,34,37
177,2,5:49.0,,T. Ariza enters the game for C. Brewer,34,37
178,2,5:49.0,P. Hairston makes free throw 1 of 2,,35,37
179,2,5:49.0,P. Hairston misses free throw 2 of 2,,35,37
180,2,5:49.0,,Defensive rebound by T. Jones,35,37
181,2,5:37.0,,Turnover by J. Terry (bad pass; steal by B. Roberts),35,37
182,2,5:15.0,J. Lamb misses 2-pt jump shot from 10 ft,,35,37
183,2,5:14.0,Offensive rebound by J. Lamb,,35,37
184,2,5:12.0,J. Lamb makes 2-pt layup from 1 ft,,37,37
185,2,4:56.0,,Turnover by T. Ariza (bad pass; steal by C. Zeller),37,37
186,2,4:50.0,B. Roberts makes 2-pt layup at rim (assist by J. Lamb),,39,37
187,2,4:26.0,,Turnover by T. Ariza (offensive foul),39,37
188,2,4:26.0,Offensive charge foul by T. Ariza (drawn by P. Hairston),,39,37
189,2,4:26.0,N. Batum enters the game for P. Hairston,,39,37
190,2,4:14.0,Turnover by C. Zeller (bad pass),,39,37
191,2,4:02.0,,J. Harden makes 2-pt layup from 1 ft,39,39
192,2,3:46.0,K. Walker enters the game for B. Roberts,,39,39
193,2,3:46.0,,D. Motiejūnas enters the game for T. Jones,39,39
194,2,3:37.0,J. Lamb misses 2-pt jump shot from 3 ft,,39,39
195,2,3:36.0,,Defensive rebound by Team,39,39
196,2,3:22.0,,J. Harden makes 2-pt layup at rim,39,41
197,2,3:08.0,N. Batum misses 2-pt jump shot from 21 ft,,39,41
198,2,3:07.0,,Defensive rebound by D. Motiejūnas,39,41
199,2,3:03.0,,Personal foul by N. Batum (drawn by J. Harden),39,41
200,2,2:51.0,,J. Harden misses 3-pt jump shot from 26 ft,39,41
201,2,2:50.0,Defensive rebound by C. Zeller,,39,41
202,2,2:30.0,J. Lamb misses 3-pt jump shot from 25 ft,,39,41
203,2,2:29.0,,Defensive rebound by D. Howard,39,41
204,2,2:29.0,Loose ball foul by C. Zeller (drawn by D. Howard),,39,41
205,2,2:29.0,,Houston full timeout,39,41
206,2,2:29.0,S. Hawes enters the game for C. Zeller,,39,41
207,2,2:29.0,T. Daniels enters the game for J. Lamb,,39,41
208,2,2:15.0,,D. Howard makes 2-pt layup from 2 ft (assist by D. Motiejūnas),39,43
209,2,2:15.0,,Shooting foul by S. Hawes (drawn by D. Howard),39,43
210,2,2:15.0,,D. Howard misses free throw 1 of 1,39,43
211,2,2:15.0,Defensive rebound by N. Batum,,39,43
212,2,1:54.0,M. Williams misses 2-pt jump shot from 7 ft,,39,43
213,2,1:53.0,,Defensive rebound by D. Howard,39,43
214,2,1:46.0,,Turnover by J. Harden (bad pass; steal by S. Hawes),39,43
215,2,1:38.0,T. Daniels makes 3-pt jump shot from 25 ft (assist by K. Walker),,42,43
216,2,1:22.0,,D. Motiejūnas misses 3-pt jump shot from 24 ft,42,43
217,2,1:21.0,Defensive rebound by M. Williams,,42,43
218,2,1:01.0,M. Williams misses 2-pt jump shot from 10 ft,,42,43
219,2,1:00.0,,Defensive rebound by J. Terry,42,43
220,2,0:54.0,,Turnover by D. Howard (bad pass; steal by N. Batum),42,43
221,2,0:50.0,N. Batum makes 2-pt layup at rim,,44,43
222,2,0:32.0,,J. Harden misses 3-pt jump shot from 24 ft,44,43
223,2,0:30.0,Defensive rebound by Team,,44,43
224,2,0:30.0,,C. Brewer enters the game for J. Terry,44,43
225,2,0:30.0,,P. Beverley enters the game for D. Motiejūnas,44,43
226,2,0:11.0,Turnover by T. Daniels (bad pass),,44,43
227,2,0:11.0,,M. Thornton enters the game for C. Brewer,44,43
228,2,0:04.0,,J. Harden makes 2-pt layup from 1 ft,44,45
229,2,0:04.0,,Shooting foul by S. Hawes (drawn by J. Harden),44,45
230,2,0:04.0,,C. Brewer enters the game for M. Thornton,44,45
231,2,0:04.0,,J. Harden misses free throw 1 of 1,44,45
232,2,0:04.0,Defensive rebound by N. Batum,,44,45
233,2,0:01.0,T. Daniels misses 3-pt jump shot from 41 ft,,44,45
234,2,0:00.0,Offensive rebound by Team,,44,45
235,3,11:36.0,Turnover by Team (shot clock),,44,45
236,3,11:20.0,,T. Ariza misses 3-pt jump shot from 25 ft,44,45
237,3,11:19.0,,Offensive rebound by J. Harden,44,45
238,3,11:06.0,,Offensive foul by C. Capela (drawn by P. Hairston),44,45
239,3,11:06.0,,Turnover by C. Capela (offensive foul),44,45
240,3,10:43.0,K. Walker misses 3-pt jump shot from 25 ft,,44,45
241,3,10:42.0,,Defensive rebound by P. Beverley,44,45
