,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHICAGO_ACTION,DETROIT_SCORE,CHICAGO_SCORE
0,1,11:46.0,,Turnover by D. Rose (bad pass; steal by K. Caldwell-Pope),0,0
1,1,11:29.0,Personal foul by T. Snell (drawn by M. Morris),,0,0
2,1,11:19.0,M. Morris misses 2-pt jump shot from 18 ft,,0,0
3,1,11:17.0,,Defensive rebound by J. Butler,0,0
4,1,11:11.0,,D. Rose misses 2-pt layup from 1 ft,0,0
5,1,11:08.0,Defensive rebound by A. Drummond,,0,0
6,1,10:57.0,A. Drummond makes 2-pt jump shot from 4 ft,,2,0
7,1,10:38.0,,D. Rose misses 2-pt layup from 2 ft,2,0
8,1,10:37.0,Defensive rebound by A. Drummond,,2,0
9,1,10:29.0,K. Caldwell-Pope makes 2-pt layup at rim (assist by R. Jackson),,4,0
10,1,10:17.0,,T. Gibson makes 2-pt jump shot from 14 ft (assist by J. Butler),4,2
11,1,10:06.0,K. Caldwell-Pope makes 2-pt dunk at rim (assist by R. Jackson),,6,2
12,1,9:51.0,,P. Gasol makes 2-pt hook shot from 9 ft,6,4
13,1,9:32.0,Shooting foul by T. Snell (drawn by K. Caldwell-Pope),,6,4
14,1,9:32.0,K. Caldwell-Pope misses free throw 1 of 2,,6,4
15,1,9:32.0,Offensive rebound by Team,,6,4
16,1,9:32.0,,D. McDermott enters the game for T. Snell,6,4
17,1,9:32.0,K. Caldwell-Pope makes free throw 2 of 2,,7,4
18,1,9:15.0,,P. Gasol misses 2-pt jump shot from 19 ft,7,4
19,1,9:14.0,Defensive rebound by K. Caldwell-Pope,,7,4
20,1,9:05.0,A. Drummond makes 2-pt hook shot from 3 ft (assist by K. Caldwell-Pope),,9,4
21,1,8:56.0,,Personal foul by E. İlyasova (drawn by T. Gibson),9,4
22,1,8:41.0,,P. Gasol misses 2-pt layup from 2 ft,9,4
23,1,8:40.0,Defensive rebound by E. İlyasova,,9,4
24,1,8:29.0,A. Drummond misses 2-pt layup from 1 ft (block by P. Gasol),,9,4
25,1,8:27.0,,Defensive rebound by D. McDermott,9,4
26,1,8:24.0,,Personal foul by R. Jackson (drawn by P. Gasol),9,4
27,1,8:17.0,,P. Gasol makes 2-pt jump shot from 14 ft (assist by D. Rose),9,6
28,1,7:54.0,E. İlyasova makes 2-pt jump shot from 18 ft (assist by R. Jackson),,11,6
29,1,7:40.0,,Turnover by T. Gibson (bad pass; steal by A. Drummond),11,6
30,1,7:35.0,R. Jackson misses 2-pt jump shot from 19 ft,,11,6
31,1,7:34.0,Offensive rebound by M. Morris,,11,6
32,1,7:29.0,E. İlyasova misses 3-pt jump shot from 25 ft,,11,6
33,1,7:28.0,Offensive rebound by A. Drummond,,11,6
34,1,7:14.0,A. Drummond misses 2-pt jump shot from 12 ft,,11,6
35,1,7:13.0,,Defensive rebound by T. Gibson,11,6
36,1,7:09.0,,Shooting foul by R. Jackson (drawn by D. Rose),11,6
37,1,7:09.0,,D. Rose makes free throw 1 of 2,11,7
38,1,7:09.0,S. Blake enters the game for R. Jackson,,11,7
39,1,7:09.0,,J. Noah enters the game for T. Gibson,11,7
40,1,7:09.0,,D. Rose makes free throw 2 of 2,11,8
41,1,6:56.0,K. Caldwell-Pope makes 2-pt jump shot from 14 ft,,13,8
42,1,6:51.0,,Shooting foul by K. Caldwell-Pope (drawn by J. Butler),13,8
43,1,6:51.0,,J. Butler makes free throw 1 of 2,13,9
44,1,6:51.0,,J. Butler makes free throw 2 of 2,13,10
45,1,6:44.0,Personal foul by D. McDermott (drawn by K. Caldwell-Pope),,13,10
46,1,6:26.0,K. Caldwell-Pope misses 3-pt jump shot from 28 ft,,13,10
47,1,6:25.0,,Defensive rebound by J. Noah,13,10
48,1,6:18.0,,D. Rose misses 2-pt layup at rim,13,10
49,1,6:17.0,,Offensive rebound by P. Gasol,13,10
50,1,6:17.0,,P. Gasol misses 2-pt layup from 2 ft,13,10
51,1,6:16.0,,Offensive rebound by J. Noah,13,10
52,1,6:12.0,,D. Rose makes 2-pt layup from 1 ft,13,12
53,1,5:55.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,,13,12
54,1,5:53.0,,Defensive rebound by J. Butler,13,12
55,1,5:44.0,,J. Butler makes 2-pt jump shot from 16 ft,13,14
56,1,5:21.0,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Drummond),,16,14
57,1,5:00.0,,P. Gasol makes 2-pt jump shot from 15 ft (assist by D. Rose),16,16
58,1,4:38.0,Personal foul by J. Butler (drawn by M. Morris),,16,16
59,1,4:38.0,,Chicago full timeout,16,16
60,1,4:30.0,M. Morris misses 2-pt jump shot from 15 ft,,16,16
61,1,4:29.0,,Defensive rebound by P. Gasol,16,16
62,1,4:12.0,,P. Gasol makes 2-pt jump shot from 3 ft,16,18
63,1,3:46.0,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,,16,18
64,1,3:45.0,,Defensive rebound by J. Noah,16,18
65,1,3:37.0,,P. Gasol misses 2-pt jump shot from 17 ft,16,18
66,1,3:36.0,Defensive rebound by K. Caldwell-Pope,,16,18
67,1,3:29.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),,19,18
68,1,3:17.0,,P. Gasol misses 2-pt jump shot from 10 ft,19,18
69,1,3:16.0,Defensive rebound by A. Drummond,,19,18
70,1,3:11.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,19,18
71,1,3:10.0,Offensive rebound by E. İlyasova,,19,18
72,1,3:07.0,E. İlyasova makes 2-pt jump shot from 14 ft,,21,18
73,1,2:50.0,,J. Butler makes 2-pt dunk at rim (assist by P. Gasol),21,20
74,1,2:40.0,Detroit full timeout,,21,20
75,1,2:40.0,,N. Mirotić enters the game for P. Gasol,21,20
76,1,2:40.0,S. Johnson enters the game for M. Morris,,21,20
77,1,2:40.0,,A. Brooks enters the game for D. Rose,21,20
78,1,2:33.0,S. Blake makes 3-pt jump shot from 25 ft (assist by E. İlyasova),,24,20
79,1,2:17.0,,J. Butler makes 2-pt layup from 2 ft,24,22
80,1,2:17.0,,Shooting foul by K. Caldwell-Pope (drawn by J. Butler),24,22
81,1,2:17.0,M. Morris enters the game for K. Caldwell-Pope,,24,22
82,1,2:17.0,,J. Butler makes free throw 1 of 1,24,23
83,1,2:04.0,Turnover by M. Morris (bad pass; steal by J. Noah),,24,23
84,1,1:54.0,,J. Butler misses 2-pt jump shot from 18 ft,24,23
85,1,1:53.0,Defensive rebound by S. Blake,,24,23
86,1,1:33.0,S. Johnson misses 2-pt jump shot from 11 ft,,24,23
87,1,1:31.0,Offensive rebound by E. İlyasova,,24,23
88,1,1:31.0,E. İlyasova misses 2-pt layup from 1 ft (block by J. Butler),,24,23
89,1,1:29.0,Offensive rebound by A. Drummond,,24,23
90,1,1:28.0,A. Drummond makes 2-pt layup from 1 ft,,26,23
91,1,1:18.0,,D. McDermott misses 3-pt jump shot from 23 ft,26,23
92,1,1:17.0,Defensive rebound by E. İlyasova,,26,23
93,1,1:13.0,Turnover by E. İlyasova (bad pass; steal by J. Butler),,26,23
94,1,1:12.0,Offensive charge foul by J. Butler (drawn by E. İlyasova),,26,23
95,1,1:12.0,,Turnover by J. Butler (offensive foul),26,23
96,1,1:12.0,,E. Moore enters the game for J. Butler,26,23
97,1,0:57.0,S. Blake makes 2-pt jump shot from 17 ft,,28,23
98,1,0:51.0,,J. Noah makes 2-pt layup from 1 ft (assist by A. Brooks),28,25
99,1,0:38.0,S. Johnson misses 3-pt jump shot from 23 ft,,28,25
100,1,0:38.0,,Defensive rebound by Team,28,25
101,1,0:38.0,Loose ball foul by M. Morris (drawn by E. Moore),,28,25
102,1,0:38.0,,E. Moore makes free throw 1 of 2,28,26
103,1,0:38.0,,E. Moore makes free throw 2 of 2,28,27
104,1,0:29.0,Personal foul by D. McDermott (drawn by M. Morris),,28,27
105,1,0:29.0,M. Morris misses free throw 1 of 2,,28,27
106,1,0:29.0,Offensive rebound by Team,,28,27
107,1,0:29.0,M. Morris misses free throw 2 of 2,,28,27
108,1,0:28.0,,Defensive rebound by A. Brooks,28,27
109,1,0:06.0,Offensive charge foul by A. Brooks (drawn by S. Blake),,28,27
110,1,0:06.0,,Turnover by A. Brooks (offensive foul),28,27
111,1,0:00.0,S. Blake makes 2-pt jump shot from 20 ft,,30,27
112,2,11:43.0,S. Johnson misses 2-pt jump shot from 11 ft,,30,27
113,2,11:42.0,,Defensive rebound by J. Noah,30,27
114,2,11:33.0,,A. Brooks misses 2-pt jump shot from 16 ft,30,27
115,2,11:33.0,Defensive rebound by J. Anthony,,30,27
116,2,11:33.0,Personal foul by J. Noah (drawn by J. Anthony),,30,27
117,2,11:19.0,Personal foul by N. Mirotić (drawn by M. Morris),,30,27
118,2,11:06.0,S. Johnson makes 2-pt jump shot from 19 ft,,32,27
119,2,10:47.0,,D. McDermott misses 3-pt jump shot from 24 ft,32,27
120,2,10:46.0,,Offensive rebound by A. Brooks,32,27
121,2,10:39.0,,E. Moore makes 3-pt jump shot from 22 ft (assist by J. Noah),32,30
122,2,10:17.0,S. Johnson misses 2-pt jump shot from 16 ft,,32,30
123,2,10:16.0,,Defensive rebound by N. Mirotić,32,30
124,2,10:01.0,,E. Moore misses 2-pt jump shot from 18 ft,32,30
125,2,10:00.0,Defensive rebound by S. Johnson,,32,30
126,2,9:51.0,Shooting foul by E. Moore (drawn by M. Morris),,32,30
127,2,9:51.0,M. Morris makes free throw 1 of 2,,33,30
128,2,9:51.0,R. Jackson enters the game for S. Blake,,33,30
129,2,9:51.0,,T. Gibson enters the game for E. Moore,33,30
130,2,9:51.0,M. Morris misses free throw 2 of 2,,33,30
131,2,9:49.0,,Defensive rebound by N. Mirotić,33,30
132,2,9:32.0,,Turnover by J. Noah (bad pass),33,30
133,2,9:11.0,M. Morris misses 2-pt jump shot from 16 ft,,33,30
134,2,9:10.0,,Defensive rebound by J. Noah,33,30
135,2,8:56.0,,T. Gibson misses 2-pt layup from 1 ft,33,30
136,2,8:55.0,,Offensive rebound by J. Noah,33,30
137,2,8:55.0,,J. Noah misses 2-pt layup at rim,33,30
138,2,8:53.0,Defensive rebound by S. Johnson,,33,30
139,2,8:49.0,Shooting foul by A. Brooks (drawn by M. Morris),,33,30
140,2,8:49.0,Detroit full timeout,,33,30
141,2,8:49.0,M. Morris makes free throw 1 of 2,,34,30
142,2,8:49.0,M. Morris makes free throw 2 of 2,,35,30
143,2,8:40.0,,D. McDermott makes 2-pt layup from 2 ft (assist by J. Noah),35,32
144,2,8:18.0,R. Jackson makes 2-pt jump shot from 13 ft,,37,32
145,2,8:07.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by J. Noah),37,35
146,2,7:52.0,R. Jackson makes 2-pt jump shot from 20 ft,,39,35
147,2,7:33.0,,T. Gibson misses 2-pt jump shot from 16 ft,39,35
148,2,7:32.0,Defensive rebound by J. Anthony,,39,35
149,2,7:23.0,Personal foul by D. McDermott (drawn by S. Johnson),,39,35
150,2,7:23.0,S. Johnson makes free throw 1 of 2,,40,35
151,2,7:23.0,K. Caldwell-Pope enters the game for M. Morris,,40,35
152,2,7:23.0,,D. Rose enters the game for A. Brooks,40,35
153,2,7:23.0,,J. Butler enters the game for D. McDermott,40,35
154,2,7:23.0,S. Johnson makes free throw 2 of 2,,41,35
