,QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
0,1,11:39.0,M. Ellis makes 2-pt layup from 2 ft,,2,0
1,1,11:26.0,,Turnover by J. Sullinger (bad pass; steal by C. Miles),2,0
2,1,11:15.0,C. Miles misses 2-pt jump shot from 18 ft,,2,0
3,1,11:14.0,,Defensive rebound by I. Thomas,2,0
4,1,11:03.0,,Turnover by A. Johnson (lost ball; steal by C. Miles),2,0
5,1,10:57.0,C. Miles makes 2-pt layup from 2 ft (assist by G. Hill),,4,0
6,1,10:45.0,,Offensive foul by J. Crowder (drawn by P. George),4,0
7,1,10:45.0,,Turnover by J. Crowder (offensive foul),4,0
8,1,10:31.0,P. George misses 2-pt jump shot from 20 ft,,4,0
9,1,10:31.0,,Defensive rebound by A. Johnson,4,0
10,1,10:18.0,,E. Turner misses 2-pt layup from 2 ft (block by I. Mahinmi),4,0
11,1,10:17.0,Defensive rebound by G. Hill,,4,0
12,1,10:08.0,I. Mahinmi makes 2-pt hook shot from 1 ft (assist by G. Hill),,6,0
13,1,9:55.0,,Shooting foul by P. George (drawn by A. Johnson),6,0
14,1,9:55.0,,A. Johnson misses free throw 1 of 2,6,0
15,1,9:55.0,,Offensive rebound by Team,6,0
16,1,9:55.0,,A. Johnson makes free throw 2 of 2,6,1
17,1,9:42.0,Shooting foul by E. Turner (drawn by I. Mahinmi),,6,1
18,1,9:42.0,I. Mahinmi misses free throw 1 of 2,,6,1
19,1,9:42.0,Offensive rebound by Team,,6,1
20,1,9:42.0,I. Mahinmi misses free throw 2 of 2,,6,1
21,1,9:42.0,,Defensive rebound by J. Crowder,6,1
22,1,9:27.0,,A. Johnson makes 2-pt hook shot from 4 ft (assist by I. Thomas),6,3
23,1,9:08.0,G. Hill misses 2-pt jump shot from 17 ft,,6,3
24,1,9:07.0,,Defensive rebound by J. Sullinger,6,3
25,1,8:55.0,,A. Johnson misses 3-pt jump shot from 25 ft,6,3
26,1,8:54.0,Defensive rebound by P. George,,6,3
27,1,8:44.0,C. Miles misses 3-pt jump shot from 23 ft,,6,3
28,1,8:43.0,,Defensive rebound by J. Crowder,6,3
29,1,8:36.0,,I. Thomas makes 3-pt jump shot from 24 ft,6,6
30,1,8:24.0,C. Miles makes 2-pt jump shot from 3 ft,,8,6
31,1,8:24.0,Shooting foul by I. Thomas (drawn by C. Miles),,8,6
32,1,8:24.0,C. Miles makes free throw 1 of 1,,9,6
33,1,8:13.0,,I. Thomas misses 2-pt jump shot from 13 ft,9,6
34,1,8:12.0,Defensive rebound by P. George,,9,6
35,1,8:03.0,I. Mahinmi misses 2-pt hook shot from 4 ft,,9,6
36,1,8:02.0,Offensive rebound by Team,,9,6
37,1,8:02.0,,Loose ball foul by I. Thomas (drawn by G. Hill),9,6
38,1,7:58.0,P. George makes 2-pt jump shot from 5 ft (assist by M. Ellis),,11,6
39,1,7:47.0,,Shooting foul by C. Miles (drawn by J. Crowder),11,6
40,1,7:47.0,,J. Crowder makes free throw 1 of 2,11,7
41,1,7:47.0,,J. Crowder makes free throw 2 of 2,11,8
42,1,7:36.0,P. George misses 3-pt jump shot from 24 ft,,11,8
43,1,7:35.0,,Defensive rebound by J. Sullinger,11,8
44,1,7:18.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by I. Thomas),11,11
45,1,6:58.0,Turnover by I. Mahinmi (3 sec),,11,11
46,1,6:45.0,,E. Turner makes 2-pt jump shot from 14 ft (assist by A. Johnson),11,13
47,1,6:30.0,C. Miles makes 3-pt jump shot from 24 ft (assist by M. Ellis),,14,13
48,1,6:03.0,,J. Sullinger misses 2-pt jump shot from 16 ft,14,13
49,1,6:02.0,Defensive rebound by C. Miles,,14,13
50,1,5:46.0,C. Miles misses 3-pt jump shot from 25 ft,,14,13
51,1,5:45.0,,Defensive rebound by J. Crowder,14,13
52,1,5:30.0,,J. Crowder misses 3-pt jump shot from 23 ft,14,13
53,1,5:29.0,Defensive rebound by Team,,14,13
54,1,5:29.0,,Loose ball foul by A. Johnson (drawn by I. Mahinmi),14,13
55,1,5:29.0,,Boston full timeout,14,13
56,1,5:29.0,,M. Smart enters the game for A. Johnson,14,13
57,1,5:29.0,,J. Jerebko enters the game for I. Thomas,14,13
58,1,5:11.0,I. Mahinmi makes 2-pt dunk at rim (assist by P. George),,16,13
59,1,5:00.0,,Turnover by J. Sullinger (offensive goaltending),16,13
60,1,4:43.0,Personal foul by M. Smart (drawn by M. Ellis),,16,13
61,1,4:43.0,M. Ellis misses free throw 1 of 2,,16,13
62,1,4:43.0,Offensive rebound by Team,,16,13
63,1,4:43.0,,K. Olynyk enters the game for J. Sullinger,16,13
64,1,4:43.0,M. Ellis makes free throw 2 of 2,,17,13
65,1,4:31.0,,J. Jerebko misses 2-pt hook shot from 8 ft,17,13
66,1,4:30.0,Defensive rebound by Team,,17,13
67,1,4:30.0,C. Budinger enters the game for G. Hill,,17,13
68,1,4:21.0,Shooting foul by J. Jerebko (drawn by C. Miles),,17,13
69,1,4:21.0,C. Miles makes free throw 1 of 3,,18,13
70,1,4:21.0,C. Miles makes free throw 2 of 3,,19,13
71,1,4:21.0,C. Miles makes free throw 3 of 3,,20,13
72,1,4:08.0,,Personal foul by M. Ellis (drawn by M. Smart),20,13
73,1,3:59.0,,E. Turner makes 2-pt jump shot from 13 ft (assist by K. Olynyk),20,15
74,1,3:40.0,C. Budinger misses 2-pt jump shot from 11 ft,,20,15
75,1,3:39.0,,Defensive rebound by J. Jerebko,20,15
76,1,3:28.0,,E. Turner makes 2-pt jump shot from 11 ft,20,17
77,1,3:28.0,Indiana full timeout,,20,17
78,1,3:28.0,,R. Hunter enters the game for J. Crowder,20,17
79,1,3:28.0,M. Turner enters the game for I. Mahinmi,,20,17
